#Parameters = {C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset=1.6737640984764; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
-42.744605171828	-8.7974620278074e-10
-42.497865334726	-2.2857281143194e-09
-42.251125497623	-1.4243309019131e-09
-42.004385660520	-1.7691192116429e-09
-41.757645823418	-2.1954334361428e-09
-41.510905986315	-2.7220732850989e-09
-41.264166149212	-3.3720555507774e-09
-41.017426312109	-4.1735382530843e-09
-40.770686475007	-5.1609286690553e-09
-40.523946637904	-6.3762329485655e-09
-40.277206800801	-7.8706836027313e-09
-40.030466963699	-9.7067091927451e-09
-39.783727126596	-1.1960298804272e-08
-39.536987289493	-1.4723847084825e-08
-39.290247452391	-1.8109603627280e-08
-39.043507615288	-2.2253788291497e-08
-38.796767778185	-2.7321556265773e-08
-38.550027941082	-3.3512946102818e-08
-38.303288103980	-4.1069966812057e-08
-38.056548266877	-5.0285144066019e-08
-37.809808429774	-6.1511669404421e-08
-37.563068592672	-7.5175588610017e-08
-37.316328755569	-9.1790235273182e-08
-37.069588918466	-1.1197354901762e-07
-36.822849081364	-1.3646857919564e-07
-36.576109244261	-1.6616785639852e-07
-36.329369407158	-2.0214236773745e-07
-36.082629570055	-2.4567586641841e-07
-35.835889732953	-2.9830551719096e-07
-35.589149895850	-3.6186998186673e-07
-35.342410058747	-4.3856617508283e-07
-35.095670221645	-5.3101611786065e-07
-34.848930384542	-6.4234592644721e-07
-34.602190547439	-7.7627850602214e-07
-34.355450710336	-9.3724339301982e-07
-34.108710873234	-1.1305035642258e-06
-33.861971036131	-1.3623061497501e-06
-33.615231199028	-1.6400582420424e-06
-33.368491361926	-1.9725340454970e-06
-33.121751524823	-2.3701124722559e-06
-32.875011687720	-2.8450588344323e-06
-32.628271850618	-3.4118476173977e-06
-32.381532013515	-4.0875450326799e-06
-32.134792176412	-4.8922471076778e-06
-31.888052339309	-5.8495934638086e-06
-31.641312502207	-6.9873554120228e-06
-31.394572665104	-8.3381238271845e-06
-31.147832828001	-9.9400913390115e-06
-30.901092990899	-1.1837967233145e-05
-30.654353153796	-1.4084025767642e-05
-30.407613316693	-1.6739315880923e-05
-30.160873479590	-1.9875046241651e-05
-29.914133642488	-2.3574167485397e-05
-29.667393805385	-2.7933173331695e-05
-29.420653968282	-3.3064189725102e-05
-29.173914131180	-3.9097355013222e-05
-28.927174294077	-4.6183486529921e-05
-28.680434456974	-5.4497187162484e-05
-28.433694619872	-6.4240243302748e-05
-28.186954782769	-7.5645634143663e-05
-27.940214945666	-8.8982011543156e-05
-27.693475108563	-0.00010455866435843
-27.446735271461	-0.00012273121626598
-27.199995434358	-0.00014390802556241
-26.953255597255	-0.00016855733490942
-26.706515760153	-0.00019721533464003
-26.459775923050	-0.00023049506902884
-26.213036085947	-0.00026909654227334
-25.966296248844	-0.00031381795211286
-25.719556411742	-0.00036556807319345
-25.472816574639	-0.00042538008159060
-25.226076737536	-0.00049442648896673
-24.979336900434	-0.00057403605850047
-24.732597063331	-0.00066571330425939
-24.485857226228	-0.00077115728010306
