# Frequency (Hz)	Real Part (Ohm/m)
1000.0	-90997.59943679391
1018.6101701559753	-92691.080245865
1037.566678745186	-94416.07702094887
1056.875971184804	-96173.17627953549
1076.544612842316	-97962.97545430539
1096.5792912678098	-99786.08309626274
1116.9868184678226	-101643.11908164952
1137.7741332214914	-103534.71482271027
1158.9483034398106	-105461.51348237833
1180.5165285688056	-107424.17019295925
1202.4861420374123	-109423.35227888174
1224.8646137509306	-111459.73948359604
1247.6595526308697	-113534.02420069363
1270.8787092020582	-115646.91170932823
1294.529978227916	-117799.1204140191
1318.6214013947485	-119991.38208891527
1343.1611700460153	-122224.4421266077
1368.1576279674719	-124499.05979157022
1393.6192742241421	-126816.00847831734
1419.5547660501015	-129176.07597436765
1445.9729217920196	-131580.06472809892
1472.8827239075017	-134028.79212159014
1500.2933220192183	-136523.09074853995
1528.2140360258693	-139063.80869735702
1556.654359271062	-141651.80983952005
1585.6239617711371	-144287.97412330244
1615.1326935030913	-146973.19787296528
1645.1905877536624	-149708.39409351602
1675.8078645307671	-152494.49278114125
1706.994934038408	-155332.44123941465
1738.7624002162504	-158223.20440139028
1771.1210643450886	-161167.76515769106
1804.0819287193829	-164167.12469070105
1837.6562003881704	-167222.3028149792
1871.8552949655793	-170334.33832400726
1906.690840512252	-173504.28934338962
1942.1746814890264	-176733.23369062887
1978.3188827841643	-180022.26924159427
2015.1357338155585	-183372.51430381244
2052.6377527092523	-186785.10799670246
2090.83769055575	-190261.21063889033
2129.748535745521	-193802.00414272925
2169.3835183851843	-197408.6924161615
2209.756114795903	-201082.5017720621
2250.880052095462	-204824.6813451965
2292.7693128656488	-208636.5035169411
2335.438139906479	-212519.2643479063
2378.9010410788933	-216474.28401861072
2423.1727942376006	-220502.9072783572
2468.2684522556924	-224606.50390246173
2514.2033481427966	-228786.46915799237
2560.9931002584594	-233044.22427817472
2608.6536176225477	-237381.21694562587
2657.201105324507	-241798.9217845838
2706.652070033241	-246298.8408622933
2757.0233256095826	-250882.5041997272
2808.3319988231724	-255551.47029180857
2860.595535175742	-260307.32663731594
2913.8317048327885	-265151.69027865067
2968.058608665602	-270086.20835164795
3023.2946844057765	-275112.55864562135
3079.5587129142264	-280232.4501738294
3136.8698245668766	-285447.62375455734
3195.2475057592137	-290759.8526030159
3254.711605531848	-296170.94293425133
3315.282342319423	-301682.73457728047
3376.9803108250912	-307297.1016006509
3439.8264890229248	-313015.9529496441
3503.8422452906757	-318841.2330953392
3569.0493456752297	-324774.9226957514
3635.4699612933177	-330819.03926928027
3703.126675869927	-336975.63788068516
3772.0424934169973	-343246.81183983
3842.240846055061	-349634.69341343275
3913.745601980384	-356141.4545500561
3986.581073580439	-362769.30761859624
4060.7720257003652	-369520.5061605111
4136.343684063274	-376397.3456560474
4213.321743847289	-383402.16430473136
4291.732378422157	-390537.3438203786
4371.602248248502	-397805.31024090556
4452.958509942656	-405208.5347532069
4535.828825510186	-412749.53453338443
4620.241371751313	-420430.87360261776
4706.224849841282	-428255.163698955
4793.808495089107	-436225.0651653348
4883.02208687788	-444343.28785413055
4973.895958790063	-452612.59204852855
5066.461008921268	-461035.7894010562
5160.7487103859075	-469615.7438895713
5256.791122018419	-478355.3727910482
5354.620899273607	-487257.64767348213
5454.271305329837	-496325.59540625353
5555.7762223988775	-505562.2991892966
5659.170163246243	-514970.89960142266
5764.488282925873	-524554.5956681479
5871.766390733255	-534316.6459493985
5981.040962380944	-544260.3696474544
6092.349152400711	-554389.1477355146
6205.7288067765	-564706.4241072657
6321.218475812449	-575215.7067478414
6438.857427240419	-585920.5689265758
6558.685659571435	-596824.650411953
6680.743915695614	-607931.658709167
6805.073696735207	-619245.3703207158
6931.7172761554075	-630769.6320304523
7060.717714137772	-642508.3622115277
7192.118872221193	-654465.552158689
7325.9654282152305	-666645.2674453536
7462.302891391108	-679051.6493059543
7601.17761795533	-691688.9160440015
7742.63682681127	-704561.3644663497
7886.728615614156	-717673.3713441622
8033.501977124734	-731029.3949010565
8183.006815867389	-744633.976328952
8335.293965098195	-758491.741332122
8490.415204088747	-772607.4016999821
8648.423275731726	-786985.7569091524
8809.37190447399	-801631.6957553275
8973.31581458352	-816550.1980155243
9140.310748756232	-831746.3361412565
9310.413487069076	-847225.2769832213
9483.681866285928	-862992.2835480904
9660.174799522645	-879052.716787981
9839.952296278227	-895412.0374232449
10023.075482838643	-912075.807799167
10209.606623060476	-929049.6937772272
10399.609139541202	-946339.4666615449
10593.147635183701	-963951.0051611986
10790.287915161836	-981890.2973890388
10991.097009294961	-1000163.442897717
11195.643194838794	-1018776.6547535989
11403.996019700331	-1037736.2616492652
11616.226326085018	-1057048.7100553508
11832.40627458378	-1076720.5664124023
12052.609368708414	-1096758.5193635423
12276.910479883603	-1117169.3820286826
12505.385872903913	-1137960.0943210495
12738.113231864785	-1159137.7253068408
12975.171686575868	-1180709.4756087782
13216.641839466038	-1202682.6798543972
13462.60579298911	-1225064.809169901
13713.147177539457	-1247863.4737204176
13968.351179887397	-1271086.425297548
14228.30457214352	-1294741.559955053
14493.095741262152	-1318836.920693596
14762.81471909391	-1343380.700195456
15037.553212997384	-1368381.243610114
15317.404637020798	-1393847.05139171
15602.46414366368	-1419786.7821892812
15892.828656229764	-1446209.255790796
16188.596901781992	-1473123.4561219786
16489.86944471065	-1500538.5343009345
16796.74872092653	-1528463.811749639
17109.339072690134	-1556908.7833633176
17427.746784089173	-1585883.1207388083
17752.08011717636	-1615396.6754630168
18082.44934877952	-1645459.4824625482
18418.96680799711	-1676081.763415706
18761.746914391195	-1707273.930227966
19110.90621689136	-1739046.5885721368
19466.563433422634	-1771410.5414944028
19828.839491270715	-1804376.793087469
20197.857568198782	-1837956.552232087
20573.743134329117	-1872161.2364081824
20956.623994804308	-1907002.4755769274
21346.630333242454	-1942492.1161350515
21743.8947560008	-1978642.224942732
22148.552337263594	-2015465.0934264814
22560.74066496859	-2052973.2417583433
22980.599887588487	-2091179.4231128974
23408.272761782944	-2130096.6280034734
23843.904700937204	-2169738.0886990544
24287.643824604504	-2210117.2837234116
24739.641008868115	-2251247.942437933
25200.049937640895	-2293144.0497097597
25669.02715491952	-2335819.850666792
26146.73211801092	-2379289.8555411734
26633.327251749808	-2423568.844602947
27128.978003724646	-2468671.873185496
27633.85290053167	-2514614.276804514
28148.123605075813	-2561411.676372264
28671.9649749377	-2609079.983508821
29205.555121827452	-2657635.405952237
29749.075472144435	-2707094.453069324
30302.71082866393	-2757473.941469002
30866.649433372746	-2808791.000720181
31441.083031472648	-2861063.079175923
32026.206936576502	-2914307.949906132
32622.220097116733	-2968543.71674057
33229.325163989684	-3023788.820424324
33847.72855945983	-3080062.0448879297
34477.64054734464	-3137382.5236340226
35119.275304507275	-3195769.7462430014
35772.850993678774	-3255243.564999676
36438.58983763541	-3315824.201643223
37116.71819475767	-3377532.254242878
37807.46663599349	-3440388.7042014007
38511.07002325569	-3504414.9233890506
39227.76758927724	-3569632.6814102344
39957.803018952654	-3636064.153005369
40701.42453219439	-3703731.9255906153
41458.88496832911	-3772659.0069377413
42230.44187206672	-3842868.832997093
43016.357581068	-3914385.2758660386
43816.89931514195	-3987232.651905717
44632.33926710398	-4061435.7300089095
45462.95469532399	-4137019.7400216996
46309.02801799737	-4214010.3813219
47170.84690917022	-4292433.831557122
48048.70439655134	-4372316.755545432
48942.898961145314	-4453686.31434172
49853.73463873893	-4536570.174472725
50781.5211232767	-4620996.517343951
51726.57387216025	-4706994.04882167
52689.21421350677	-4794592.008993169
53669.76945540476	-4883820.182108779
54668.57299720181	-4974708.906708779
55685.96444286409	-5067289.085938839
56722.28971644549	-5161592.198057457
57777.90117970507	-5257650.307138827
58853.15775191451	-5355496.073975063
59948.42503189409	-5455162.767181165
61064.07542232036	-5556684.274506711
62200.48825634718	-5660095.114358091
63358.04992658254	-5765430.447535069
64537.15401646702	-5872726.089185906
65738.20143409586	-5982018.5209848555
66961.60054853215	-6093344.903536346
68207.76732865692	-6206743.0890099825
69477.1254846024	-6322251.634010647
70770.10661181889	-6439909.8126882445
72087.15033782135	-6559757.630091276
73428.70447166757	-6681835.835768998
74795.2251562183	-6806185.937626734
76187.17702322999	-6932850.216038941
77605.0333513357	-7061871.738225083
79049.2762269642	-7193294.372892891
80520.3967082547	-7327162.805154215
82018.89499202212	-7463522.551718453
83545.28058382872	-7602419.9763686545
85100.07247122246	-7743902.305725832
86683.79930019774	-7888017.645306406
88296.99955494083	-8034814.995878659
89940.22174092053	-8184344.2701235255
91614.0245713852	-8336656.309605375
93318.97715733238	-8491802.902058778
95055.6592010119	-8649836.798996864
96824.66119303113	-8810811.733647382
98626.5846131283	-8974782.439222606
100462.04213468131	-9141804.667529168
102331.6578330245	-9311935.207924338
104236.06739764012	-9485231.906624999
106175.9183482999	-9661753.68637594
108151.87025522892	-9841560.566484302
110164.59496336569	-10024713.68322668
112214.77682079803	-10211275.310636232
114303.11291144787	-10401308.881676447
116430.31329208757	-10594879.00980907
118597.10123376705	-10792051.510963375
120804.21346773289	-10992893.425914219
123052.40043592616	-11197473.043076754
125342.42654613995	-11405859.921725124
127675.07043192645	-11618124.915643418
130051.12521734099	-11834340.197216706
132471.39878661174	-12054579.28197037
134936.71405883064	-12278917.053566301
137447.90926775365	-12507429.789264046
140005.8382468096	-12740195.18585593
142611.37071941298	-12977292.386084842
145265.39259467812	-13218802.005553488
147968.80626863963	-13464806.160134751
150722.53093107554	-13715388.49389185
153527.5028780421	-13970634.207518252
156384.6758302248	-14230630.087306857
159295.0212572123	-14495464.534658143
162259.5287078087	-14765227.596137801
165279.2061464897	-15040010.994093426
168355.08029612005	-15319908.157840978
171488.19698705408	-15605014.255432116
174679.62151272458	-15895426.226011893
177930.43899185772	-16191242.812779488
181241.75473742394	-16492564.59656183
184614.69463245457	-16799494.030011993
188050.40551285836	-17112135.472444605
191550.05555735278	-17430595.22531867
195114.83468466165	-17754981.568381548
198745.9549580986	-18085404.796485133
202444.65099768018	-18421977.257087145
206212.18039991445	-18764813.388450842
210049.82416539153	-19114029.7585548
213958.88713434216	-19469745.10472766
217940.6984302958	-19832080.374019913
221996.61191199525	-20201158.764327124
226128.00663372796	-20577105.766278934
230336.28731421314	-20960049.205906652
234622.88481422624	-21350119.288105946
238989.25662310526	-21747448.640907787
243436.8873543108	-22152172.36057313
247967.289250216	-22564428.057527702
252582.00269627848	-22984355.903150328
257282.5967447932	-23412098.677433208
262070.66964838552	-23847801.817528542
266947.8494034318	-24291613.467198446
271915.7943036019	-24743684.527186003
276976.1935036891	-25204168.706522476
282130.76759394706	-25673222.574790526
287381.2691851069	-26151005.615359433
292729.4835042813	-26637680.279610846
298177.22900196735	-27133412.042174697
303726.35797033116	-27638369.457191523
309378.7571730137	-28152724.215623334
315136.34848664823	-28676651.20363015
321001.08955431683	-29210328.562032968
326974.9744511768	-29753937.74688418
333060.03436245886	-30307663.591163754
339258.33827409917	-30871694.367625132
345571.9936762143	-31446221.85280973
352003.14727966755	-32031441.392252773
358553.9857459817	-32627551.966903582
365226.7364308176	-33234756.26078035
372023.6681413066	-33853260.7298856
378947.09190746717	-34483275.6724032
385999.3617679763	-35125015.30020173
393182.87557057705	-35778697.81166956
400500.07578736113	-36444545.46590372
407953.4503452449	-37122784.658281125
415545.53347188793	-37813645.9974352
423278.90655735444	-38517364.383664966
431156.19903182285	-39234179.08880453
439180.0892596086	-39964333.83757696
447353.3054498463	-40708076.89046423
455678.6265841069	-41465661.12811814
464158.8833612772	-42237344.13734212
472796.9591600391	-43023388.29867439
481595.7910192351	-43824060.87559909
490558.37063650455	-44639634.10541956
499687.7453854889	-45470385.291821755
508987.01935196744	-46316596.89915999
518459.3543892913	-47178556.64849894
528107.971193433	-48056557.61544058
537936.1503980698	-48950898.329774134
547947.2336900292	-49861882.87697894
558144.6249454955	-50789821.001616485
568531.7913873753	-51735028.21264796
579112.2647641759	-52697825.890709296
589889.6425508494	-53678541.39738512
600867.5891719693	-54677508.18651491
612049.837247669	-55695065.91757033
623440.1888627864	-56731560.571144454
635042.5168595962	-57787344.56658725
646860.7661546321	-58862776.88183319
658898.9550799957	-59958223.1754572
671161.1767496273	-61074055.911002025
683651.6004510239	-62210654.483621225
696374.4730628222	-63368405.349075764
709334.1204987989	-64547702.15513465
722534.9491787221	-65748945.875418805
735981.4475265756	-66972544.94573599
