# Frequency (Hz)	Real Part (Ohm/m)
1000.0	-7337.125934871659
1001.6827065769118	-7349.4721649361445
1003.3682446552465	-7361.839170083151
1005.0566189995923	-7374.226985271063
1006.7478343825505	-7386.635645517057
1008.4418955847577	-7399.065185897266
1010.1388073948916	-7411.515641546819
1011.8385746096877	-7423.9870476599735
1013.5412020339566	-7436.479439490226
1015.2466944805891	-7448.992852350363
1016.9550567705795	-7461.527321612628
1018.666293733031	-7474.082882708758
1020.3804102051729	-7486.659571130115
1022.0974110323771	-7499.257422427801
1023.8173010681647	-7511.8764722127125
1025.5400851742281	-7524.516756155699
1027.2657682204374	-7537.178309987612
1028.9943550848573	-7549.861169499423
1030.7258506537637	-7562.565370542357
1032.4602598216507	-7575.290949027931
1034.1975874912525	-7588.037940928127
1035.9378385735504	-7600.806382275428
1037.681017987789	-7613.596309162956
1039.4271306614933	-7626.4077577445805
1041.176181530477	-7639.240764234987
1042.9281755388622	-7652.095364909824
1044.6831176390879	-7664.97159610576
1046.4410127919268	-7677.869494220607
1048.201865966502	-7690.789095713449
1049.9656821402941	-7703.730437104686
1051.7324662991632	-7716.693554976202
1053.5022234373564	-7729.678485971419
1055.2749585575245	-7742.685266795415
1057.0506766707394	-7755.713934215054
1058.8293827965012	-7768.764525059042
1060.6110819627604	-7781.837076218084
1062.3957792059248	-7794.93162464494
1064.1834795708767	-7808.0482073545445
1065.9741881109915	-7821.186861424149
1067.7679098881429	-7834.3476239933625
1069.564649972727	-7847.530532264315
1071.3644134436674	-7860.735623501711
1073.1672053884383	-7873.962935032989
1074.9730309030715	-7887.212504248374
1076.7818950921737	-7900.484368601012
1078.593803068945	-7913.77856560709
1080.4087599551851	-7927.095132845906
1082.2267708813138	-7940.43410795999
1084.0478409863858	-7953.795528655236
1085.8719754180995	-7967.179432700954
1087.6991793328195	-7980.58585793004
1089.5294578955834	-7994.014842239027
1091.3628162801233	-8007.466423588237
1093.199259668875	-8020.940640001856
1095.0387932529936	-8034.437529568044
1096.881422232374	-8047.957130439081
1098.7271518156556	-8061.499480831412
1100.5759872202475	-8075.064619025825
1102.4279336723341	-8088.652583367493
1104.2829964068947	-8102.263412266118
1106.1411806677204	-8115.897144196057
1108.0024917074218	-8129.553817696372
1109.8669347874525	-8143.233471371014
1111.7345151781162	-8156.936143888864
1113.605238158585	-8170.661873983872
1115.4791090169178	-8184.410700455193
1117.3561330500672	-8198.182662167234
1119.2363155639032	-8211.977798049833
1121.119661873221	-8225.79614709831
1123.0061773017592	-8239.637748373607
1124.8958671822174	-8253.502641002411
1126.7887368562647	-8267.390864177223
1128.6847916745628	-8281.302457156518
1130.5840369967739	-8295.23745926482
1132.4864781915785	-8309.195909892806
1134.3921206366952	-8323.177848497477
1136.3009697188863	-8337.183314602187
1138.2130308339836	-8351.212347796834
1140.1283093868944	-8365.264987737904
1142.046810791622	-8379.341274148619
1143.968540471282	-8393.441246819062
1145.8935038581121	-8407.564945606246
1147.8217063934947	-8421.712410434275
1149.753153527965	-8435.883681294417
1151.6878507212305	-8450.078798245233
1153.6258034421885	-8464.297801412707
1155.5670171689346	-8478.540730990324
1157.5114973887871	-8492.80762723922
1159.459249598294	-8507.098530488267
1161.4102793032532	-8521.413481134194
1163.3645920187298	-8535.75251964173
1165.3221932690647	-8550.11568654366
1167.2830885878998	-8564.50302244101
1169.2472835181845	-8578.914568003096
1171.2147836121956	-8593.350363967678
1173.1855944315562	-8607.81045114108
1175.159721547243	-8622.294870398262
1177.1371705396125	-8636.803662683
1179.1179469984068	-8651.336869007937
1181.1020565227745	-8665.894530454734
1183.0895047212894	-8680.4766881742
1185.080297211958	-8695.083383386358
1187.074439622245	-8709.714657380624
1189.0719375890812	-8724.370551515869
1191.0727967588823	-8739.051107220557
1193.0770227875691	-8753.756365992891
1195.084621340575	-8768.486369400869
1197.095598092871	-8783.241159082467
1199.1099587289739	-8798.020776745701
1201.1277089429664	-8812.825264168776
1203.1488544385156	-8827.654663200214
1205.1734009288818	-8842.509015758922
1207.201354136944	-8857.388363834387
1209.232719795207	-8872.292749486718
1211.2675036458222	-8887.222214846806
1213.3057114406065	-8902.17680211645
1215.347348941051	-8917.15655356844
1217.3924219183464	-8932.161511546728
1219.4409361533908	-8947.19171846649
1221.4928974368104	-8962.247216814281
1223.5483115689783	-8977.328049148171
1225.6071843600234	-8992.434258097805
1227.6695216298565	-9007.565886364597
1229.735329208177	-9022.722976721796
1231.8046129344953	-9037.905572014615
1233.8773786581503	-9053.113715160396
1235.9536322383199	-9068.347449148665
1238.0333795440451	-9083.606817041315
1240.116626454239	-9098.891861972668
1242.2033788577112	-9114.202627149662
1244.2936426531771	-9129.539155851922
1246.3874237492778	-9144.901491431883
1248.4847280646009	-9160.289677314971
1250.585561527689	-9175.703756999652
1252.6899300770613	-9191.143774057586
1254.797839661233	-9206.60977213378
1256.9092962387244	-9222.101794946648
1259.024305778087	-9237.619886288201
1261.14287425791	-9253.164090024104
1263.2650076668492	-9268.734450093878
1265.3907120036329	-9284.331010510947
1267.5199932770831	-9299.953815362795
1269.6528575061377	-9315.602908811128
1271.7893107198568	-9331.27833509192
1273.929358957451	-9346.980138515619
1276.0730082682899	-9362.708363467209
1278.2202647119211	-9378.463054406358
1280.3711343580937	-9394.24425586758
1282.5256232867648	-9410.052012460277
1284.6837375881273	-9425.886368868974
