# Frequency (Hz)	Real Part (Ohm/m)
1000.0	426247034.8253926
1001.6827065769118	425768429.6246331
1003.3682446552465	425289019.0717549
1005.0566189995923	424808801.8115859
1006.7478343825505	424327776.48667526
1008.4418955847577	423845941.73728645
1010.1388073948916	423363296.20139587
1011.8385746096877	422879838.514688
1013.5412020339566	422395567.3105507
1015.2466944805891	421910481.2200735
1016.9550567705795	421424578.8720412
1018.666293733031	420937858.89293224
1020.3804102051729	420450319.90691346
1022.0974110323771	419961960.53583616
1023.8173010681647	419472779.3992336
1025.5400851742281	418982775.11431485
1027.2657682204374	418491946.2959631
1028.9943550848573	418000291.5567309
1030.7258506537637	417507809.50683516
1032.4602598216507	417014498.75415534
1034.1975874912525	416520357.9042272
1035.9378385735504	416025385.5602409
1037.681017987789	415529580.3230364
1039.4271306614933	415032940.7910981
1041.176181530477	414535465.56055325
1042.9281755388622	414037153.22516584
1044.6831176390879	413538002.37633437
1046.4410127919268	413038011.603087
1048.201865966502	412537179.4920768
1049.9656821402941	412035504.6275797
1051.7324662991632	411532985.59148836
1053.5022234373564	411029620.96331
1055.2749585575245	410525409.3201615
1057.0506766707394	410020349.23676467
1058.8293827965012	409514439.2854441
1060.6110819627604	409007678.0361206
1062.3957792059248	408500064.0563101
1064.1834795708767	407991595.9111175
1065.9741881109915	407482272.1632326
1067.7679098881429	406972091.37292767
1069.564649972727	406461052.09805113
1071.3644134436674	405949152.8940259
1073.1672053884383	405436392.31384313
1074.9730309030715	404922768.90805966
1076.7818950921737	404408281.2247937
1078.593803068945	403892927.8097189
1080.4087599551851	403376707.2060631
1082.2267708813138	402859617.9546028
1084.0478409863858	402341658.5936578
1085.8719754180995	401822827.65909
1087.6991793328195	401303123.68429595
1089.5294578955834	400782545.20020574
1091.3628162801233	400261090.7352763
1093.199259668875	399738758.8154891
1095.0387932529936	399215547.96434546
1096.881422232374	398691456.70286113
1098.7271518156556	398166483.54956466
1100.5759872202475	397640627.02048993
1102.4279336723341	397113885.62917536
1104.2829964068947	396586257.88665754
1106.1411806677204	396057742.30146694
1108.0024917074218	395528337.3796255
1109.8669347874525	394998041.62463987
1111.7345151781162	394466853.53749955
1113.605238158585	393934771.61667186
1115.4791090169178	393401794.3580962
1117.3561330500672	392867920.25518245
