# Frequency (Hz)	Imaginary Part (Ohm/m)
1000000000.0	34087.459898235065
1000299648.0731912	34088.459961872315
1000599385.9353502	34089.48366769389
1000899213.613382	34090.50768026693
1001199131.1341999	34091.53199968338
1001499138.524729	34092.55662603518
1001799235.8118906	34093.58155941427
1002099423.0226262	34094.606799912675
1002399700.1838809	34095.63111882798
1002700067.3226085	34096.655741448485
1003000524.4657704	34097.68067109519
1003301071.6403363	34098.70590786008
1003601708.873284	34099.7314518352
1003902436.1916034	34100.75730311261
1004203253.6222801	34101.760688575
1004504161.1923205	34102.72052314566
1004805158.9287343	34103.6806453289
1005106246.8585398	34104.64105521091
1005407425.0087634	34105.60175287788
1005708693.4064394	34106.56273841607
1006010052.0786104	34107.524011911715
1006311501.0523309	34108.43300432367
1006613040.3546513	34109.31968881934
1006914670.0126427	34110.2066390083
1007216390.05338	34111.09385497018
1007518200.5039461	34111.981336784615
1007820101.3914322	34112.86908453126
1008122092.7429374	34113.75608481874
1008424174.5855694	34114.62997966347
1008726346.9464434	34115.504136369105
1009028609.8526872	34116.37855501413
1009330963.3314245	34117.253235677
1009633407.4097989	34118.12817843624
1009935942.1149588	34119.0033833704
1010238567.47406	34119.91563980876
1010541283.5142671	34120.87232970194
1010844090.2627523	34121.829306265405
1011146987.7466962	34122.786569585056
1011449975.9932919	34123.744119746836
1011753055.0297275	34124.70195683666
1012056224.8832124	34125.66008094052
1012359485.5809599	34126.747963764836
1012662837.1501911	34127.858730102824
1012966279.6181355	34128.96982927982
1013269813.0120307	34130.08126139554
1013573437.3591226	34131.19302654976
1013877152.686665	34132.30512484225
1014180959.0219244	34133.4581334592
1014484856.3921626	34134.725913328395
1014788844.8246621	34135.99407308539
1015092924.3467097	34137.26261284402
1015397094.9856002	34138.53153271813
1015701356.7686367	34139.800832821646
1016005709.7231301	34141.07051326849
1016310153.8763999	34142.402268795704
1016614689.2557777	34143.76280263097
1016919315.8885912	34145.12374414756
1017224033.802188	34146.48509346765
1017528843.0239207	34147.84685071345
1017833743.5811493	34149.20901600719
1018138735.5012424	34150.57175080087
1018443818.8115767	34151.93606549133
1018748993.5395371	34153.300788996065
1019054259.7125208	34154.66592143757
1019359617.357921	34156.03146293837
1019665066.5031512	34157.39741362106
1019970607.1756293	34158.76377360823
1020276239.4027811	34160.100667265244
1020581963.212041	34161.415422581485
1020887778.6308511	34162.73057186164
1021193685.6866623	34164.04611522373
1021499684.4069334	34165.36205278586
1021805774.8191355	34166.67838466616
1022111956.9507358	34167.99395405803
1022418230.8292217	34169.27472059981
1022724596.4820852	34170.55587092083
1023031053.9368263	34171.83740513606
1023337603.2209533	34173.11932336055
1023644244.3619826	34174.40162570937
1023950977.387439	34175.68431229761
1024257802.3248595	34176.98650607271
1024564719.2017772	34178.307731233945
1024871728.0457457	34179.629352297765
1025178828.8843229	34180.95136938278
1025486021.7450744	34182.27378260767
1025793306.6555749	34183.59659209114
1026100683.6434066	34184.919797951916
1026408152.7361606	34186.36262657985
1026715713.96144	34187.80663956276
1027023367.3468436	34189.251085241354
1027331112.9199915	34190.69596374532
1027638950.7085073	34192.14127520434
1027946880.7400234	34193.58701974815
1028254903.0421801	34195.11002104442
1028563017.642626	34196.71226383863
1028871224.5690184	34198.31498674181
1029179523.8490224	34199.91818989781
1029487915.5103158	34201.521873450576
1029796399.5805721	34203.12603754401
1030104976.0874857	34204.73145596745
1030413645.0587549	34206.45805982769
1030722406.5220867	34208.18518106145
1031031260.5051961	34209.91281982376
1031340207.0358064	34211.64097626969
1031649246.1416492	34213.36965055437
1031958377.850469	34215.098842833
1032267602.1900054	34216.85025684291
1032576919.1880194	34218.621322673156
1032886328.8722758	34220.39291919987
1033195831.270548	34222.165046582064
1033505426.4106174	34223.937704978816
1033815114.320274	34225.710894549244
1034124895.027316	34227.48234371284
1034434768.5595499	34229.22383081743
1034744734.9447951	34230.965839755285
1035054794.2108661	34232.70837068275
1035364946.3855987	34234.45142375623
1035675191.4968328	34236.194999132225
1035985529.5724168	34237.93909696722
1036295960.6402072	34239.65176575293
1036606484.7280688	34241.3453272383
1036917101.8638752	34243.03939619611
1037227812.0755119	34244.733972778435
1037538615.3908607	34246.42905713735
1037849511.837824	34248.12464942502
1038160501.4443086	34249.81970978538
1038471584.2382296	34251.51061151449
1038782760.2475104	34253.20201991905
1039094029.5000829	34254.89393515089
1039405392.023887	34256.586357361855
1039716847.8468758	34258.2792867039
1040028396.9969976	34259.972723328945
1040340039.502222	34261.71989722678
1040651775.3905224	34263.48465228429
1040963604.6898812	34265.249936147244
1041275527.4282887	34267.01574897412
1041587543.6337438	34268.78209092339
1041899653.3342535	34270.54896215364
1042211856.5578338	34272.35792022969
1042524153.3325126	34274.246414452144
1042836543.686314	34276.13547455823
1043149027.647283	34278.02510071754
1043461605.2434688	34279.915293099686
1043774276.502929	34281.80605187434
1044087041.4537296	34283.69737721121
