# Frequency (Hz)	Imaginary Part (Ohm/m)
1000000000.0	528705.8134888712
1000299648.0731912	529819.29035314
1000599385.9353502	530933.1008686059
1000899213.613382	532047.2451352463
1001199131.1341999	533161.7232530698
1001499138.524729	534578.4309406783
1001799235.8118906	536511.2820635005
1002099423.0226262	538444.712361438
1002399700.1838809	540378.7220080383
1002700067.3226085	542313.3111769026
1003000524.4657704	544248.4800416838
1003301071.6403363	546184.2287760865
1003601708.873284	547837.1402541783
1003902436.1916034	549259.1713130365
1004203253.6222801	550681.6284807415
1004504161.1923205	552104.5118849967
1004805158.9287343	553527.821653522
1005106246.8585398	554951.5579140767
1005407425.0087634	556375.720794459
1005708693.4064394	556684.7679828879
1006010052.0786104	556613.6139714923
1006311501.0523309	556542.4386389331
1006613040.3546513	556471.2419788238
1006914670.0126427	556400.0239847725
1007216390.05338	556328.7846503864
1007518200.5039461	556257.5239692711
1007820101.3914322	554809.124436605
1008122092.7429374	553295.1623250501
1008424174.5855694	551780.7465576653
1008726346.9464434	550265.8769985135
1009028609.8526872	548750.5535115971
1009330963.3314245	547234.7759609376
1009633407.4097989	545649.9062125483
1009935942.1149588	543746.8783563214
1010238567.47406	541843.2802614645
1010541283.5142671	539939.1117571067
1010844090.2627523	538034.3726723255
1011146987.7466962	536129.0628361475
1011449975.9932919	534223.1820775217
1011753055.0297275	532707.3967481685
1012056224.8832124	531743.598495224
1012359485.5809599	530779.51144199
1012662837.1501911	529815.1355019284
1012966279.6181355	528850.4705884744
1013269813.0120307	527885.5166150378
1013573437.3591226	526920.2734950022
1013877152.686665	527033.686350024
1014180959.0219244	527691.9066646688
1014484856.3921626	528350.3242137538
1014788844.8246621	529008.9390563886
1015092924.3467097	529667.751251692
1015397094.9856002	530326.7608588001
1015701356.7686367	530985.9679368676
1016005709.7231301	532740.4612463826
1016310153.8763999	534579.9484800596
1016614689.2557777	536419.986912567
1016919315.8885912	538260.5767090209
1017224033.802188	540101.71803466
1017528843.0239207	541943.4110547501
1017833743.5811493	543767.9203637884
1018138735.5012424	545524.5411598828
1018443818.8115767	547281.6883240145
1018748993.5395371	549039.3620139079
1019054259.7125208	550797.5623873597
1019359617.357921	552556.2896021421
1019665066.5031512	554315.543816145
1019970607.1756293	555430.5123103758
