# Frequency (Hz)	Imaginary Part (Ohm)
1000000000.0	52.65302100410288
1000299648.0731912	52.66883427285078
1000599385.9353502	52.68465268080696
1000899213.613382	52.700475828718595
1001199131.1341999	52.716303718006024
1001499138.524729	52.732136350090194
1001799235.8118906	52.74797372639185
1002099423.0226262	52.7638158483328
1002399700.1838809	52.779663919653125
1002700067.3226085	52.79551674297788
1003000524.4657704	52.8113743165706
1003301071.6403363	52.8272366418547
1003601708.873284	52.843103720253986
1003902436.1916034	52.85897555319297
1004203253.6222801	52.874852557538254
1004504161.1923205	52.89073511936328
1004805158.9287343	52.90662244036736
1005106246.8585398	52.92251452197657
1005407425.0087634	52.938411365617405
1005708693.4064394	52.95431297271681
1006010052.0786104	52.97021934470216
1006311501.0523309	52.9861313411237
1006613040.3546513	53.00204847413787
1006914670.0126427	53.017970376690286
1007216390.05338	53.03389705021013
1007518200.5039461	53.04982849612699
1007820101.3914322	53.065764715870934
1008122092.7429374	53.08170579784707
1008424174.5855694	53.09765280403785
1008726346.9464434	53.11360458871831
1009028609.8526872	53.129561153320516
1009330963.3314245	53.14552249927637
1009633407.4097989	53.16148862801876
1009935942.1149588	53.17745954098087
1010238567.47406	53.1934358012164
1010541283.5142671	53.209417522850096
1010844090.2627523	53.22540403337589
1011146987.7466962	53.24139533422875
1011449975.9932919	53.25739142684433
1011753055.0297275	53.273392312658004
1012056224.8832124	53.28939799310629
1012359485.5809599	53.30540951849379
1012662837.1501911	53.321426024445756
1012966279.6181355	53.337447329712866
1013269813.0120307	53.35347343573324
1013573437.3591226	53.36950434394541
1013877152.686665	53.385540055788326
1014180959.0219244	53.40158089374294
1014484856.3921626	53.417627443627154
1014788844.8246621	53.43367880182913
1015092924.3467097	53.44973496978966
1015397094.9856002	53.46579594894998
1015701356.7686367	53.48186174075176
1016005709.7231301	53.49793234663711
1016310153.8763999	53.51400860702787
1016614689.2557777	53.53009007056603
1016919315.8885912	53.546176352883556
1017224033.802188	53.56226745542456
1017528843.0239207	53.57836337963345
1017833743.5811493	53.59446412695502
1018138735.5012424	53.61056984765478
1018443818.8115767	53.626681475116555
1018748993.5395371	53.64279793039645
1019054259.7125208	53.65891921494134
1019359617.357921	53.67504533019787
1019665066.5031512	53.691176277613756
1019970607.1756293	53.70731205863696
1020276239.4027811	53.723453380703454
1020581963.212041	53.73960007209884
1020887778.6308511	53.75575160181916
1021193685.6866623	53.771907971314256
1021499684.4069334	53.78806918203435
1021805774.8191355	53.804235235430305
1022111956.9507358	53.82040617266104
1022418230.8292217	53.83658316352354
1022724596.4820852	53.852765001790175
1023031053.9368263	53.86895168891347
1023337603.2209533	53.88514322634638
1023644244.3619826	53.901339615542284
1023950977.387439	53.917540857955004
1024257802.3248595	53.9337475894962
1024564719.2017772	53.94995979583021
1024871728.0457457	53.966176860120605
1025178828.8843229	53.982398783823086
1025486021.7450744	53.99862556839373
1025793306.6555749	54.014857215289105
1026100683.6434066	54.0310937259662
1026408152.7361606	54.04733634719995
1026715713.96144	54.06358384335885
1027023367.3468436	54.07983620804844
1027331112.9199915	54.0960934427278
