# Frequency (Hz)	Imaginary Part (Ohm)
1000000000.0	4453.082361023018
1000299648.0731912	4453.830626031661
1000599385.9353502	4454.579115256473
1000899213.613382	4455.327828764639
1001199131.1341999	4456.076766623365
1001499138.524729	4456.825928899888
1001799235.8118906	4457.575315661433
1002099423.0226262	4458.324926975278
1002399700.1838809	4459.074762908707
1002700067.3226085	4459.82482352903
1003000524.4657704	4460.575108903572
1003301071.6403363	4461.325619099682
1003601708.873284	4462.076354184725
1003902436.1916034	4462.8273142261
1004203253.6222801	4463.578499291194
1004504161.1923205	4464.329909447446
1004805158.9287343	4465.081544762304
1005106246.8585398	4465.833405303234
1005407425.0087634	4466.585491137728
1005708693.4064394	4467.3378023332925
1006010052.0786104	4468.090338957458
1006311501.0523309	4468.843101077782
1006613040.3546513	4469.596088761816
1006914670.0126427	4470.3493020771575
1007216390.05338	4471.1027410914185
1007518200.5039461	4471.856405872228
1007820101.3914322	4472.610296487236
1008122092.7429374	4473.364413004116
1008424174.5855694	4474.1187554905555
1008726346.9464434	4474.873324014269
1009028609.8526872	4475.628118642996
1009330963.3314245	4476.38313944447
1009633407.4097989	4477.13838648647
1009935942.1149588	4477.893859836793
1010238567.47406	4478.6495595632505
1010541283.5142671	4479.405485733673
1010844090.2627523	4480.161638415917
1011146987.7466962	4480.918017677855
1011449975.9932919	4481.674623587392
1011753055.0297275	4482.431456212421
1012056224.8832124	4483.188515620888
1012359485.5809599	4483.945801880749
1012662837.1501911	4484.703315059977
1012966279.6181355	4485.46105522657
1013269813.0120307	4486.219022448545
1013573437.3591226	4486.977216793937
1013877152.686665	4487.735638330803
1014180959.0219244	4488.494287127233
1014484856.3921626	4489.253163251302
1014788844.8246621	4490.012266771139
1015092924.3467097	4490.771597754883
1015397094.9856002	4491.531156270694
1015701356.7686367	4492.29094238675
1016005709.7231301	4493.050956171252
1016310153.8763999	4493.81119769242
1016614689.2557777	4494.571667018506
1016919315.8885912	4495.332364217749
1017224033.802188	4496.093289358443
1017528843.0239207	4496.8544425088885
1017833743.5811493	4497.615823737408
1018138735.5012424	4498.377433112348
1018443818.8115767	4499.139270702069
1018748993.5395371	4499.901336574954
1019054259.7125208	4500.663630799421
1019359617.357921	4501.426153443874
1019665066.5031512	4502.1889045767675
1019970607.1756293	4502.951884266568
1020276239.4027811	4503.715092581762
1020581963.212041	4504.478529590859
1020887778.6308511	4505.242195362383
1021193685.6866623	4506.006089964884
1021499684.4069334	4506.770213466933
1021805774.8191355	4507.534565937125
1022111956.9507358	4508.299147444052
1022418230.8292217	4509.063958056355
1022724596.4820852	4509.828997842684
1023031053.9368263	4510.594266871711
1023337603.2209533	4511.359765212127
1023644244.3619826	4512.125492932647
1023950977.387439	4512.891450102004
1024257802.3248595	4513.657636788959
1024564719.2017772	4514.424053062269
1024871728.0457457	4515.190698990738
1025178828.8843229	4515.957574643184
1025486021.7450744	4516.72468008844
1025793306.6555749	4517.487044745852
1026100683.6434066	4518.245042100086
1026408152.7361606	4519.0032665867675
1026715713.96144	4519.761718273965
1027023367.3468436	4520.5203972297395
1027331112.9199915	4521.2793035222
1027638950.7085073	4522.038437219469
1027946880.7400234	4522.79779838969
1028254903.0421801	4523.55738710102
1028563017.642626	4524.317203421645
1028871224.5690184	4525.077247419766
1029179523.8490224	4525.837519163606
1029487915.5103158	4526.59801872142
1029796399.5805721	4527.358746161452
1030104976.0874857	4528.119701551994
1030413645.0587549	4528.880884961353
1030722406.5220867	4529.642296457854
1031031260.5051961	4530.403936109843
1031340207.0358064	4531.165803985687
1031649246.1416492	4531.92790015377
1031958377.850469	4532.690224682513
1032267602.1900054	4533.452777640321
1032576919.1880194	4534.2155590956545
1032886328.8722758	4534.978569116982
1033195831.270548	4535.741807772791
1033505426.4106174	4536.5052751315925
1033815114.320274	4537.268971261918
1034124895.027316	4538.0328962323165
1034434768.5595499	4538.7970501113605
1034744734.9447951	4539.561432967653
1035054794.2108661	4540.326044869785
1035364946.3855987	4541.0908858863995
1035675191.4968328	4541.855956086151
1035985529.5724168	4542.621255537714
1036295960.6402072	4543.386784309784
