# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	-23845694.52231612
1001.6827065769118	-23845690.397813313
1003.3682446552465	-23845686.266370177
1005.0566189995923	-23845682.12797503
1006.7478343825505	-23845677.982616186
1008.4418955847577	-23845673.830281913
1010.1388073948916	-23845669.670960486
1011.8385746096877	-23845665.50464014
1013.5412020339566	-23845661.331309095
1015.2466944805891	-23845657.150955558
1016.9550567705795	-23845652.96356771
1018.666293733031	-23845648.769133724
1020.3804102051729	-23845644.567641735
1022.0974110323771	-23845640.359079868
1023.8173010681647	-23845636.143436227
1025.5400851742281	-23845631.920698892
1027.2657682204374	-23845627.69085593
1028.9943550848573	-23845623.453895383
1030.7258506537637	-23845619.209805276
1032.4602598216507	-23845614.958573606
1034.1975874912525	-23845610.70018837
1035.9378385735504	-23845606.434637513
1037.681017987789	-23845602.16190899
1039.4271306614933	-23845597.881990716
1041.176181530477	-23845593.59487059
1042.9281755388622	-23845589.300536506
1044.6831176390879	-23845584.99897632
1046.4410127919268	-23845580.69017787
1048.201865966502	-23845576.374128968
1049.9656821402941	-23845572.05081743
1051.7324662991632	-23845567.720231026
1053.5022234373564	-23845563.38235751
1055.2749585575245	-23845559.037184633
1057.0506766707394	-23845554.6847001
1058.8293827965012	-23845550.32489162
1060.6110819627604	-23845545.957746856
1062.3957792059248	-23845541.583253466
1064.1834795708767	-23845537.201399095
1065.9741881109915	-23845532.81217134
1067.7679098881429	-23845528.41555781
1069.564649972727	-23845524.011546064
1071.3644134436674	-23845519.60012366
1073.1672053884383	-23845515.181278132
1074.9730309030715	-23845510.754996978
1076.7818950921737	-23845506.32126769
1078.593803068945	-23845501.880077735
1080.4087599551851	-23845497.431414567
1082.2267708813138	-23845492.975265604
1084.0478409863858	-23845488.51161825
1085.8719754180995	-23845484.040459882
1087.6991793328195	-23845479.561777867
1089.5294578955834	-23845475.07555955
1091.3628162801233	-23845470.58179224
1093.199259668875	-23845466.080463238
1095.0387932529936	-23845461.57155982
1096.881422232374	-23845457.055069245
1098.7271518156556	-23845452.53097873
1100.5759872202475	-23845447.999275513
1102.4279336723341	-23845443.45994676
1104.2829964068947	-23845438.91297965
1106.1411806677204	-23845434.358361334
1108.0024917074218	-23845429.796078924
1109.8669347874525	-23845425.22611954
1111.7345151781162	-23845420.648470245
1113.605238158585	-23845416.063118115
1115.4791090169178	-23845411.47005018
1117.3561330500672	-23845406.869253464
1119.2363155639032	-23845402.260714956
1121.119661873221	-23845397.644421626
1123.0061773017592	-23845393.020360433
1124.8958671822174	-23845388.388518304
1126.7887368562647	-23845383.748882137
1128.6847916745628	-23845379.101438828
1130.5840369967739	-23845374.446175233
1132.4864781915785	-23845369.783078197
1134.3921206366952	-23845365.112134535
1136.3009697188863	-23845360.43333105
1138.2130308339836	-23845355.746654507
1140.1283093868944	-23845351.052091666
1142.046810791622	-23845346.349629253
1143.968540471282	-23845341.63925397
1145.8935038581121	-23845336.920952514
1147.8217063934947	-23845332.194711536
1149.753153527965	-23845327.460517682
1151.6878507212305	-23845322.71835757
1153.6258034421885	-23845317.968217798
1155.5670171689346	-23845313.21008493
1157.5114973887871	-23845308.44394552
1159.459249598294	-23845303.6697861
1161.4102793032532	-23845298.887593165
1163.3645920187298	-23845294.09735321
1165.3221932690647	-23845289.29905268
1167.2830885878998	-23845284.492678024
1169.2472835181845	-23845279.678215645
