# Frequency (Hz)	Real Part (Ohm/m)
1000.0	-92266.47343978977
1018.6101701559753	-93983.56820995988
1037.566678745186	-95732.61840597683
1056.875971184804	-97514.21872375294
1076.544612842316	-99328.97492659293
1096.5792912678098	-101177.5040511592
1116.9868184678226	-103060.43461727198
1137.7741332214914	-104978.40684161212
1158.9483034398106	-106932.07285540155
1180.5165285688056	-108922.09692613567
1202.4861420374123	-110949.15568344052
1224.8646137509306	-113013.93834913494
1247.6595526308697	-115117.1469715732
1270.8787092020582	-117259.49666434841
1294.529978227916	-119441.71584943992
1318.6214013947485	-121664.54650488347
1343.1611700460153	-123928.74441705273
1368.1576279674719	-126235.07943763437
1393.6192742241421	-128584.33574538569
1419.5547660501015	-130977.31211276428
1445.9729217920196	-133414.82217751897
1472.8827239075017	-135897.69471933556
1500.2933220192183	-138426.77394163114
1528.2140360258693	-141002.91975859148
1556.654359271062	-143627.00808755215
1585.6239617711371	-146299.9311468189
1615.1326935030913	-149022.59775903268
1645.1905877536624	-151795.93366017754
1675.8078645307671	-154620.88181434246
1706.994934038408	-157498.40273433828
1738.7624002162504	-160429.47480828248
1771.1210643450886	-163415.0946322623
1804.0819287193829	-166456.2773491874
1837.6562003881704	-169554.05699394978
1871.8552949655793	-172709.48684500708
1906.690840512252	-175923.63978250773
1942.1746814890264	-179197.60865308266
1978.3188827841643	-182532.5066414242
2015.1357338155585	-185929.46764878178
2052.6377527092523	-189389.64667849938
2090.83769055575	-192914.2202287301
2129.748535745521	-196504.3866924581
2169.3835183851843	-200161.36676496413
2209.756114795903	-203886.4038588767
2250.880052095462	-207680.76452694414
2292.7693128656488	-211545.7388926774
2335.438139906479	-215482.6410890057
2378.9010410788933	-219492.80970509493
2423.1727942376006	-223577.60824148377
2468.2684522556924	-227738.42557368756
2514.2033481427966	-231976.67642443173
2560.9931002584594	-236293.8018446721
2608.6536176225477	-240691.26970356755
2657.201105324507	-245170.5751875728
2706.652070033241	-249733.2413088156
2757.0233256095826	-254380.81942293968
2808.3319988231724	-259114.88975658113
2860.595535175742	-263937.0619446618
2913.8317048327885	-268848.9755776842
2968.058608665602	-273852.3007592083
3023.2946844057765	-278948.73867370636
3079.5587129142264	-284140.0221649827
3136.8698245668766	-289427.9163253595
3195.2475057592137	-294814.21909582795
3254.711605531848	-300300.76187736605
3315.282342319423	-305889.41015363677
3376.9803108250912	-311582.064125271
3439.8264890229248	-317380.65935595613
3503.8422452906757	-323287.16743055015
3569.0493456752297	-329303.5966254398
3635.4699612933177	-335431.9925913778
