# Frequency (Hz)	Imaginary Part (Ohm)
1.0	1.2055715972791127e-08
1.0023749527677872	1.2084353288992558e-08
1.0047555459362236	1.211305861746736e-08
1.0071417929009945	1.2141832119741479e-08
1.0095337070895987	1.2170673957724457e-08
1.0119313019614258	1.2199584293710387e-08
1.0143345910078294	1.2228563290378779e-08
1.0167435877522057	1.225761111079552e-08
1.0191583057500677	1.2286727918413756e-08
1.0215787585891223	1.2315913877074836e-08
1.0240049598893461	1.2345169151009217e-08
1.026436923303063	1.23744939048374e-08
1.0288746625150207	1.2403888303570853e-08
1.031318191242467	1.2433352512612937e-08
1.0337675232352275	1.2462886697759835e-08
1.0362226722757835	1.2492491025201488e-08
1.0386836521793485	1.2522165661522542e-08
1.0411504767939472	1.2551910773703257e-08
1.043623160000492	1.2581726529120474e-08
1.046101715712862	1.2611613095548546e-08
1.0485861578779812	1.2641570641160274e-08
1.0510765004758968	1.2671599334527864e-08
1.0535727575198581	1.2701699344623886e-08
1.0560749430563952	1.2731870840822197e-08
1.0585830711653976	1.276211399289891e-08
1.0610971559601945	1.2792428971033353e-08
1.0636172115876334	1.2822815945809025e-08
1.0661432522281595	1.2853275088214542e-08
1.0686752920958964	1.2883806569644622e-08
1.0712133454387254	1.291441056190103e-08
1.0737574265383656	1.2945087237193547e-08
1.076307549710455	1.2975836768140964e-08
1.0788637293046301	1.3006659327772008e-08
1.0814259797046073	1.3037555089526356e-08
1.0839943153282638	1.3068524227255601e-08
1.0865687506277182	1.3099566915224207e-08
1.0891493000894126	1.3130683328110527e-08
1.0917359782341935	1.3161873641007754e-08
1.0943287996173936	1.3193138029424924e-08
1.0969277788289142	1.3224476669287897e-08
1.0995329304933066	1.3255889736940355e-08
1.1021442692698549	1.3287377409144777e-08
1.1047618098526581	1.3318939863083451e-08
1.107385566970713	1.3350577276359465e-08
1.110015555387998	1.3382289826997706e-08
1.1126517899035535	1.3414077693445856e-08
1.1152942853515684	1.3445941054575414e-08
1.1179430566014612	1.3477880089682672e-08
1.1205981185579654	1.3509894978489765e-08
1.1232594861612117	1.3541985901145635e-08
1.1259271743868136	1.3574153038227092e-08
1.1286011982459503	1.3606396570739788e-08
1.1312815727854524	1.363871668011927e-08
1.133968313087886	1.3671113548231979e-08
1.136661434271637	1.3703587357376277e-08
1.1393609514909975	1.3736138290283487e-08
1.1420668799362497	1.3768766530118898e-08
1.1447792348337522	1.3801472260482812e-08
1.147498031446026	1.3834255665411575e-08
1.150223285071839	1.3867116929378613e-08
1.1529550110462938	1.3900056237295465e-08
1.1556932247409122	1.3933073774512818e-08
1.1584379415637236	1.3966169726821575e-08
1.16118917695935	1.3999344280453872e-08
1.1639469464090941	1.4032597622084136e-08
1.1667112654310259	1.4065929938830142e-08
1.1694821495800698	1.4099341418254059e-08
1.1722596144480928	1.4132832248363513e-08
1.1750436756639915	1.4166402617612631e-08
1.1778343488937804	1.4200052714903108e-08
1.1806316498406806	1.4233782729585285e-08
1.1834355942452068	1.4267592851459187e-08
1.1862461978852574	1.4301483270775617e-08
1.189063476576202	1.43354541782372e-08
1.1918874461709712	1.4369505764999484e-08
1.194718122560146	1.4403638222671998e-08
1.1975555216720457	1.4437851743319332e-08
1.2003996594728195	1.447214651946222e-08
1.2032505519665353	1.4506522744078636e-08
1.2061082151952696	1.4540980610604844e-08
1.2089726652391986	1.4575520312936536e-08
1.2118439182166874	1.4610142045429873e-08
1.2147219902843822	1.4644846002902625e-08
1.2176068976373	1.467963238063523e-08
1.2204986565089206	1.4714501374371913e-08
1.223397283171277	1.474945318032178e-08
1.226302793935048	1.4784487995159925e-08
1.2292152051496492	1.481960601602854e-08
1.2321345332033253	1.4854807440538017e-08
1.2350607945232428	1.4890092466768061e-08
1.2379940055755814	1.4925461293268817e-08
1.240934182865627	1.496091411906196e-08
1.2438813429378655	1.499645114364184e-08
1.2468355023760747	1.5032072566976616e-08
1.249796677803418	1.5067778589509327e-08
1.2527648858825384	1.510356941215908e-08
1.2557401433156519	1.5139445236322146e-08
1.2587224668446408	1.5175406263873106e-08
1.2617118732511494	1.5211452697165983e-08
1.2647083793566771	1.524758473903537e-08
1.267712002022674	1.528380259279761e-08
1.2707227581506348	1.5320106462251878e-08
1.273740664682195	1.5356496551681394e-08
1.2767657385992248	1.5392973065854514e-08
1.279797996923927	1.5429536210025936e-08
1.28283745671893	1.5466186189937802e-08
1.2858841350873857	1.5502923211820903e-08
1.288938049173065	1.55397474823958e-08
1.291999216160455	1.5576659208874025e-08
1.2950676532748542	1.561365859895921e-08
1.298143377782471	1.5650745860848287e-08
1.30122640699052	1.5687921203232638e-08
1.3043167582473199	1.572518483529927e-08
1.3074144489423907	1.5762536966732028e-08
1.3105194965065512	1.5799977807712707e-08
1.3136319184120187	1.5837507568922306e-08
1.3167517321725049	1.5875126461542164e-08
1.3198789553433166	1.5912834697255167e-08
1.3230136055214532	1.5950632488246947e-08
1.3261557003457065	1.5988520047207056e-08
1.3293052574967592	1.6026497587330188e-08
1.3324622946972853	1.6064565322317344e-08
1.3356268297120486	1.6102723466377075e-08
1.3387988803480042	1.6140972234226652e-08
1.341978464454397	1.6179311841093296e-08
1.3451655999228638	1.6217742502715385e-08
1.3483603046875328	1.6256264435343666e-08
1.3515625967251248	1.629487785574246e-08
1.3547724940550547	1.63335829811909e-08
1.3579900147395327	1.6372380029484156e-08
1.3612151768836658	1.6411269218934634e-08
1.3644479986355598	1.645025076837324e-08
1.3676884981864208	1.6489324897150574e-08
1.3709366937706595	1.65284918251382e-08
1.374192603665991	1.656775177272985e-08
1.3774562461935402	1.66071049608427e-08
1.3807276397179433	1.664655161091858e-08
1.384006802647452	1.668609194492524e-08
1.3872937534340357	1.6725726185357585e-08
1.3905885105734879	1.6765454555238945e-08
1.3938910926055272	1.680527727812231e-08
1.3972015181139048	1.6845194578091614e-08
1.4005198057265058	1.6885206679762957e-08
1.4038459741154568	1.6925313808285916e-08
1.4071800419972291	1.696551618934476e-08
1.4105220281327455	1.700581404915978e-08
1.413871951327484	1.7046207614488498e-08
1.417229830431586	1.7086697112627e-08
1.42059568433996	1.7127282771411165e-08
1.4239695319923897	1.7167964819217997e-08
1.4273513923736398	1.7208743484966864e-08
1.4307412845135625	1.7249618998120824e-08
1.4341392274872053	1.7290591588687876e-08
1.4375452404149183	1.73316614872223e-08
1.440959342462461	1.737282892482592e-08
1.444381552841111	1.7414094133149427e-08
1.4478118908077717	1.7455457344393647e-08
1.451250375665081	1.7496918791310906e-08
1.454697026761519	1.7538478707206265e-08
1.458151863491518	1.7580137325938917e-08
1.4616149052955711	1.762189488192343e-08
1.4650861716603418	1.7663751610131102e-08
1.4685656821187734	1.770570774609128e-08
1.4720534562501986	1.7747763525892682e-08
1.4755495136804508	1.778991918618473e-08
1.4790538740819732	1.783217496417886e-08
1.4825665571739306	1.78745310976499e-08
1.4860875827223194	1.7916987824937355e-08
1.4896169705400801	1.795954538494679e-08
1.493154740487207	1.8002204017151163e-08
1.4967009124708617	1.8044963961592163e-08
1.500255506445484	1.808782545888156e-08
1.5038185424129047	1.8130788750202573e-08
1.507390040422458	1.8173854077311226e-08
1.510970020571094	1.821702168253769e-08
1.514558503003493	1.826029180878767e-08
1.5181555079121767	1.8303664699543744e-08
1.5217610555376242	1.8347140598866766e-08
1.5253751661683839	1.8390719751397222e-08
1.5289978601411893	1.843440240235659e-08
1.5326291578410725	1.8478188797548765e-08
1.5362690797014784	1.8522079183361392e-08
1.5399176462043813	1.8566073806767283e-08
1.5435748778803988	1.86101729153258e-08
1.5472407953089076	1.8654376757184245e-08
1.5509154191181598	1.869868558107926e-08
1.5545987699853983	1.8743099636338216e-08
1.5582908686369736	1.8787619172880646e-08
1.5619917358484605	1.88322444412196e-08
1.5657013924447747	1.8876975692463115e-08
1.5694198593002895	1.8921813178315575e-08
1.573147157338955	1.896675715107916e-08
1.5768833075344137	1.901180786365526e-08
1.58062833091012	1.9056965569545875e-08
1.5843822485394579	1.9102230522855087e-08
1.5881450815458595	1.9147602978290446e-08
1.5919168511029245	1.9193083191164423e-08
1.5956975784345384	1.9238671417395842e-08
1.599487284814993	1.9284367913511326e-08
1.6032859915691047	1.933017293664674e-08
1.6070937200723363	1.937608674454863e-08
1.6109104917509154	1.9422109595575674e-08
1.6147363280819567	1.9468241748700145e-08
1.6185712505935814	1.9514483463509363e-08
1.6224152808650394	1.956083500020716e-08
1.6262684405268302	1.960729661961532e-08
1.6301307512608243	1.9653868583175096e-08
1.6340022348003862	1.9700551152948625e-08
1.637882912930496	1.9747344591620447e-08
1.6417728074878715	1.9794249162498958e-08
1.6456719403610927	1.98412651295179e-08
1.6495803334907229	1.9888392757237838e-08
1.653498008869434	1.9935632310847674e-08
1.657424988542129	1.99829840561661e-08
1.6613612946060667	2.003044825964313e-08
1.665306949210986	2.0078025188361583e-08
1.6692619745592299	2.0125715110038572e-08
1.6732263929058713	2.0173518293027056e-08
1.6772002265588377	2.0221435006317277e-08
1.681183497879037	2.0269465519538352e-08
1.6851762292804828	2.031761010295974e-08
1.6891784432304218	2.0365869027492777e-08
1.6931901622494583	2.0414242564692207e-08
1.6972114089116828	2.0462730986757695e-08
1.7012422058447976	2.0511334566535374e-08
1.705282575730245	2.056005357751937e-08
1.709332541303335	2.0608888293853345e-08
1.713392125353372	2.0657838990332046e-08
1.7174613507237846	2.0706905942402823e-08
1.7215402403122537	2.075608942616724e-08
1.7256288170708403	2.0805389718382547e-08
1.729727104006116	2.0854807096463303e-08
1.7338351241792918	2.090434183848291e-08
1.7379529007063481	2.0953994223175177e-08
1.7420804567581645	2.10037645299359e-08
1.7462178155606503	2.1053653038824417e-08
1.7503650003948754	2.1103660030565196e-08
1.754522034597201	2.115378578654942e-08
1.7586889415594114	2.1204030588836558e-08
1.7628657447288445	2.1254394720155958e-08
1.7670524676085255	2.1304878463908423e-08
1.7712491337572975	2.1355482104167844e-08
1.775455766789955	2.1406205925682765e-08
1.7796723903773768	2.145705021387798e-08
1.783899028246658	2.1508015254856178e-08
1.7881357041812451	2.1559101335399494e-08
1.7923824420210694	2.1610308742971196e-08
1.7966392656626806	2.1661637765717254e-08
1.8009061990593813	2.171308869246794e-08
1.8051832662213625	2.176466181273952e-08
1.8094704912158381	2.181635741673583e-08
1.8137678981671805	2.1868175795349932e-08
1.8180755112570561	2.1920117240165745e-08
1.822393354724562	2.197218204345969e-08
1.8267214528663622	2.2024370498202328e-08
1.8310598300368235	2.2076682898059996e-08
1.8354085106481535	2.21291195373965e-08
1.8397675191705374	2.218168071127472e-08
1.8441368801322766	2.223436671545833e-08
1.848516618119925	2.2287177846413395e-08
1.8529067577784297	2.23401144013101e-08
1.857307323811267	2.239317667802436e-08
1.8617183409805842	2.2446364975139575e-08
1.866139834107336	2.2499679591948244e-08
1.8705718280714272	2.255312082845366e-08
1.8750143478118502	2.2606688985371627e-08
1.8794674183268267	2.2660384364132134e-08
1.883931064673948	2.2714207266881044e-08
1.8884053119703155	2.2768157996481806e-08
1.8928901853926834	2.282223685651716e-08
1.8973857101775993	2.2876444151290836e-08
1.9018919116215454	2.293078018582927e-08
1.906408815081083	2.2985245265883317e-08
1.9109364459729936	2.3039839697929984e-08
1.9154748297744226	2.3094563789174154e-08
1.9200239920230222	2.3149417847550287e-08
1.924583958317095	2.3204402181724182e-08
1.929154754315739	2.3259517101094702e-08
1.9337364057389912	2.3314762915795536e-08
1.9383289383679716	2.3370139936696902e-08
1.9429323780450307	2.3425648475407324e-08
1.9475467506738922	2.34812888442754e-08
1.9521720822198	2.3537061356391512e-08
1.956808398709665	2.3592966325589652e-08
1.9614557262322094	2.364900406644911e-08
1.966114090938117	2.370517489429633e-08
1.9707835190401757	2.3761479125206604e-08
1.9754640368134295	2.381791707600593e-08
1.9801556705953236	2.387448906427271e-08
1.9848584467858537	2.39311954083396e-08
1.9895723918477135	2.3988036427295287e-08
1.9942975323064451	2.404501244098627e-08
1.9990338947505875	2.4102123770018653e-08
2.003781505831826	2.415937073576001e-08
2.008540392265142	2.4216753660341094e-08
2.013310580828964	2.4274272866657728e-08
2.018092098365319	2.4331928678372613e-08
2.0228849717799817	2.4389721419917115e-08
2.0276892280426257	2.4447651416493098e-08
2.0325048941869777	2.4505718994074784e-08
2.037331997310968	2.456392447941057e-08
2.042170564576883	2.4622268200024855e-08
2.0470206232115187	2.46807504842199e-08
2.0518822005063324	2.4739371661077657e-08
2.0567553238175984	2.479813206046164e-08
2.0616400205665597	2.4857032013018776e-08
2.066536318239585	2.4916071850181265e-08
2.0714442443883208	2.497525190416843e-08
2.076363826629848	2.5034572507988612e-08
2.081295092646836	2.5094033995441028e-08
2.086238070187699	2.5153636701117637e-08
2.0911927870667544	2.5213380960405062e-08
2.0961592711643755	2.5273267109486443e-08
2.10113755042715	2.5333295485343338e-08
2.1061276528680386	2.539346642575762e-08
2.1111296065665304	2.5453780269313375e-08
2.1161434396688032	2.551423735539882e-08
2.1211691803878794	2.5574838024208202e-08
2.1262068570037864	2.5635582616743692e-08
2.1312564978637156	2.569647147481736e-08
2.1363181313821817	2.5757504941053037e-08
2.1413917860411815	2.5818683358888276e-08
2.1464774903903567	2.588000707257628e-08
2.1515752730471527	2.594147642718785e-08
2.1566851626969785	2.6003091768613278e-08
2.161807188093371	2.606485344356436e-08
2.1669413780581555	2.6126761799576308e-08
2.1720877614816074	2.618881718500973e-08
2.177246367322615	2.625101994905253e-08
2.1824172246088422	2.6313370441721965e-08
2.1876003624368936	2.6375869013866537e-08
2.1927958099724756	2.643851601716801e-08
2.1980035964505618	2.6501311804143358e-08
2.203223751175558	2.6564256728146792e-08
2.208456303521467	2.6627351143371705e-08
2.2137012829320524	2.6690595404852695e-08
2.218958718921006	2.6753989868467532e-08
2.224228641072113	2.6817534890939187e-08
2.2295110790394186	2.688123082983785e-08
2.2348060625473956	2.6945078043582895e-08
2.24011362139111	2.7009076891444934e-08
2.245433785436391	2.7073227733547847e-08
2.250766584619996	2.7137530930870766e-08
2.256112048949782	2.7201986845250135e-08
2.2614702085048735	2.7266595839381773e-08
2.26684109343583	2.7331358276822838e-08
2.2722247339648196	2.7396274521993954e-08
2.2776211603857837	2.746134494018121e-08
2.2830304030646125	2.752656989753825e-08
2.2884524924393133	2.7591949761088286e-08
2.2938874590201817	2.765748489872623e-08
2.299335333389974	2.7723175679220688e-08
2.304796146204079	2.778902247221609e-08
2.3102699281906918	2.785502564823477e-08
2.315756710150984	2.7921185578679028e-08
2.3212565229592785	2.7987502635833202e-08
2.326769397563225	2.805397719286582e-08
2.33229536498397	2.8120609623831645e-08
2.3378344563163362	2.8187400303673823e-08
2.343386702728993	2.8254349608225956e-08
2.3489521354646348	2.8321457914214233e-08
2.354530785840156	2.838872559925955e-08
2.360122685246828	2.8456153041879664e-08
2.365727865150472	2.8523740621491242e-08
2.371346357091642	2.859148871841209e-08
2.376978192685799	2.8659397713863234e-08
2.382623403623488	2.872746798997108e-08
2.388282021670518	2.8795699929769576e-08
2.393954078668141	2.886409391720234e-08
2.3996396065332295	2.8932650337124866e-08
2.405338637258457	2.9001369575306632e-08
2.4110512029124798	2.9070252018433322e-08
2.416777335640113	2.9139298054108967e-08
2.4225170676625174	2.9208508070858143e-08
2.428270431277374	2.9277882458128157e-08
2.434037458859072	2.9347421606291228e-08
2.439818182858887	2.9417125906646697e-08
2.4456126358051655	2.9486995751423226e-08
2.451420850303506	2.9557031533780994e-08
2.4572428590369455	2.962723364781391e-08
2.4630786947661405	2.9697602488551856e-08
2.4689283903295536	2.9768138451962887e-08
2.4747919786436348	2.9838841934955436e-08
2.480669492703012	2.990971333538062e-08
2.486560965580672	2.99807530520344e-08
2.49246643042815	3.0051961484659865e-08
2.498385920475712	3.012333903394948e-08
2.504319469032546	3.019488610154734e-08
2.5102671094869486	3.026660309005143e-08
2.51622887530651	3.033849040301586e-08
2.522204800038305	3.041054844495318e-08
2.5281949173090816	3.048277762133664e-08
2.5341992608254507	3.055517833860247e-08
2.5402178643740725	3.062775100415216e-08
2.54625076182185	3.0700496026354765e-08
2.552297987116119	3.0773413814549184e-08
2.558359574284838	3.08465047790465e-08
2.5644355574367808	3.0919769331132255e-08
2.5705259707617274	3.099320788306876e-08
2.5766308485306566	3.106682084809745e-08
2.5827502250959404	3.114060864044118e-08
2.588884134891535	3.121457167530657e-08
2.595032612433176	3.128871036888632e-08
2.601195692318572	3.1363025138361594e-08
2.6073734092276006	3.1437516401904327e-08
2.6135657979225004	3.151218457867957e-08
2.61977289324807	3.1587030088847926e-08
2.625994730131864	3.166205335356781e-08
2.632231343584385	3.1737254794997883e-08
2.6384827686992867	3.1812634836299416e-08
2.644749040653568	3.1888193901638686e-08
2.651030194707771	3.1963932416189313e-08
2.6573262662061796	3.20398508061347e-08
2.6636372905770194	3.211594949867041e-08
2.6699633033326564	3.219222892200658e-08
2.676304340069797	3.226868950537034e-08
2.6826604364696864	3.234533167900818e-08
2.689031628298313	3.242215587418842e-08
2.6954179514066072	3.2499162523203646e-08
2.701819441730644	3.257635205937309e-08
2.7082361352918434	3.2653724917045104e-08
2.714668068197176	3.273128153159959e-08
2.7211152766393645	3.280902233945048e-08
2.727577796897087	3.2886947778048144e-08
2.7340556653351826	3.296505828588188e-08
2.740548918404855	3.304335430248241e-08
2.7470575926438765	3.312183626842425e-08
2.7535817246767973	3.3200504625328335e-08
2.7601213512151466	3.327935981586438e-08
2.766676509057643	3.3358402283753446e-08
2.773247235090402	3.34376324737704e-08
2.7798335662871376	3.351705083174642e-08
2.786435539709379	3.359665780457153e-08
2.7930531925066724	3.36764538401971e-08
2.7996865619167934	3.3756439387638334e-08
2.806335685265954	3.383661489697683e-08
2.8130005999690164	3.391698081936315e-08
2.8196813435297	3.399753760701928e-08
2.826377953540794	3.40782857132412e-08
2.833090467684368	3.4159225592401506e-08
2.8398189237319866	3.424035769995185e-08
2.846563359544918	3.432168249242556e-08
2.8533238130743515	3.440320042744025e-08
2.860100322361605	3.448491196370033e-08
2.866892925538347	3.4566817560999615e-08
2.8737016608268036	3.4648917680223895e-08
2.880526566539979	3.4731212783353576e-08
2.8873676810818676	3.4813703333466195e-08
2.894225042947672	3.4896389794739123e-08
2.9010986907240204	3.4979272632452124e-08
2.9079886630891787	3.506235231298993e-08
2.9148949988132764	3.514562930384499e-08
2.9218177367585167	3.522910407361998e-08
2.9287569158794016	3.5312777092030485e-08
2.935712575222945	3.539664882990764e-08
2.9426847539288983	3.548071975920082e-08
2.9496734912299667	3.55649903529802e-08
2.9566788264520323	3.5649461085439534e-08
2.9637007990143722	3.573413243189872e-08
2.9707394484298844	3.5819004868806524e-08
2.9777948143053075	3.5904078873743265e-08
2.9848669363414446	3.598935492542351e-08
2.991955854333385	3.607483350369871e-08
2.999061608170731	3.616051508955997e-08
3.0061842378378203	3.624640016514073e-08
3.0133237834139517	3.633248921371945e-08
3.0204802850736097	3.641878271972236e-08
3.027653783086692	3.65052811687262e-08
3.034844317818735	3.659198504746091e-08
3.042051929731142	3.66788948438124e-08
3.0492766593814093	3.6766011046825285e-08
3.056518547423356	3.685333414670563e-08
3.063777634607352	3.694086463482372e-08
3.0710539617805472	3.702860300371685e-08
3.078347569887102	3.711654974709201e-08
3.085658499968416	3.7204705359828764e-08
3.0929867931633623	3.7293070337982e-08
3.100332490708515	3.7381645178784666e-08
3.1076956339383837	3.747043038065065e-08
3.1150762642856455	3.755942644317755e-08
3.1224744232813793	3.764863386714947e-08
3.129890152555296	3.773805315453985e-08
3.137323493835977	3.7827684808514314e-08
3.1447744889511062	3.791752933343347e-08
3.1522431798277077	3.8007587234855756e-08
3.159729608492378	3.809785901954029e-08
3.167233817071526	3.818834519544971e-08
3.1747558477916087	3.827904627175304e-08
3.1822957429793703	3.836996275882859e-08
3.189853545062076	3.846109516826676e-08
3.1974292965677575	3.8552444012872945e-08
3.2050230401254454	3.864400980667048e-08
3.2126348184654123	3.873579306490342e-08
3.2202646744194166	3.8827794304039534e-08
3.2279126509209366	3.892001404177319e-08
3.235578791005416	3.9012452797028196e-08
3.243263137810508	3.9105111089960865e-08
3.250965734576314	3.919798944196279e-08
3.2586866246456268	3.9291088375663856e-08
3.2664258514641804	3.938440841493522e-08
3.274183458580886	3.9477950084892105e-08
3.281959489648086	3.957171391189698e-08
3.2897539884217917	3.966570042356233e-08
3.2975669987619325	3.9759910148753674e-08
3.3053985646326063	3.9854343617592614e-08
3.3132487301023206	3.994900136145976e-08
3.321117539344244	4.0043883912997686e-08
3.3290050366364565	4.013899180611401e-08
3.336911266362193	4.0234325575984306e-08
3.3448362730101007	4.032988575905523e-08
3.3527801011744813	4.0425672893047445e-08
3.360742795555547	4.0521687516958634e-08
3.368724400959673	4.061793017106665e-08
3.3767249622996447	4.0714401396932406e-08
3.3847445245949137	4.081110173740303e-08
3.392783132971853	4.090803173661492e-08
3.4008408326640067	4.100519193999672e-08
3.4089176690123453	4.110258289427245e-08
3.4170136874655253	4.12002051474646e-08
3.4251289335801376	4.1298059248897157e-08
3.433263453020972	4.139614574919876e-08
3.441417291561267	4.149446520030574e-08
3.4495904950829708	4.1593018155465234e-08
3.457783109577001	4.169180516923838e-08
3.465995181143499	4.179082679750331e-08
3.4742267559920923	4.189008359745835e-08
3.4824778804421563	4.198957612762516e-08
3.4907486009230695	4.2089304947851856e-08
3.499038963974481	4.21892706193162e-08
3.507349016246568	4.2289473704528664e-08
3.515678804500298	4.238991476733568e-08
3.524028375607697	4.249059437292283e-08
3.5323977765521075	4.2591513087817916e-08
3.5407870544284545	4.269267147989427e-08
3.549196256443515	4.2794070118373875e-08
3.557625429916176	4.289570957383059e-08
3.566074622277705	4.299759041819333e-08
3.574543881072019	4.3099713224749406e-08
3.5830332539559473	4.320207856814753e-08
3.591542788699504	4.330468702440131e-08
3.6000725331861525	4.3407539170892275e-08
3.608622535413077	4.3510635586373207e-08
3.617192843491456	4.361397685097144e-08
3.625783505646726	4.3717563546192055e-08
3.6343945702188583	4.382139625492118e-08
3.6430260856626306	4.392547556142929e-08
3.6516781005478958	4.4029802051374475e-08
3.66035066355986	4.413437631180571e-08
3.6690438234993534	4.423919893116618e-08
3.6777576292831053	4.434427049929664e-08
3.686492129944022	4.444959160743864e-08
3.695247374631459	4.455516284823794e-08
3.7040234126114973	4.466098481574775e-08
3.712820293267228	4.476705810543222e-08
3.721638066099019	4.487338331416958e-08
3.7304767807248034	4.4979961040255744e-08
3.739336486880352	4.5086791883407455e-08
3.7482172344195557	4.51938764447658e-08
3.7571190733147084	4.5301215326899524e-08
3.7660420536567836	4.540880913380847e-08
3.774986225655718	4.5516658470926906e-08
3.783951639640698	4.562476394512705e-08
3.792938346060436	4.5733126164722375e-08
3.8019463954834576	4.5841745739471035e-08
3.81097583859839	4.5950623280579374e-08
3.820026726214239	4.605975940070533e-08
3.8290991092606825	4.616915471396183e-08
3.8381930387883534	4.6278809835920354e-08
3.8473085659691244	4.638872538361425e-08
3.8564457420964047	4.6498901975542394e-08
3.865604618585418	4.660934023167247e-08
3.874785246973498	4.67200407734446e-08
3.883987678920379	4.683100422377482e-08
3.8932119662084816	4.6942231207058516e-08
3.902458160743211	4.705372234917402e-08
3.9117263145532424	4.716547827748609e-08
3.921016479790816	4.727749962084939e-08
3.9303287087320347	4.738978700961218e-08
3.9396630537771515	4.7502341075619704e-08
3.949019567450868	4.761516245221781e-08
3.9583983024026317	4.772825177425654e-08
3.967799311406927	4.784160967809365e-08
3.9772226473635763	4.7955236801598216e-08
3.986668363298039	4.806913378415426e-08
3.9961365123617028	4.8183301266664264e-08
4.005627147832192	4.8297739891552846e-08
4.01514032311366	4.841245030277036e-08
4.024676091737092	4.852743314579646e-08
4.03423450736061	4.8642689067643864e-08
4.0438156237697696	4.8758218716861886e-08
4.053419494877862	4.8874022743540065e-08
4.063046174726225	4.8990101799311925e-08
