# Frequency (Hz)	Real Part (Ohm/m)
1.0	224277063.68302387
1.0023749527677872	224767630.53604695
1.0047555459362236	225259362.4621754
1.0071417929009945	225752262.22840288
1.0095337070895987	226246332.6082943
1.0119313019614258	226741576.38200203
1.0143345910078294	227237996.3362808
1.0167435877522057	227735595.26450393
1.0191583057500677	228234375.96667898
1.0215787585891223	228734341.2494631
1.0240049598893461	229235493.92617944
1.026436923303063	229737836.8168324
1.0288746625150207	230241372.74812388
1.031318191242467	230746104.55346912
1.0337675232352275	231252035.07301238
1.0362226722757835	231759167.1536433
1.0386836521793485	232267503.6490128
1.0411504767939472	232777047.419549
1.043623160000492	233287801.33247325
1.046101715712862	233799768.2618167
1.0485861578779812	234312951.08843607
1.0510765004758968	234827352.70002985
1.0535727575198581	235342975.9911548
1.0560749430563952	235859823.8632422
1.0585830711653976	236377899.2246139
1.0610971559601945	236897204.99049905
1.0636172115876334	237417744.08305022
1.0661432522281595	237939519.43135992
1.0686752920958964	238462533.9714773
1.0712133454387254	238986790.64642432
1.0737574265383656	239512292.40621257
1.076307549710455	240039042.20785964
1.0788637293046301	240567043.0154061
1.0814259797046073	241096297.7999318
1.0839943153282638	241626809.53957292
1.0865687506277182	242158581.21953842
1.0891493000894126	242691615.83212712
1.0917359782341935	243217893.98837408
1.0943287996173936	243671946.19265878
1.0969277788289142	244127076.74948275
1.0995329304933066	244583288.2198824
1.1021442692698549	245040583.17097634
1.1047618098526581	245498964.1759801
1.107385566970713	245958433.81422034
1.110015555387998	246418994.67114973
1.1126517899035535	246880649.33836094
1.1152942853515684	247343400.41360185
1.1179430566014612	247807250.5007896
1.1205981185579654	248272202.21002585
1.1232594861612117	248738258.15761083
1.1259271743868136	249205420.96605846
1.1286011982459503	249673693.264111
1.1312815727854524	250143077.6867539
1.133968313087886	250613576.87523052
1.136661434271637	251085193.47705704
1.1393609514909975	251557930.14603743
1.1420668799362497	252031789.5422782
1.1447792348337522	252506774.33220366
1.147498031446026	252982887.18857056
1.150223285071839	253460130.7904835
1.1529550110462938	253938507.82340974
1.1556932247409122	254418020.9791943
1.1584379415637236	254898672.95607546
1.16118917695935	255380466.4586994
1.1639469464090941	255863404.19813588
1.1667112654310259	256347488.8918934
1.1694821495800698	256832723.2639341
1.1722596144480928	257319110.04468977
1.1750436756639915	257806651.9710766
1.1778343488937804	258295351.78651085
1.1806316498406806	258785212.2409245
1.1834355942452068	259276236.0907801
1.1862461978852574	259768426.09908703
1.189063476576202	260261785.0354164
1.1918874461709712	260756315.67591712
1.194718122560146	261252020.8033313
1.1975555216720457	261748903.20700982
1.2003996594728195	262246965.6829282
1.2032505519665353	262746211.0337023
1.2061082151952696	263246642.06860405
1.2089726652391986	263748261.6035772
1.2118439182166874	264251072.4612533
1.2147219902843822	264755077.47096753
1.2176068976373	265260279.46877456
1.2204986565089206	265766681.2974646
1.223397283171277	266274285.80657926
1.226302793935048	266783095.8524278
1.2292152051496492	267293114.29810303
1.2321345332033253	267804344.01349738
1.2350607945232428	268316787.87531933
1.2379940055755814	268830448.7671093
1.240934182865627	269345329.5792558
1.2438813429378655	269861433.20901227
1.2468355023760747	270378762.56051266
1.249796677803418	270897320.5447883
1.2527648858825384	271417110.0797839
1.2557401433156519	271938134.09037435
1.2587224668446408	272460395.50838083
1.2617118732511494	272983897.2725875
1.2647083793566771	273508642.32875794
1.267712002022674	274034633.629652
1.2707227581506348	274561874.135042
1.273740664682195	275090366.8117295
1.2767657385992248	275620114.6335622
1.279797996923927	276151120.58145064
1.28283745671893	276683387.6433848
1.2858841350873857	277216918.8144508
1.288938049173065	277751717.09684825
1.291999216160455	278287785.4999067
1.2950676532748542	278825127.0401028
1.298143377782471	279363744.7410769
1.30122640699052	279903641.6336507
1.3043167582473199	280444820.75584394
1.3074144489423907	280987285.1528913
1.3105194965065512	281531037.8772598
1.3136319184120187	282076081.98866606
1.3167517321725049	282622420.55409324
1.3198789553433166	283170056.64780855
1.3230136055214532	283718993.35138035
1.3261557003457065	284269233.75369567
1.3293052574967592	284820780.9509774
1.3324622946972853	285373638.04680187
1.3356268297120486	285927808.15211624
1.3387988803480042	286483294.3852561
1.341978464454397	287040099.8719628
1.3451655999228638	287598227.74540126
1.3483603046875328	288157681.1461776
1.3515625967251248	288718463.2223565
1.3547724940550547	289280577.1294793
1.3579900147395327	289844026.0305817
1.3612151768836658	290408813.0962112
1.3644479986355598	290974941.50444555
1.3676884981864208	291542414.44090986
1.3709366937706595	292111235.09879535
1.374192603665991	292681406.6788766
1.3774562461935402	293252932.38953006
1.3807276397179433	293825815.44675195
1.384006802647452	294400059.0741762
1.3872937534340357	294975666.50309277
1.3905885105734879	295552640.9724658
1.3938910926055272	296130985.7289518
1.3972015181139048	296710704.026918
1.4005198057265058	297291799.12846047
1.4038459741154568	297874274.3034227
1.4071800419972291	298458132.82941383
1.4105220281327455	299043377.9918273
1.413871951327484	299630013.083859
1.417229830431586	300218041.4065263
1.42059568433996	300807466.26868606
1.4239695319923897	301398290.9870536
1.4273513923736398	301990518.88622123
1.4307412845135625	302584153.2986772
1.4341392274872053	303179197.5648241
1.4375452404149183	303775655.03299785
1.440959342462461	304373529.05948645
1.444381552841111	304972823.00854903
1.4478118908077717	305573540.25243473
1.451250375665081	306175684.17140144
1.454697026761519	306779258.1537351
1.458151863491518	307384265.59576863
1.4616149052955711	307990709.9019012
1.4650861716603418	308598594.4846171
1.4685656821187734	309207922.7645052
1.4720534562501986	309818698.17027813
1.4755495136804508	310430924.13879156
1.4790538740819732	311044604.1150633
1.4825665571739306	311659741.55229336
1.4860875827223194	312276339.9118824
1.4896169705400801	312894402.66345227
1.493154740487207	313513933.28486454
1.4967009124708617	314134935.26224095
1.500255506445484	314757412.08998233
1.5038185424129047	315381367.2707886
1.507390040422458	316006804.31567854
1.510970020571094	316633726.7440093
1.514558503003493	317262138.0834964
1.5181555079121767	317892041.8702335
1.5217610555376242	318523441.64871246
1.5253751661683839	319156340.9718427
1.5289978601411893	319790743.4009723
1.5326291578410725	320426652.5059068
1.5362690797014784	321064071.86493015
1.5399176462043813	321703005.0648244
1.5435748778803988	322343455.70089024
1.5472407953089076	322985427.37696683
1.5509154191181598	323628923.7054523
1.5545987699853983	324273948.30732423
1.5582908686369736	324920504.8121596
1.5619917358484605	325568596.8581557
1.5657013924447747	326218228.0921503
1.5694198593002895	326869402.169642
1.573147157338955	327522122.75481135
1.5768833075344137	328176393.5205411
1.58062833091012	328832218.1484367
1.5843822485394579	329489600.32884765
1.5881450815458595	330148543.7608873
1.5919168511029245	330809052.15245485
1.5956975784345384	331471129.220255
1.599487284814993	332134778.6898199
1.6032859915691047	332800004.2955293
1.6070937200723363	333466809.7806322
1.6109104917509154	334135198.89726746
1.6147363280819567	334805175.4064853
1.6185712505935814	335476743.0782681
1.6224152808650394	336149905.6915517
1.6262684405268302	336824667.0342469
1.6301307512608243	337501030.9032605
1.6340022348003862	338179001.1045169
1.637882912930496	338858581.4529792
1.6417728074878715	339539775.77267104
1.6456719403610927	340222587.8966979
1.6495803334907229	340907021.6672685
1.653498008869434	341593080.9357169
1.657424988542129	342280769.5625238
1.6613612946060667	342970091.41733825
1.665306949210986	343661050.37899977
1.6692619745592299	344353650.33555967
1.6732263929058713	345047895.18430334
1.6772002265588377	345743788.83177215
1.681183497879037	346441335.1937851
1.6851762292804828	347140538.19546103
1.6891784432304218	347841401.7712411
1.6931901622494583	348543929.86491036
1.6972114089116828	349248126.42962015
1.7012422058447976	349953995.42791027
1.705282575730245	350661540.8317316
1.709332541303335	351370766.6224681
1.713392125353372	352081676.7909593
1.7174613507237846	352794275.33752275
1.7215402403122537	353508566.27197677
1.7256288170708403	354224553.6136625
1.729727104006116	354942241.3914671
1.7338351241792918	355661633.643846
1.7379529007063481	356382734.4188458
