time	wake_longitudinal
1e-11	-2714.384223229753
1.00138264419705e-11	-2704.5333079891475
1.0027672000990756e-11	-2694.6687724377502
1.0041536703492846e-11	-2684.790597743515
1.0055420575945395e-11	-2674.898765048361
1.0069323644853623e-11	-2664.993255468135
1.0083245936759398e-11	-2655.058663984603
1.0097187478241287e-11	-2645.107968887994
1.0111148295914602e-11	-2635.1435155205527
1.012512841643146e-11	-2625.165284859483
1.0139127866480825e-11	-2615.1732578556957
1.0153146672788562e-11	-2605.1674154337543
1.016718486211749e-11	-2595.1477384918494
1.0181242461267432e-11	-2585.1142079017686
1.0195319497075263e-11	-2575.0668045088382
1.0209415996414964e-11	-2565.005509131913
1.0223531986197675e-11	-2554.93030256332
1.0237667493371788e-11	-2544.8411655687996
1.0251822544922826e-11	-2534.7380788875907
1.026599716787375e-11	-2524.6210232322096
1.0280191389284843e-11	-2514.489979288536
1.02944052362538e-11	-2504.344927715743
1.0308638735915787e-11	-2494.1858491462654
1.0322891915443486e-11	-2484.012724185755
1.0337164802047148e-11	-2473.8255334130536
1.0351457422974647e-11	-2463.5875004529235
1.0365769805511533e-11	-2453.2854665667237
1.038010197698108e-11	-2442.9691886331507
1.0394453964744339e-11	-2432.638646957761
1.0408825796200196e-11	-2422.2938218188697
1.0423217498785417e-11	-2411.9346934675295
1.0437629099974703e-11	-2401.561242127489
1.0452060627280742e-11	-2391.1734479951506
1.0466512108254266e-11	-2380.7712912395355
1.0480983570484097e-11	-2370.3547520022425
1.0495475041597203e-11	-2359.9238103974217
1.050998654925875e-11	-2349.478446511722
1.0524518121172156e-11	-2339.0186404042583
1.0539069785079143e-11	-2328.544372106578
1.0553641568759786e-11	-2318.055621622618
1.0568233500032578e-11	-2307.5370605244357
1.0582845606754468e-11	-2297.0032849936247
1.0597477916820922e-11	-2286.4549449992014
1.061213045816598e-11	-2275.8920204036976
1.0626803258762301e-11	-2265.3144910417977
1.064149634662122e-11	-2254.7223367203073
1.0656209749792804e-11	-2244.1155372181106
1.0670943496365902e-11	-2233.494072286132
1.06856976144682e-11	-2222.857921647301
1.0700472132266276e-11	-2212.207064996509
1.0715267077965693e-11	-2201.541482000544
1.0730082479810882e-11	-2190.861152298175
1.0744918366085461e-11	-2180.166055499918
1.0759774765112105e-11	-2169.4561711881356
1.0774651705252652e-11	-2158.731478916961
1.0789549214908154e-11	-2147.991958212252
1.0804467322518932e-11	-2137.237588571561
1.0819406056564629e-11	-2126.4070543344083
1.0834365445564264e-11	-2115.546561558409
1.0849345518076294e-11	-2104.6710525850935
1.0864346302698651e-11	-2093.780506652408
1.0879367828068819e-11	-2082.874902969586
1.089441012286387e-11	-2071.9542207171166
1.0909473215800532e-11	-2061.0184390467007
1.092455713563523e-11	-2050.067537081219
1.0939661911164156e-11	-2039.1014939146835
1.0954787571223317e-11	-2028.1202886121996
1.0969934144688584e-11	-2017.1239002099253
1.0985101660475758e-11	-2006.11230771504
1.100029014754062e-11	-1995.0854901056896
