# Frequency (Hz)	Real Part (Ohm/m)
1e-05	-0.0009353553415668565
1.0054843073148261e-05	-0.000940415518518151
1.0109986922563737e-05	-0.0009455034470349119
1.016543319779595e-05	-0.0009506192793152566
1.0221183557440998e-05	-0.0009557631683919976
1.0277239669191254e-05	-0.0009609352681372289
1.03336032098852e-05	-0.0009661357332669244
1.0390275865557684e-05	-0.0009713647193455725
1.0447259331490224e-05	-0.000976622382790821
1.05045553122618e-05	-0.0009819088808781613
1.0562165521799813e-05	-0.0009872243717456302
1.0620091683431424e-05	-0.0009925690143985472
1.0678335529934991e-05	-0.0009979429687142604
1.0736898803591982e-05	-0.0010033463954469371
1.0795783256239048e-05	-0.001008779456232367
1.0854990649320517e-05	-0.0010142423135928059
1.0914522753940955e-05	-0.0010197351309418272
1.097438135091823e-05	-0.0010252580725892142
1.103456823083674e-05	-0.0010308113037458756
1.1095085194101066e-05	-0.0010363949905287922
1.1155934050989693e-05	-0.001042009299965976
1.1217116621709254e-05	-0.001047654400001474
1.127863473644893e-05	-0.0010533304595003875
1.134049023543529e-05	-0.0010590376482539324
1.1402684968987202e-05	-0.0010647761369845055
1.1465220797571276e-05	-0.0010705460973507996
1.152809959185747e-05	-0.0010763477019529346
1.1591323232775138e-05	-0.0010821811243376292
1.1654893611569162e-05	-0.0010880465390033785
1.1718812629856612e-05	-0.0010939441214056836
1.1783082199683587e-05	-0.0010998740479622954
1.1847704243582509e-05	-0.0011058364960585003
1.1912680694629486e-05	-0.0011118316440524136
1.1978013496502206e-05	-0.0011178596712803207
1.2043704603538158e-05	-0.00112392075806205
1.2109755980792949e-05	-0.0011300150857063524
1.2176169604099172e-05	-0.0011361428365163333
1.2242947460125471e-05	-0.0011423041937949029
1.231009154643607e-05	-0.0011484993418502665
1.2377603871550368e-05	-0.0011547284660014267
1.2445486455003133e-05	-0.001160991752583734
1.251374132740485e-05	-0.0011672893889544571
1.2582370530502579e-05	-0.0011736215634983965
1.2651376117240868e-05	-0.0011799884656335062
1.2720760151823269e-05	-0.0011863902858165682
1.2790524709774036e-05	-0.001192827215548886
1.2860671878000315e-05	-0.0011992994473820225
1.2931203754854411e-05	-0.0012058071749235441
1.3002122450196667e-05	-0.0012123505928428248
1.3073430085458519e-05	-0.0012189298968768622
1.3145128793706067e-05	-0.0012255452838361416
1.3217220719703721e-05	-0.0012321969516105127
1.3289708019978464e-05	-0.0012388850991751142
1.3362592862884308e-05	-0.0012456099265963244
1.3435877428667269e-05	-0.001252371635037755
1.3509563909530415e-05	-0.0012591704267662506
1.3583654509699565e-05	-0.001266006505157955
1.3658151445489154e-05	-0.0012728800747043858
1.3733056945368653e-05	-0.0012797913410185612
1.3808373250029063e-05	-0.0012867405108411382
1.3884102612450019e-05	-0.0012937277920466025
1.3960247297967276e-05	-0.0013007533936494951
1.4036809584340299e-05	-0.0013078175258106493
1.4113791761820519e-05	-0.0013149203998434886
1.4191196133219775e-05	-0.0013220622282203397
1.4269025013979325e-05	-0.0013292432245788014
1.4347280732238928e-05	-0.0013364636037281196
1.4425965628906611e-05	-0.0013437235816556225
1.4505082057728624e-05	-0.001351023375533176
1.4584632385359979e-05	-0.0013583632037236911
1.4664618991435059e-05	-0.0013657432857876414
1.4745044268638926e-05	-0.0013731638424896388
1.4825910622778827e-05	-0.0013806250958050346
1.4907220472856292e-05	-0.0013881272689265684
1.4988976251139303e-05	-0.0013956705862710297
1.5071180403235182e-05	-0.0014032552734859812
1.5153835388163678e-05	-0.0014108815574565036
1.5236943678430655e-05	-0.0014185496663119933
1.5320507760101867e-05	-0.0014262598294329698
1.5404530132877447e-05	-0.00143401227745795
1.5489013310166612e-05	-0.0014418072422903376
1.5573959819163e-05	-0.0014496449571053775
1.5659372200920045e-05	-0.0014575256563571094
1.5745253010427136e-05	-0.0014654495757853929
1.5831604816685976e-05	-0.0014734169524229564
1.5918430202787564e-05	-0.001481428024602496
1.600573176598926e-05	-0.00148948303196379
1.609351211779259e-05	-0.0014975822154608732
1.6181773884021444e-05	-0.0015057258173692561
1.6270519704900444e-05	-0.0015139140812931546
1.6359752235134053e-05	-0.001522147252172787
1.644947414398591e-05	-0.001530425576291695
1.6539688115358814e-05	-0.001538749301284126
1.663039684787482e-05	-0.0015471186761424204
1.672160305495608e-05	-0.0015555339512244703
1.681330946490596e-05	-0.0015639953782612054
1.6905518820990782e-05	-0.0015725032103641355
1.6998233881521672e-05	-0.0015810577020329006
1.7091457419937227e-05	-0.0015896591091628999
