# Frequency (Hz)	Real Part (Ohm)
1000.0	1014884551.9669285
1018.6101701559753	1002848404.5045984
1037.566678745186	990588262.2899711
1056.875971184804	978099956.742594
1076.544612842316	965379241.7040195
1096.5792912678098	952421791.9940726
1116.9868184678226	939223201.9402355
1137.7741332214914	925778983.8796773
1158.9483034398106	912084566.6333984
1180.5165285688056	898135293.9519787
1202.4861420374123	883926422.9324067
1224.8646137509306	869453122.405436
1247.6595526308697	854710471.292939
1270.8787092020582	842674973.7043746
1294.529978227916	833277836.7719612
1318.6214013947485	823705817.5222571
1343.1611700460153	813955661.3655798
1368.1576279674719	804024053.1437789
1393.6192742241421	793907616.0030483
1419.5547660501015	783602910.2457559
1445.9729217920196	773106432.1609136
1472.8827239075017	762414612.8328742
1500.2933220192183	751523816.9278619
1528.2140360258693	740430341.4579242
1556.654359271062	729130414.5218692
1585.6239617711371	717735258.1692377
1615.1326935030913	710657147.1335855
1645.1905877536624	703447311.2471774
1675.8078645307671	696103299.0881267
1706.994934038408	688622613.6131679
1738.7624002162504	681002711.3086373
1771.1210643450886	673241001.3256469
1804.0819287193829	665334844.5991722
1837.6562003881704	657281552.9507382
1871.8552949655793	649078388.1744105
1906.690840512252	640722561.1057783
1942.1746814890264	632211230.6736046
1978.3188827841643	623541502.9338348
2015.1357338155585	616636006.3872117
2052.6377527092523	611274232.3689091
2090.83769055575	605812674.8237882
2129.748535745521	600249476.7634355
2169.3835183851843	594582746.6405685
2209.756114795903	588810557.7058866
2250.880052095462	582930947.3529582
2292.7693128656488	576941916.4509112
2335.438139906479	570841428.6647071
2378.9010410788933	564627409.7627677
2423.1727942376006	558297746.9117105
2468.2684522556924	551850287.9579654
2514.2033481427966	545415532.2836648
2560.9931002584594	541405546.8549294
2608.6536176225477	537320934.9150428
2657.201105324507	533160307.6519332
2706.652070033241	528922250.4075019
2757.0233256095826	524605322.19662094
2808.3319988231724	520208055.2171841
2860.595535175742	515728954.35103905
2913.8317048327885	511166496.6556289
2968.058608665602	506519130.846178
3023.2946844057765	501785276.76823616
3079.5587129142264	496963324.8604099
3136.8698245668766	492051635.6070955
3195.2475057592137	488103526.4474934
3254.711605531848	484910086.6876442
3315.282342319423	481657216.4704814
3376.9803108250912	478343809.78508186
3439.8264890229248	474968740.0374712
3503.8422452906757	471530859.6675689
3569.0493456752297	468028999.7590072
3635.4699612933177	464461969.6416847
3703.126675869927	460828556.48692715
3772.0424934169973	457127524.8951128
3842.240846055061	453357616.47562194
3913.745601980384	449517549.4189722
3986.581073580439	445699474.8572558
4060.7720257003652	442973670.04174757
4136.343684063274	440197137.53481084
4213.321743847289	437368933.2854762
4291.732378422157	434488095.6738258
4371.602248248502	431553645.1840309
4452.958509942656	428564584.07130635
4535.828825510186	425519896.02266765
4620.241371751313	422418545.81137174
4706.224849841282	419259478.94493043
4793.808495089107	416041621.30657065
4883.02208687788	412763878.790023
4973.895958790063	409425136.92751527
5066.461008921268	406526293.99736166
5160.7487103859075	403929258.72566193
5256.791122018419	401283892.18565476
5354.620899273607	398589294.92421293
5454.271305329837	395844550.7492339
5555.7762223988775	393048726.418124
5659.170163246243	390200871.32048595
5764.488282925873	387300017.15490127
5871.766390733255	384345177.5996973
5981.040962380944	381335347.9775873
6092.349152400711	378269504.91406953
6205.7288067765	375146605.98946816
6321.218475812449	372035327.8886129
6438.857427240419	369499615.1807647
6558.685659571435	366916712.4279568
6680.743915695614	364285741.4154229
6805.073696735207	361605807.5846703
6931.7172761554075	358875999.72932047
7060.717714137772	356095389.6852897
7192.118872221193	353263032.01520187
7325.9654282152305	350377963.6869313
7462.302891391108	347439203.74616003
7601.17761795533	344445752.9828432
7742.63682681127	341396593.59146774
7886.728615614156	338290688.8249859
8033.501977124734	335568232.198716
8183.006815867389	333076852.81192476
8335.293965098195	330539108.43082213
8490.415204088747	327954136.194975
8648.423275731726	325321057.1859701
8809.37190447399	322638976.1285737
8973.31581458352	319906981.086327
9140.310748756232	317124143.15147865
9310.413487069076	314289516.12914646
9483.681866285928	311402136.2155998
9660.174799522645	308461021.67055714
9839.952296278227	305465172.48338306
10023.075482838643	302511911.58547026
10209.606623060476	300198464.25613356
10399.609139541202	297841963.27835125
10593.147635183701	295441607.41639966
10790.287915161836	292996580.52342224
10991.097009294961	290506051.2639307
11195.643194838794	287969172.8311412
11403.996019700331	285385082.65905267
11616.226326085018	282752902.1291633
11832.40627458378	280071736.27173144
12052.609368708414	277340673.4614763
12276.910479883603	274558785.1076154
12505.385872903913	271725125.3381346
12738.113231864785	269357708.4528529
12975.171686575868	267244070.6046484
13216.641839466038	265091097.59644076
13462.60579298911	262898057.39420882
13713.147177539457	260664204.3406547
13968.351179887397	258388778.90167052
14228.30457214352	256071007.4080896
14493.095741262152	253710101.79263052
14762.81471909391	251305259.3219452
15037.553212997384	248855662.32368243
15317.404637020798	246360477.9084684
15602.46414366368	243818857.6867167
15892.828656229764	241344651.87660265
16188.596901781992	239480475.86555502
16489.86944471065	237581607.22174132
16796.74872092653	235647400.30936235
17109.339072690134	233677197.47722718
17427.746784089173	231670328.8351442
17752.08011717636	229626112.02615112
18082.44934877952	227543851.99450722
18418.96680799711	225422840.74936542
18761.746914391195	223262357.12404877
19110.90621689136	221061666.53084582
19466.563433422634	218820020.71124247
19828.839491270715	216536657.4815071
20197.857568198782	214664418.93346086
