# Frequency (Hz)	Imaginary Part (Ohm)
1000.0	1181957324.833477
1018.6101701559753	1176958849.4513593
1037.566678745186	1171867351.5918593
1056.875971184804	1166681100.0908458
1076.544612842316	1161398331.5669262
1096.5792912678098	1156017249.8218825
1116.9868184678226	1150536025.2299402
1137.7741332214914	1144952794.1156785
1158.9483034398106	1139265658.1203604
1180.5165285688056	1133472683.5564687
1202.4861420374123	1127571900.7502344
1224.8646137509306	1121561303.3719225
1247.6595526308697	1115438847.753661
1270.8787092020582	1110278223.3653054
1294.529978227916	1106054330.6713192
1318.6214013947485	1101751830.615578
1343.1611700460153	1097369260.301703
1368.1576279674719	1092905129.608566
1393.6192742241421	1088357920.6836317
1419.5547660501015	1083726087.4268692
1445.9729217920196	1079008054.9650645
1472.8827239075017	1074202219.1163442
1500.2933220192183	1069306945.8447372
1528.2140360258693	1064320570.704586
1556.654359271062	1059241398.2746147
1585.6239617711371	1054101455.2663203
1615.1326935030913	1050194456.7335343
1645.1905877536624	1046214748.293254
1675.8078645307671	1042160976.8017292
1706.994934038408	1038031763.9329734
1738.7624002162504	1033825705.71012
1771.1210643450886	1029541372.028053
1804.0819287193829	1025177306.1671581
1837.6562003881704	1020732024.29802
1871.8552949655793	1016204014.9769058
1906.690840512252	1011591738.631858
1942.1746814890264	1006893627.0392224
1978.3188827841643	1002108082.7904361
2015.1357338155585	997699503.3218668
2052.6377527092523	993613590.7967614
2090.83769055575	989451638.7443211
2129.748535745521	985212232.0560039
2169.3835183851843	980893929.2878568
2209.756114795903	976495262.1704093
2250.880052095462	972014735.109447
2292.7693128656488	967450824.6774917
2335.438139906479	962801979.0958207
2378.9010410788933	958066617.7068462
2423.1727942376006	953243130.4366727
2468.2684522556924	948329877.2476561
2514.2033481427966	943355770.639629
2560.9931002584594	938875562.3110412
2608.6536176225477	934311976.5431248
2657.201105324507	929663461.6675454
2706.652070033241	924928437.1391594
2757.0233256095826	920105292.9986074
2808.3319988231724	915192389.3249127
2860.595535175742	910188055.6778908
2913.8317048327885	905090590.5301803
2968.058608665602	899898260.688707
3023.2946844057765	894609300.7053779
3079.5587129142264	889221912.2768108
3136.8698245668766	883734263.6328918
3195.2475057592137	878490857.6469649
3254.711605531848	873421763.6170622
3315.282342319423	868258332.8847264
3376.9803108250912	862998809.827873
3439.8264890229248	857641406.1519923
3503.8422452906757	852184300.2821093
3569.0493456752297	846625636.7434285
3635.4699612933177	840963525.5304531
3703.126675869927	835196041.4643621
3772.0424934169973	829321223.5384294
3842.240846055061	823337074.2512594
3913.745601980384	817241558.9276168
3986.581073580439	811097520.3333347
4060.7720257003652	805647188.2052065
4136.343684063274	800095424.4687676
4213.321743847289	794440341.4645276
4291.732378422157	788680016.4033328
4371.602248248502	782812490.7125953
4452.958509942656	776835769.3703583
4535.828825510186	770747820.2269678
4620.241371751313	764546573.3141177
4706.224849841282	758229920.1410403
4793.808495089107	751795712.9775959
4883.02208687788	745241764.1240205
4973.895958790063	738565845.1670868
5066.461008921268	732522701.0856206
5160.7487103859075	726903535.9477317
5256.791122018419	721179797.1904922
5354.620899273607	715349538.6810516
5454.271305329837	709410778.0686971
5555.7762223988775	703361496.1108314
5659.170163246243	697199635.9864082
5764.488282925873	690923102.5965923
5871.766390733255	684529761.852402
5981.040962380944	678017439.9490972
6092.349152400711	671383922.6270615
6205.7288067765	664626954.4189304
6321.218475812449	657912377.4703922
6438.857427240419	652600130.0690309
6558.685659571435	647189020.8396198
6680.743915695614	641677209.9467169
6805.073696735207	636062823.3152295
6931.7172761554075	630343951.9932084
7060.717714137772	624518651.5027848
7192.118872221193	618584941.1790243
7325.9654282152305	612540803.4964827
7462.302891391108	606384183.383223
7601.17761795533	600112987.5220695
7742.63682681127	593725083.6388586
7886.728615614156	587218299.7774408
8033.501977124734	581748231.2428061
8183.006815867389	576915636.5458463
8335.293965098195	571993106.4392809
8490.415204088747	566978967.2098346
8648.423275731726	561871513.9961425
8809.37190447399	556669010.20908
8973.31581458352	551369686.9413031
9140.310748756232	545971742.3658012
9310.413487069076	540473341.1232569
9483.681866285928	534872613.69800276
9660.174799522645	529167655.7823677
9839.952296278227	523356527.6291901
10023.075482838643	517665887.37762976
10209.606623060476	513484621.9638477
10399.609139541202	509225542.4892484
10593.147635183701	504887200.82091886
10790.287915161836	500468121.875947
10991.097009294961	495966803.11987656
11195.643194838794	491381714.0558288
11403.996019700331	486711295.70411944
11616.226326085018	481953960.0721851
11832.40627458378	477108089.61465144
12052.609368708414	472172036.6833492
12276.910479883603	467144122.9670959
12505.385872903913	462022638.92105424
12738.113231864785	457837827.0665711
12975.171686575868	454167382.1964977
13216.641839466038	450428629.7228442
13462.60579298911	446620298.42948437
13713.147177539457	442741093.44274527
13968.351179887397	438789695.7911331
14228.30457214352	434764761.95687044
14493.095741262152	430664923.4190856
14762.81471909391	426488786.18850017
15037.553212997384	422234930.3334593
15317.404637020798	417901909.4971371
15602.46414366368	413488250.40576154
15892.828656229764	409196885.2509603
16188.596901781992	405994850.7008352
16489.86944471065	402733225.7428872
16796.74872092653	399410901.389487
17109.339072690134	396026748.0145566
17427.746784089173	392579614.9694848
17752.08011717636	389068330.1918936
18082.44934877952	385491699.8071256
18418.96680799711	381848507.7223122
18761.746914391195	378137515.2128894
19110.90621689136	374357460.50141877
19466.563433422634	370507058.3285682
19828.839491270715	366584999.51611257
20197.857568198782	363366813.96817124
20573.743134329117	360488161.5934059
20956.623994804308	357555937.0081263
21346.630333242454	354569143.2243788
21743.8947560008	351526764.7000953
22148.552337263594	348427766.99379593
22560.74066496859	345271096.4128694
22980.599887588487	342055679.65530545
23408.272761782944	338780423.44476044
23843.904700937204	335444214.15883327
24287.643824604504	332045917.45041895
24739.641008868115	328584377.86202055
25200.049937640895	325238868.43016374
25669.02715491952	322689678.3346943
26146.73211801092	320093047.3777886
26633.327251749808	317448092.67694265
27128.978003724646	314753914.9190591
27633.85290053167	312009598.0546709
28148.123605075813	309214208.98647416
28671.9649749377	306366797.25206655
29205.555121827452	303466394.70077735
29749.075472144435	300512015.16448754
30302.71082866393	297502654.1223228
30866.649433372746	294437288.3591018
31441.083031472648	291314875.6174374
32026.206936576502	288772998.4903481
32622.220097116733	286476796.6242717
33229.325163989684	284137862.0507557
33847.72855945983	281755399.5068423
34477.64054734464	279328598.9295967
35119.275304507275	276856635.18067396
35772.850993678774	274338667.7657641
