# Frequency (Hz)	Imaginary Part (Ohm)
1000.0	3.2826647382309314e-05
1018.6101701559753	3.3437556981453945e-05
1037.566678745186	3.405983571218861e-05
1056.875971184804	3.469369515598666e-05
1076.544612842316	3.533935083188881e-05
1096.5792912678098	3.59970222697816e-05
1116.9868184678226	3.666693308504033e-05
1137.7741332214914	3.734931105456038e-05
1158.9483034398106	3.804438819420386e-05
1180.5165285688056	3.875240083768768e-05
1202.4861420374123	3.9473589716939255e-05
1224.8646137509306	4.020820004394831e-05
1247.6595526308697	4.095648159414137e-05
1270.8787092020582	4.171868879130807e-05
1294.529978227916	4.249508079410818e-05
1318.6214013947485	4.3285921584188096e-05
1343.1611700460153	4.409148005593771e-05
1368.1576279674719	4.49120301079172e-05
1393.6192742241421	4.57478507359855e-05
1419.5547660501015	4.6599226128162045e-05
1445.9729217920196	4.7466445761253555e-05
1472.8827239075017	4.8349804499279505e-05
1500.2933220192183	4.9249602693728944e-05
1528.2140360258693	5.016614628568308e-05
1556.654359271062	5.109974690983891e-05
1585.6239617711371	5.205072200046794e-05
1615.1326935030913	5.301939489934771e-05
1645.1905877536624	5.400609496570108e-05
1675.8078645307671	5.501115768818219e-05
1706.994934038408	5.603492479894616e-05
1738.7624002162504	5.707774438984149e-05
1771.1210643450886	5.813997103076542e-05
1804.0819287193829	5.92219658902211e-05
1837.6562003881704	6.032409685811913e-05
1871.8552949655793	6.144673867086399e-05
1906.690840512252	6.259027303876814e-05
1942.1746814890264	6.375508877583831e-05
1978.3188827841643	6.494158193197562e-05
2015.1357338155585	6.615015592763762e-05
2052.6377527092523	6.73812216910049e-05
2090.83769055575	6.863519779770165e-05
2129.748535745521	6.991251061311564e-05
2169.3835183851843	7.12135944373668e-05
2209.756114795903	7.253889165297452e-05
2250.880052095462	7.388885287527192e-05
2292.7693128656488	7.52639371056202e-05
2335.438139906479	7.666461188747414e-05
2378.9010410788933	7.809135346535149e-05
2423.1727942376006	7.954464694676181e-05
2468.2684522556924	8.10249864671477e-05
2514.2033481427966	8.253287535789656e-05
2560.9931002584594	8.406882631747867e-05
2608.6536176225477	8.56333615857697e-05
2657.201105324507	8.722701312161879e-05
2706.652070033241	8.885032278371926e-05
2757.0233256095826	9.050384251484726e-05
2808.3319988231724	9.21881345295279e-05
2860.595535175742	9.390377150519403e-05
2913.8317048327885	9.565133677690325e-05
2968.058608665602	9.74314245356776e-05
3023.2946844057765	9.924464003053527e-05
3079.5587129142264	0.0001010915997742818
3136.8698245668766	0.00010297293175313057
3195.2475057592137	0.00010488927564022575
3254.711605531848	0.000106841283013137
3315.282342319423	0.0001088296175754038
3376.9803108250912	0.00011085495538220157
3439.8264890229248	0.00011291798507020706
3503.8422452906757	0.00011501940809174324
3569.0493456752297	0.0001171599389532798
3635.4699612933177	0.00011934030545837369
3703.126675869927	0.00012156124895512985
3772.0424934169973	0.00012382352458826734
3842.240846055061	0.00012612790155587742
3913.745601980384	0.00012847516337095803
3986.581073580439	0.00013086610812781794
4060.7720257003652	0.0001333015487734366
4136.343684063274	0.000135782313383875
4213.321743847289	0.0001383092454458307
4291.732378422157	0.0001408832041434318
4371.602248248502	0.00014350506465036974
4452.958509942656	0.0001461757184274672
4535.828825510186	0.00014889607352578386
4620.241371751313	0.0001516670548953651
4706.224849841282	0.0001544896046997332
4793.808495089107	0.00015736468263623425
4883.02208687788	0.0001602932662623454
4973.895958790063	0.00016327635132805434
5066.461008921268	0.00016631495211442602
5160.7487103859075	0.00016941010177846805
5256.791122018419	0.0001725628527044161
5354.620899273607	0.00017577427686155561
5454.271305329837	0.00017904546616870256
5555.7762223988775	0.00018237753286546758
5659.170163246243	0.0001857716098904306
5764.488282925873	0.00018922885126635068
5871.766390733255	0.00019275043249254706
5981.040962380944	0.000196337550944581
6092.349152400711	0.00019999142628137676
6205.7288067765	0.00020371330085991907
6321.218475812449	0.00020750444015766713
6438.857427240419	0.00021136613320283157
6558.685659571435	0.00021529969301265674
6680.743915695614	0.0002193064570398611
6805.073696735207	0.00022338778762738667
6931.7172761554075	0.00022754507247160907
7060.717714137772	0.0002317797250941691
7192.118872221193	0.00023609318532258667
7325.9654282152305	0.00024048691977981588
7462.302891391108	0.0002449624223829142
7601.17761795533	0.0002495212148509901
7742.63682681127	0.0002541648472226024
7886.728615614156	0.00025889489838279244
8033.501977124734	0.00026371297659991973
8183.006815867389	0.0002686207200724926
8335.293965098195	0.00027361979748617216
8490.415204088747	0.0002787119085811431
8648.423275731726	0.0002838987847300447
8809.37190447399	0.00028918218952665503
8973.31581458352	0.00029456391938553327
9140.310748756232	0.00030004580415281896
9310.413487069076	0.000305629707728399
9483.681866285928	0.0003113175286996555
9660.174799522645	0.0003171112009870034
9839.952296278227	0.00032301269450144693
10023.075482838643	0.00032902401581436867
10209.606623060476	0.0003351472088397866
10399.609139541202	0.0003413843555293048
10593.147635183701	0.0003477375765800028
10790.287915161836	0.0003542090321554927
10991.097009294961	0.00036080092262039945
11195.643194838794	0.0003675154892885084
11403.996019700331	0.0003743550151848336
11616.226326085018	0.00038132182582187573
11832.40627458378	0.00038841828999031775
12052.609368708414	0.0003956468205644402
12276.910479883603	0.0004030098753225256
12505.385872903913	0.00041050995778252574
12738.113231864785	0.00041814961805329055
12975.171686575868	0.00042593145370162786
13216.641839466038	0.0004338581106355068
13462.60579298911	0.00044193228400369407
13713.147177539457	0.00045015671911213123
13968.351179887397	0.0004585342123573732
14228.30457214352	0.0004670676121773896
14493.095741262152	0.00047575982002006555
14762.81471909391	0.0004846137913297258
15037.553212997384	0.000493632536552014
15317.404637020798	0.0005028191221574822
15602.46414366368	0.0005121766716842208
15892.828656229764	0.0005217083667998949
16188.596901781992	0.0005314174483835476
16489.86944471065	0.0005413072176275294
16796.74872092653	0.0005513810371599448
17109.339072690134	0.0005616423321879792
17427.746784089173	0.0005720945916625059
17752.08011717636	0.0005827413694643693
18082.44934877952	0.0005935862856127368
18418.96680799711	0.0006046330274959528
18761.746914391195	0.0006158853511252846
19110.90621689136	0.0006273470824120084
19466.563433422634	0.0006390221184682614
19828.839491270715	0.0006509144289320974
20197.857568198782	0.0006630280573172126
20573.743134329117	0.0006753671223877814
20956.623994804308	0.000687935819558879
21346.630333242454	0.0007007384223229709
21743.8947560008	0.0007137792837029409
22148.552337263594	0.0007270628377321724
22560.74066496859	0.0007405936009621641
22980.599887588487	0.000754376173998206
23408.272761782944	0.0007684152430636374
23843.904700937204	0.0007827155815932066
24287.643824604504	0.0007972820518560986
24739.641008868115	0.0008121196066091556
25200.049937640895	0.0008272332907808651
25669.02715491952	0.000842628243186696
26146.73211801092	0.0008583096982763406
26633.327251749808	0.0008742829879134969
27128.978003724646	0.000890553543188751
27633.85290053167	0.0009071268962662103
28148.123605075813	0.0009240086822644974
28671.9649749377	0.0009412046411727478
29205.555121827452	0.0009587206198022761
29749.075472144435	0.00097656257377455
30302.71082866393	0.0009947365695461591
30866.649433372746	0.001013248786471496
31441.083031472648	0.001032105518903776
32026.206936576502	0.001051313178335206
32622.220097116733	0.001070878295576955
33229.325163989684	0.0010908075229796904
33847.72855945983	0.0011111076366954722
34477.64054734464	0.0011317855389816884
