# Frequency (Hz)	Real Part (Ohm)
1000.0	-0.8462006167351735
1018.6101701559753	-0.8461994553385047
1037.566678745186	-0.846198272328046
1056.875971184804	-0.8461970673015614
1076.544612842316	-0.8461958398493284
1096.5792912678098	-0.8461945895540007
1116.9868184678226	-0.8461933159904644
1137.7741332214914	-0.8461920187256939
1158.9483034398106	-0.8461906973186053
1180.5165285688056	-0.8461893513199066
1202.4861420374123	-0.8461879802719424
1224.8646137509306	-0.8461865837085418
1247.6595526308697	-0.8461851611548594
1270.8787092020582	-0.846183712127211
1294.529978227916	-0.8461822361329111
1318.6214013947485	-0.8461807326701065
1343.1611700460153	-0.8461792012276028
1368.1576279674719	-0.846177641284694
1393.6192742241421	-0.8461760523109816
1419.5547660501015	-0.8461744337661984
1445.9729217920196	-0.8461727851000218
1472.8827239075017	-0.8461711057518866
1500.2933220192183	-0.8461693951507968
1528.2140360258693	-0.8461676527151297
1556.654359271062	-0.8461658778524387
1585.6239617711371	-0.8461640699592511
1615.1326935030913	-0.8461622284208635
1645.1905877536624	-0.8461603526111329
1675.8078645307671	-0.8461584418922642
1706.994934038408	-0.8461564956145923
1738.7624002162504	-0.8461545131163617
1771.1210643450886	-0.8461524937235012
1804.0819287193829	-0.8461504367493964
1837.6562003881704	-0.8461483414946535
1871.8552949655793	-0.8461462072468633
1906.690840512252	-0.846144033280359
1942.1746814890264	-0.8461418188559674
1978.3188827841643	-0.8461395632207611
2015.1357338155585	-0.8461372656078003
2052.6377527092523	-0.8461349252358712
2090.83769055575	-0.8461325413092227
2129.748535745521	-0.8461301130172927
2169.3835183851843	-0.8461276395344377
2209.756114795903	-0.8461251200196452
2250.880052095462	-0.846122553616254
2292.7693128656488	-0.8461199394516586
2335.438139906479	-0.8461172766370156
2378.9010410788933	-0.8461145642669384
2423.1727942376006	-0.8461118014191935
2468.2684522556924	-0.8461089871543813
2514.2033481427966	-0.8461061205156222
2560.9931002584594	-0.8461032005282281
2608.6536176225477	-0.846100226199372
2657.201105324507	-0.8460971965177495
2706.652070033241	-0.8460941104532363
2757.0233256095826	-0.8460909669565378
2808.3319988231724	-0.8460877649588303
2860.595535175742	-0.8460845033714012
2913.8317048327885	-0.8460811810852747
2968.058608665602	-0.8460777969708383
3023.2946844057765	-0.8460743498774566
3079.5587129142264	-0.84607083863308
3136.8698245668766	-0.8460672620438484
3195.2475057592137	-0.846063618893683
3254.711605531848	-0.8460599079438725
3315.282342319423	-0.8460561279326548
3376.9803108250912	-0.8460522775747852
3439.8264890229248	-0.8460483555611003
3503.8422452906757	-0.8460443605580733
3569.0493456752297	-0.8460402912073608
3635.4699612933177	-0.8460361461253383
3703.126675869927	-0.8460319239026345
3772.0424934169973	-0.8460276231036478
3842.240846055061	-0.8460232422660597
3913.745601980384	-0.8460187799003391
3986.581073580439	-0.8460142344892336
4060.7720257003652	-0.8460096044872528
4136.343684063274	-0.8460048883201481
4213.321743847289	-0.8460000843843715
4291.732378422157	-0.8459951910465315
4371.602248248502	-0.8459902066428425
4452.958509942656	-0.8459851294785528
4535.828825510186	-0.8459799578273715
4620.241371751313	-0.8459746899308813
4706.224849841282	-0.8459693239979419
4793.808495089107	-0.845963858204077
4883.02208687788	-0.845958290690858
4973.895958790063	-0.845952619565271
5066.461008921268	-0.8459468428990717
5160.7487103859075	-0.8459409587281315
5256.791122018419	-0.8459349650517688
5354.620899273607	-0.8459288598320694
5454.271305329837	-0.8459226409931929
5555.7762223988775	-0.8459163064206662
5659.170163246243	-0.8459098539606666
5764.488282925873	-0.8459032814192893
5871.766390733255	-0.8458965865617977
5981.040962380944	-0.8458897671118697
6092.349152400711	-0.8458828207508177
6205.7288067765	-0.8458757451168052
6321.218475812449	-0.8458685378040389
6438.857427240419	-0.8458611963619566
6558.685659571435	-0.8458537182943875
6680.743915695614	-0.8458461010587079
6805.073696735207	-0.8458383420649772
6931.7172761554075	-0.845830438675052
7060.717714137772	-0.8458223882016964
7192.118872221193	-0.8458141879076612
7325.9654282152305	-0.8458058350047593
7462.302891391108	-0.845797326652912
7601.17761795533	-0.8457886599591901
7742.63682681127	-0.8457798319768226
7886.728615614156	-0.8457708397042017
8033.501977124734	-0.8457616800838574
8183.006815867389	-0.8457523500014194
8335.293965098195	-0.8457428462845598
8490.415204088747	-0.8457331657019119
8648.423275731726	-0.8457233049619742
8809.37190447399	-0.8457132607119886
8973.31581458352	-0.8457030295368017
9140.310748756232	-0.8456926079577033
9310.413487069076	-0.8456819924312444
9483.681866285928	-0.8456711793480325
9660.174799522645	-0.8456601650315018
9839.952296278227	-0.845648945736666
10023.075482838643	-0.8456375176488448
10209.606623060476	-0.8456258768823642
10399.609139541202	-0.8456140194792385
10593.147635183701	-0.8456019414078233
10790.287915161836	-0.845589638561444
10991.097009294961	-0.8455771067570002
11195.643194838794	-0.8455643417335431
11403.996019700331	-0.8455513391508283
11616.226326085018	-0.8455380945878359
11832.40627458378	-0.8455246035412728
12052.609368708414	-0.8455108614240374
12276.910479883603	-0.8454968635636615
12505.385872903913	-0.8454826052007232
12738.113231864785	-0.8454680814872241
12975.171686575868	-0.8454532874849451
13216.641839466038	-0.8454382181637664
13462.60579298911	-0.8454228683999568
13713.147177539457	-0.8454072329744307
13968.351179887397	-0.8453913065709752
14228.30457214352	-0.8453750837744414
14493.095741262152	-0.8453585590689033
14762.81471909391	-0.8453417268357841
15037.553212997384	-0.8453245813519418
15317.404637020798	-0.8453071167877284
15602.46414366368	-0.8452893272050027
15892.828656229764	-0.8452712065551161
16188.596901781992	-0.8452527486768506
16489.86944471065	-0.845233947294331
16796.74872092653	-0.8452147960148833
17109.339072690134	-0.8451952883268662
