# Frequency (Hz)	Imaginary Part (Ohm)
1000.0	334931055.9639439
1018.6101701559753	334930554.8473807
1037.566678745186	334930044.404953
1056.875971184804	334929524.463105
1076.544612842316	334928994.8450507
1096.5792912678098	334928455.3707141
1116.9868184678226	334927905.8566686
1137.7741332214914	334927346.1160731
1158.9483034398106	334926775.9586098
1180.5165285688056	334926195.19041926
1202.4861420374123	334925603.61403364
1224.8646137509306	334925001.02831095
1247.6595526308697	334924387.2283655
1270.8787092020582	334923762.0054986
1294.529978227916	334923125.1471276
1318.6214013947485	334922476.4367141
1343.1611700460153	334921815.65368944
1368.1576279674719	334921142.57338005
1393.6192742241421	334920456.96693176
1419.5547660501015	334919758.6012308
1445.9729217920196	334919047.2388252
1472.8827239075017	334918322.6378444
1500.2933220192183	334917584.5519158
1528.2140360258693	334916832.73008263
1556.654359271062	334916066.91671735
1585.6239617711371	334915286.8514348
1615.1326935030913	334914492.26900464
1645.1905877536624	334913682.8992602
1675.8078645307671	334912858.4670073
1706.994934038408	334912018.69192976
1738.7624002162504	334911163.2884951
1771.1210643450886	334910291.965857
1804.0819287193829	334909404.4277564
1837.6562003881704	334908500.3724208
1871.8552949655793	334907579.4924614
1906.690840512252	334906641.47476935
1942.1746814890264	334905686.0004084
1978.3188827841643	334904712.7445071
2015.1357338155585	334903721.37614775
2052.6377527092523	334902711.5582547
2090.83769055575	334901682.94747865
2129.748535745521	334900635.1940811
2169.3835183851843	334899567.9418146
2209.756114795903	334898480.82780164
2250.880052095462	334897373.48241216
2292.7693128656488	334896245.52913654
2335.438139906479	334895096.5844584
2378.9010410788933	334893926.25772434
2423.1727942376006	334892734.15101075
2468.2684522556924	334891519.85898817
2514.2033481427966	334890282.9687846
2560.9931002584594	334889023.0598437
2608.6536176225477	334887739.7037831
2657.201105324507	334886432.46424794
2706.652070033241	334885100.8967625
2757.0233256095826	334883744.5485796
2808.3319988231724	334882362.95852625
2860.595535175742	334880955.6568469
2913.8317048327885	334879522.1650439
2968.058608665602	334878061.9957144
3023.2946844057765	334876574.6523853
3079.5587129142264	334875059.62934375
3136.8698245668766	334873516.4114656
3195.2475057592137	334871944.4740402
3254.711605531848	334870343.2825918
3315.282342319423	334868712.2926981
3376.9803108250912	334867050.94980484
3439.8264890229248	334865358.6890379
3503.8422452906757	334863634.93500996
3569.0493456752297	334861879.1016263
3635.4699612933177	334860090.5918846
3703.126675869927	334858268.79767233
3772.0424934169973	334856413.0995597
3842.240846055061	334854522.86658937
3913.745601980384	334852597.45606196
3986.581073580439	334850636.213317
4060.7720257003652	334848638.4715108
4136.343684063274	334846603.5513897
4213.321743847289	334844530.7610589
4291.732378422157	334842419.39574736
4371.602248248502	334840268.73756796
4452.958509942656	334838078.055274
4535.828825510186	334835846.60400987
4620.241371751313	334833573.62505794
4706.224849841282	334831258.3455808
4793.808495089107	334828899.97835886
4883.02208687788	334826497.7215217
4973.895958790063	334824050.7582758
5066.461008921268	334821558.2566277
5160.7487103859075	334819019.3690996
5256.791122018419	334816433.2324428
5354.620899273607	334813798.9673427
5454.271305329837	334811115.67812085
5555.7762223988775	334808382.45243
5659.170163246243	334805598.3609439
5764.488282925873	334802762.45704156
5871.766390733255	334799873.7764852
5981.040962380944	334796931.33709204
6092.349152400711	334793934.13840103
6205.7288067765	334790881.1613325
6321.218475812449	334787771.36784124
6438.857427240419	334784603.700564
6558.685659571435	334781377.0824597
6680.743915695614	334778090.4164433
6805.073696735207	334774742.5850132
6931.7172761554075	334771332.4498705
7060.717714137772	334767858.8515325
7192.118872221193	334764320.6089386
7325.9654282152305	334760716.5190477
7462.302891391108	334757045.3564308
7601.17761795533	334753305.872853
7742.63682681127	334749496.79684937
7886.728615614156	334745616.83329326
8033.501977124734	334741664.6629552
8183.006815867389	334737638.9420546
8335.293965098195	334733538.3018031
8490.415204088747	334729361.34793866
8648.423275731726	334725106.66025215
8809.37190447399	334720772.7921038
8973.31581458352	334716358.26993185
9140.310748756232	334711861.592751
9310.413487069076	334707281.2316427
9483.681866285928	334702615.6292349
9660.174799522645	334697863.19917244
9839.952296278227	334693022.32557774
10023.075482838643	334688091.3625019
10209.606623060476	334683068.63336396
10399.609139541202	334677952.43038225
10593.147635183701	334672741.0139924
10790.287915161836	334667432.61225694
10991.097009294961	334662025.42026186
11195.643194838794	334656517.59950364
11403.996019700331	334650907.27726394
