# Frequency (Hz)	Imaginary Part (Ohm)
1000.0	1127336167.3520265
1018.6101701559753	1123491428.7896929
1037.566678745186	1119575138.9885087
1056.875971184804	1115585966.3677444
1076.544612842316	1111522554.5657263
1096.5792912678098	1107383521.9786587
1116.9868184678226	1103167461.2908647
1137.7741332214914	1098872938.9962828
1158.9483034398106	1094498494.9110603
1180.5165285688056	1090042641.6770737
1202.4861420374123	1085503864.256213
1224.8646137509306	1080880619.4152498
1247.6595526308697	1076171335.2011235
1270.8787092020582	1072234570.2806455
1294.529978227916	1069050320.1357368
1318.6214013947485	1065806810.5538125
1343.1611700460153	1062502938.706666
1368.1576279674719	1059137581.2422705
1393.6192742241421	1055709593.9028268
1419.5547660501015	1052217811.1357034
1445.9729217920196	1048661045.6971364
1472.8827239075017	1045038088.2485528
1500.2933220192183	1041347706.945383
1528.2140360258693	1037588647.0182211
1556.654359271062	1033759630.3461877
1585.6239617711371	1029882455.082113
1615.1326935030913	1026842380.6820958
1645.1905877536624	1023745729.9802073
1675.8078645307671	1020591450.0818433
1706.994934038408	1017378468.4978507
1738.7624002162504	1014105692.7798725
1771.1210643450886	1010772010.1489
1804.0819287193829	1007376287.1169192
1837.6562003881704	1003917369.1015109
1871.8552949655793	1000394080.0332799
1906.690840512252	996805221.9559807
1942.1746814890264	993149574.619197
1978.3188827841643	989425895.063446
2015.1357338155585	985880079.6733503
2052.6377527092523	982482920.2328867
2090.83769055575	979022539.077189
2129.748535745521	975497759.639379
2169.3835183851843	971907383.4564692
2209.756114795903	968250189.7618715
2250.880052095462	964524935.0703241
2292.7693128656488	960730352.7550926
2335.438139906479	956865152.6173036
2378.9010410788933	952928020.4472636
2423.1727942376006	948917617.5776126
2468.2684522556924	944832580.4281634
2514.2033481427966	940683517.2821385
2560.9931002584594	936687300.9917108
2608.6536176225477	932616714.4361384
2657.201105324507	928470373.5721319
2706.652070033241	924246868.5991218
2757.0233256095826	919944763.4799095
2808.3319988231724	915562595.4523995
2860.595535175742	911098874.5322456
2913.8317048327885	906552083.0062388
2968.058608665602	901920674.9162695
3023.2946844057765	897203075.5336838
3079.5587129142264	892397680.8238605
3136.8698245668766	887502856.9008209
3195.2475057592137	882680776.3236507
3254.711605531848	877897564.7084267
3315.282342319423	873025336.7111514
3376.9803108250912	868062435.7218076
3439.8264890229248	863007174.3005852
3503.8422452906757	857857833.6041307
3569.0493456752297	852612662.8011243
3635.4699612933177	847269878.4769768
3703.126675869927	841827664.02745
3772.0424934169973	836284169.0409925
3842.240846055061	830637508.6695777
3913.745601980384	824885762.9878385
3986.581073580439	819073163.1627901
4060.7720257003652	813727310.8618668
4136.343684063274	808281971.3399951
4213.321743847289	802735293.1230639
4291.732378422157	797085390.2807158
4371.602248248502	791330341.7851065
4452.958509942656	785468190.8577379
4535.828825510186	779496944.3041314
4620.241371751313	773414571.8361183
4706.224849841282	767219005.381524
4793.808495089107	760908138.380997
4883.02208687788	754479825.0717582
4973.895958790063	747931879.7580189
5066.461008921268	741928804.7587404
5160.7487103859075	736286474.9719188
5256.791122018419	730539140.4676881
5354.620899273607	724684847.0903902
5454.271305329837	718721604.3171977
5555.7762223988775	712647384.581315
5659.170163246243	706460122.5825827
5764.488282925873	700157714.5852545
5871.766390733255	693738017.7027032
5981.040962380944	687198849.1688179
6092.349152400711	680537985.5958388
6205.7288067765	673753162.2183807
6321.218475812449	667004692.6579517
6438.857427240419	661607789.8074296
6558.685659571435	656110449.6765436
6680.743915695614	650510803.1104172
6805.073696735207	644806946.1688818
6931.7172761554075	638996939.4791187
7060.717714137772	633078807.5762521
7192.118872221193	627050538.2316673
7325.9654282152305	620910081.768834
7462.302891391108	614655350.3663921
7601.17761795533	608284217.3482705
7742.63682681127	601794516.4605956
7886.728615614156	595184041.1351393
8033.501977124734	589616908.2457762
8183.006815867389	584690906.4354272
8335.293965098195	579673230.8931987
8490.415204088747	574562175.5553421
8648.423275731726	569356002.6079713
8809.37190447399	564052941.8961886
8973.31581458352	558651190.3222122
9140.310748756232	553148911.2323036
9310.413487069076	547544233.7922862
9483.681866285928	541835252.3514405
9660.174799522645	536020025.79456383
9839.952296278227	530096576.881968
10023.075482838643	524296793.9735965
10209.606623060476	520041575.5916265
10399.609139541202	515707166.87151784
10593.147635183701	511292094.0676023
10790.287915161836	506794856.00755495
10991.097009294961	502213923.58197814
11195.643194838794	497547739.2244878
11403.996019700331	492794716.38212585
11616.226326085018	487953238.9759125
11832.40627458378	483021660.8513631
12052.609368708414	477998305.2187783
12276.910479883603	472881464.08311665
12505.385872903913	467669397.6632598
