# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	86659618.59256977
1018.6101701559753	86371070.50287566
1037.566678745186	86077152.48413414
1056.875971184804	85777764.6010519
1076.544612842316	85472805.05852284
1096.5792912678098	85162170.16701671
1116.9868184678226	84845754.3073233
1137.7741332214914	84523449.89464085
1158.9483034398106	84195147.34199634
1180.5165285688056	83860735.02298453
1202.4861420374123	83520099.23381367
1224.8646137509306	83173124.1546451
1247.6595526308697	82819691.8102133
1270.8787092020582	82497652.16742183
1294.529978227916	82206071.7549833
1318.6214013947485	81909064.98145522
1343.1611700460153	81606530.86133434
1368.1576279674719	81298366.52975994
1393.6192742241421	80984467.207539
1419.5547660501015	80664726.16551961
1445.9729217920196	80339034.68830249
1472.8827239075017	80007282.03727594
1500.2933220192183	79669355.41296412
1528.2140360258693	79325139.91667356
1556.654359271062	78974518.51142675
1585.6239617711371	78619260.72465083
1615.1326935030913	78331735.49238081
1645.1905877536624	78038859.36661418
1675.8078645307671	77740532.76631238
1706.994934038408	77436654.25721692
1738.7624002162504	77127120.51736039
1771.1210643450886	76811826.30193612
1804.0819287193829	76490664.40751366
1837.6562003881704	76163525.63558838
1871.8552949655793	75830298.75545292
1906.690840512252	75490870.46637763
1942.1746814890264	75145125.35908689
1978.3188827841643	74792945.87651883
2015.1357338155585	74475685.04744771
2052.6377527092523	74188536.28687035
2090.83769055575	73896043.63899857
2129.748535745521	73598107.6531805
2169.3835183851843	73294627.0279708
2209.756114795903	72985498.57668689
2250.880052095462	72670617.19232455
2292.7693128656488	72349875.81182024
2335.438139906479	72023165.37964872
2378.9010410788933	71690374.8107427
2423.1727942376006	71351390.95272306
2468.2684522556924	71006098.5474256
2514.2033481427966	70658255.12468395
2560.9931002584594	70378244.81655869
2608.6536176225477	70093023.46895383
2657.201105324507	69802494.10353787
2706.652070033241	69506557.93719627
2757.0233256095826	69205114.34844378
2808.3319988231724	68898060.8432121
2860.595535175742	68585293.02000111
2913.8317048327885	68266704.53438084
2968.058608665602	67942187.06283346
3023.2946844057765	67611630.265922
3079.5587129142264	67274921.75077376
3136.8698245668766	66931947.032865666
3195.2475057592137	66626461.68746864
3254.711605531848	66349730.013183735
3315.282342319423	66067848.31535283
3376.9803108250912	65780720.75116141
3439.8264890229248	65488249.69414395
3503.8422452906757	65190335.70098966
3569.0493456752297	64886877.47773095
3635.4699612933177	64577771.845302165
3703.126675869927	64262913.70445771
3772.0424934169973	63942196.000037126
3842.240846055061	63615509.68456527
3913.745601980384	63282743.681174815
3986.581073580439	62949577.18846122
4060.7720257003652	62682311.915064216
4136.343684063274	62410072.78945253
4213.321743847289	62132767.24739006
4291.732378422157	61850301.002004646
4371.602248248502	61562578.0117293
4452.958509942656	61269500.44764713
4535.828825510186	60970968.66022847
4620.241371751313	60666881.145449
4706.224849841282	60357134.51027718
4793.808495089107	60041623.43751956
4883.02208687788	59720240.65001183
4973.895958790063	59392876.87414341
5066.461008921268	59104465.30370733
5160.7487103859075	58842606.19633712
5256.791122018419	58575873.846421845
5354.620899273607	58304177.562088504
5454.271305329837	58027424.963673
5555.7762223988775	57745521.9523099
5659.170163246243	57458372.67793782
5764.488282925873	57165879.50670954
5871.766390733255	56867942.987795204
5981.040962380944	56564461.819568224
6092.349152400711	56255332.8151614
6205.7288067765	55940450.86738241
6321.218475812449	55627203.93570178
6438.857427240419	55376208.1531957
6558.685659571435	55120541.29646875
6680.743915695614	54860116.43603489
6805.073696735207	54594845.02463551
6931.7172761554075	54324636.86713245
7060.717714137772	54049400.08984072
7192.118872221193	53769041.10929042
7325.9654282152305	53483464.60040734
7462.302891391108	53192573.46410139
7601.17761795533	52896268.79425188
7742.63682681127	52594449.844078496
7886.728615614156	52287013.99188609
8033.501977124734	52018896.89668123
8183.006815867389	51774548.74614205
8335.293965098195	51525653.23494404
8490.415204088747	51272125.73593158
8648.423275731726	51013880.04702325
8809.37190447399	50750828.361902334
8973.31581458352	50482881.24016147
9140.310748756232	50209947.576892234
9310.413487069076	49931934.571708255
9483.681866285928	49648747.697192185
9660.174799522645	49360290.666755475
9839.952296278227	49066465.40189966
10023.075482838643	48776064.5384437
10209.606623060476	48543084.260842174
10399.609139541202	48305768.180631556
10593.147635183701	48064035.60778746
10790.287915161836	47817804.350630485
10991.097009294961	47566990.68788009
11195.643194838794	47311509.34018845
11403.996019700331	47051273.44114463
11616.226326085018	46786194.507738926
11832.40627458378	46516182.410277724
12052.609368708414	46241145.34173863
12276.910479883603	45960989.78655478
12505.385872903913	45675620.488818854
12738.113231864785	45429048.88675811
12975.171686575868	45203202.03087535
13216.641839466038	44973152.12657543
13462.60579298911	44738820.95441211
13713.147177539457	44500128.83926199
13968.351179887397	44256994.623234026
14228.30457214352	44009335.63807505
14493.095741262152	43757067.677061625
14762.81471909391	43500104.96636879
15037.553212997384	43238360.135906264
15317.404637020798	42971744.18961137
15602.46414366368	42700166.475189656
15892.828656229764	42433506.068952054
16188.596901781992	42218911.6410032
16489.86944471065	42000323.57423578
16796.74872092653	41777667.5463517
17109.339072690134	41550867.85190244
17427.746784089173	41319847.37654819
17752.08011717636	41084527.57083805
18082.44934877952	40844828.42350258
18418.96680799711	40600668.434248954
18761.746914391195	40351964.586050056
19110.90621689136	40098632.31691773
19466.563433422634	39840585.49115081
19828.839491270715	39577736.3700482
20197.857568198782	39352612.91901586
20573.743134329117	39145211.57577507
20956.623994804308	38933950.45824601
21346.630333242454	38718757.73537234
21743.8947560008	38499560.2393097
22148.552337263594	38276283.44054755
22560.74066496859	38048851.42256858
22980.599887588487	37817186.85603612
23408.272761782944	37581210.97250131
23843.904700937204	37340843.53762127
24287.643824604504	37096002.82387814
24739.641008868115	36846605.58279113
25200.049937640895	36603346.5882582
25669.02715491952	36406849.6296167
26146.73211801092	36206695.82913975
26633.327251749808	36002817.13237856
27128.978003724646	35795144.21837948
27633.85290053167	35583606.476114094
28148.123605075813	35368131.98047072
28671.9649749377	35148647.46779914
29205.555121827452	34925078.31100017
29749.075472144435	34697348.494151495
30302.71082866393	34465380.58666175
30866.649433372746	34229095.71694284
31441.083031472648	33988413.5455932
32026.206936576502	33784148.032652795
32622.220097116733	33594842.176216714
33229.325163989684	33402013.305580877
33847.72855945983	33205595.856851485
34477.64054734464	33005523.045979645
35119.275304507275	32801726.8460539
35772.850993678774	32594137.964170374
36438.58983763541	32382685.81787253
37116.71819475767	32167298.511152223
37807.46663599349	31947902.81000444
38511.07002325569	31724424.11752679
39227.76758927724	31496786.44855586
39957.803018952654	31276289.67720426
40701.42453219439	31097620.43869881
41458.88496832911	30915626.135263164
42230.44187206672	30730244.88687316
43016.357581068	30541413.661906857
43816.89931514195	30349068.255713206
44632.33926710398	30153143.268781576
45462.95469532399	29953572.08450534
46309.02801799737	29750286.846531484
47170.84690917022	29543218.43568872
48048.70439655134	29332296.446486257
48942.898961145314	29117449.163175113
49853.73463873893	28898603.535363995
50781.5211232767	28714780.973766465
51726.57387216025	28543458.972599085
52689.21421350677	28368948.639838543
53669.76945540476	28191190.64009134
54668.57299720181	28010124.533722263
55685.96444286409	27825688.75630416
56722.28971644549	27637820.59768547
57777.90117970507	27446456.18066798
58853.15775191451	27251530.439288024
59948.42503189409	27052977.096693195
61064.07542232036	26850728.64260765
62200.48825634718	26644716.310377758
63358.04992658254	26446657.023924265
64537.15401646702	26285887.73542199
65738.20143409586	26122126.503104825
66961.60054853215	25955317.64638927
68207.76732865692	25785404.448466714
69477.1254846024	25612329.137019083
70770.10661181889	25436032.86457562
72087.15033782135	25256455.68850411
73428.70447166757	25073536.550629802
74795.2251562183	24887213.25647483
76187.17702322999	24697422.45411163
77605.0333513357	24504099.612622425
79049.2762269642	24307179.00015806
80520.3967082547	24143758.33334448
82018.89499202212	23990646.916301668
83545.28058382872	23834686.069734883
85100.07247122246	23675822.765275843
86683.79930019774	23514002.987689253
88296.99955494083	23349171.716507196
89940.22174092053	23181272.907321386
91614.0245713852	23010249.47272767
93318.97715733238	22836043.2629155
95055.6592010119	22658595.045896485
96824.66119303113	22477844.487364877
98626.5846131283	22293730.1301832
100462.04213468131	22118166.896495644
102331.6578330245	21975602.041382316
104236.06739764012	21830384.030057073
106175.9183482999	21682463.486831345
108151.87025522892	21531790.117126618
110164.59496336569	21378312.690373734
112214.77682079803	21221979.022593863
114303.11291144787	21062735.95865552
116430.31329208757	20900529.354201112
118597.10123376705	20735304.057237368
120804.21346773289	20567003.889383074
123052.40043592616	20395571.62676773
125342.42654613995	20220948.980574902
127675.07043192645	20078014.396827444
130051.12521734099	19943402.755140014
132471.39878661174	19806285.967895832
134936.71405883064	19666617.413909785
137447.90926775365	19524349.60436864
140005.8382468096	19379434.166684184
142611.37071941298	19231821.828046206
145265.39259467812	19081462.398669045
147968.80626863963	18928304.754726637
150722.53093107554	18772296.820969775
153527.5028780421	18613385.55302
156384.6758302248	18451516.91933397
159295.0212572123	18298527.240890466
162259.5287078087	18174330.89998248
165279.2061464897	18047823.244037423
168355.08029612005	17918961.25908924
171488.19698705408	17787701.130674485
174679.62151272458	17653998.22893527
177930.43899185772	17517807.093444336
181241.75473742394	17379081.417748168
184614.69463245457	17237774.03362231
188050.40551285836	17093836.89503355
191550.05555735278	16947221.061803903
195114.83468466165	16797876.68297029
198745.9549580986	16645752.97983473
202444.65099768018	16523079.466149634
206212.18039991445	16406914.390084624
210049.82416539153	16288587.462187877
213958.88713434216	16168058.450028926
217940.6984302958	16045286.372444969
221996.61191199525	15920229.485606797
226128.00663372796	15792845.268825354
230336.28731421314	15663090.410094447
234622.88481422624	15530920.791363986
238989.25662310526	15396291.473539483
243436.8873543108	15259156.681202326
247967.289250216	15119469.787045423
252582.00269627848	14988674.382083617
257282.5967447932	14882505.87848679
262070.66964838552	14774361.560972812
266947.8494034318	14664204.659308514
271915.7943036019	14551997.718960373
276976.1935036891	14437702.588359678
282130.76759394706	14321280.405930502
287381.2691851069	14202691.586876376
292729.4835042813	14081895.80972109
298177.22900196735	13958852.002598789
303726.35797033116	13833518.329289312
309378.7571730137	13705852.174993282
315136.34848664823	13575810.131842623
321001.08955431683	13472539.505636677
326974.9744511768	13374145.83493357
333060.03436245886	13273921.041276421
339258.33827409917	13171831.047155462
345571.9936762143	13067841.140872678
352003.14727966755	12961915.96473949
358553.9857459817	12854019.503054637
365226.7364308176	12744115.069858609
372023.6681413066	12632165.296459917
378947.09190746717	12518132.118729334
385999.3617679763	12401976.764157787
393182.87557057705	12283659.738673104
400500.07578736113	12173933.32501173
407953.4503452449	12084787.833400482
415545.53347188793	11993983.329021705
423278.90655735444	11901488.937365528
431156.19903182285	11807273.209342137
439180.0892596086	11711304.11058887
447353.3054498463	11613549.01057809
455678.6265841069	11513974.671522476
464158.8833612772	11412547.23707391
472796.9591600391	11309232.220811732
481595.7910192351	11203994.494517267
490558.37063650455	11096798.276229637
499687.7453854889	10987607.118079573
508987.01935196744	10902190.20285593
518459.3543892913	10820237.189344125
528107.971193433	10736759.016306076
537936.1503980698	10651727.300263483
547947.2336900292	10565113.129516678
558144.6249454955	10476887.054314367
568531.7913873753	10387019.076840334
579112.2647641759	10295478.641013939
589889.6425508494	10202234.622100666
600867.5891719693	10107255.316129379
612049.837247669	10010508.429112695
623440.1888627864	9911961.066066543
635042.5168595962	9821445.05276461
646860.7661546321	9747735.624568261
658898.9550799957	9672654.451371066
671161.1767496273	9596176.00476519
683651.6004510239	9518274.281254688
696374.4730628222	9438922.793414215
709334.1204987989	9358094.560882907
722534.9491787221	9275762.101190774
735981.4475265756	9191897.420414431
749678.1874966876	9106472.003658742
763629.8261282241	9019456.805361597
777841.1071286482	8930822.239417985
792316.8624866261	8840538.169120453
807062.014114949	8770914.971133908
822081.5755240541	8703590.646174729
837380.653526649	8635013.40407244
852964.4499741016	8565159.927825794
868838.2635251193	8494006.466500204
885007.4914473438	8421528.827152168
901477.6314524917	8347702.366603362
918254.2835656282	8272501.983061729
935343.1520292377	8195902.1075865915
952750.04724273	8117876.695394927
970480.8877380306	8038399.217005894
988541.7021919574	7957442.649220471
1006938.6314760271	7883787.088004593
1025677.9307444209	7823576.169981112
1044765.9715608052	7762244.716527968
1064209.2440647245	7699771.874290149
1084014.359178331	7636136.401828157
1104188.0508541602	7571316.662395692
1124737.1783647507	7505290.61658292
1145668.7286348727	7438035.814822845
1166989.8186171474	7369529.389758208
1188707.6977119034	7299748.048466347
1210829.7502320395	7228668.064539327
1233363.4979137748	7156265.270016744
