# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	21948159.506859906
1018.6101701559753	21940289.61509655
1037.566678745186	21932273.263308372
1056.875971184804	21924107.725849386
1076.5446128423157	21915790.226348873
1096.5792912678098	21907317.936767384
1116.9868184678226	21898687.97643517
1137.7741332214914	21889897.411072735
1158.9483034398106	21880943.25179314
1180.5165285688054	21871822.454085745
1202.4861420374123	21862531.91678106
1224.8646137509306	21853068.480996292
1247.6595526308697	21843428.92906131
1270.8787092020582	21833784.71352292
1294.529978227916	21824128.763497937
1318.6214013947485	21814293.114599977
1343.1611700460153	21804274.42260243
1368.1576279674719	21794069.28104206
1393.619274224142	21783674.220060796
1419.5547660501015	21773085.705225885
1445.9729217920194	21762300.136328198
1472.882723907502	21751313.846158095
1500.2933220192183	21740123.099258546
1528.2140360258693	21728724.09065502
1556.654359271062	21717112.944561776
1585.6239617711371	21705297.612004172
1615.132693503091	21693730.75564791
1645.1905877536624	21681948.638126694
1675.807864530767	21669947.25339361
1706.9949340384078	21657722.520848535
1738.7624002162504	21645270.283950683
1771.1210643450886	21632586.308805343
1804.0819287193826	21619666.282724295
1837.6562003881704	21606505.812759455
1871.8552949655793	21593100.424209237
1906.690840512252	21579445.559097093
1942.1746814890264	21565536.574621756
1978.3188827841643	21551368.741578635
2015.1357338155585	21537294.214904163
2052.6377527092523	21523267.765474048
2090.8376905557498	21508980.28143336
2129.748535745521	21494426.904883564
2169.3835183851843	21479602.68751984
2209.756114795903	21464502.588948544
2250.880052095462	21449121.474973466
2292.7693128656488	21433454.115850125
2335.438139906479	21417495.1845076
2378.9010410788933	21401239.254737288
2423.1727942376006	21384680.799347904
2468.2684522556924	21367814.188286204
2514.2033481427966	21350679.106311474
2560.9931002584594	21334096.113252968
2608.6536176225477	21317204.507871944
2657.2011053245064	21299998.54684057
2706.652070033241	21282472.379946712
2757.0233256095826	21264620.04810477
2808.3319988231724	21246435.48132957
2860.5955351757416	21227912.496672474
2913.831704832789	21209044.796119113
2968.0586086656026	21189825.964447998
3023.2946844057765	21170249.46704929
3079.5587129142264	21150308.64770293
3136.8698245668766	21129996.726315483
3195.2475057592133	21110003.989154886
3254.711605531848	21090186.466166463
3315.282342319423	21070000.135703158
3376.9803108250912	21049438.134195104
3439.8264890229243	21028493.47034024
3503.8422452906757	21007159.022727177
3569.0493456752292	20985427.53741385
3635.4699612933177	20963291.6254611
3703.126675869927	20940743.760420352
3772.0424934169973	20917776.275774542
3842.240846055061	20894381.362331416
3913.745601980384	20870551.06556833
3986.581073580439	20846401.373920646
4060.7720257003657	20823346.903309077
4136.343684063274	20799863.38507657
4213.321743847289	20775942.8345739
4291.732378422157	20751577.118556146
4371.602248248501	20726757.95241733
4452.958509942655	20701476.897373542
4535.828825510186	20675725.357593667
4620.241371751313	20649494.577276707
4706.224849841281	20622775.63767473
4793.808495089106	20595559.454060372
4883.02208687788	20567836.77263795
4973.895958790063	20539598.16739708
5066.461008921268	20512125.918979343
5160.7487103859075	20485057.872781936
5256.791122018419	20457486.085639004
5354.620899273607	20429401.18284584
5454.271305329836	20400793.615232877
5555.7762223988775	20371653.65591889
5659.170163246242	20341971.397003733
5764.488282925873	20311736.74619955
5871.766390733255	20280939.423399292
5981.040962380945	20249568.957181375
6092.349152400711	20217614.68124927
6205.7288067765	20185065.73080486
6321.218475812449	20152196.396818355
6438.8574272404185	20121307.396157395
6558.685659571435	20089843.545938186
6680.743915695614	20057794.148112636
6805.073696735206	20025148.305540156
6931.717276155407	19991894.918282516
7060.717714137772	19958022.67982975
7192.118872221193	19923520.07325581
7325.96542821523	19888375.36730271
7462.302891391108	19852576.61239174
7601.17761795533	19816111.636560503
7742.636826811269	19778968.041324314
