# Frequency (Hz)	Real Part (Ohm/m)
1000.0	966786.7861357044
1018.6101701559753	978431.403972592
1037.566678745186	990292.730128826
1056.875971184804	1002374.7975831021
1076.5446128423157	1014681.7143685392
1096.5792912678098	1027217.664969448
1116.9868184678226	1039986.9117441067
1137.7741332214914	1052993.796374006
1158.9483034398106	1066242.7413400663
1180.5165285688054	1079738.2514263326
1202.4861420374123	1093484.9152516455
1224.8646137509306	1107487.4068298244
1247.6595526308697	1121750.4871588817
1270.8787092020582	1135508.7713255193
1294.529978227916	1148783.6518369443
1318.6214013947485	1162305.5801334863
1343.1611700460153	1176079.1538164637
1368.1576279674719	1190109.056049338
1393.619274224142	1204400.0571500373
1419.5547660501015	1218957.0162129204
1445.9729217920194	1233784.8827609166
1472.882723907502	1248888.698428421
1500.2933220192183	1264273.598675503
1528.2140360258693	1279944.8145340153
1556.654359271062	1295907.674386206
1585.6239617711371	1312122.1510306264
1615.132693503091	1326849.2094498107
1645.1905877536624	1341850.3409320724
1675.807864530767	1357130.646023751
1706.9949340384078	1372695.320193222
1738.7624002162504	1388549.655597408
1771.1210643450886	1404699.042881177
1804.0819287193826	1421148.9730102108
1837.6562003881704	1437905.0391379998
1871.8552949655793	1454972.9385075725
1906.690840512252	1472358.4743886173
1942.1746814890264	1490067.5580506618
1978.3188827841643	1508106.2107729628
2015.1357338155585	1525295.678065285
2052.6377527092523	1541776.047969922
2090.8376905557498	1558563.1203627174
2129.748535745521	1575662.6030291647
2169.3835183851843	1593080.3099776125
2209.756114795903	1610822.163416099
2250.880052095462	1628894.1957659575
2292.7693128656488	1647302.5517129106
2335.438139906479	1666053.4902963294
2378.9010410788933	1685153.387037369
2423.1727942376006	1704608.7361067217
2468.2684522556924	1724426.1525326981
2514.2033481427966	1744481.0418880782
2560.9931002584594	1762390.6949620512
2608.6536176225477	1780633.649727164
2657.2011053245064	1799216.108984605
2706.652070033241	1818144.390970742
2757.0233256095826	1837424.9315054016
2808.3319988231724	1857064.286180111
2860.5955351757416	1877069.1325870699
2913.831704832789	1897446.2725896074
2968.0586086656026	1918202.634634883
3023.2946844057765	1939345.2761096398
3079.5587129142264	1960881.38573979
3136.8698245668766	1982818.2860346541
3195.2475057592133	2003403.3119751185
3254.711605531848	2022989.7662327178
3315.282342319423	2042940.727736803
3376.9803108250912	2063262.9800292559
3439.8264890229243	2083963.4328948227
3503.8422452906757	2105049.1247105245
3569.0493456752292	2126527.224838772
3635.4699612933177	2148405.036065033
3703.126675869927	2170689.997080857
3772.0424934169973	2193389.685013103
3842.240846055061	2216511.8180002565
3913.745601980384	2240064.257816669
3986.581073580439	2263780.9759656405
4060.7720257003657	2284527.9335124297
4136.343684063274	2305660.9954693825
4213.321743847289	2327187.347305272
4291.732378422157	2349114.3082116633
4371.602248248501	2371449.333591526
4452.958509942655	2394200.017594148
4535.828825510186	2417374.095697222
4620.241371751313	2440979.447337003
4706.224849841281	2465024.098587391
4793.808495089106	2489516.2248888896
4883.02208687788	2514464.1538283424
4973.895958790063	2539876.367970396
5066.461008921268	2563262.474235212
5160.7487103859075	2585312.9116495657
5256.791122018419	2607773.711456214
5354.620899273607	2630652.510569105
5454.271305329836	2653957.0880264514
5555.7762223988775	2677695.3676356906
5659.170163246242	2701875.420667668
5764.488282925873	2726505.468600951
5871.766390733255	2751593.885917224
5981.040962380945	2777149.2029486964
6092.349152400711	2803180.108778513
6205.7288067765	2829695.4541951367
6321.218475812449	2856220.330783601
6438.8574272404185	2878843.137012116
6558.685659571435	2901886.95751395
6680.743915695614	2925359.627436365
6805.073696735206	2949269.1277400507
6931.717276155407	2973623.5879127346
7060.717714137772	2998431.2887332877
7192.118872221193	3023700.6650872906
7325.96542821523	3049440.308834976
7462.302891391108	3075658.9717325596
7601.17761795533	3102365.568407931
7742.636826811269	3129569.179391716
7886.728615614156	3157279.054204769
8033.501977124735	3182153.4865038935
8183.00681586739	3205351.104700137
8335.293965098195	3228980.4345182264
8490.415204088747	3253049.5101849013
8648.423275731726	3277566.5154452305
8809.37190447399	3302539.7863451685
8973.31581458352	3327977.814065906
9140.310748756232	3353889.24781096
9310.413487069076	3380282.897746993
9483.681866285926	3407167.737999375
9660.174799522645	3434552.909703468
9839.952296278227	3462447.7241127254
10023.075482838643	3490108.618034701
10209.606623060476	3512964.071159558
10399.609139541202	3536244.8681560587
10593.1476351837	3559958.92474603
10790.287915161836	3584114.30396423
10991.097009294961	3608719.218899863
11195.643194838794	3633782.035489124
11403.99601970033	3659311.2753596953
11616.22632608502	3685315.6187282116
11832.40627458378	3711803.9073516103
12052.609368708414	3738785.147533431
12276.910479883603	3766268.513186058
12505.385872903913	3794263.3489499358
12738.113231864783	3818591.712952616
12975.171686575868	3840969.6829225947
13216.641839466038	3863764.1107214596
13462.60579298911	3886982.7467002724
13713.147177539455	3910633.4854454375
13968.351179887397	3934724.3684629644
14228.30457214352	3959263.5869126557
14493.09574126215	3984259.48439319
14762.81471909391	4009720.5597790414
15037.553212997384	4035655.4701101747
15317.404637020798	4062073.033535551
15602.46414366368	4088982.2323113787
15892.828656229764	4115349.9859664096
16188.596901781993	4136247.721244383
16489.86944471065	4157534.3669317523
16796.74872092653	4179217.1607174133
17109.339072690134	4201303.474984882
17427.746784089173	4223800.8193189865
17752.08011717636	4246716.84305921
18082.44934877952	4270059.337900534
18418.96680799711	4293836.24054272
18761.746914391195	4318055.635388859
19110.90621689136	4342725.75729416
19466.56343342263	4367854.99436589
19828.83949127071	4393451.890815412
20197.857568198782	4414723.841654881
20573.743134329114	4433923.075660232
20956.623994804308	4453479.610677287
21346.630333242454	4473400.096138673
21743.8947560008	4493691.305224083
22148.55233726359	4514360.137163242
22560.74066496859	4535413.619581715
22980.599887588487	4556858.910890372
23408.272761782944	4578703.3027193295
23843.904700937208	4600954.222397175
24287.643824604504	4623619.235476351
24739.64100886812	4646706.04830552
25200.049937640895	4668945.223590087
25669.027154919517	4685520.950735031
26146.732118010917	4702405.154982599
26633.327251749808	4719603.577144164
27128.978003724646	4737122.064868568
27633.852900531667	4754966.5746304
28148.123605075813	4773143.173755251
28671.964974937695	4791658.04248267
29205.55512182745	4810517.476067523
29749.075472144435	4829727.886920437
30302.71082866393	4849295.806788085
30866.649433372742	4869227.888974074
31441.08303147265	4889530.910601105
32026.206936576502	4905256.717724118
32622.220097116733	4919002.03695604
33229.325163989684	4933003.158917713
33847.72855945983	4947264.844141471
34477.640547344636	4961791.941753952
35119.275304507275	4976589.391124873
35772.850993678774	4991662.223546465
36438.58983763541	5007015.563944151
37116.71819475767	5022654.632619103
37807.466635993485	5038584.747023176
38511.070023255685	5054811.323566914
39227.76758927723	5071339.8794611795
39957.803018952654	5086811.40556205
40701.42453219439	5097061.736531575
41458.88496832911	5107502.827904596
42230.441872066716	5118138.229764684
43016.35758106799	5128971.558263066
