# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	46041072.3728974
1018.6101701559753	45941592.20710139
1037.566678745186	45840260.698492765
1056.875971184804	45737043.393266775
1076.5446128423157	45631905.19642749
1096.5792912678098	45524810.35985513
1116.9868184678226	45415722.47015132
1137.7741332214914	45304604.436258174
1158.9483034398106	45191418.47684689
1180.5165285688054	45076126.10747168
1202.4861420374123	44958688.12748472
1224.8646137509306	44839064.606707424
1247.6595526308697	44717214.871853806
1270.8787092020582	44603824.66090377
1294.529978227916	44498622.63409945
1318.6214013947485	44391462.779675566
1343.1611700460153	44282308.662126966
1368.1576279674719	44171123.16787754
1393.619274224142	44057868.492661275
1419.5547660501015	43942506.128668256
1445.9729217920194	43824996.85145175
1472.882723907502	43705300.70659132
1500.2933220192183	43583376.99610804
1528.2140360258693	43459184.26462661
1556.654359271062	43332680.285280176
1585.6239617711371	43204393.14493698
1615.132693503091	43096197.96344193
1645.1905877536624	42985989.25120921
1675.807864530767	42873729.53608917
1706.9949340384078	42759380.64856906
1738.7624002162504	42642903.70879508
1771.1210643450886	42524259.11335265
1804.0819287193826	42403406.52180096
1837.6562003881704	42280304.84295669
1871.8552949655793	42154912.220922634
1906.690840512252	42027186.02085623
1942.1746814890264	41897082.81447321
1978.3188827841643	41764558.365281574
2015.1357338155585	41642893.12429776
2052.6377527092523	41530535.9926098
2090.8376905557498	41416087.87558289
2129.748535745521	41299509.859624065
2169.3835183851843	41180762.30695182
2209.756114795903	41059804.842118725
2250.880052095462	40936596.338283464
2292.7693128656488	40811094.903227165
2335.438139906479	40683257.86510964
2378.9010410788933	40553041.757960506
2423.1727942376006	40420402.306900285
2468.2684522556924	40285294.41308644
2514.2033481427966	40148986.14833875
2560.9931002584594	40035338.898412734
2608.6536176225477	39919576.65382784
2657.2011053245064	39801660.05417356
2706.652070033241	39681549.00653552
2757.0233256095826	39559202.67186332
2808.3319988231724	39434579.45108491
2860.5955351757416	39307636.970962435
2913.831704832789	39178332.06968485
2968.0586086656026	39046620.78219249
3023.2946844057765	38912458.32522843
3079.5587129142264	38775799.08211173
3136.8698245668766	38636596.58722725
3195.2475057592133	38510408.075955756
3254.711605531848	38394120.45178019
3315.282342319423	38275668.695131704
3376.9803108250912	38155012.5311367
3439.8264890229243	38032110.93539938
3503.8422452906757	37906922.120052956
3569.0493456752292	37779403.51955132
3635.4699612933177	37649511.776196286
3703.126675869927	37517202.72539555
3772.0424934169973	37382431.38064625
3842.240846055061	37245151.91823901
3913.745601980384	37105317.66167744
3986.581073580439	36965030.64119478
4060.7720257003657	36848890.18475155
4136.343684063274	36730588.33465192
4213.321743847289	36610084.86699217
4291.732378422157	36487338.80929489
4371.602248248501	36362308.42657789
4452.958509942655	36234951.20716385
4535.828825510186	36105223.84822594
4620.241371751313	35973082.24106429
4706.224849841281	35838481.45610869
4793.808495089106	35701375.72764194
4883.02208687788	35561718.43823906
4973.895958790063	35419462.102916874
5066.461008921268	35291926.865015544
5160.7487103859075	35174326.01048139
5256.791122018419	35054536.584033854
5354.620899273607	34932517.855977245
5454.271305329836	34808228.33862928
5555.7762223988775	34681625.77221488
5659.170163246242	34552667.110497326
5764.488282925873	34421308.50614211
5871.766390733255	34287505.2958084
5981.040962380945	34151211.98496295
6092.349152400711	34012382.232411556
6205.7288067765	33870968.83454247
6321.218475812449	33729917.57257139
6438.8574272404185	33613435.95560209
6558.685659571435	33494786.595920946
6680.743915695614	33373929.15146726
6805.073696735206	33250822.529407658
6931.717276155407	33125424.872164205
7060.717714137772	32997693.54318229
7192.118872221193	32867585.112433765
7325.96542821523	32735055.34165029
7462.302891391108	32600059.169281807
7601.17761795533	32462550.695175137
7742.636826811269	32322483.16496745
7886.728615614156	32179808.954189267
8033.501977124735	32053085.655150585
8183.00681586739	31935884.212275717
8335.293965098195	31816501.630606417
8490.415204088747	31694897.3187786
8648.423275731726	31571029.930015955
8809.37190447399	31444857.348071672
8973.31581458352	31316336.672908388
9140.310748756232	31185424.206111744
9310.413487069076	31052075.436032474
9483.681866285926	30916245.022651948
9660.174799522645	30777886.782166056
9839.952296278227	30636953.67128224
10023.075482838643	30497194.810853988
10209.606623060476	30381660.759026412
10399.609139541202	30263976.59883553
10593.1476351837	30144102.31639884
10790.287915161836	30021997.15316868
10991.097009294961	29897619.592073873
11195.643194838794	29770927.343403492
11403.99601970033	29641877.33042793
11616.22632608502	29510425.674752265
11832.40627458378	29376527.68139719
12052.609368708414	29240137.82360223
12276.910479883603	29101209.72734615
12505.385872903913	28959696.1555793
12738.113231864783	28835024.878277767
12975.171686575868	28719210.49783861
13216.641839466038	28601240.79207298
13462.60579298911	28481075.65000978
13713.147177539455	28358674.214205988
13968.351179887397	28233994.86685455
14228.30457214352	28106995.21563395
14493.09574126215	27977632.079294406
14762.81471909391	27845861.47297565
15037.553212997384	27711638.593251757
15317.404637020798	27574917.802897383
15602.46414366368	27435652.615370646
15892.828656229764	27298353.73219323
16188.596901781993	27184568.13561938
16489.86944471065	27068664.969732
16796.74872092653	26950604.826205842
17109.339072690134	26830347.56332002
17427.746784089173	26707852.292309403
17752.08011717636	26583077.363461968
18082.44934877952	26455980.351957485
18418.96680799711	26326518.043442596
18761.746914391195	26194646.41933745
19110.90621689136	26060320.641868975
19466.56343342263	25923495.03882546
19828.83949127071	25784123.08802762
20197.857568198782	25662353.708860155
20573.743134329114	25548702.10738538
20956.623994804308	25432935.43026865
21346.630333242454	25315014.31559238
21743.8947560008	25194898.668907017
22148.55233726359	25072547.649598446
22560.74066496859	24947919.657001786
22980.599887588487	24820972.31625669
23408.272761782944	24691662.46389948
23843.904700937208	24559946.133187067
24287.643824604504	24425778.53914778
24739.64100886812	24289114.063354
25200.049937640895	24155209.168906808
25669.027154919517	24044043.588125765
26146.732118010917	23930809.196970914
26633.327251749808	23815467.494529154
27128.978003724646	23697979.263378885
27633.852900531667	23578304.556255568
28148.123605075813	23456402.682469316
28671.964974937695	23332232.19406958
29205.55512182745	23205750.87175237
29749.075472144435	23076915.71050528
30302.71082866393	22945682.90498533
30866.649433372742	22812007.834624585
31441.08303147265	22675845.048458822
32026.206936576502	22558049.534809787
32622.220097116733	22447650.355917666
33229.325163989684	22335196.62952131
33847.72855945983	22220650.120142028
34477.640547344636	22103971.880732425
35119.275304507275	21985122.23943392
35772.850993678774	21864060.786087852
36438.58983763541	21740746.358495712
37116.71819475767	21615137.028423373
37807.466635993485	21487190.087345224
38511.070023255685	21356862.03192267
39227.76758927723	21224108.549212594
39957.803018952654	21094925.82156043
40701.42453219439	20987728.301222656
41458.88496832911	20878535.816791125
42230.441872066716	20767311.241644546
43016.35758106799	20654016.75822896
43816.89931514194	20538613.845199294
44632.33926710397	20421063.26432165
45462.95469532399	20301325.04713194
46309.02801799736	20179358.481346145
47170.84690917023	20055122.09701773
48048.704396551344	19928573.652437422
48942.89896114532	19799670.119770493
49853.73463873894	19668367.67042692
50781.5211232767	19556172.172498617
51726.57387216024	19450665.00927146
52689.21421350677	19343194.33978399
53669.76945540476	19233723.622850575
54668.57299720181	19122215.63724794
55685.96444286408	19008632.469059486
56722.28971644549	18892935.49878417
57777.90117970507	18775085.38820552
58853.1577519145	18655042.0670161
59948.42503189408	18532764.719193257
61064.07542232036	18408211.76912121
62200.48825634718	18281340.867454883
63358.04992658254	18158842.09709241
64537.15401646702	18057470.79473055
65738.20143409586	17954212.955182817
66961.60054853215	17849033.469671156
68207.76732865692	17741896.5760372
69477.1254846024	17632765.846582733
70770.10661181889	17521604.175683882
72087.15033782135	17408373.767174777
73428.70447166759	17293036.121496487
74795.22515621828	17175552.022606727
76187.17702322999	17055881.52464601
77605.0333513357	16933983.938355606
79049.2762269642	16809817.817242727
80520.39670825469	16705288.660743862
82018.8949920221	16606698.401234565
83545.28058382872	16506273.360220088
85100.07247122246	16403979.392104417
86683.79930019773	16299781.715836175
88296.99955494082	16193644.903082728
89940.22174092053	16085532.866184112
91614.0245713852	15975408.84588292
93318.9771573324	15863235.398825653
95055.65920101192	15748974.384831678
96824.66119303115	15632586.953925075
98626.5846131283	15514033.533125278
100462.04213468132	15400564.800754732
102331.65783302448	15307060.107188853
104236.06739764012	15211815.275365336
106175.9183482999	15114797.921015099
108151.87025522892	15015975.05719231
110164.59496336569	14915313.083058493
112214.77682079801	14812777.772457806
114303.11291144785	14708334.262279846
116430.31329208757	14601947.040605789
118597.10123376705	14493579.934633939
120804.21346773289	14383196.098380657
123052.40043592616	14270758.000152232
125342.42654613995	14156227.409783766
127675.07043192645	14061416.299158724
130051.12521734099	13971709.744533328
132471.39878661174	13880333.735662255
134936.71405883064	13787257.203717925
137447.90926775365	13692448.501676576
140005.8382468096	13595875.393557975
142611.37071941295	13497505.043464785
145265.39259467812	13397304.004418064
147968.80626863963	13295238.206984881
150722.53093107554	13191272.947694361
153527.5028780421	13085372.877238134
156384.67583022476	12977501.988451174
159295.0212572123	12875239.42870051
162259.5287078087	12791337.916096551
165279.2061464897	12705874.982066676
168355.08029612005	12618821.568292495
171488.19698705408	12530148.075675301
174679.62151272455	12439824.354272185
177930.43899185772	12347819.693044633
181241.75473742394	12254102.809416488
184614.69463245454	12158641.838637555
188050.40551285836	12061404.322949149
191550.0555573528	11962357.200548247
195114.83468466165	11861466.794346007
198745.9549580986	11758698.800517224
202444.65099768018	11675120.973604407
206212.18039991445	11595734.818572223
210049.8241653915	11514871.273686871
213958.88713434213	11432502.844471786
217940.6984302958	11348601.524773518
221996.61191199525	11263138.787239375
226128.00663372793	11176085.573617706
230336.2873142131	11087412.284877926
234622.88481422624	10997088.771146402
238989.25662310526	10905084.32145524
243436.8873543108	10811367.653300244
247967.289250216	10715906.90200441
252582.00269627848	10626313.734602045
257282.59674479323	10553054.81646772
262070.66964838552	10478432.537401468
266947.8494034318	10402421.52502438
271915.7943036019	10324995.934773212
276976.1935036891	10246129.441113047
282130.76759394706	10165795.228586266
287381.2691851069	10083965.982695006
292729.4835042813	10000613.880613992
298177.22900196735	9915710.581730375
303726.3579703311	9829227.218007734
309378.75717301364	9741134.384170558
315136.34848664823	9651402.127706138
321001.08955431683	9579705.847322142
326974.97445117676	9511264.883589676
333060.03436245886	9441550.221876515
339258.33827409917	9370538.15844651
345571.9936762143	9298204.548432935
352003.1472796675	9224524.797629029
358553.9857459817	9149473.854125593
365226.7364308175	9073026.199793203
372023.6681413066	8995155.84160566
378947.09190746717	8915836.302802136
385999.36176797637	8835040.613884795
393182.87557057705	8752741.303448819
