Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.346236741906752172e+02	3.964563807422879336e+02
1.032794731918951654e-10	2.403865802814029280e+02	4.067066782124076667e+02
1.066664958279539403e-10	2.463384793324501345e+02	4.172931314401494092e+02
1.101645949633656381e-10	2.524855693172850408e+02	4.282267645634674977e+02
1.137774133221491146e-10	2.588342514702543440e+02	4.395189632539650120e+02
1.175087130904807540e-10	2.653911369524688553e+02	4.511814865732929434e+02
1.213623798344240958e-10	2.721630537362959785e+02	4.632264792183767668e+02
1.253424265461399975e-10	2.791570537156260343e+02	4.756664841682217570e+02
1.294529978227915867e-10	2.863804200493194116e+02	4.885144557454675009e+02
1.336983741824946476e-10	2.938406747454786228e+02	5.017837731062911644e+02
1.380829765218092491e-10	3.015455864944455016e+02	5.154882541727106400e+02
1.426113707194128486e-10	3.095031787586789278e+02	5.296421700217915713e+02
1.472882723907502473e-10	3.177217381279382380e+02	5.442602597467465557e+02
1.521185517986104510e-10	3.262098229484724357e+02	5.593577458053987357e+02
1.571072389247450498e-10	3.349762722352012361e+02	5.749503498719944901e+02
1.622595287078087593e-10	3.440302148761695094e+02	5.910543092088724961e+02
1.675807864530767868e-10	3.533810791388578423e+02	6.076863935750371866e+02
1.730765534195724819e-10	3.630386024882514562e+02	6.248639226892436227e+02
1.787525525904235329e-10	3.730128417268896897e+02	6.426047842657806086e+02
1.846146946324547531e-10	3.833141834674543702e+02	6.609274526417310653e+02
1.906690840512252406e-10	3.939533549488064068e+02	6.798510080151107786e+02
1.969220255479172543e-10	4.049414352067291816e+02	6.993951563139140717e+02
2.033800305846981002e-10	4.162898666110143608e+02	7.195802497167604770e+02
2.100498241653915480e-10	4.280104667809039256e+02	7.404273078465128037e+02
2.169383518385184289e-10	4.401154408912939289e+02	7.619580396589287830e+02
2.240527869300018610e-10	4.526173943825202173e+02	7.841948660491517558e+02
2.314005380130653023e-10	4.655293460869543765e+02	8.071609431995703972e+02
2.389892566231049743e-10	4.788647417860860287e+02	8.308801866933672500e+02
2.468268452255692806e-10	4.926374682122037711e+02	8.553772964188632386e+02
2.549214654451423314e-10	5.068618675092590138e+02	8.806777822905959283e+02
2.632815465648021228e-10	5.215527521679694019e+02	9.068079908139117151e+02
2.719157943036017723e-10	5.367254204507144095e+02	9.337951325207354785e+02
2.808331998823172083e-10	5.523956723222872824e+02	9.616673103050934515e+02
2.900430493863991314e-10	5.685798259030908639e+02	9.904535486878868369e+02
2.995549334359813486e-10	5.852947344619118439e+02	1.020183824041399021e+03
3.093787571730138678e-10	6.025578039659694696e+02	1.050889095805006264e+03
3.195247505759212065e-10	6.203870112065105786e+02	1.082601338724599373e+03
3.300034791125284578e-10	6.388009225188328628e+02	1.115353576149289438e+03
3.408258547423451742e-10	6.578187131162219430e+02	1.149179914420067917e+03
3.520031472796679687e-10	6.774601870579433580e+02	1.184115578386236621e+03
3.635469961293320139e-10	6.977457978720764231e+02	1.220196948086586190e+03
3.754694224073336536e-10	7.186966698546714269e+02	1.257461596633527506e+03
3.877828414589456106e-10	7.403346200674035344e+02	1.295948329339619022e+03
4.005000757873611052e-10	7.626821810566378872e+02	1.335697224127243544e+03
4.136343684063274911e-10	7.857626243175567424e+02	1.376749673263502928e+03
4.271993966306778827e-10	8.095999845277880240e+02	1.419148426463802707e+03
4.412092863191189219e-10	8.342190845757693296e+02	1.462937635409003633e+03
4.556786265841064474e-10	8.596455614099101012e+02	1.508162899722505927e+03
4.706224849841281415e-10	8.859058927354695925e+02	1.554871314455132278e+03
4.860564232142136024e-10	9.130274245869539982e+02	1.603111519127274960e+03
5.019965133110081441e-10	9.410383998047391287e+02	1.652933748379355848e+03
5.184593543892912175e-10	9.699679874455798654e+02	1.704389884283363472e+03
5.354620899273606527e-10	9.998463131576276055e+02	1.757533510369928081e+03
5.530224256192902378e-10	1.030704490551589515e+03	1.812419967427202891e+03
5.711586478126431938e-10	1.062574653600693637e+03	1.869106411129651406e+03
5.898896425508497150e-10	1.095489990103206082e+03	1.927651871556760398e+03
6.092349152400710261e-10	1.129484776242340786e+03	1.988117314663648585e+03
6.292146109610343618e-10	1.164594412279550397e+03	2.050565705767587588e+03
6.498495354469890483e-10	1.200855459418372448e+03	2.115062075116550204e+03
6.711611767496282870e-10	1.238305677877212702e+03	2.181673585608057692e+03
6.931717276155404727e-10	1.276984066210716492e+03	2.250469602728850077e+03
7.159041085964887260e-10	1.316930901920674614e+03	2.321521766788211153e+03
7.393819919175865964e-10	1.358187783398751435e+03	2.394904067520159970e+03
7.636298261282244400e-10	1.400797673244714133e+03	2.470692921132209449e+03
7.886728615614152294e-10	1.444804943005270616e+03	2.548967249880910003e+03
8.145371766280743462e-10	1.490255419380109970e+03	2.629808564257060880e+03
8.412497049736117954e-10	1.537196431943250445e+03	2.713301047866152658e+03
8.688382635251186617e-10	1.585676862429403627e+03	2.799531645092452436e+03
8.973315814583522479e-10	1.635747195636664856e+03	2.888590151637999952e+03
9.267593301146878953e-10	1.687459571998551382e+03	2.980569308030810134e+03
9.571521538991863169e-10	1.740867841880118021e+03	3.075564896199654868e+03
9.885417021919573871e-10	1.796027621654705626e+03	3.173675839215979522e+03
1.020960662306046580e-09	1.842122750852472109e+03	3.259182316965068821e+03
1.054442793526168950e-09	1.883590488634438316e+03	3.338560104470927399e+03
1.089022962263730067e-09	1.926418149760248980e+03	3.420541065238359806e+03
1.124737178364752061e-09	1.970650332551396787e+03	3.505210569636619311e+03
1.161622632608501755e-09	2.016333097919369948e+03	3.592656787733327747e+03
1.199717735435884489e-09	2.063514017330901879e+03	3.682970781109845120e+03
1.239062156947916503e-09	2.112242222346225390e+03	3.776246597687676513e+03
1.279696868215940940e-09	2.162568455781917692e+03	3.872581369664696922e+03
1.321664183946605026e-09	2.214545124551624667e+03	3.972075414663179345e+03
1.365007806546013663e-09	2.268226354239673128e+03	4.074832340194917833e+03
1.409772871628966933e-09	2.323668045464421994e+03	4.180959151552286130e+03
1.456005995020649598e-09	2.380927932090020022e+03	4.290566363237532642e+03
1.503755321299737753e-09	2.440065641347212477e+03	4.403768114046378287e+03
1.553070573933460069e-09	2.501142755925797246e+03	4.520682285925759061e+03
1.604003107056820079e-09	2.564222878103368203e+03	4.641430626729447795e+03
1.656605958949914401e-09	2.629371695977168656e+03	4.766138876999454624e+03
1.710933907269014249e-09	2.696657051867975952e+03	4.894936900905145194e+03
1.767043526088946692e-09	2.766149012967295221e+03	5.027958821476515368e+03
1.824993244816152494e-09	2.837919944301386749e+03	5.165343160272366731e+03
1.884843409033795523e-09	2.912044584088153897e+03	5.307232981628889320e+03
1.946656343342262358e-09	2.988600121565318204e+03	5.453776041638830065e+03
2.010496416260498236e-09	3.067666277370955413e+03	5.605124942016376735e+03
2.076430107255774870e-09	3.149325386560102743e+03	5.761437289008035805e+03
2.144526075971667793e-09	3.233662484343847154e+03	5.922875857514905874e+03
2.214855233726359314e-09	3.320765394640231534e+03	6.089608760597337096e+03
2.287490817355702788e-09	3.410724821529146993e+03	6.261809624538429489e+03
2.362508465477946229e-09	3.503634443706466300e+03	6.439657769648677458e+03
2.439986297259550245e-09	3.599591012035783478e+03	6.623338397000105033e+03
2.520004993764092080e-09	3.698694450299321488e+03	6.813042781284222656e+03
2.602647881969005809e-09	3.801047959252960482e+03	7.008968469994788393e+03
2.688001021537606561e-09	3.906758124093696097e+03	7.211319489142654675e+03
2.776153294436799262e-09	4.015935025451491583e+03	7.420306555716996627e+03
2.867196497493770032e-09	4.128692354021060964e+03	7.636147297114179310e+03
2.961225437988034610e-09	4.245147528952962602e+03	7.859066477762666182e+03
3.058338032378433485e-09	4.365421820127334286e+03	8.089296233180115451e+03
3.158635408267817403e-09	4.489640474437508601e+03	8.327076311706241540e+03
3.262222009711669644e-09	4.617932846215119753e+03	8.572654324163304409e+03
3.369205705980266915e-09	4.750432531932421625e+03	8.826286001704080263e+03
3.479697903887691433e-09	4.887277509322169863e+03	9.088235462115961127e+03
3.593813663804627762e-09	5.028610281059870431e+03	9.358775484858368145e+03
3.711671819475765297e-09	5.174578023158070209e+03	9.638187795119954899e+03
3.833395101766601886e-09	5.325332738227196387e+03	9.926763357191430259e+03
3.959110266468459240e-09	5.481031413762530065e+03	1.022480267745939454e+04
4.088948226294862618e-09	5.641836185622183621e+03	1.053261611733685822e+04
4.223044187206674123e-09	5.807914506866259217e+03	1.085052421645614777e+04
4.361537789208003199e-09	5.979439322133085625e+03	1.117885802646091906e+04
4.504573251759458750e-09	6.156589247734036690e+03	1.151795945574473080e+04
4.652299523960189308e-09	6.339548757654531983e+03	1.186818162549523186e+04
4.804870439655131104e-09	6.528508375654892916e+03	1.222988923741477993e+04
4.962444877628916452e-09	6.723664873671083114e+03	1.260345895350027058e+04
5.125186927053329472e-09	6.925221476721953877e+03	1.298927978827781953e+04
5.293266058360561204e-09	7.133388074536374916e+03	1.338775351390065225e+04
5.466857299720180771e-09	7.348381440120598199e+03	1.379929507853202631e+04
5.646141419303669251e-09	7.570425455493512345e+03	1.422433303844899820e+04
5.831305113526221869e-09	7.799751344824786429e+03	1.466331000431682151e+04
6.022541201461928965e-09	8.036597915218758317e+03	1.511668310209887750e+04
6.220048825634711276e-09	8.281211805394717885e+03	1.558492444908195284e+04
6.424033659394191079e-09	8.533847742522650151e+03	1.606852164551270835e+04
6.634708121092347870e-09	8.794768807481792464e+03	1.656797828235718043e+04
6.852291595284060743e-09	9.064246708818271145e+03	1.708381446571209017e+04
7.077010661181889919e-09	9.342562065687165159e+03	1.761656735841423506e+04
7.309099328602911004e-09	9.630004700073499407e+03	1.816679173941158297e+04
7.548799281653435948e-09	9.926873938596614607e+03	1.873506058147901786e+04
7.796360130405233414e-09	1.023347892421207507e+04	1.932196564787993702e+04
8.052039670825474778e-09	1.055013893813580580e+04	1.992811810859535035e+04
8.316104153230961616e-09	1.087718373232562408e+04	2.055414917676194818e+04
8.588828559546249041e-09	1.121495387286637742e+04	2.120071076598198852e+04
8.870496889654407999e-09	1.156380109461640313e+04	2.186847616918961285e+04
9.161402457138517586e-09	1.192408866748438049e+04	2.255814075978016263e+04
9.461848194721997291e-09	1.229619177471829425e+04	2.327042271573312610e+04
9.772146969725725887e-09	1.268049790360016232e+04	2.400606376748229013e+04
1.009262190987047331e-08	1.305985466964585794e+04	2.473962293781430708e+04
1.042360673976401127e-08	1.340705632598979355e+04	2.543065451588249925e+04
1.076544612842315905e-08	1.376564436757535805e+04	2.614434828930098956e+04
1.111849604819270880e-08	1.413599220785404941e+04	2.688144745869094186e+04
1.148312414543511117e-08	1.451848550627144505e+04	2.764271959773872004e+04
1.185971012337669343e-08	1.491352256987123292e+04	2.842895745250393520e+04
1.224864613750930795e-08	1.532151476806982828e+04	2.924097976694071258e+04
1.265033720395903769e-08	1.573987107670805017e+04	3.007502865000885140e+04
1.306520162124721228e-08	1.615457876514638338e+04	3.090991843100109327e+04
1.349367140588306343e-08	1.658288668105177203e+04	3.177218819854284448e+04
1.393619274224142065e-08	1.702524084023805335e+04	3.266273587195294749e+04
1.439322644719406651e-08	1.748210188548807855e+04	3.358248881757358322e+04
1.486524844997857277e-08	1.795394556624130200e+04	3.453240481447753700e+04
1.535275028780422776e-08	1.844126323401246555e+04	3.551347305184544530e+04
1.585623961771137302e-08	1.894420496007178735e+04	3.652616468883943162e+04
1.637624074521687477e-08	1.943857826947974900e+04	3.753346554911077692e+04
1.691329517029648562e-08	1.994916441903764280e+04	3.857380057105649030e+04
1.746796215127245689e-08	2.047649510449180889e+04	3.964825310115278262e+04
1.804081928719382751e-08	2.102111945840807675e+04	4.075794201393321418e+04
1.863246311931559514e-08	2.158360462200755865e+04	4.190402287712171528e+04
1.924350975230330612e-08	2.216453633575567801e+04	4.308768915497593116e+04
1.987459549580983990e-08	2.276451954931940418e+04	4.431017345109390590e+04
2.052637752709252173e-08	2.335641467816380464e+04	4.552955607033331762e+04
2.119953457536071000e-08	2.396382121270833522e+04	4.678286139547201310e+04
2.189476762856620985e-08	2.459114748171908650e+04	4.807726853276121983e+04
2.261280066337277307e-08	2.523904674754775260e+04	4.941412540511180850e+04
2.335438139906479724e-08	2.590819369610977810e+04	5.079482414020518627e+04
2.412028207618007283e-08	2.659928513946426028e+04	5.222080252017674502e+04
2.491130026067788373e-08	2.731304074143503021e+04	5.369354547884168278e+04
2.572825967447932303e-08	2.802106109905592166e+04	5.516874575530306902e+04
2.657201105324503850e-08	2.874204908520039316e+04	5.667619907496395172e+04
2.744343303228365032e-08	2.948668167906728195e+04	5.823308892212350474e+04
2.834343306151309448e-08	3.025573429922812284e+04	5.984103655444795004e+04
2.927294835042816131e-08	3.105000779389871241e+04	6.150171639831417997e+04
3.023294684405776334e-08	3.187032927489734720e+04	6.321685779246321181e+04
3.122442823092858392e-08	3.271755297895272088e+04	6.498824678883651359e+04
3.224842498408442807e-08	3.356303242885848886e+04	6.677071195677884680e+04
3.330600343624588813e-08	3.441682173286011675e+04	6.858071590697047941e+04
3.439826489022924478e-08	3.529861082820175216e+04	7.045007845148089109e+04
3.552634676578139226e-08	3.620931796053416474e+04	7.238074623949786474e+04
3.669142378402493899e-08	3.714989148912812379e+04	7.437472976004745578e+04
3.789470919074667737e-08	3.812131087444236618e+04	7.643410543560421502e+04
3.913745601980383687e-08	3.912458769807885255e+04	7.856101778436127643e+04
4.042095839796305955e-08	4.013238404936415463e+04	8.071187757260835497e+04
4.174655289253134782e-08	4.114089013327747671e+04	8.288108269233372994e+04
4.311561990318228626e-08	4.218246990385140816e+04	8.512142631243776123e+04
4.452958509942655287e-08	4.325820800377347041e+04	8.743524140096936026e+04
4.598992090522439315e-08	4.436922464629748720e+04	8.982493743503942096e+04
4.749814803228499868e-08	4.551667678177056223e+04	9.229300290991454676e+04
4.905583706365045989e-08	4.670175930241632159e+04	9.484200793039666314e+04
5.066461008921269181e-08	4.790072716004573158e+04	9.743369605762296123e+04
5.232614239486661694e-08	4.908878341247975186e+04	1.000281088262372796e+05
5.404216420705915059e-08	5.031580165121699247e+04	1.027076046660854481e+05
5.581446249454960394e-08	5.158305962415327667e+04	1.054749738536793739e+05
5.764488282925879445e-08	5.289187698258420278e+04	1.083330981719013071e+05
5.953533130814369715e-08	5.424361665541569528e+04	1.112849539109302714e+05
6.148777653810024108e-08	5.563968626844192477e+04	1.143336149675841152e+05
6.350425168595962148e-08	5.706318185213943070e+04	1.174516968678233388e+05
6.558685659571428548e-08	5.845873326586628536e+04	1.205478073076349829e+05
6.773775997517751128e-08	5.990005141408547206e+04	1.237454538593118341e+05
6.995920165435375620e-08	6.138863720458539319e+04	1.270479663724223938e+05
7.225349491787214948e-08	6.292604076702311431e+04	1.304587838980593660e+05
7.462302891391107044e-08	6.451386306714219972e+04	1.339814582700740721e+05
7.707027114212294845e-08	6.615375757392865489e+04	1.376196578037567670e+05
7.959777002314985573e-08	6.784016728759709804e+04	1.413648634592030430e+05
8.220815755240541849e-08	6.947441672132244275e+04	1.450508266288814193e+05
8.490415204088747078e-08	7.116226092711549427e+04	1.488576699725725339e+05
8.768856094587425811e-08	7.290545753115847765e+04	1.527893577231774398e+05
9.056428379445295063e-08	7.470582180051314936e+04	1.568499841195525951e+05
9.353431520292386860e-08	7.656522853343770839e+04	1.610437776700197719e+05
9.660174799522647250e-08	7.848561401169680175e+04	1.653751055556979263e+05
9.976977642363202159e-08	8.046897801689646440e+04	1.698484781782399514e+05
1.030416994950587396e-07	8.238637753373059968e+04	1.742422375483092910e+05
1.064209244064724761e-07	8.435641655437706504e+04	1.787623976320706424e+05
1.099109700929497372e-07	8.639106247657544736e+04	1.834307951540095382e+05
1.135154708920999096e-07	8.849243406634229177e+04	1.882522915211715153e+05
1.172381803286598596e-07	9.066271957405765716e+04	1.932319075691427570e+05
1.210829750232039531e-07	9.290417901318610529e+04	1.983748287904665340e+05
1.250538587290391570e-07	9.521914651372809021e+04	2.036864107345240773e+05
1.291549665014884007e-07	9.747295076516219706e+04	2.089303535938248679e+05
1.333905690039058854e-07	9.976427212311173207e+04	2.142820630868918088e+05
1.377650769549053468e-07	1.021307367507353774e+05	2.198092804580919037e+05
1.422830457214352017e-07	1.045748089514176390e+05	2.255177614412383118e+05
1.469491800624817218e-07	1.070990338447118993e+05	2.314134505278916331e+05
1.517683390283405561e-07	1.097060400166848412e+05	2.375024871576190344e+05
1.567455410205594968e-07	1.123985422571786621e+05	2.437912121112630412e+05
1.618859690178197646e-07	1.150404792707342131e+05	2.500355524782439461e+05
1.671949759731990056e-07	1.176954291272352420e+05	2.563517902309703350e+05
1.726780903884356132e-07	1.204374473525383655e+05	2.628751673075336148e+05
1.783410220710008120e-07	1.232693893304571975e+05	2.696124767865288886e+05
