# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	33177153.905984618
1018.6101701559753	33124086.027452122
1037.566678745186	33070030.546670306
1056.875971184804	33014969.08419329
1076.5446128423157	32958882.918530535
1096.5792912678098	32901752.979781404
1116.9868184678226	32843559.843151152
1137.7741332214914	32784283.722346295
1158.9483034398106	32723904.46284707
1180.5165285688054	32662401.535054673
1202.4861420374123	32599754.027310982
1224.8646137509306	32535940.638788316
1247.6595526308697	32470939.672247026
1270.8787092020582	32409699.68929883
1294.529978227916	32352092.00138447
1318.6214013947485	32293412.224595744
1343.1611700460153	32233640.407176252
1368.1576279674719	32172756.226064052
1393.619274224142	32110738.97998155
1419.5547660501015	32047567.58239685
1445.9729217920194	31983220.554354113
1472.882723907502	31917676.017170463
1500.2933220192183	31850911.684997022
1528.2140360258693	31782904.857241504
1556.654359271062	31713632.410849668
1585.6239617711371	31643342.235434387
1615.132693503091	31582428.38354009
1645.1905877536624	31520380.914497197
1675.807864530767	31457178.731497653
1706.9949340384078	31392800.345118254
1738.7624002162504	31327223.866013985
1771.1210643450886	31260426.99747535
1804.0819287193826	31192387.027847324
1837.6562003881704	31123080.82280711
1871.8552949655793	31052484.817498226
1906.690840512252	30980575.00851823
1942.1746814890264	30907326.94575722
1978.3188827841643	30832715.724084627
2015.1357338155585	30763241.360376917
2052.6377527092523	30698140.930395413
2090.8376905557498	30631828.970334727
2129.748535745521	30564282.933413927
2169.3835183851843	30495479.85325267
2209.756114795903	30425396.33606237
2250.880052095462	30354008.55269202
2292.7693128656488	30281292.230526093
2335.438139906479	30207222.645231526
2378.9010410788933	30131774.61235126
2423.1727942376006	30054922.478741154
2468.2684522556924	29976640.113847718
2514.2033481427966	29897566.328782156
2560.9931002584594	29829781.355372462
2608.6536176225477	29760734.89207361
2657.2011053245064	29690403.462344088
2706.652070033241	29618763.152739987
2757.0233256095826	29545789.604784124
2808.3319988231724	29471458.00668392
2860.5955351757416	29395743.084895108
2913.831704832789	29318619.095528454
2968.0586086656026	29240059.815596588
3023.2946844057765	29160038.534097854
3079.5587129142264	29078528.042934332
3136.8698245668766	28995500.627660755
3195.2475057592133	28919124.01658226
3254.711605531848	28847759.689793713
3315.282342319423	28775067.26074056
3376.9803108250912	28701022.01321367
3439.8264890229243	28625598.77103107
3503.8422452906757	28548771.88947773
3569.0493456752292	28470515.246586137
3635.4699612933177	28390802.234254494
3703.126675869927	28309605.749199707
3772.0424934169973	28226898.183741987
3842.240846055061	28142651.416417908
3913.745601980384	28056836.802418843
3986.581073580439	27970598.399008304
4060.7720257003657	27897359.19614594
4136.343684063274	27822756.99925622
4213.321743847289	27746766.44278837
4291.732378422157	27669361.689134408
4371.602248248501	27590516.419844065
4452.958509942655	27510203.826676235
4535.828825510186	27428396.602483884
4620.241371751313	27345066.93192932
4706.224849841281	27260186.482026704
4793.808495089106	27173726.39250848
4883.02208687788	27085657.266012616
4973.895958790063	26995949.15808719
5066.461008921268	26914430.141613025
5160.7487103859075	26838380.116809305
5256.791122018419	26760914.788103618
5354.620899273607	26682007.816449523
5454.271305329836	26601632.372626465
5555.7762223988775	26519761.12811749
5659.170163246242	26436366.245817326
5764.488282925873	26351419.370567415
5871.766390733255	26264891.619514886
5981.040962380945	26176753.572292052
6092.349152400711	26086975.261013187
6205.7288067765	25995526.160085116
6321.218475812449	25904141.50768352
6438.8574272404185	25827100.573454134
6558.685659571435	25748625.894329768
6680.743915695614	25668690.78807396
6805.073696735206	25587268.0758893
6931.717276155407	25504330.07317631
7060.717714137772	25419848.580120448
7192.118872221193	25333794.872103777
7325.96542821523	25246139.689938366
7462.302891391108	25156853.229917806
7601.17761795533	25065905.13368364
7742.636826811269	24973264.47790319
7886.728615614156	24878899.7637553
8033.501977124735	24794167.116681248
8183.00681586739	24715129.07634197
8335.293965098195	24634620.124623187
8490.415204088747	24552612.88761383
8648.423275731726	24469079.4819697
8809.37190447399	24383991.505432833
8973.31581458352	24297320.027174395
9140.310748756232	24209035.577957887
9310.413487069076	24119108.14011933
9483.681866285926	24027507.137360908
9660.174799522645	23934201.424354706
9839.952296278227	23839159.276152927
10023.075482838643	23744751.59107839
10209.606623060476	23665565.452225555
10399.609139541202	23584905.64585468
10593.1476351837	23502744.746762507
10790.287915161836	23419054.819358055
10991.097009294961	23333807.408164263
11195.643194838794	23246973.528142795
11403.99601970033	23158523.654838823
11616.22632608502	23068427.714342397
11832.40627458378	22976655.07306297
12052.609368708414	22883174.52731367
12276.910479883603	22787954.29270168
12505.385872903913	22690961.993321292
12738.113231864783	22604855.172145598
12975.171686575868	22524428.87402885
13216.641839466038	22442505.828819133
13462.60579298911	22359058.181798354
13713.147177539455	22274057.55986741
13968.351179887397	22187475.06189898
14228.30457214352	22099281.248910815
14493.09574126215	22009446.13405624
14762.81471909391	21917939.17242823
15037.553212997384	21824729.25067388
15317.404637020798	21729784.67641545
15602.46414366368	21633073.16747469
15892.828656229764	21537603.635365617
16188.596901781993	21457754.04623056
16489.86944471065	21376418.442654807
16796.74872092653	21293569.169656783
17109.339072690134	21209178.05759097
17427.746784089173	21123216.41256995
17752.08011717636	21035655.006708197
18082.44934877952	20946464.068184268
18418.96680799711	20855613.27111804
18761.746914391195	20763071.725259606
19110.90621689136	20668807.965486247
19466.56343342263	20572789.941103946
19828.83949127071	20474985.004949868
20197.857568198782	20389087.46153803
20573.743134329114	20308649.371506926
20956.623994804308	20226714.314933315
21346.630333242454	20143254.433015116
21743.8947560008	20058241.348493237
22148.55233726359	19971646.156002928
22560.74066496859	19883439.41224568
22980.599887588487	19793591.125978198
23408.272761782944	19702070.747815046
23843.904700937208	19608847.159841552
24287.643824604504	19513888.665033326
24739.64100886812	19417162.976478957
25200.049937640895	19322289.175262935
25669.027154919517	19243025.798986718
26146.732118010917	19162287.31779087
26633.327251749808	19080046.27972183
27128.978003724646	18996274.72194053
27633.852900531667	18910944.161214683
28148.123605075813	18824025.584234215
28671.964974937695	18735489.43774643
29205.55512182745	18645305.61850755
29749.075472144435	18553443.463047322
30302.71082866393	18459871.7372431
30866.649433372742	18364558.625699844
31441.08303147265	18267471.720932692
32026.206936576502	18183097.744427346
32622.220097116733	18103814.525936864
33229.325163989684	18023055.833259784
33847.72855945983	17940794.207570378
34477.640547344636	17857001.679029606
35119.275304507275	17771649.757274885
35772.850993678774	17684709.421733156
36438.58983763541	17596151.111753605
37116.71819475767	17505944.71655659
37807.466635993485	17414059.564995803
38511.070023255685	17320464.41512967
39227.76758927723	17225127.443598744
39957.803018952654	17132236.515135087
40701.42453219439	17054654.499471284
41458.88496832911	16975628.669294942
42230.441872066716	16895132.154972304
43016.35758106799	16813137.586821146
43816.89931514194	16729617.085804844
44632.33926710397	16644542.254053112
45462.95469532399	16557884.16520649
46309.02801799736	16469613.354581043
47170.84690917023	16379699.809150038
48048.704396551344	16288112.957339244
48942.89896114532	16194821.658632206
49853.73463873894	16099794.192982152
50781.5211232767	16018113.441312581
51726.57387216024	15941068.164522052
52689.21421350677	15862589.06202074
53669.76945540476	15782649.450068194
54668.57299720181	15701222.148335006
55685.96444286408	15618279.47066122
56722.28971644549	15533793.215642726
57777.90117970507	15447734.657042505
58853.1577519145	15360074.534023358
59948.42503189408	15270783.04119893
61064.07542232036	15179829.818499556
62200.48825634718	15087183.940849504
63358.04992658254	14997555.56911904
64537.15401646702	14922742.985881958
65738.20143409586	14846538.127741033
66961.60054853215	14768915.084223388
68207.76732865692	14689847.462657858
69477.1254846024	14609308.379201157
70770.10661181889	14527270.449697135
72087.15033782135	14443705.780365793
73428.70447166759	14358585.958319169
74795.22515621828	14271882.0419006
76187.17702322999	14183564.5508443
77605.0333513357	14093603.456251692
79049.2762269642	14001968.170381304
80520.39670825469	13924167.416870281
82018.8949920221	13850501.115538042
83545.28058382872	13775463.871803258
85100.07247122246	13699030.172194535
86683.79930019773	13621174.028430441
88296.99955494082	13541868.968583208
89940.22174092053	13461088.028077982
91614.0245713852	13378803.740524601
93318.9771573324	13294988.12837869
95055.65920101192	13209612.693429016
96824.66119303115	13122648.407107791
98626.5846131283	13034065.70062062
100462.04213468132	12949037.13270609
102331.65783302448	12878178.87828239
104236.06739764012	12806001.939686904
106175.9183482999	12732481.775982823
108151.87025522892	12657593.389522301
110164.59496336569	12581311.317447057
112214.77682079801	12503609.623030638
114303.11291144785	12424461.886859719
116430.31329208757	12343841.1978512
118597.10123376705	12261720.144102136
120804.21346773289	12178070.80356942
123052.40043592616	12092864.734575955
125342.42654613995	12006072.966140201
127675.07043192645	11933426.167905606
130051.12521734099	11864381.737135673
132471.39878661174	11794052.377760796
134936.71405883064	11722414.17704099
137447.90926775365	11649442.777216122
140005.8382468096	11575113.367223997
142611.37071941295	11499400.674264312
145265.39259467812	11422278.955205688
147968.80626863963	11343721.987832667
150722.53093107554	11263703.061929895
153527.5028780421	11182194.97020037
156384.67583022476	11099169.999014666
159295.0212572123	11020168.776260003
162259.5287078087	10954514.93147937
165279.2061464897	10887639.257475967
168355.08029612005	10819519.01580008
171488.19698705408	10750131.044835523
174679.62151272455	10679451.751924545
177930.43899185772	10607457.105345992
181241.75473742394	10534122.62614428
184614.69463245454	10459423.379806345
188050.40551285836	10383333.967783518
191550.0555573528	10305828.518855887
195114.83468466165	10226880.680335702
198745.9549580986	10146463.609107194
202444.65099768018	10080236.159885101
206212.18039991445	10017048.156587316
210049.8241653915	9952684.213796344
213958.88713434213	9887122.447078124
217940.6984302958	9820340.56472554
221996.61191199525	9752315.860179057
226128.00663372793	9683025.20430614
230336.2873142131	9612445.037537215
234622.88481422624	9540551.361855082
238989.25662310526	9467319.732635358
243436.8873543108	9392725.250335075
247967.289250216	9316742.552026467
252582.00269627848	9245134.064519169
257282.59674479323	9185824.044708896
262070.66964838552	9125410.255338
266947.8494034318	9063872.155067157
271915.7943036019	9001188.820279183
276976.1935036891	8937338.937964866
282130.76759394706	8872300.798476243
287381.2691851069	8806052.288145103
292729.4835042813	8738570.88176413
298177.22900196735	8669833.634928033
303726.3579703311	8599817.176232269
309378.75717301364	8528497.699326457
315136.34848664823	8455850.954819985
321001.08955431683	8397072.722021
326974.97445117676	8340745.536001895
333060.03436245886	8283370.091466572
339258.33827409917	8224926.880145672
345571.9936762143	8165396.03071762
