# Frequency (Hz)	Real Part (Ohm/m)
1000.0	1127455.3484241385
1018.6101701559753	1141911.2880329338
1037.566678745186	1156636.2551376142
1056.875971184804	1171635.256385653
1076.5446128423157	1186913.3915990882
1096.5792912678098	1202475.8555085107
1116.9868184678226	1218327.939519334
1137.7741332214914	1234475.0335109262
1158.9483034398106	1250922.6276692254
1180.5165285688054	1267676.314353468
1202.4861420374123	1284741.7899976436
1224.8646137509306	1302124.8570473497
1247.6595526308697	1319831.4259326847
1270.8787092020582	1337050.703876805
1294.529978227916	1353806.270947014
1318.6214013947485	1370873.6619714587
1343.1611700460153	1388258.6800469868
1368.1576279674719	1405967.236267066
1393.619274224142	1424005.351731617
1419.5547660501015	1442379.1595942571
1445.9729217920194	1461094.9071476331
1472.882723907502	1480158.9579475743
1500.2933220192183	1499577.7939767647
1528.2140360258693	1519358.017848689
1556.654359271062	1539506.3550525939
1585.6239617711371	1559980.85985628
1615.132693503091	1578915.693995408
1645.1905877536624	1598202.908619739
1675.807864530767	1617849.0615900639
1706.9949340384078	1637860.8328100783
1738.7624002162504	1658245.026497618
1771.1210643450886	1679008.5734981764
1804.0819287193826	1700158.5336414557
1837.6562003881704	1721702.0981417934
1871.8552949655793	1743646.5920432503
1906.690840512252	1765999.4767101987
1942.1746814890264	1788768.3523642768
1978.3188827841643	1811960.9606685364
2015.1357338155585	1834294.7872222187
2052.6377527092523	1855923.623362439
2090.8376905557498	1877954.9758235042
2129.748535745521	1900396.3355026376
2169.3835183851843	1923255.3327039299
2209.756114795903	1946539.7397327342
2250.880052095462	1970257.4735383247
2292.7693128656488	1994416.5984057512
2335.438139906479	2019025.328697781
2378.9010410788933	2044092.031647867
2423.1727942376006	2069625.2302051047
2468.2684522556924	2095633.6059321177
2514.2033481427966	2121980.557212539
2560.9931002584594	2146028.7503468483
2608.6536176225477	2170524.4844473293
2657.2011053245064	2195476.0883275177
2706.652070033241	2220892.0458015795
2757.0233256095826	2246780.99856891
2808.3319988231724	2273151.7491524024
2860.5955351757416	2300013.263891393
2913.831704832789	2327374.6759903254
2968.0586086656026	2355245.2886241246
3023.2946844057765	2383634.57810139
3079.5587129142264	2412552.197086436
3136.8698245668766	2442007.9778812984
3195.2475057592133	2470024.482142767
3254.711605531848	2497002.266362518
3315.282342319423	2524482.11173703
3376.9803108250912	2552473.361709823
3439.8264890229243	2580985.5336074866
3503.8422452906757	2610028.3218756844
3569.0493456752292	2639611.601375355
3635.4699612933177	2669745.4307402866
3703.126675869927	2700440.0557971518
3772.0424934169973	2731705.913049198
3842.240846055061	2763553.633224779
3913.745601980384	2795994.044891905
3986.581073580439	2828721.7686985857
4060.7720257003657	2858119.982404627
4136.343684063274	2888065.301870018
4213.321743847289	2918567.908826036
4291.732378422157	2949638.174487705
4371.602248248501	2981286.6630801284
4452.958509942655	3013524.1354304384
4535.828825510186	3046361.552626585
4620.241371751313	3079810.0797442365
4706.224849841281	3113881.0896430113
4793.808495089106	3148586.166833389
4883.02208687788	3183937.111415558
4973.895958790063	3219945.9430915737
5066.461008921268	3253665.1088122013
5160.7487103859075	3285914.395579904
5256.791122018419	3318763.8470617626
5354.620899273607	3352224.6324252305
5454.271305329836	3386308.128697865
5555.7762223988775	3421025.9246356427
5659.170163246242	3456389.824663262
5764.488282925873	3492411.8528877744
5871.766390733255	3529104.2571869106
5981.040962380945	3566479.5133734858
6092.349152400711	3604550.3294373136
6205.7288067765	3643329.6498660664
6321.218475812449	3682240.763706723
6438.8574272404185	3716517.721075766
6558.685659571435	3751432.578453876
6680.743915695614	3786997.2072687633
6805.073696735206	3823223.6998774284
6931.717276155407	3860124.373677698
7060.717714137772	3897711.7752962573
7192.118872221193	3935998.6848546625
7325.96542821523	3974998.120314693
7462.302891391108	4014723.341904623
7601.17761795533	4055187.856627826
7742.636826811269	4096405.422855306
7886.728615614156	4138390.055003696
8033.501977124735	4176936.625839449
8183.00681586739	4213506.420749625
8335.293965098195	4250756.785765652
8490.415204088747	4288700.386412997
8648.423275731726	4327350.123924721
8809.37190447399	4366719.13962802
8973.31581458352	4406820.819412432
9140.310748756232	4447668.798281173
9310.413487069076	4489276.964987188
9483.681866285926	4531659.466755481
9660.174799522645	4574830.714093316
9839.952296278227	4618805.385689955
10023.075482838643	4662615.353821807
