# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3887753.3117433228
1018.6101701559753	3900809.481195915
1037.566678745186	3914108.6281836075
1056.875971184804	3927655.274559668
1076.5446128423157	3941454.026329831
1096.5792912678098	3955509.5752183767
1116.9868184678226	3969826.7002633736
1137.7741332214914	3984410.269441603
1158.9483034398106	3999265.2413237197
1180.5165285688054	4014396.666760225
1202.4861420374123	4029809.6905988064
1224.8646137509306	4045509.5534336413
1247.6595526308697	4061501.593387259
1270.8787092020582	4075681.2995942403
1294.529978227916	4088099.280428254
1318.6214013947485	4100748.3619985827
1343.1611700460153	4113632.8451292515
1368.1576279674719	4126757.110683354
1393.619274224142	4140125.62105259
1419.5547660501015	4153742.921674531
1445.9729217920194	4167613.64257811
1472.882723907502	4181742.499957891
1500.2933220192183	4196134.297777619
1528.2140360258693	4210793.929403624
1556.654359271062	4225726.379268611
1585.6239617711371	4240837.043253683
1615.132693503091	4252305.301393397
1645.1905877536624	4263986.985768484
1675.807864530767	4275886.0682775015
1706.9949340384078	4288006.59473671
1738.7624002162504	4300352.6862557065
1771.1210643450886	4312928.540638631
1804.0819287193826	4325738.433811478
1837.6562003881704	4338786.721275953
1871.8552949655793	4352077.8395903865
1906.690840512252	4365616.307878213
1942.1746814890264	4379406.729364528
1978.3188827841643	4393453.792941226
2015.1357338155585	4405686.531968962
2052.6377527092523	4416344.279744191
2090.8376905557498	4427200.370018994
2129.748535745521	4438258.493981042
2169.3835183851843	4449522.411511628
2209.756114795903	4460995.952464081
2250.880052095462	4472683.017965951
2292.7693128656488	4484587.581745435
2335.438139906479	4496713.691482488
2378.9010410788933	4509065.470185078
2423.1727942376006	4521647.117591051
2468.2684522556924	4534462.911596092
2514.2033481427966	4547333.729622194
2560.9931002584594	4556925.62255648
2608.6536176225477	4566696.02225039
2657.2011053245064	4576648.250745095
2706.652070033241	4586785.691905518
2757.0233256095826	4597111.792570883
2808.3319988231724	4607630.0637266785
2860.5955351757416	4618344.08169843
2913.831704832789	4629257.489367689
2968.0586086656026	4640373.997410656
3023.2946844057765	4651697.385559842
3079.5587129142264	4663231.503889225
3136.8698245668766	4674980.2741233185
3195.2475057592133	4684989.55540318
3254.711605531848	4693648.013256219
3315.282342319423	4702467.60648319
3376.9803108250912	4711451.333840823
3439.8264890229243	4720602.2498932155
3503.8422452906757	4729923.4660504265
3569.0493456752292	4739418.151626383
3635.4699612933177	4749089.534916487
3703.126675869927	4758940.904295262
3772.0424934169973	4768975.609334446
3842.240846055061	4779197.061941873
3913.745601980384	4789608.737521567
3986.581073580439	4799971.714044044
4060.7720257003657	4807509.444952455
4136.343684063274	4815187.454315662
4213.321743847289	4823008.352739578
4291.732378422157	4830974.799413934
4371.602248248501	4839089.503016439
4452.958509942655	4847355.222633754
4535.828825510186	4855774.768699607
4620.241371751313	4864351.003950381
4706.224849841281	4873086.844398471
4793.808495089106	4881985.260323754
4883.02208687788	4891049.277283525
4973.895958790063	4900281.9771412155
5066.461008921268	4907929.59567375
5160.7487103859075	4914474.544501464
5256.791122018419	4921141.295940522
5354.620899273607	4927932.116758251
5454.271305329836	4934849.315906895
5555.7762223988775	4941895.245308698
5659.170163246242	4949072.3006555755
5764.488282925873	4956382.922223679
5871.766390733255	4963829.595703109
5981.040962380945	4971414.853043088
6092.349152400711	4979141.273312841
6205.7288067765	4987011.483578509
6321.218475812449	4994757.883001011
6438.8574272404185	5000193.396180934
6558.685659571435	5005730.065186022
6680.743915695614	5011369.77254339
6805.073696735206	5017114.43581431
6931.717276155407	5022966.008246191
7060.717714137772	5028926.479436709
7192.118872221193	5034997.876010291
7325.96542821523	5041182.26230719
7462.302891391108	5047481.74108539
7601.17761795533	5053898.454235543
7742.636826811269	5060434.583509263
7886.728615614156	5067092.351260927
8033.501977124735	5072385.5215816265
8183.00681586739	5076826.77557363
8335.293965098195	5081350.68205813
8490.415204088747	5085958.779212075
8648.423275731726	5090652.633838155
8809.37190447399	5095433.84189751
8973.31581458352	5100304.029052402
9140.310748756232	5105264.851218938
9310.413487069076	5110317.995130107
9483.681866285926	5115465.178909283
9660.174799522645	5120708.152654416
9839.952296278227	5126048.699033068
10023.075482838643	5131221.8014175305
10209.606623060476	5134606.028617677
10399.609139541202	5138053.236861865
10593.1476351837	5141564.598238039
10790.287915161836	5145141.306646901
10991.097009294961	5148784.578207853
11195.643194838794	5152495.651672479
11403.99601970033	5156275.788845741
11616.22632608502	5160126.275015011
11832.40627458378	5164048.419387074
12052.609368708414	5168043.55553328
12276.910479883603	5172113.041842961
12505.385872903913	5176258.261985313
12738.113231864783	5179290.164936759
12975.171686575868	5181695.29667997
13216.641839466038	5184145.188334173
13462.60579298911	5186640.672888921
13713.147177539455	5189182.598835856
13968.351179887397	5191771.830457187
14228.30457214352	5194409.248119565
14493.09574126215	5197095.748573412
14762.81471909391	5199832.245257828
15037.553212997384	5202619.668611173
15317.404637020798	5205458.96638742
15602.46414366368	5208351.103978408
15892.828656229764	5211057.257403339
16188.596901781993	5212442.26538851
16489.86944471065	5213853.048607955
16796.74872092653	5215290.086743166
17109.339072690134	5216753.868402594
17427.746784089173	5218244.891287773
17752.08011717636	5219763.662362552
18082.44934877952	5221310.698025461
18418.96680799711	5222886.524285298
18761.746914391195	5224491.6769399615
19110.90621689136	5226126.701758658
19466.56343342263	5227792.154667437
19828.83949127071	5229488.601938237
20197.857568198782	5230312.551776752
20573.743134329114	5230687.008806661
20956.623994804308	5231068.434545611
21346.630333242454	5231456.958682465
21743.8947560008	5231852.713319615
22148.55233726359	5232255.833017903
22560.74066496859	5232666.45484237
22980.599887588487	5233084.71840886
23408.272761782944	5233510.765931492
23843.904700937208	5233944.742271014
24287.643824604504	5234386.7949840585
24739.64100886812	5234837.074373311
25200.049937640895	5235096.754039238
25669.027154919517	5234414.523309238
26146.732118010917	5233719.5961492695
26633.327251749808	5233011.736276607
27128.978003724646	5232290.703011266
27633.852900531667	5231556.25119417
28148.123605075813	5230808.131103788
28671.964974937695	5230046.088371225
29205.55512182745	5229269.863893743
29749.075472144435	5228479.193746657
30302.71082866393	5227673.809093595
30866.649433372742	5226853.436095099
31441.08303147265	5226017.79581551
32026.206936576502	5224524.949388947
32622.220097116733	5222709.95973689
33229.325163989684	5220861.192818578
33847.72855945983	5218978.020033336
34477.640547344636	5217059.801082127
35119.275304507275	5215105.88374984
35772.850993678774	5213115.6036835285
36438.58983763541	5211088.284166525
37116.71819475767	5209023.23588835
37807.466635993485	5206919.7567103375
38511.070023255685	5204777.1314269025
39227.76758927723	5202594.631522362
39957.803018952654	5200226.720073128
40701.42453219439	5197230.192327395
41458.88496832911	5194177.898690436
42230.441872066716	5191068.801349529
43016.35758106799	5187901.843178077
43816.89931514194	5184675.947376174
44632.33926710397	5181390.017104494
45462.95469532399	5178042.935111337
46309.02801799736	5174633.563352762
47170.84690917023	5171160.742605634
48048.704396551344	5167623.292073483
48942.89896114532	5164020.008985007
49853.73463873894	5160349.668185135
50781.5211232767	5156247.248400578
51726.57387216024	5151920.3374663945
52689.21421350677	5147512.9019834725
53669.76945540476	5143023.443376267
54668.57299720181	5138450.43518047
55685.96444286408	5133792.322524024
56722.28971644549	5129047.521598437
57777.90117970507	5124214.41912027
58853.1577519145	5119291.371782603
59948.42503189408	5114276.705696293
61064.07542232036	5109168.715820843
62200.48825634718	5103965.665384657
63358.04992658254	5098605.764873779
64537.15401646702	5092937.462283608
65738.20143409586	5087163.671617738
66961.60054853215	5081282.429725131
68207.76732865692	5075291.736920174
