Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.465703973509324953e+02	4.133943151751827827e+02
1.032794731918951654e-10	2.527211009067798955e+02	4.242000218776501015e+02
1.066664958279539403e-10	2.590735151368542688e+02	4.353600988346196914e+02
1.101645949633656381e-10	2.656342550886420213e+02	4.468861675235879147e+02
1.137774133221491146e-10	2.724101527483386462e+02	4.587902305452902851e+02
1.175087130904807540e-10	2.794082641552952282e+02	4.710846841225356911e+02
1.213623798344240958e-10	2.866358767497819713e+02	4.837823310089369784e+02
1.253424265461399975e-10	2.941005169617189381e+02	4.968963938209791991e+02
1.294529978227915867e-10	3.018099580482777924e+02	5.104405288073106703e+02
1.336983741824946476e-10	3.097722281885153279e+02	5.244288400695929795e+02
1.380829765218092491e-10	3.179956188434680939e+02	5.388758942497205453e+02
1.426113707194128486e-10	3.264886933904149373e+02	5.537967356987040830e+02
1.472882723907502473e-10	3.352602960402966232e+02	5.692069021430122575e+02
1.521185517986104510e-10	3.443195610475806916e+02	5.851224408646879738e+02
1.571072389247450498e-10	3.536759222221614323e+02	6.015599254120867272e+02
1.622595287078087593e-10	3.633391227531993763e+02	6.185364728586392857e+02
1.675807864530767868e-10	3.733192253551317776e+02	6.360697616276108874e+02
1.730765534195724819e-10	3.836266227464182066e+02	6.541780499014182624e+02
1.787525525904235329e-10	3.942720484719340561e+02	6.728801946346766272e+02
1.846146946324547531e-10	4.052665880802811671e+02	6.921956711907714634e+02
1.906690840512252406e-10	4.166216906676563667e+02	7.121445936224101843e+02
1.969220255479172543e-10	4.283491808002968355e+02	7.327477356172665850e+02
2.033800305846981002e-10	4.404612708279191224e+02	7.540265521305320817e+02
2.100498241653915480e-10	4.529705736009758539e+02	7.760032017269032849e+02
2.169383518385184289e-10	4.658901156049676615e+02	7.987005696552636209e+02
2.240527869300018610e-10	4.792333505254961779e+02	8.221422916801005840e+02
2.314005380130653023e-10	4.930141732581750489e+02	8.463527786944607669e+02
2.389892566231049743e-10	5.072469343779946485e+02	8.713572421400840540e+02
2.468268452255692806e-10	5.219464550832053646e+02	8.971817202611839548e+02
2.549214654451423314e-10	5.371280426292802304e+02	9.238531052192116704e+02
2.632815465648021228e-10	5.528075062690329560e+02	9.513991710968456346e+02
