# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	74585459.02655976
1018.6101701559753	74351063.6018825
1037.566678745186	74112306.03846821
1056.875971184804	73869105.15617278
1076.5446128423157	73621378.2640757
1096.5792912678098	73369041.13236453
1116.9868184678226	73112007.96369553
1137.7741332214914	72850191.36402185
1158.9483034398106	72583502.31287862
1180.5165285688054	72311850.13311486
1202.4861420374123	72035142.46006244
1224.8646137509306	71753285.2101311
1247.6595526308697	71466182.54881878
1270.8787092020582	71197440.09594817
1294.529978227916	70946452.1019764
1318.6214013947485	70690793.1787297
1343.1611700460153	70430376.39941947
1368.1576279674719	70165113.21953484
1393.619274224142	69894913.44673641
1419.5547660501015	69619685.2101901
1445.9729217920194	69339334.92932998
1472.882723907502	69053767.28203975
1500.2933220192183	68762885.17224239
1528.2140360258693	68466589.69688638
1556.654359271062	68164780.11231752
1585.6239617711371	67858658.24534753
1615.132693503091	67598184.47838357
1645.1905877536624	67332863.25029528
1675.807864530767	67062604.34900629
1706.9949340384078	66787315.88357812
1738.7624002162504	66506904.25296636
1771.1210643450886	66221274.11419518
1804.0819287193826	65930328.34993982
1837.6562003881704	65633968.0355055
1871.8552949655793	65332092.40519206
1906.690840512252	65024598.81803258
1942.1746814890264	64711382.72289417
1978.3188827841643	64392337.62292966
2015.1357338155585	64098737.15557067
2052.6377527092523	63826926.01500749
2090.8376905557498	63550056.42286813
2129.748535745521	63268034.240508035
2169.3835183851843	62980763.57734647
2209.756114795903	62688146.75826262
2250.880052095462	62390084.29038515
2292.7693128656488	62086474.82926337
2335.438139906479	61777215.144409135
2378.9010410788933	61462200.08419739
2423.1727942376006	61141322.54011338
2468.2684522556924	60814473.41033477
2514.2033481427966	60484722.07881303
2560.9931002584594	60209824.27446313
2608.6536176225477	59929810.575198784
2657.2011053245064	59644585.77334509
2706.652070033241	59354052.889396235
2757.0233256095826	59058113.13904117
2808.3319988231724	58756665.89957608
2860.5955351757416	58449608.67569151
2913.831704832789	58136837.064622805
2968.0586086656026	57818244.72065215
3023.2946844057765	57493723.31894983
3079.5587129142264	57163162.51874257
3136.8698245668766	56826449.92579655
3195.2475057592133	56522137.11382084
3254.711605531848	56242513.08389916
3315.282342319423	55957685.20320095
3376.9803108250912	55667556.627177775
