# Frequency (Hz)	Real Part (Ohm/m)
1000.0	19684924.43158735
1018.6101701559753	19759779.498717785
1037.566678745186	19836027.63138455
1056.875971184804	19913694.75477432
1076.5446128423157	19992807.276545897
1096.5792912678098	20073392.095809113
1116.9868184678226	20155476.612270806
1137.7741332214914	20239088.735551022
1158.9483034398106	20324256.894672588
1180.5165285688054	20411010.047727272
1202.4861420374123	20499377.691721875
1224.8646137509306	20589389.8726075
1247.6595526308697	20681077.195495512
1270.8787092020582	20758912.39693895
1294.529978227916	20823259.569010485
1318.6214013947485	20888804.25290331
1343.1611700460153	20955568.734516203
1368.1576279674719	21023575.7144923
1393.619274224142	21092848.31593753
1419.5547660501015	21163410.092282817
1445.9729217920194	21235285.035292383
1472.882723907502	21308497.583221316
1500.2933220192183	21383072.62912476
1528.2140360258693	21459035.529321857
1556.654359271062	21536412.112017166
1585.6239617711371	21614497.420734905
1615.132693503091	21665252.12219172
1645.1905877536624	21716951.37727886
1675.807864530767	21769612.76430011
1706.9949340384078	21823254.188694477
1738.7624002162504	21877893.889124233
1771.1210643450886	21933550.443676256
1804.0819287193826	21990242.77617879
1837.6562003881704	22047990.16263573
1871.8552949655793	22106812.237780698
1906.690840512252	22166729.00175304
1942.1746814890264	22227760.826898113
1978.3188827841643	22289928.46469405
2015.1357338155585	22338474.532211684
2052.6377527092523	22375089.887733415
2090.8376905557498	22412386.66125173
2129.748535745521	22450377.534071498
2169.3835183851843	22489075.423498806
2209.756114795903	22528493.48723303
2250.880052095462	22568645.12784058
2292.7693128656488	22609543.997311864
2335.438139906479	22651204.001703203
2378.9010410788933	22693639.305864964
2423.1727942376006	22736864.3382578
2468.2684522556924	22780893.795858454
2514.2033481427966	22824513.187194142
2560.9931002584594	22845367.91839209
2608.6536176225477	22866610.759686183
2657.2011053245064	22888248.933871355
2706.652070033241	22910289.798159987
2757.0233256095826	22932740.8466834
2808.3319988231724	22955609.713040024
2860.5955351757416	22978904.172890812
