Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	1.330525879443034716e+07	3.756429976425947994e+07
1.032794731918951654e-10	1.330521515681530163e+07	3.756423256415581703e+07
1.066664958279539403e-10	1.330517008811637200e+07	3.756416316024276614e+07
1.101645949633656381e-10	1.330512354140154086e+07	3.756409148024699837e+07
1.137774133221491146e-10	1.330507546819967590e+07	3.756401744952498376e+07
1.175087130904807540e-10	1.330502581845004298e+07	3.756394099098528922e+07
1.213623798344240958e-10	1.330497454045018181e+07	3.756386202500827610e+07
1.253424265461399975e-10	1.330492158080206066e+07	3.756378046936322004e+07
1.294529978227915867e-10	1.330486688435647823e+07	3.756369623912265152e+07
1.336983741824946476e-10	1.330481039415562525e+07	3.756360924657391757e+07
1.380829765218092491e-10	1.330475205137377791e+07	3.756351940112787485e+07
1.426113707194128486e-10	1.330469179525604285e+07	3.756342660922450572e+07
1.472882723907502473e-10	1.330462956305507943e+07	3.756333077423555404e+07
1.521185517986104510e-10	1.330456528996576928e+07	3.756323179636382312e+07
1.571072389247450498e-10	1.330449890905772522e+07	3.756312957253932208e+07
1.622595287078087593e-10	1.330443035120559484e+07	3.756302399631190300e+07
1.675807864530767868e-10	1.330435954501708597e+07	3.756291495774041116e+07
1.730765534195724819e-10	1.330428641675860621e+07	3.756280234327819943e+07
1.787525525904235329e-10	1.330421089027849212e+07	3.756268603565488011e+07
1.846146946324547531e-10	1.330413288692771271e+07	3.756256591375424713e+07
1.906690840512252406e-10	1.330405232547795214e+07	3.756244185248807073e+07
1.969220255479172543e-10	1.330396912203704752e+07	3.756231372266594321e+07
2.033800305846981002e-10	1.330388318996160105e+07	3.756218139086063951e+07
2.100498241653915480e-10	1.330379443976677768e+07	3.756204471926925331e+07
2.169383518385184289e-10	1.330370277903310768e+07	3.756190356556967646e+07
2.240527869300018610e-10	1.330360811231024936e+07	3.756175778277235478e+07
2.314005380130653023e-10	1.330351034101759270e+07	3.756160721906728297e+07
2.389892566231049743e-10	1.330340936334160529e+07	3.756145171766585857e+07
2.468268452255692806e-10	1.330330507412980311e+07	3.756129111663766950e+07
2.549214654451423314e-10	1.330319736478125863e+07	3.756112524874180555e+07
2.632815465648021228e-10	1.330308612313350104e+07	3.756095394125276804e+07
2.719157943036017723e-10	1.330297123334573023e+07	3.756077701578056067e+07
2.808331998823172083e-10	1.330285257577816769e+07	3.756059428808490932e+07
2.900430493863991314e-10	1.330273002686748654e+07	3.756040556788346916e+07
2.995549334359813486e-10	1.330260345899813436e+07	3.756021065865361691e+07
3.093787571730138678e-10	1.330247274036943540e+07	3.756000935742782056e+07
3.195247505759212065e-10	1.330233773485835083e+07	3.755980145458228886e+07
3.300034791125284578e-10	1.330219830187772587e+07	3.755958673361867666e+07
3.408258547423451742e-10	1.330205429622987658e+07	3.755936497093862295e+07
3.520031472796679687e-10	1.330190556795541383e+07	3.755913593561092764e+07
3.635469961293320139e-10	1.330175196217706054e+07	3.755889938913106173e+07
3.754694224073336536e-10	1.330159331893838570e+07	3.755865508517280221e+07
3.877828414589456106e-10	1.330142947303722799e+07	3.755840276933172345e+07
4.005000757873611052e-10	1.330126025385366566e+07	3.755814217886027694e+07
4.136343684063274911e-10	1.330108548517234065e+07	3.755787304239418358e+07
4.271993966306778827e-10	1.330090498499896564e+07	3.755759507966982573e+07
4.412092863191189219e-10	1.330071856537079252e+07	3.755730800123244524e+07
4.556786265841064474e-10	1.330052603216089122e+07	3.755701150813467056e+07
4.706224849841281415e-10	1.330032718487598188e+07	3.755670529162523896e+07
4.860564232142136024e-10	1.330012181644767523e+07	3.755638903282747418e+07
5.019965133110081441e-10	1.329990971301681548e+07	3.755606240240721405e+07
5.184593543892912175e-10	1.329969065371080115e+07	3.755572506022988260e+07
5.354620899273606527e-10	1.329946441041357443e+07	3.755537665500628948e+07
5.530224256192902378e-10	1.329923074752806313e+07	3.755501682392678410e+07
5.711586478126431938e-10	1.329898942173086479e+07	3.755464519228348881e+07
5.898896425508497150e-10	1.329874018171883933e+07	3.755426137308008224e+07
