# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	17904193.536367502
1018.6101701559753	17827732.828805525
1037.566678745186	17749849.174465578
1056.875971184804	17670516.09206599
1076.5446128423157	17589706.60750395
1096.5792912678098	17507393.244683992
1116.9868184678226	17423548.01617585
1137.7741332214914	17338142.413698405
1158.9483034398106	17251147.39842657
1180.5165285688054	17162533.39111781
1202.4861420374123	17072270.262054842
1224.8646137509306	16980327.32080119
1247.6595526308697	16886673.305766165
1270.8787092020582	16801857.815400206
1294.529978227916	16725622.388006523
1318.6214013947485	16647968.206337143
1343.1611700460153	16568868.867133562
1368.1576279674719	16488297.475768177
1393.619274224142	16406226.63709979
1419.5547660501015	16322628.446158929
1445.9729217920194	16237474.478659928
1472.882723907502	16150735.781336317
1500.2933220192183	16062382.862096405
1528.2140360258693	15972385.679995658
1556.654359271062	15880713.635022461
1585.6239617711371	15787852.363384645
1615.132693503091	15713605.23648258
1645.1905877536624	15637976.357915282
1675.807864530767	15560940.013049146
1706.9949340384078	15482470.008696849
1738.7624002162504	15402539.664211417
1771.1210643450886	15321121.80241448
1804.0819287193826	15238188.740355775
1837.6562003881704	15153712.279900597
1871.8552949655793	15067663.698142169
1906.690840512252	14980013.73763555
1942.1746814890264	14890732.596449727
1978.3188827841643	14799789.918034723
2015.1357338155585	14718321.001242425
2052.6377527092523	14645033.054016296
2090.8376905557498	14570381.20562191
2129.748535745521	14494340.073626438
2169.3835183851843	14416883.803225681
2209.756114795903	14337986.05845311
2250.880052095462	14257620.013225405
2292.7693128656488	14175758.34222126
2335.438139906479	14092373.211590458
2378.9010410788933	14007436.269490154
2423.1727942376006	13920918.63644482
2468.2684522556924	13832790.89552703
2514.2033481427966	13744051.8815597
2560.9931002584594	13673389.892086122
2608.6536176225477	13601412.870964892
2657.2011053245064	13528096.345233263
2706.652070033241	13453415.386482539
2757.0233256095826	13377344.602382042
2808.3319988231724	13299858.128045538
2860.5955351757416	13220929.617236843
2913.831704832789	13140532.233411841
2968.0586086656026	13058638.640593765
3023.2946844057765	12975220.994078664
3079.5587129142264	12890250.930967895
3136.8698245668766	12803699.560524477
3195.2475057592133	12727047.692588368
3254.711605531848	12658004.630668191
3315.282342319423	12587676.665617589
3376.9803108250912	12516039.885170659
3439.8264890229243	12443069.932050187
3503.8422452906757	12368741.995685872
3569.0493456752292	12293030.803778477
3635.4699612933177	12215910.613706974
3703.126675869927	12137355.203775775
3772.0424934169973	12057337.86429909
3842.240846055061	11975831.38851931
3913.745601980384	11892808.063356454
3986.581073580439	11809744.157625038
4060.7720257003657	11743861.995607598
4136.343684063274	11676753.755344769
4213.321743847289	11608396.619311778
4291.732378422157	11538767.345345847
4371.602248248501	11467842.258743566
4452.958509942655	11395597.24421129
4535.828825510186	11322007.737665653
4620.241371751313	11247048.717881499
4706.224849841281	11170694.697984442
4793.808495089106	11092919.716785014
4883.02208687788	11013697.32995158
4973.895958790063	10933000.601019012
5066.461008921268	10862401.967368474
5160.7487103859075	10798709.492082039
5256.791122018419	10733831.68899286
5354.620899273607	10667746.498948848
5454.271305329836	10600431.452273326
5555.7762223988775	10531863.661125122
5659.170163246242	10462019.811716424
5764.488282925873	10390876.156385886
5871.766390733255	10318408.505524123
5981.040962380945	10244592.219349016
6092.349152400711	10169402.199527916
6205.7288067765	10092812.880643914
6321.218475812449	10016713.399554951
6438.8574272404185	9956594.13452334
6558.685659571435	9895356.039739834
6680.743915695614	9832978.29359239
6805.073696735206	9769439.686975185
6931.717276155407	9704718.616077363
7060.717714137772	9638793.075037459
7192.118872221193	9571640.64846117
7325.96542821523	9503238.50379992
7462.302891391108	9433563.383587485
7601.17761795533	9362591.597532263
7742.636826811269	9290299.014462277
7886.728615614156	9216661.054120338
8033.501977124735	9153071.831696488
8183.00681586739	9095590.45581394
8335.293965098195	9037039.341745416
8490.415204088747	8977398.581481256
8648.423275731726	8916647.896520345
8809.37190447399	8854766.630975222
8973.31581458352	8791733.744548837
9140.310748756232	8727527.805380633
9310.413487069076	8662126.982759487
9483.681866285926	8595509.039701018
9660.174799522645	8527651.325386792
9839.952296278227	8458530.767462786
10023.075482838643	8390358.360010827
10209.606623060476	8336703.765190384
10399.609139541202	8282050.649230689
10593.1476351837	8226380.4294834295
10790.287915161836	8169674.1774740545
10991.097009294961	8111912.612465876
11195.643194838794	8053076.094904413
11403.99601970033	7993144.619739754
11616.22632608502	7932097.80962458
11832.40627458378	7869914.907985686
12052.609368708414	7806574.771966496
12276.910479883603	7742055.865238282
12505.385872903913	7676336.250677587
12738.113231864783	7620354.1226633275
12975.171686575868	7569620.32116442
13216.641839466038	7517942.354986958
13462.60579298911	7465302.6530656135
13713.147177539455	7411683.31733456
13968.351179887397	7357066.116641901
14228.30457214352	7301432.480550909
14493.09574126215	7244763.4930258645
14762.81471909391	7187039.886000409
15037.553212997384	7128242.032826194
15317.404637020798	7068349.9415996075
15602.46414366368	7007343.248364297
15892.828656229764	6947643.43143747
16188.596901781993	6900800.155607584
16489.86944471065	6853085.11844385
16796.74872092653	6804482.096319501
17109.339072690134	6754974.563683321
17427.746784089173	6704545.687440781
17752.08011717636	6653178.321230584
18082.44934877952	6600854.9995947555
18418.96680799711	6547557.932040165
18761.746914391195	6493268.996989565
19110.90621689136	6437969.735620084
19466.56343342263	6381641.345587016
19828.83949127071	6324264.6746308245
20197.857568198782	6276064.55678953
20573.743134329114	6232234.552897669
20956.623994804308	6187588.865175443
21346.630333242454	6142112.313607971
21743.8947560008	6095789.435677728
22148.55233726359	6048604.481107087
22560.74066496859	6000541.406503082
22980.599887588487	5951583.869902477
23408.272761782944	5901715.225215317
23843.904700937208	5850918.516565082
24287.643824604504	5799176.472523506
24739.64100886812	5746471.5002380945
25200.049937640895	5695316.288104726
25669.027154919517	5655249.68720406
26146.732118010917	5614437.440043068
26633.327251749808	5572865.670017961
27128.978003724646	5530520.242279001
27633.852900531667	5487386.758924491
28148.123605075813	5443450.5541053265
28671.964974937695	5398696.689038477
29205.55512182745	5353109.946927599
29749.075472144435	5306674.827789173
30302.71082866393	5259375.543182378
30866.649433372742	5211196.010840781
31441.08303147265	5162119.849204281
32026.206936576502	5121457.37097239
32622.220097116733	5084316.946844998
33229.325163989684	5046485.333104932
33847.72855945983	5007949.666595882
34477.640547344636	4968696.844776026
35119.275304507275	4928713.521263005
35772.850993678774	4887986.101296001
36438.58983763541	4846500.737113402
37116.71819475767	4804243.323244374
37807.466635993485	4761199.491712898
38511.070023255685	4717354.607152459
39227.76758927723	4672693.761829871
39957.803018952654	4629709.562679734
40701.42453219439	4596049.589183839
41458.88496832911	4561763.1978537375
42230.441872066716	4526838.73094695
43016.35758106799	4491264.313768418
43816.89931514194	4455027.850632996
44632.33926710397	4418117.020752775
45462.95469532399	4380519.274047882
46309.02801799736	4342221.826879333
47170.84690917023	4303211.657702429
48048.704396551344	4263475.502639338
48942.89896114532	4222999.850969178
49853.73463873894	4181770.9405342597
50781.5211232767	4148064.4017208344
51726.57387216024	4117106.4863023176
52689.21421350677	4085572.4388101907
53669.76945540476	4053451.537328526
54668.57299720181	4020732.8604047275
55685.96444286408	3987405.2833360983
56722.28971644549	3953457.4743873305
57777.90117970507	3918877.890937608
58853.1577519145	3883654.775555963
59948.42503189408	3847776.1520036426
61064.07542232036	3811229.8211620506
62200.48825634718	3774003.3568849172
63358.04992658254	3738479.0274426905
64537.15401646702	3710619.24106026
65738.20143409586	3682240.9793127454
66961.60054853215	3653334.593285376
68207.76732865692	3623890.2544954442
69477.1254846024	3593897.9515504995
70770.10661181889	3563347.4867443824
72087.15033782135	3532228.4725898793
73428.70447166759	3500530.328286874
74795.22515621828	3468242.2761247572
76187.17702322999	3435353.3378179017
77605.0333513357	3401852.330772908
79049.2762269642	3367727.86428641
80520.39670825469	3340184.695025782
82018.8949920221	3314721.250450505
83545.28058382872	3288783.926838928
85100.07247122246	3262363.9052215484
86683.79930019773	3235452.2025063466
88296.99955494082	3208039.668424426
89940.22174092053	3180116.9824188324
91614.0245713852	3151674.6504754648
93318.9771573324	3122703.0018949984
95055.65920101192	3093192.186004751
96824.66119303115	3063132.168809345
98626.5846131283	3032512.729579036
100462.04213468132	3003542.7547076484
102331.65783302448	2980753.249938092
104236.06739764012	2957539.6286070035
106175.9183482999	2933893.997833006
108151.87025522892	2909808.3178468584
110164.59496336569	2885274.39925785
112214.77682079801	2860283.900269305
114303.11291144785	2834828.3238422996
116430.31329208757	2808899.014806571
118597.10123376705	2782487.1569176586
120804.21346773289	2755583.769859298
123052.40043592616	2728179.70619001
125342.42654613995	2700265.6482328735
127675.07043192645	2678008.382032823
130051.12521734099	2657278.465719547
132471.39878661174	2636162.762136364
134936.71405883064	2614654.0917165363
137447.90926775365	2592745.1412803666
140005.8382468096	2570428.46154864
142611.37071941295	2547696.464609788
145265.39259467812	2524541.4213399193
147968.80626863963	2500955.45877483
150722.53093107554	2476930.557433114
153527.5028780421	2452458.5485894457
156384.67583022476	2427531.1114971377
159295.0212572123	2404147.444134667
162259.5287078087	2385670.6165354038
165279.2061464897	2366849.9320305707
168355.08029612005	2347678.99138466
171488.19698705408	2328151.2762712706
174679.62151272455	2308260.1470568674
177930.43899185772	2287998.840543189
181241.75473742394	2267360.4676677077
184614.69463245454	2246338.0111612743
188050.40551285836	2224924.323162155
191550.0555573528	2203112.122785708
195114.83468466165	2180893.993648779
198745.9549580986	2158262.3813480623
202444.65099768018	2140425.686890489
206212.18039991445	2123677.5904641994
210049.8241653915	2106617.809113629
213958.88713434213	2089240.5423293014
217940.6984302958	2071539.881653269
221996.61191199525	2053509.8086701876
226128.00663372793	2035144.1929609615
230336.2873142131	2016436.7900183697
234622.88481422624	1997381.239123839
238989.25662310526	1977971.061184744
243436.8873543108	1958199.6565314485
247967.289250216	1938060.3026733294
252582.00269627848	1919328.3472513068
257282.59674479323	1904444.7820485237
262070.66964838552	1889284.2311647884
266947.8494034318	1873841.5398494508
271915.7943036019	1858111.4574210648
276976.1935036891	1842088.6354821222
282130.76759394706	1825767.6261005157
287381.2691851069	1809142.8799571982
292729.4835042813	1792208.7444593587
298177.22900196735	1774959.4618184553
303726.3579703311	1757389.167092539
309378.75717301364	1739491.8861920824
315136.34848664823	1721261.5338487367
321001.08955431683	1707052.762445501
326974.97445117676	1693595.2255919266
333060.03436245886	1679887.2416876294
339258.33827409917	1665924.1498703775
345571.9936762143	1651701.2025385012
352003.1472796675	1637213.563736663
358553.9857459817	1622456.3075115606
365226.7364308175	1607424.4162370756
372023.6681413066	1592112.7789082064
378947.09190746717	1576516.1894032776
385999.36176797637	1560629.3447138134
393182.87557057705	1544446.8431414326
400500.07578736113	1529522.127850473
407953.45034524484	1517587.4770433365
415545.53347188793	1505430.7203539268
423278.90655735444	1493047.7243539845
431156.19903182285	1480434.2786914397
439180.0892596086	1467586.0946588635
447353.3054498463	1454498.8037352455
455678.6265841068	1441167.956100657
464158.8833612772	1427589.0191232683
472796.9591600391	1413757.3758181902
481595.79101923504	1399668.3232776695
490558.37063650455	1385317.0710720324
499687.7453854889	1370698.7396208963
508987.0193519675	1359427.0935998438
518459.3543892913	1348654.3197658013
528107.971193433	1337681.0627776552
537936.1503980698	1326503.5916097949
547947.2336900292	1315118.1058015858
558144.6249454955	1303520.7341651805
568531.7913873753	1291707.5334692567
579112.2647641759	1279674.4870982969
589889.6425508494	1267417.5036868786
600867.5891719692	1254932.415728573
612049.837247669	1242214.9781589538
623440.1888627863	1229260.8669122132
635042.5168595961	1217413.919575012
646860.7661546321	1207873.578442422
658898.9550799957	1198155.6899380074
671161.1767496272	1188256.9498749706
683651.6004510238	1178173.9925750291
696374.4730628222	1167903.389724061
709334.1204987989	1157441.6492064325
722534.9491787221	1146785.2139176424
735981.4475265755	1135930.4605548736
749678.1874966878	1124873.6983850198
763629.8261282243	1113611.1679898126
777841.1071286482	1102139.039987563
792316.8624866261	1090453.41373114
807062.0141149492	1081537.0664658055
822081.575524054	1072935.33840868
837380.6535266489	1064173.530728777
852964.4499741016	1055248.6643170773
868838.2635251193	1046157.7046228352
885007.4914473438	1036897.5606218029
901477.6314524917	1027465.0837652433
918254.2835656281	1017857.0669093907
935343.1520292377	1008070.2432249885
952750.0472427299	998101.2850865325
970480.8877380306	987946.802940843
988541.7021919573	977603.3441545764
1006938.6314760271	968223.1672413504
1025677.9307444209	960612.5645477709
1044765.9715608053	952860.3272430737
1064209.2440647245	944963.819483047
1084014.359178331	936920.3563699684
1104188.0508541602	928727.2030397123
1124737.1783647507	920381.5737318659
1145668.7286348727	911880.6308425408
1166989.8186171474	903221.4839595606
1188707.6977119034	894401.1888796822
1210829.7502320393	885416.746607541
1233363.4979137746	876265.1023359593
1256316.6024741214	866943.1444072752
1279696.8682159416	859903.3121951141
1303512.2446815087	853046.6212705876
1327770.829355429	846062.3261612486
1352480.8704178738	838948.0521315053
1377650.769549055	831701.3802515315
1403289.084785873	824319.8465748079
1429404.533431761	816800.9413003478
1456005.9950206485	809142.1079193437
1483102.514336103	801340.7423459232
1510703.3044866556	793394.192031731
1538817.7500383465	785299.75506404
1567455.410205595	777054.679247063
1596626.022101425	769640.1100308462
1626339.5040481905	763577.1516981652
1656605.9589499151	757401.3606792643
1687435.6777273756	751110.6371386547
1718839.1428171454	744702.8421625501
1750827.0317357269	738175.7970316148
1783410.220710006	731527.2824801778
1816599.7883753285	724755.0379416532
1850407.019542302	717856.7607799298
1884843.4090337954	710830.1055064432
1919920.6655932867	703672.6829826891
1955650.715865947	696382.0596078912
1992045.7084538713	688955.7564915435
2029118.0180466783	683404.5336543749
2066880.2496290822	677944.8418488511
2105345.242766708	672383.5442498265
2144526.0759716653	666718.7499561975
2184436.0711494284	660948.5328768634
2225088.7981283693	655070.9310758477
2266498.079273693	649083.9461052049
2308677.994187172	642985.5423255375
2351642.884494346	636773.6462138518
2395407.358720879	630446.1456585344
2439986.29725955	624000.8892412216
2485394.857429798	617435.685505284
2531648.478631358	611581.348307609
2578762.8875937983	606755.5645973074
2626754.1037238385	601839.9722310205
2675638.4445520453	596832.8998543797
2725432.531281028	591732.6450088265
2776153.2944368036	586537.4735527582
2827817.979625338	581245.619071904
2880444.1533962977	575855.2822787196
2934049.709215787	570364.6304006161
2988652.873550383	564771.7965567941
3044272.2120643063	559074.8791234837
3100926.6359319235	553271.9410873764
3158635.408267819	547361.0093870113
3217418.1506763715	542987.3216646119
3277294.849923382	538643.0711263542
3338285.8647317644	534217.9733463787
3400411.9327037027	529710.5237437622
3463694.1773717343	525119.1897370705
3528154.1153808828	520442.4102232715
3593813.6638046256	515678.595046939
3660695.147596906	510826.124459583
3728821.30718283	505883.34856892016
3798215.306190736	500848.5867778884
3868900.7393279755	495720.12721323106
3940901.6404034477	490496.2261434377
4014242.490499326	485877.21657343395
4088948.226294856	482038.3295365856
4165044.248545185	478128.0001587714
4242556.430717777	474144.8988858704
4321511.127789762	470087.6714205323
4401935.1852088785	465954.93826170237
4483855.948021181	461745.2942355783
4567301.270168747	457457.3080178307
4652299.523960189	453089.5216469452
4738879.609717651	448640.45002849255
4827070.965603188	444108.58043018356
4916903.577628021	439492.3719675267
5008407.989848212	434790.25507990306
5101615.314749833	431346.2987541011
5196557.243827657	427891.16339855257
5293266.058360566	424371.7273861249
5391774.640387494	420786.7940706535
5492116.483887789	417135.14453618275
5594325.706169377	413415.53718252585
5698437.0594691355	409626.70730310405
5804485.942768984	405767.3666549337
