Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	2.169699038043618668e+06	1.532316055066398345e+06
1.032794731918951654e-10	2.169697846209547017e+06	1.532314455525368685e+06
1.066664958279539403e-10	2.169696615289597306e+06	1.532312803527819924e+06
1.101645949633656381e-10	2.169695344001957215e+06	1.532311097353454214e+06
1.137774133221491146e-10	2.169694031022780109e+06	1.532309335225557908e+06
1.175087130904807540e-10	2.169692674984802492e+06	1.532307515309149399e+06
1.213623798344240958e-10	2.169691274475923274e+06	1.532305635709069902e+06
1.253424265461399975e-10	2.169689828037730884e+06	1.532303694468009984e+06
1.294529978227915867e-10	2.169688334163985215e+06	1.532301689564469736e+06
1.336983741824946476e-10	2.169686791299051140e+06	1.532299618910655612e+06
1.380829765218092491e-10	2.169685197836274747e+06	1.532297480350304628e+06
1.426113707194128486e-10	2.169683552116313949e+06	1.532295271656440338e+06
1.472882723907502473e-10	2.169681852425408084e+06	1.532292990529052680e+06
1.521185517986104510e-10	2.169680096993594896e+06	1.532290634592704009e+06
1.571072389247450498e-10	2.169678283992865589e+06	1.532288201394054340e+06
1.622595287078087593e-10	2.169676411535263527e+06	1.532285688399307430e+06
1.675807864530767868e-10	2.169674477670916822e+06	1.532283092991571408e+06
1.730765534195724819e-10	2.169672480386006646e+06	1.532280412468134193e+06
1.787525525904235329e-10	2.169670417600673623e+06	1.532277644037649734e+06
1.846146946324547531e-10	2.169668287166848779e+06	1.532274784817229491e+06
1.906690840512252406e-10	2.169666086866017431e+06	1.532271831829442177e+06
1.969220255479172543e-10	2.169663814406910446e+06	1.532268781999211991e+06
2.033800305846981002e-10	2.169661467423116323e+06	1.532265632150617195e+06
2.100498241653915480e-10	2.169659043470617384e+06	1.532262379003581824e+06
2.169383518385184289e-10	2.169656540025246795e+06	1.532259019170461455e+06
2.240527869300018610e-10	2.169653954480055720e+06	1.532255549152515130e+06
2.314005380130653023e-10	2.169651284142603166e+06	1.532251965336259920e+06
2.389892566231049743e-10	2.169648526232149918e+06	1.532248263989711879e+06
2.468268452255692806e-10	2.169645677876763046e+06	1.532244441258495906e+06
2.549214654451423314e-10	2.169642736110324506e+06	1.532240493161834311e+06
2.632815465648021228e-10	2.169639697869444266e+06	1.532236415588401025e+06
2.719157943036017723e-10	2.169636559990269132e+06	1.532232204292040551e+06
2.808331998823172083e-10	2.169633319205187261e+06	1.532227854887344642e+06
2.900430493863991314e-10	2.169629972139427438e+06	1.532223362845087890e+06
2.995549334359813486e-10	2.169626515307543799e+06	1.532218723487509415e+06
3.093787571730138678e-10	2.169622945109784603e+06	1.532213931983442744e+06
3.195247505759212065e-10	2.169619257828347385e+06	1.532208983343284810e+06
3.300034791125284578e-10	2.169615449623503722e+06	1.532203872413799632e+06
3.408258547423451742e-10	2.169611516529603396e+06	1.532198593872752041e+06
3.520031472796679687e-10	2.169607454450943042e+06	1.532193142223366071e+06
3.635469961293320139e-10	2.169603259157501627e+06	1.532187511788599892e+06
3.754694224073336536e-10	2.169598926280536689e+06	1.532181696705234936e+06
3.877828414589456106e-10	2.169594451308033429e+06	1.532175690917769913e+06
4.005000757873611052e-10	2.169589829580006190e+06	1.532169488172115060e+06
4.136343684063274911e-10	2.169585056283647195e+06	1.532163082009079168e+06
4.271993966306778827e-10	2.169580126448314171e+06	1.532156465757643804e+06
4.412092863191189219e-10	2.169575034940353129e+06	1.532149632528016577e+06
4.556786265841064474e-10	2.169569776457753032e+06	1.532142575204455527e+06
4.706224849841281415e-10	2.169564345524625387e+06	1.532135286437860224e+06
4.860564232142136024e-10	2.169558736485502683e+06	1.532127758638118161e+06
