# Frequency (Hz)	Real Part (Ohm/m)
1000.0	981918.1600784777
1018.6101701559753	993823.9804766884
1037.566678745186	1005951.3702183567
1056.875971184804	1018304.4527466648
1076.5446128423157	1030887.4282427761
1096.5792912678098	1043704.5750539378
1116.9868184678226	1056760.2511481696
1137.7741332214914	1070058.8955960167
1158.9483034398106	1083605.0300798817
1180.5165285688054	1097403.2604314475
1202.4861420374123	1111458.278197707
1224.8646137509306	1125774.8622361415
1247.6595526308697	1140357.8803395845
1270.8787092020582	1154436.8487239676
1294.529978227916	1168033.3819417239
1318.6214013947485	1181882.9489561932
1343.1611700460153	1195990.258769388
1368.1576279674719	1210360.1080186507
1393.619274224142	1224997.382607557
1419.5547660501015	1239907.0593671834
1445.9729217920194	1255094.2077482762
1472.882723907502	1270563.9915449254
1500.2933220192183	1286321.6706503069
1528.2140360258693	1302372.6028451019
1556.654359271062	1318722.2456192053
1585.6239617711371	1335330.3333799506
1615.132693503091	1350443.7681602798
1645.1905877536624	1365838.4665335116
1675.807864530767	1381519.662862969
1706.9949340384078	1397492.6889243678
1738.7624002162504	1413762.9757186742
1771.1210643450886	1430336.0553187102
1804.0819287193826	1447217.5627501102
1837.6562003881704	1464413.237907298
1871.8552949655793	1481928.9275051088
1906.690840512252	1499770.5870667335
1942.1746814890264	1517944.2829486658
1978.3188827841643	1536456.1944033226
2015.1357338155585	1554116.1775446231
2052.6377527092523	1571065.7890028898
2090.8376905557498	1588330.8356144724
2129.748535745521	1605917.1876812484
2169.3835183851843	1623830.824752409
2209.756114795903	1642077.8376575774
2250.880052095462	1660664.4305777482
2292.7693128656488	1679596.9231547827
2335.438139906479	1698881.7526401544
2378.9010410788933	1718525.4760836763
2423.1727942376006	1738534.7725629804
2468.2684522556924	1758916.4454544643
2514.2033481427966	1779544.5664080642
2560.9931002584594	1798008.8604099732
2608.6536176225477	1816816.7780650663
2657.2011053245064	1835974.7142680015
2706.652070033241	1855489.18292351
2757.0233256095826	1875366.8191612002
2808.3319988231724	1895614.381591574
2860.5955351757416	1916238.7546040192
2913.831704832789	1937246.950707588
2968.0586086656026	1958646.112915313
3023.2946844057765	1980443.517172919
3079.5587129142264	2002646.5748327186
3136.8698245668766	2025262.8351735494
3195.2475057592133	2046515.6289061299
3254.711605531848	2066763.2540263752
3315.282342319423	2087387.6908953625
3376.9803108250912	2108395.9520438546
3439.8264890229243	2129795.180506999
3503.8422452906757	2151592.6522530513
3569.0493456752292	2173795.778657266
3635.4699612933177	2196412.109021858
3703.126675869927	2219449.3331428403
3772.0424934169973	2242915.2839246336
3842.240846055061	2266817.9400433493
3913.745601980384	2291165.428659613
3986.581073580439	2315687.543671318
4060.7720257003657	2337199.52002444
4136.343684063274	2359111.837917884
4213.321743847289	2381431.9477758375
4291.732378422157	2404167.438676147
4371.602248248501	2427326.0409306902
4452.958509942655	2450915.628713767
4535.828825510186	2474944.2227393948
4620.241371751313	2499419.992988449
4706.224849841281	2524351.2614865364
4793.808495089106	2549746.5051335767
4883.02208687788	2575614.3585860427
4973.895958790063	2601963.6171928276
5066.461008921268	2626256.6621719836
5160.7487103859075	2649197.225297102
5256.791122018419	2672564.716205452
5354.620899273607	2696367.0800957265
5454.271305329836	2720612.410028113
5555.7762223988775	2745308.949676028
5659.170163246242	2770465.0961290547
5764.488282925873	2796089.4027480404
5871.766390733255	2822190.582073336
5981.040962380945	2848777.5087871472
6092.349152400711	2875859.2227310245
6205.7288067765	2903444.9319795137
6321.218475812449	2931049.360298555
6438.8574272404185	2954674.327453988
6558.685659571435	2978738.9592681136
6680.743915695614	3003251.4379750397
6805.073696735206	3028220.0980816456
6931.717276155407	3053653.4292014046
7060.717714137772	3079560.0789409336
7192.118872221193	3105948.8558402876
7325.96542821523	3132828.732367946
7462.302891391108	3160208.847971555
7601.17761795533	3188098.51218544
7742.636826811269	3216507.207795935
7886.728615614156	3245444.594065654
8033.501977124735	3271483.234206328
8183.00681586739	3295811.7200390743
8335.293965098195	3320592.9631328057
8490.415204088747	3345835.389377188
8648.423275731726	3371547.581469128
8809.37190447399	3397738.2818309814
8973.31581458352	3424416.395583073
9140.310748756232	3451590.993571533
9310.413487069076	3479271.315452477
9483.681866285926	3507466.772833599
9660.174799522645	3536186.952474207
9839.952296278227	3565441.619544838
10023.075482838643	3594465.3503751415
10209.606623060476	3618551.2941532
10399.609139541202	3643085.481443332
10593.1476351837	3668076.2541335723
10790.287915161836	3693532.1093559074
10991.097009294961	3719461.7023753957
11195.643194838794	3745873.849533055
11403.99601970033	3772777.5312434994
11616.22632608502	3800181.8950483985
11832.40627458378	3828096.2587267226
12052.609368708414	3856530.113462896
12276.910479883603	3885493.1270739026
12505.385872903913	3914995.1472964375
12738.113231864783	3940716.3038294823
12975.171686575868	3964431.240784269
13216.641839466038	3988587.516751023
13462.60579298911	4013193.3451238554
13713.147177539455	4038257.092149532
13968.351179887397	4063787.279772103
14228.30457214352	4089792.5885304436
14493.09574126215	4116281.860509736
14762.81471909391	4143264.1023478736
15037.553212997384	4170748.488297806
15317.404637020798	4198744.363346899
15602.46414366368	4227261.246394321
15892.828656229764	4255226.095034382
16188.596901781993	4277518.970708358
16489.86944471065	4300226.72059189
16796.74872092653	4323357.065564613
17109.339072690134	4346917.870193046
17427.746784089173	4370917.145404625
17752.08011717636	4395363.051211514
18082.44934877952	4420263.899485084
18418.96680799711	4445628.1567820525
