# Frequency (Hz)	Real Part (Ohm/m)
1000.0	12210520.230664482
1018.6101701559753	12260355.862930069
1037.566678745186	12311118.94479195
1056.875971184804	12362826.736244919
1076.5446128423157	12415496.818495221
1096.5792912678098	12469147.09993833
1116.9868184678226	12523795.822248008
1137.7741332214914	12579461.566578679
1158.9483034398106	12636163.2598832
1180.5165285688054	12693920.181348253
1202.4861420374123	12752751.968949456
1224.8646137509306	12812678.626128495
1247.6595526308697	12873720.52859452
1270.8787092020582	12926749.955445554
1294.529978227916	12971983.464568218
1318.6214013947485	13018058.776992405
1343.1611700460153	13064991.558820792
1368.1576279674719	13112797.767704902
1393.619274224142	13161493.658270858
1419.5547660501015	13211095.787646143
1445.9729217920194	13261621.021089194
1472.882723907502	13313086.5377238
1500.2933220192183	13365509.836380137
1528.2140360258693	13418908.741544606
1556.654359271062	13473301.409420332
1585.6239617711371	13528273.532231675
1615.132693503091	13567232.913256524
1645.1905877536624	13606917.33499142
1675.807864530767	13647340.290567338
1706.9949340384078	13688515.524224736
1738.7624002162504	13730457.035986708
1771.1210643450886	13773179.086419173
1804.0819287193826	13816696.201479593
1837.6562003881704	13861023.177455986
1871.8552949655793	13906175.085997803
1906.690840512252	13952167.279240448
1942.1746814890264	13999015.395025186
1978.3188827841643	14046735.362216165
2015.1357338155585	14086476.529021353
2052.6377527092523	14119256.992469126
2090.8376905557498	14152647.505919458
2129.748535745521	14186659.4225067
2169.3835183851843	14221304.306648951
2209.756114795903	14256593.937980132
2250.880052095462	14292540.315355124
2292.7693128656488	14329155.660929555
2335.438139906479	14366452.42431545
2378.9010410788933	14404443.28681422
2423.1727942376006	14443141.165728465
2468.2684522556924	14482559.21875398
2514.2033481427966	14521954.697129507
2560.9931002584594	14547583.213236934
2608.6536176225477	14573688.680389958
2657.2011053245064	14600279.974728711
2706.652070033241	14627366.137579769
2757.0233256095826	14654956.37853036
2808.3319988231724	14683060.078559687
2860.5955351757416	14711686.79322857
2913.831704832789	14740846.255928455
2968.0586086656026	14770548.381190833
3023.2946844057765	14800803.268058341
3079.5587129142264	14831621.2035185
3136.8698245668766	14863012.666001434
3195.2475057592133	14887371.61046201
3254.711605531848	14906204.905029207
3315.282342319423	14925388.690412898
3376.9803108250912	14944929.489306815
3439.8264890229243	14964833.945793128
3503.8422452906757	14985108.82760152
3569.0493456752292	15005761.02841025
3635.4699612933177	15026797.570190134
3703.126675869927	15048225.605592031
3772.0424934169973	15070052.420378868
3842.240846055061	15092285.435902847
3913.745601980384	15114932.211628811
3986.581073580439	15137132.629014889
4060.7720257003657	15148943.829094926
4136.343684063274	15160974.837618195
4213.321743847289	15173229.745257232
4291.732378422157	15185712.718812676
4371.602248248501	15198428.002630042
4452.958509942655	15211379.92004283
4535.828825510186	15224572.874842513
4620.241371751313	15238011.352775883
4706.224849841281	15251699.923070228
4793.808495089106	15265643.239986945
4883.02208687788	15279846.044404017
4973.895958790063	15294313.165427983
5066.461008921268	15303442.518019497
5160.7487103859075	15308768.48230263
5256.791122018419	15314193.563687317
5354.620899273607	15319719.60675968
5454.271305329836	15325348.49043391
5555.7762223988775	15331082.128591105
5659.170163246242	15336922.470730022
5764.488282925873	15342871.50262991
5871.766390733255	15348931.247025717
5981.040962380945	15355103.764295835
6092.349152400711	15361391.15316264
6205.7288067765	15367795.55140609
6321.218475812449	15373582.185039224
6438.8574272404185	15372782.44007647
6558.685659571435	15371967.81172388
6680.743915695614	15371138.022999033
6805.073696735206	15370292.791764824
6931.717276155407	15369431.830633525
7060.717714137772	15368554.846869074
7192.118872221193	15367661.542287543
7325.96542821523	15366751.613155749
7462.302891391108	15365824.750087984
7601.17761795533	15364880.637940815
7742.636826811269	15363918.955705939
7886.728615614156	15362939.376401039
8033.501977124735	15358694.654862447
8183.00681586739	15352297.749796016
8335.293965098195	15345781.797237828
8490.415204088747	15339144.581693806
8648.423275731726	15332383.846439147
8809.37190447399	15325497.292751022
8973.31581458352	15318482.579126967
9140.310748756232	15311337.320488775
9310.413487069076	15304059.087371523
9483.681866285926	15296645.405097514
9660.174799522645	15289093.75293491
9839.952296278227	15281401.5632406
10023.075482838643	15273153.610694133
10209.606623060476	15261837.110422108
10399.609139541202	15250310.008154446
10593.1476351837	15238568.384552183
10790.287915161836	15226608.24733677
10991.097009294961	15214425.52993269
11195.643194838794	15202016.090084754
11403.99601970033	15189375.708449716
11616.22632608502	15176500.087161608
11832.40627458378	15163384.848370465
12052.609368708414	15150025.532753784
12276.910479883603	15136417.598000308
12505.385872903913	15122556.417265598
12738.113231864783	15107478.556545136
12975.171686575868	15091569.892158892
13216.641839466038	15075365.164821466
13462.60579298911	15058858.864750957
13713.147177539455	15042045.379627494
13968.351179887397	15024918.992684962
14228.30457214352	15007473.880767278
14493.09574126215	14989704.112348417
14762.81471909391	14971603.64551564
15037.553212997384	14953166.325915208
15317.404637020798	14934385.884659793
15602.46414366368	14915255.93619701
15892.828656229764	14895786.210017135
16188.596901781993	14876046.993807128
16489.86944471065	14855940.427424714
16796.74872092653	14835459.674420666
17109.339072690134	14814597.771118289
17427.746784089173	14793347.62424568
17752.08011717636	14771702.008523932
18082.44934877952	14749653.56421047
18418.96680799711	14727194.794596663
18761.746914391195	14704318.063458843
19110.90621689136	14681015.592461945
19466.56343342263	14657279.45851473
19828.83949127071	14633101.591075916
20197.857568198782	14609481.849261595
20573.743134329114	14585940.844045904
20956.623994804308	14561961.7367175
21346.630333242454	14537536.374121524
21743.8947560008	14512656.451371523
22148.55233726359	14487313.509025672
22560.74066496859	14461498.930210512
22980.599887588487	14435203.937691102
23408.272761782944	14408419.59088665
23843.904700937208	14381136.782830654
24287.643824604504	14353346.2370744
24739.64100886812	14325038.504532898
25200.049937640895	14296684.184222858
25669.027154919517	14270087.087416094
26146.732118010917	14242995.01411211
26633.327251749808	14215398.752714053
27128.978003724646	14187288.920195714
27633.852900531667	14158655.95891115
28148.123605075813	14129490.13334501
28671.964974937695	14099781.526802348
29205.55512182745	14069520.038036827
29749.075472144435	14038695.377816208
30302.71082866393	14007297.065423891
30866.649433372742	13975314.425095327
31441.08303147265	13942736.58238822
32026.206936576502	13912199.801363017
32622.220097116733	13882309.201476311
33229.325163989684	13851862.332439654
33847.72855945983	13820848.8419895
34477.640547344636	13789258.18520494
35119.275304507275	13757079.620922284
35772.850993678774	13724302.208082946
36438.58983763541	13690914.802013401
37116.71819475767	13656906.050635833
37807.466635993485	13622264.390608337
38511.070023255685	13586978.043393243
39227.76758927723	13551035.011252292
39957.803018952654	13515387.591818074
40701.42453219439	13482970.611247396
41458.88496832911	13449950.34515236
42230.441872066716	13416315.566286692
43016.35758106799	13382054.838463178
43816.89931514194	13347156.512665205
44632.33926710397	13311608.72308597
45462.95469532399	13275399.383093996
46309.02801799736	13238516.181123538
47170.84690917023	13200946.57648851
48048.704396551344	13162677.79511853
48942.89896114532	13123696.825215595
49853.73463873894	13083990.412829923
50781.5211232767	13047661.987236626
51726.57387216024	13012334.077530485
52689.21421350677	12976348.709413458
53669.76945540476	12939693.647472644
54668.57299720181	12902356.428592037
55685.96444286408	12864324.357714914
56722.28971644549	12825584.503527375
57777.90117970507	12786123.69406159
58853.1577519145	12745928.512217164
59948.42503189408	12704985.291199157
61064.07542232036	12663280.109871272
62200.48825634718	12620798.788022483
63358.04992658254	12579022.759586234
64537.15401646702	12541669.503396457
65738.20143409586	12503621.09675311
66961.60054853215	12464864.602787964
68207.76732865692	12425386.843875479
69477.1254846024	12385174.397152254
70770.10661181889	12344213.589953125
72087.15033782135	12302490.495162293
73428.70447166759	12259990.92647797
74795.22515621828	12216700.433588868
76187.17702322999	12172604.297260975
77605.0333513357	12127687.524332797
79049.2762269642	12081934.842617568
80520.39670825469	12040908.02877083
82018.8949920221	12001121.224956412
83545.28058382872	11960593.981953051
85100.07247122246	11919312.520061446
86683.79930019773	11877262.80313975
88296.99955494082	11834430.53383113
89940.22174092053	11790801.148702508
91614.0245713852	11746359.813292846
93318.9771573324	11701091.41706925
95055.65920101192	11654980.568289243
96824.66119303115	11608011.588767407
98626.5846131283	11560168.508544609
100462.04213468132	11513532.318378031
102331.65783302448	11472378.315126818
104236.06739764012	11430458.4288725
106175.9183482999	11387758.406402074
108151.87025522892	11344263.729247801
110164.59496336569	11299959.608750813
112214.77682079801	11254830.981032763
114303.11291144785	11208862.50187398
116430.31329208757	11162038.541496236
118597.10123376705	11114343.179248484
120804.21346773289	11065760.19819365
123052.40043592616	11016273.079594707
125342.42654613995	10965864.997298107
127675.07043192645	10921580.53903277
130051.12521734099	10878691.849015616
132471.39878661174	10835004.993179485
134936.71405883064	10790505.117522663
137447.90926775365	10745177.091607945
140005.8382468096	10699005.503418121
142611.37071941295	10651974.654115709
145265.39259467812	10604068.5527052
147968.80626863963	10555270.910595939
150722.53093107554	10505565.136063807
153527.5028780421	10454934.328609904
156384.67583022476	10403361.273214139
159295.0212572123	10353576.465538347
162259.5287078087	10310177.10960017
165279.2061464897	10265970.084263315
168355.08029612005	10220940.358662866
171488.19698705408	10175072.622206906
174679.62151272455	10128351.279370831
177930.43899185772	10080760.444394665
181241.75473742394	10032283.93588172
184614.69463245454	9982905.271296795
188050.40551285836	9932607.661361858
191550.0555573528	9881374.004347596
195114.83468466165	9829186.880258588
198745.9549580986	9776028.544910328
202444.65099768018	9730332.914702186
206212.18039991445	9686088.680605693
210049.8241653915	9641021.053784247
213958.88713434213	9595114.71075913
217940.6984302958	9548354.042879067
221996.61191199525	9500723.151013164
226128.00663372793	9452205.840144943
230336.2873142131	9402785.613865959
234622.88481422624	9352445.66876678
238989.25662310526	9301168.888723655
243436.8873543108	9248937.839078886
247967.289250216	9195734.760712793
252582.00269627848	9144920.03474003
257282.59674479323	9101115.795063885
262070.66964838552	9056496.351033805
266947.8494034318	9011046.53155807
271915.7943036019	8964750.883208321
276976.1935036891	8917593.664965315
282130.76759394706	8869558.842866717
287381.2691851069	8820630.084555447
292729.4835042813	8770790.753726497
298177.22900196735	8720023.904470349
303726.3579703311	8668312.275511267
309378.75717301364	8615638.284338215
315136.34848664823	8561984.021226628
321001.08955431683	8516884.856787717
326974.97445117676	8473171.46971953
333060.03436245886	8428644.569079913
339258.33827409917	8383289.015242878
345571.9936762143	8337089.386831409
352003.1472796675	8290029.975474073
358553.9857459817	8242094.780463923
365226.7364308175	8193267.503318184
372023.6681413066	8143531.542236505
378947.09190746717	8092869.986456223
385999.36176797637	8041265.610502511
393182.87557057705	7988700.8683315
400500.07578736113	7939056.231922412
407953.45034524484	7896659.296841245
415545.53347188793	7853473.34758412
423278.90655735444	7809483.700462983
431156.19903182285	7764675.398523808
439180.0892596086	7719033.206461152
447353.3054498463	7672541.605437919
455678.6265841068	7625184.787808812
464158.8833612772	7576946.651745595
472796.9591600391	7527810.79576222
481595.79101923504	7477760.513138244
490558.37063650455	7426778.786238279
499687.7453854889	7374848.280725856
508987.0193519675	7332154.869433866
518459.3543892913	7290665.03452271
528107.971193433	7248403.066724119
537936.1503980698	7205354.596513668
547947.2336900292	7161504.986947644
558144.6249454955	7116839.328686332
568531.7913873753	7071342.434924638
579112.2647641759	7024998.836228475
589889.6425508494	6977792.775274935
600867.5891719692	6929708.201494655
612049.837247669	6880728.765614453
623440.1888627863	6830837.814098369
635042.5168595961	6784254.628538112
646860.7661546321	6744744.735062931
658898.9550799957	6704499.555747325
671161.1767496272	6663505.406796712
683651.6004510238	6621748.3497587135
696374.4730628222	6579214.186784034
709334.1204987989	6535888.455798952
722534.9491787221	6491756.425588099
735981.4475265755	6446803.090785706
749678.1874966878	6401013.166773552
763629.8261282243	6354371.084484105
777841.1071286482	6306860.985106827
792316.8624866261	6258466.714696001
807062.0141149492	6219513.19778069
822081.575524054	6181498.628001676
837380.6535266489	6142776.600610667
852964.4499741016	6103333.94970113
868838.2635251193	6063157.264346757
885007.4914473438	6022232.884041641
901477.6314524917	5980546.894055523
918254.2835656281	5938085.120702637
935343.1520292377	5894833.126522533
952750.0472427299	5850776.205371145
970480.8877380306	5805899.377420588
988541.7021919573	5760187.384065812
1006938.6314760271	5717988.824569814
1025677.9307444209	5682345.907614574
1044765.9715608053	5646039.669909938
1064209.2440647245	5609057.766943899
1084014.359178331	5571387.6244709715
1104188.0508541602	5533016.434236822
1124737.1783647507	5493931.149623327
1145668.7286348727	5454118.481212576
1166989.8186171474	5413564.892268342
1188707.6977119034	5372256.594133422
1210829.7502320393	5330179.541541355
1233363.4979137746	5287319.427840889
1256316.6024741214	5243661.680131548
1279696.8682159416	5209207.089870431
1303512.2446815087	5175392.625531251
1327770.829355429	5140948.868256984
1352480.8704178738	5105864.106799031
1377650.769549055	5070126.411960459
1403289.084785873	5033723.632539965
1429404.533431761	4996643.391200307
1456005.9950206485	4958873.08025989
1483102.514336103	4920399.857406029
1510703.3044866556	4881210.641328404
1538817.7500383465	4841292.1072713
1567455.410205595	4800630.682503015
1596626.022101425	4763510.0427026
1626339.5040481905	4732204.55554482
1656605.9589499151	4700316.467944213
1687435.6777273756	4667834.937607413
1718839.1428171454	4634748.920464121
1750827.0317357269	4601047.166912003
1783410.220710006	4566718.217991734
1816599.7883753285	4531750.401490776
1850407.019542302	4496131.8279747525
1884843.4090337954	4459850.386744888
1919920.6655932867	4422893.741720223
1955650.715865947	4385249.327243265
1992045.7084538713	4346904.343807459
2029118.0180466783	4317188.645642906
2066880.2496290822	4287824.112868509
2105345.242766708	4257913.101142628
2144526.0759716653	4227445.440398997
2184436.0711494284	4196410.771304665
2225088.7981283693	4164798.5417377558
2266498.079273693	4132598.003199597
2308677.994187172	4099798.2071601273
2351642.884494346	4066388.001335287
2395407.358720879	4032356.025895093
2439986.29725955	3997690.7096012174
2485394.857429798	3962380.2658726024
2531648.478631358	3930491.6343129235
2578762.8875937983	3903579.248438105
2626754.1037238385	3876166.0184828476
2675638.4445520453	3848242.6236536
2725432.531281028	3819799.5696952487
2776153.2944368036	3790827.185662973
2827817.979625338	3761315.620634038
2880444.1533962977	3731254.84035834
2934049.709215787	3700634.623846692
2988652.873550383	3669444.559895551
3044272.2120643063	3637674.0435470995
3100926.6359319235	3605312.2724834667
3158635.408267819	3572348.243353784
3217418.1506763715	3547228.36953295
3277294.849923382	3522210.0673443596
3338285.8647317644	3496726.1702950224
3400411.9327037027	3470768.0135853644
3463694.1773717343	3444326.7711624005
3528154.1153808828	3417393.4527188125
3593813.6638046256	3389958.900636122
3660695.147596906	3362013.7868710184
3728821.30718283	3333548.609783724
3798215.306190736	3304553.690907309
3868900.7393279755	3275019.171656947
3940901.6404034477	3244935.0099778627
4014242.490499326	3218050.393953429
4088948.226294856	3195302.8597007464
4165044.248545185	3172131.989964987
4242556.430717777	3148529.9064007862
4321511.127789762	3124488.5840454204
4401935.1852088785	3099999.8485902427
4483855.948021181	3075055.373601346
4567301.270168747	3049646.677688449
4652299.523960189	3023765.1216211733
4738879.609717651	2997401.9053915855
4827070.965603188	2970548.0652221018
4916903.577628021	2943194.470517729
5008407.989848212	2915331.8207615246
5101615.314749833	2894428.443745794
5196557.243827657	2873430.089187507
5293266.058360566	2852040.951677893
5391774.640387494	2830253.758679739
5492116.483887789	2808061.1023126654
5594325.706169377	2785455.436834389
5698437.0594691355	2762429.0760750724
5804485.942768984	2738974.1908239494
5912508.413831869	2715082.8061673203
6022541.201461928	2690746.7987769633
6134621.717992506	2665957.8941481574
6248788.072006888	2640707.66378623
6365079.081295578	2618372.866438547
6483534.286054714	2599398.7691737446
6604193.962330305	2580071.560730283
6727099.135712336	2560384.6696490515
6852291.595284057	2540331.4021749552
6979813.907830667	2519904.939980981
7109709.432312423	2499098.3378498973
7242022.334607315	2477904.5213127807
7376797.60252773	2456316.2842436577
7514081.061116962	2434326.286409309
7653919.388230155	2411927.0509735323
7796360.130405221	2389110.961954936
7941451.71902934	2365870.261637406
8089243.486805938	2348688.0278693796
8239785.684528512	2331268.9541127984
8393129.498166373	2313525.708429647
8549327.066268368	2295452.2579252166
8708431.497690724	2277042.457431589
8870496.889654402	2258290.0474182395
9035578.34613892	2239188.6518637068
9203731.99661823	2219731.776087686
9375015.01514529	2199912.8045427706
9549485.639791967	2179724.998565089
9727203.192450536	2159161.4940830874
9908228.099003786	2138215.2992836717
10092621.909870483	2119872.328970144
10280447.320933098	2104208.7516710176
10471768.194855202	2088253.6725331037
10666649.582795387	2072001.666657581
10865157.746525371	2055447.208187339
11067360.180959744	2038584.6684281235
11273325.63710487	2021408.3139347294
11483124.14543511	2003912.3045615547
11696827.039703846	1986090.6914768934
11914506.981197748	1967937.4151402726
12136237.983442418	1949446.3032421372
12362095.437367693	1930611.0686052062
12592156.13694151	1911493.2465666712
12826498.3052806	1897436.6138200748
13065201.621247198	1883118.3847462435
13308347.24654076	1868533.690993015
13556017.853293689	1853677.5736073677
13808297.652180923	1838544.9813493162
14065272.421052363	1823130.7689744416
14327029.534098294	1807429.6954844499
14593657.991557576	1791436.4223451759
14865248.449978571	1775145.5116714318
15141893.25304352	1758551.4243780528
15423686.462966273	1741648.5182965612
15710723.892474487	1724431.0462567622
16003103.137387017	1709501.084009537
16300923.609797413	1696674.6803909556
16604286.571875297	1683609.575218543
16913295.17029647	1670301.3262157661
17228054.471313924	1656745.4084345691
17548671.49648152	1642937.2127168428
17875255.259042352	1628872.0441272636
18207916.800994623	1614545.12035696
18546769.230846975	1599951.5700974795
18891927.762076646	1585086.4313844896
19243509.75230332	1569944.6499106574
19601634.743191857	1554521.0773071349
19966424.501097932	1538978.7664285
20338003.0584698	1527506.884407917
20716496.75602067	1515821.5087109213
21102034.285685964	1503918.666183867
21494746.734379806	1491794.3097320453
21894767.628566206	1479444.3169436236
22302232.979659364	1466864.4886879849
22717281.330269028	1454050.5476879752
23140053.80130654	1440998.1370655852
23570694.139967278	1427702.8188605688
24009348.76860652	1414160.0725214786
24456166.83452444	1400365.293368639
24911300.26067791	1386313.7910284998
25374903.797335718	1374246.8839215178
25847135.07469564	1363810.1429920373
26328154.656480197	1353179.172537985
26818126.094530128	1342350.3579148604
27317215.98441379	1331320.0172090102
27825594.022071257	1320084.3999857472
28343433.061513092	1308639.686014152
28870909.173592344	1296981.983968158
29408201.705870606	1285107.3301034614
29955493.34359816	1273011.686909798
30512970.171828706	1260690.9417381554
31080821.738690637	1248140.9054024208
31659241.119835205	1235587.0164505877
32248424.98408439	1226277.0395286148
32848573.66030047	1216793.8023519753
33459891.20549975	1207134.08051785
34082585.47423452	1197294.5896167315
34716868.189265594	1187271.9841156958
35362955.013550386	1177062.8562208798
36021065.62357073	1166663.7347187954
36691423.78402494	1156071.0837960865
37374257.42391064	1145281.3018373023
38069798.71402284	1134290.7202003193
38778284.14589453	1123095.6019689592
39499954.61220647	1111692.1406823958
40235055.48869293	1101992.906278975
40983836.717572615	1093542.7892061358
41746552.89253134	1084935.4140167332
42523463.34528677	1076167.8541104593
43314832.23376403	1067237.1284224761
44120928.631911896	1058140.2004098238
44942026.62119142	1048873.9770189598
45778405.38376616	1039435.3076340882
46630349.29742726	1029820.983005919
47498148.03228505	1020027.7341604828
48382096.649259575	1010052.2312876546
49282495.700405136	999891.0826089716
50199651.33110079	989802.5010615953
51133875.38414321	982280.2994737456
52085485.50577665	974618.1084343978
53054805.25369574	966813.322716041
54042164.20705915	958863.2886074346
55047898.078549676	950765.3030113215
56072348.82852027	942516.6125253437
57115864.78126434	934114.4125058571
58178800.74344935	925555.8461143242
59261518.124755524	916838.0033459539
60364385.060758635	907957.9200402709
61487776.53810017	898912.5768732697
62632074.521986924	889698.8983308107
63797668.08606282	881936.5704816639
64984953.54469889	875121.6808933299
66194334.587743886	868179.9650501634
67426222.41778335	861109.0626939811
68681035.88995308	853906.5696417928
69959201.65435374	846570.0369683573
71261154.30111745	839096.9701735141
72587336.50817245	831484.8283340319
73938199.19175874	823731.0232396644
75314201.65974376	815832.9185131356
76715811.76779301	807787.8287137365
78143506.07844542	799593.0184242501
79597770.02314977	791518.0693693392
81079098.06731695	785461.4511242522
82587993.87844272	779292.1181830546
84124970.49736118	773007.9729060727
85690550.51268347	766606.8786162015
87285266.2384837	760086.658872411
88909659.89529167	753445.0967297336
90564283.79445294	746679.9339854806
92249700.52592173	739788.8704114237
93966483.1495469	732769.5629716981
95715215.38991857	725619.6250261421
97496491.83484097	718336.6255188137
99310918.137498	710918.0881514093
101159111.22238298	704727.1706138771
103041699.49505854	699248.0336759493
104959323.05582266	693666.9290672973
106912633.91734771	687981.95915222
108902296.22637327	682191.1909796916
110928986.48952228	676292.6556261398
112993393.80332193	670284.3475259878
115096220.0885031	664164.2237897405
117238180.32865997	657930.2035093864
119420002.8133535	651580.1670508588
121642429.3857368	645111.9553333432
123906215.6947913	638523.3690951596
126212131.45225461	632080.6090223665
128560960.69432965	627217.4170416339
130953502.04826704	622263.7202306389
133390569.00390588	617217.834279091
135872990.19027063	612078.0435313972
138401609.65731302	606842.6004033214
140977287.16289675	601509.7247877907
143600898.46512634	596077.6034496339
146273335.620113	590544.3894090673
148995507.28528506	584908.2013136965
151768339.02834037	579167.1227988384
154592773.64194784	573319.20183594
157469771.46430898	567362.4500688635
160400310.70568198	562438.2663550433
163385387.78098568	558043.8324746295
166426017.64859018	553567.6174319611
169523234.15541214	549008.0992656942
172678090.38843593	544363.7276905234
175891659.03277326	539632.9235700723
179165032.73638958	534814.078379965
182499324.48161504	529905.5536609135
185895667.9635688	524905.6804616257
189355217.9756299	519812.7587713406
192879150.80207777	514625.0569418095
196468664.61804405	509340.8110985124
200124979.8969035	504213.2523571898
203849339.82524642	500316.82835814153
207643010.7255779	496347.8912454712
211507282.48687947	492305.0915377965
215443469.00318778	488187.05463965563
219452908.62033114	483992.38037413073
223536964.59097964	479719.6425067755
227697025.53816846	475367.3882606768
231934505.92744273	470934.1378224974
236250846.547794	466418.3838393192
240647515.00154215	461818.5909061308
245126006.20333397	457133.19504377316
249687842.8884332	452360.6031671691
254334576.13046482	448452.47164307575
259067785.8688001	444934.84421182424
263889081.44575077	441351.7531355312
268800102.15376073	437701.98012462386
273802517.7927863	433984.28421695286
278898029.23804396	430197.40135585266
284088369.0183295	426340.0439603469
289375301.9050947	422410.9004873573
294760625.51248586	418408.634985768
300246170.90855557	414331.88664218487
305833803.23784316	410179.2693182455
311525422.35554785	405949.3710793151
317322963.4734973	401876.7220676156
323228397.81813806	398760.2898771577
329243733.30077755	395585.8603533559
335371015.2002929	392352.3541559686
341612326.8585518	389058.6718580477
347969790.3887688	385703.69357212185
354445567.3970435	382286.27856942546
361041859.71733445	378805.2648920351
367760910.160103	375259.4689577943
374605003.2748981	371647.6851578786
381576466.1271245	367968.6854468792
388677669.0892668	364221.2189252545
395911026.6468467	360404.0114140083
403278998.21937054	357307.69178285985
410784088.99656343	354496.28801966284
418428850.79015756	351632.5635540548
426215882.9015325	348715.54468886217
434147833.0055101	345744.23960623995
442227398.0505897	342717.6380304456
450457325.17594445	339634.7108843313
458840412.64547515	336494.40993944876
467379510.7992463	333295.6674596409
476077523.0226378	330037.39583799866
484937406.7335233	326718.4872270639
493962174.38783056	323337.81316214777
503154894.5038046	320108.25809647294
512518692.70533323	317619.13832473767
522056752.7846986	315083.69561051193
531772317.7850967	312501.0678759544
541668691.1033136	309870.376999807
551749237.6129117	307190.7285188263
562017384.8083187	304461.2113236563
572476623.970219	301680.8973490405
583130511.3526218	298848.8412582708
593982669.3920338	295964.0801217605
605036787.9391212	293025.6330896397
616296625.5132942	290032.50105825684
627766010.5806513	286983.6663304707
639448842.8556936	284533.9961395849
651349094.6272782	282289.83099089516
663470812.1092337	280003.90154692973
675818116.816111	277675.4305670475
688395206.964551	275303.62634602643
701206358.9007177	272887.68244487606
714255928.5543104	270426.7774166379
727548352.9196217	267920.0745270861
741088151.5641569	265366.72147022927
754879928.1653446	262765.85007851594
768928372.0758306	260116.5760276496
783238259.9179205	257417.99853590637
797814457.2076613	254860.3543248326
812661920.0091946	252874.50665576785
827785696.619849	250851.70202367802
843190929.286625	248791.2526531931
858882855.9546258	246692.45796932522
874866812.0479896	244554.6043592686
891148232.2840202	242376.96492975976
907732652.5210242	240158.7992599294
924625711.6405733	237899.3531495499
941833153.4647961	235597.85836259738
959360828.7093127	233253.53236604715
977214696.9725724	230865.57806379956
995400828.7621539	228433.18352566237
1013925407.5588143	226497.36696028605
1032794731.9189526	224707.81120242737
1052015217.6161569	222884.95150741178
1071593399.8226712	221028.16808330102
1091535935.3313932	219136.82960372476
1111849604.81927	217210.2929932215
1132541315.1528125	215247.90320858455
1153618101.736476	213248.99301614362
1175087130.9048076	211212.88276489437
1196955702.3590453	209138.88015541315
1219231251.6491096	207026.28000446595
1241921352.7017846	204874.3640052376
1265033720.3959012	202851.01928621568
1288576213.185518	201268.14920314215
1312556835.7718453	199655.8216384878
1336983741.8249452	198013.4883835084
1361865236.7560828	196340.59102720066
1387209780.541618	194636.56076643898
1413025990.5995336	192900.81821257313
1439322644.7194095	191132.77319443293
1466108684.0469828	189331.8245576621
1493393216.1242533	187497.35996031837
1521185517.9861019	185628.7556646734
1549495039.3146317	183725.37632513183
1578331405.6521199	181786.57477221004
1607704421.673822	180258.3157768382
1637624074.521689	178832.48054862054
1668100537.2000556	177380.1102841917
1699144172.0346258	175900.71116201198
1730765534.1957276	174393.7801704399
1762975375.2872038	172858.80493670172
1795784647.0020967	171295.2635526781
1829204504.8462899	169702.62439745225
1863246311.9315598	168080.34595655018
1897921642.8391032	166427.8766378226
1933242287.5550432	164744.6545838963
1969220255.4791734	163030.1074811358
2005867779.5082297	161430.89485635652
2043197320.1952705	160170.2077142458
2081221569.9863415	158886.05896990694
2119953457.536069	157578.01199893063
2159406152.1035676	156245.62205125223
2199593068.0300703	154888.4360999337
2240527869.3000183	153505.99268712744
2282224474.1869006	152097.82176717796
2324697059.9856453	150663.44454679973
2367960067.833079	149202.37332228213
2412028207.618002	147714.11131366665
2456916462.98279	146198.15249583375
2502640096.4179215	144653.98142645153
2549214654.4514203	143448.49127194547
2596655972.934872	142313.27125835983
2644980182.4277143	141156.92460715715
2694203713.6818824	139979.05814801602
2744343303.2283683	138779.2713936493
2795415999.067865	137557.1564036329
2847439166.4672475	136312.2976457024
2900430493.8639855	135044.2718544667
2954407998.8803797	133752.6478874936
3009390034.449724	132436.98657871762
3065395295.056536	131096.84058911767
3122442823.0928583	129731.75425461773
3180552015.3329134	128468.76142020979
3239742629.5281954	127465.3591538993
3300034791.1252885	126443.28340067781
3361449000.108775	125402.1866437766
3424006137.9714255	124341.7148990809
3487727474.8141704	123261.50759477072
3552634676.5781393	122161.19744872343
3618749812.411284	121040.41034363382
3686095362.1721687	119898.76519980987
3754694224.0733366	118735.87384560189
3824569722.4669914	117551.34088541914
3895745615.775501	116344.76356529181
3968246104.5694857	115115.73163593057
4042095839.796318	114165.5616774432
4117319931.1616793	113262.30542689061
4193943955.6671777	112342.2394238208
4271993966.306777	111405.05083587892
4351496500.925055	110450.42100884725
4432478591.24041	109478.02535829852
4514967772.036101	108487.53325923435
4598992090.5224285	107478.60793366846
4684580115.873045	106450.90633611889
4771760948.938751	105404.07903696934
4860564232.142149	104337.7701036587
4951020159.556351	103251.61697966055
5043159487.171348	102254.86803368136
5137013543.351338	101456.73888635953
5232614239.486667	100643.75641979964
5329994080.844104	99815.64421120322
5429186177.618942	98972.1206934968
5530224256.192888	98112.89905959528
5633142670.601352	97237.68716488499
5737976414.21414	96346.1874278916
5844761131.633649	95438.09672909875
5953533130.81437	94513.10630788446
6064329395.408049	93570.9016575388
6177187597.338489	92611.1624183282
6292146109.610351	91633.56226857052
6409244019.35647	90885.17239728975
