# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3399133.840445575
1018.6101701559753	3412459.820680241
1037.566678745186	3426033.79967457
1056.875971184804	3439860.3927276772
1076.5446128423157	3453944.3010301813
1096.5792912678098	3468290.313262655
1116.9868184678226	3482903.307223834
1137.7741332214914	3497788.251489121
1158.9483034398106	3512950.2070999453
1180.5165285688054	3528394.329284585
1202.4861420374123	3544125.86921099
1224.8646137509306	3560150.175772242
1247.6595526308697	3576472.6974052307
1270.8787092020582	3590878.9041304924
1294.529978227916	3603421.8712522886
1318.6214013947485	3616198.265126481
1343.1611700460153	3629212.429864652
1368.1576279674719	3642468.7904230384
1393.619274224142	3655971.8541070656
1419.5547660501015	3669726.21210388
1445.9729217920194	3683736.5410434
1472.882723907502	3698007.604588426
1500.2933220192183	3712544.2550543332
1528.2140360258693	3727351.435058907
1556.654359271062	3742434.179202897
1585.6239617711371	3757691.018678069
1615.132693503091	3769035.9559266046
1645.1905877536624	3780592.0243877424
1675.807864530767	3792363.153249277
1706.9949340384078	3804353.344821853
1738.7624002162504	3816566.6758997976
1771.1210643450886	3829007.299147273
1804.0819287193826	3841679.444510231
1837.6562003881704	3854587.4206546335
1871.8552949655793	3867735.6164314556
1906.690840512252	3881128.502368926
1942.1746814890264	3894770.632192573
1978.3188827841643	3908666.6443735277
2015.1357338155585	3920582.805771887
2052.6377527092523	3930776.7770721074
2090.8376905557498	3941160.459912791
2129.748535745521	3951737.3848579847
2169.3835183851843	3962511.148176136
2209.756114795903	3973485.4130628584
2250.880052095462	3984663.910886458
2292.7693128656488	3996050.442456644
2335.438139906479	4007648.8793168385
2378.9010410788933	4019463.1650605435
2423.1727942376006	4031497.3166722106
2468.2684522556924	4043755.4258930534
2514.2033481427966	4056043.8202118617
2560.9931002584594	4064767.073987979
2608.6536176225477	4073652.6690011844
2657.2011053245064	4082703.6264495226
2706.652070033241	4091923.023756048
2757.0233256095826	4101313.995615184
2808.3319988231724	4110879.7350585484
2860.5955351757416	4120623.4945406215
2913.831704832789	4130548.587044616
2968.0586086656026	4140658.3872089223
3023.2946844057765	4150956.332474529
3079.5587129142264	4161445.9242537864
3136.8698245668766	4172130.7291209223
3195.2475057592133	4180922.7288999017
3254.711605531848	4188236.4443532503
3315.282342319423	4195686.269295656
3376.9803108250912	4203274.736747874
3439.8264890229243	4211004.4268706
3503.8422452906757	4218877.967841763
3569.0493456752292	4226898.036750129
3635.4699612933177	4235067.360505544
3703.126675869927	4243388.716766106
3772.0424934169973	4251864.9348826045
3842.240846055061	4260498.896860531
3913.745601980384	4269293.5383399865
3986.581073580439	4277997.93856605
4060.7720257003657	4283703.713795433
4136.343684063274	4289515.674472708
4213.321743847289	4295435.7967271255
4291.732378422157	4301466.093464043
4371.602248248501	4307608.615049326
4452.958509942655	4313865.450006496
4535.828825510186	4320238.725726857
4620.241371751313	4326730.609192827
4706.224849841281	4333343.307714729
4793.808495089106	4340079.069681316
4883.02208687788	4346940.18532423
4973.895958790063	4353928.987496718
5066.461008921268	4359266.29981739
5160.7487103859075	4363440.480090813
5256.791122018419	4367692.342569387
5354.620899273607	4372023.332932168
5454.271305329836	4376434.923762542
5555.7762223988775	4380928.615048929
5659.170163246242	4385505.934694785
5764.488282925873	4390168.439038107
5871.766390733255	4394917.7133806115
5981.040962380945	4399755.372526749
6092.349152400711	4404683.061332751
6205.7288067765	4409702.455265911
6321.218475812449	4414554.045008088
6438.8574272404185	4417123.179273153
6558.685659571435	4419740.125564041
6680.743915695614	4422405.773670693
6805.073696735206	4425121.029942186
6931.717276155407	4427886.817594907
7060.717714137772	4430704.077026462
7192.118872221193	4433573.76613541
7325.96542821523	4436496.8606469715
7462.302891391108	4439474.354444775
7601.17761795533	4442507.259908795
7742.636826811269	4445596.608259566
7886.728615614156	4448743.449908817
8033.501977124735	4450607.443762789
8183.00681586739	4451649.621374085
8335.293965098195	4452711.19408806
8490.415204088747	4453792.522850877
8648.423275731726	4454893.9753259625
8809.37190447399	4456015.926019029
8973.31581458352	4457158.756405399
9140.310748756232	4458322.85505972
9310.413487069076	4459508.6177880755
9483.681866285926	4460716.44776257
9660.174799522645	4461946.7556584105
9839.952296278227	4463199.959793537
10023.075482838643	4464259.517116595
10209.606623060476	4463805.925347017
10399.609139541202	4463343.892157427
10593.1476351837	4462873.260451562
10790.287915161836	4462393.870209568
10991.097009294961	4461905.558433601
11195.643194838794	4461408.159092395
11403.99601970033	4460901.503064811
11616.22632608502	4460385.418082344
11832.40627458378	4459859.728670538
12052.609368708414	4459324.256089332
12276.910479883603	4458778.818272273
12505.385872903913	4458223.229764629
12738.113231864783	4456829.659935688
12975.171686575868	4454935.178769687
13216.641839466038	4453005.440986831
13462.60579298911	4451039.790455478
13713.147177539455	4449037.55883327
13968.351179887397	4446998.065339883
14228.30457214352	4444920.6165255485
14493.09574126215	4442804.506035291
14762.81471909391	4440649.014368742
15037.553212997384	4438453.408635506
15317.404637020798	4436216.94230598
15602.46414366368	4433938.854957515
15892.828656229764	4431489.381585581
16188.596901781993	4428256.600338011
16489.86944471065	4424963.656481344
16796.74872092653	4421609.430379193
17109.339072690134	4418192.781558541
17427.746784089173	4414712.548321969
17752.08011717636	4411167.547352684
18082.44934877952	4407556.573312158
18418.96680799711	4403878.398430308
18761.746914391195	4400131.772088043
19110.90621689136	4396315.420392039
19466.56343342263	4392428.045741597
19828.83949127071	4388468.32638745
20197.857568198782	4384138.34133871
20573.743134329114	4379575.290749851
20956.623994804308	4374927.321013103
21346.630333242454	4370192.851768674
21743.8947560008	4365370.273246009
22148.55233726359	4360457.945716445
22560.74066496859	4355454.198935696
22980.599887588487	4350357.331575938
23408.272761782944	4345165.610647352
23843.904700937208	4339877.270908884
24287.643824604504	4334490.514268041
24739.64100886812	4329003.509169524
25200.049937640895	4323405.258676021
25669.027154919517	4317659.377143034
26146.732118010917	4311806.56377702
26633.327251749808	4305844.828558376
27128.978003724646	4299772.144432887
27633.852900531667	4293586.446622521
28148.123605075813	4287285.631923368
28671.964974937695	4280867.557990544
29205.55512182745	4274330.042609755
29749.075472144435	4267670.862955333
30302.71082866393	4260887.754834443
30866.649433372742	4253978.411917238
31441.08303147265	4246940.484952676
32026.206936576502	4239993.402353565
32622.220097116733	4233018.794612232
33229.325163989684	4225914.388234062
33847.72855945983	4218677.767644337
34477.640547344636	4211306.472314083
35119.275304507275	4203797.995923463
35772.850993678774	4196149.7855096
36438.58983763541	4188359.2405985496
37116.71819475767	4180423.7123210942
37807.466635993485	4172340.502512119
38511.070023255685	4164106.862793192
39227.76758927723	4155719.993638091
39957.803018952654	4147312.664620142
40701.42453219439	4139296.3880352094
41458.88496832911	4131130.9271790143
42230.441872066716	4122813.505706885
43016.35758106799	4114341.295605898
43816.89931514194	4105711.4162333356
44632.33926710397	4096920.933337225
45462.95469532399	4087966.858058664
46309.02801799736	4078846.1459155804
47170.84690917023	4069555.695767568
48048.704396551344	4060092.348761476
