Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.341682663846811749e+02	2.661280735950057306e+02
1.032794731918951654e-10	2.399031741559642512e+02	2.721746397556464103e+02
1.066664958279539403e-10	2.458261566901864796e+02	2.784195014325554212e+02
1.101645949633656381e-10	2.519433818487790973e+02	2.848691616740296126e+02
1.137774133221491146e-10	2.582612197665357030e+02	2.915303367940912835e+02
1.175087130904807540e-10	2.647862494851124779e+02	2.984099633664805538e+02
1.213623798344240958e-10	2.715252658040732285e+02	3.055152054480138304e+02
1.253424265461399975e-10	2.784852863566116525e+02	3.128534620388302869e+02
1.294529978227915867e-10	2.856735589173210315e+02	3.204323747872950321e+02
1.336983741824946476e-10	2.930975689496191876e+02	3.282598359475827579e+02
1.380829765218092491e-10	3.007650474006902073e+02	3.363439965982281592e+02
1.426113707194128486e-10	3.086839787520583513e+02	3.446932751302011297e+02
1.472882723907502473e-10	3.168626093341792966e+02	3.533163660133469079e+02
1.521185517986104510e-10	3.253094559137051078e+02	3.622222488503182944e+02
1.571072389247450498e-10	3.340333145623668543e+02	3.714201977274295814e+02
1.622595287078087593e-10	3.430432698167103354e+02	3.809197908721700969e+02
1.675807864530767868e-10	3.523487041382217058e+02	3.907309206274313738e+02
1.730765534195724819e-10	3.619593076836964656e+02	4.008638037528385212e+02
1.787525525904235329e-10	3.718850883960244573e+02	4.113289920639095385e+02
1.846146946324547531e-10	3.821363824258995123e+02	4.221373834201233990e+02
1.906690840512252406e-10	3.927238648953066900e+02	4.333002330733393705e+02
1.969220255479172543e-10	4.036585610139946425e+02	4.448291653883842400e+02
2.033800305846981002e-10	4.149518575605101205e+02	4.567361859480126327e+02
2.100498241653915480e-10	4.266155147397499832e+02	4.690336940548476719e+02
2.169383518385184289e-10	4.386616784293773321e+02	4.817344956433171888e+02
2.240527869300018610e-10	4.511028928278579428e+02	4.948518166150365118e+02
2.314005380130653023e-10	4.639521135172830100e+02	5.083993166115183158e+02
2.389892566231049743e-10	4.772227209545850997e+02	5.223911032385567523e+02
2.468268452255692806e-10	4.909285344051951370e+02	5.368417467570959616e+02
2.549214654451423314e-10	5.050838263336490854e+02	5.517662952558820280e+02
2.632815465648021228e-10	5.197033372661313706e+02	5.671802903216971572e+02
2.719157943036017723e-10	5.348022911404303841e+02	5.830997832234957059e+02
2.808331998823172083e-10	5.503964111592938480e+02	5.995413516272944889e+02
2.900430493863991314e-10	5.665019361636876738e+02	6.165221168592228196e+02
2.995549334359813486e-10	5.831356375430146954e+02	6.340597617347110599e+02
3.093787571730138678e-10	6.003148366998966594e+02	6.521725489723808096e+02
3.195247505759212065e-10	6.180574230877106174e+02	6.708793402118145650e+02
3.300034791125284578e-10	6.363818728396620372e+02	6.901996156550095520e+02
3.408258547423451742e-10	6.553072680087909703e+02	7.101534943519644685e+02
3.520031472796679687e-10	6.748533164389517651e+02	7.307617551515293144e+02
3.635469961293320139e-10	6.950403722874544883e+02	7.520458583393316303e+02
3.754694224073336536e-10	7.158894572207417468e+02	7.740279679853135804e+02
3.877828414589456106e-10	7.374222823051713931e+02	7.967309750241479378e+02
4.005000757873611052e-10	7.596612706157027333e+02	8.201785210925751244e+02
4.136343684063274911e-10	7.826295805860266910e+02	8.443950231484737969e+02
4.271993966306778827e-10	8.063511301244590186e+02	8.694056988973104581e+02
4.412092863191189219e-10	8.308506215207061132e+02	8.952365930524418900e+02
4.556786265841064474e-10	8.561535671694439316e+02	9.219146044566178944e+02
4.706224849841281415e-10	8.822863161374914398e+02	9.494675140929240342e+02
4.860564232142136024e-10	9.092760816022519066e+02	9.779240140143404005e+02
5.019965133110081441e-10	9.371509691899843801e+02	1.007313737222031364e+03
5.184593543892912175e-10	9.659400062434275469e+02	1.037667288523490697e+03
5.354620899273606527e-10	9.956731720492429076e+02	1.069016276402669291e+03
5.530224256192902378e-10	1.026381429056762045e+03	1.101393345935276102e+03
5.711586478126431938e-10	1.058096755120540593e+03	1.134832212783526074e+03
5.898896425508497150e-10	1.090852176800303369e+03	1.169367698305737804e+03
6.092349152400710261e-10	1.124681803752945825e+03	1.205035765817341598e+03
6.292146109610343618e-10	1.159620864252418414e+03	1.241873558041055048e+03
6.498495354469890483e-10	1.195705741874471414e+03	1.279919435785231599e+03
6.711611767496282870e-10	1.232974013384467753e+03	1.319213017890649553e+03
6.931717276155404727e-10	1.271464487867717253e+03	1.359795222487349974e+03
7.159041085964887260e-10	1.311217247143077884e+03	1.401708309604479155e+03
7.393819919175865964e-10	1.352273687501912718e+03	1.444995925177510117e+03
7.636298261282244400e-10	1.394676562815861871e+03	1.489703146498669639e+03
7.886728615614152294e-10	1.438470029058324826e+03	1.535876529157897494e+03
8.145371766280743462e-10	1.483699690286011219e+03	1.583564155523226646e+03
8.412497049736117954e-10	1.530412646128444294e+03	1.632815684811057054e+03
8.688382635251186617e-10	1.578657540834871952e+03	1.683682404798480547e+03
8.973315814583522479e-10	1.628484613929654643e+03	1.736217285231487722e+03
9.267593301146878953e-10	1.679945752528886942e+03	1.790475032984689733e+03
9.571521538991863169e-10	1.733094545372725179e+03	1.846512149029984130e+03
9.885417021919573871e-10	1.787986338629692909e+03	1.904386987273495606e+03
1.020960662306046580e-09	1.833516286645868149e+03	1.949585901162877235e+03
1.054442793526168950e-09	1.874237478594182221e+03	1.988038892103527814e+03
1.089022962263730067e-09	1.916294111115861369e+03	2.027752938573558367e+03
1.124737178364752061e-09	1.959729979626503109e+03	2.068769396550991132e+03
1.161622632608501755e-09	2.004590315800617418e+03	2.111130978272058201e+03
1.199717735435884489e-09	2.050921834673355988e+03	2.154881796709330047e+03
1.239062156947916503e-09	2.098772783286925005e+03	2.200067411508488021e+03
1.279696868215940940e-09	2.148192990932342127e+03	2.246734876431576595e+03
1.321664183946605026e-09	2.199233921038870903e+03	2.294932788356155470e+03
1.365007806546013663e-09	2.251948724765136376e+03	2.344711337881353302e+03
1.409772871628966933e-09	2.306392296347765296e+03	2.396122361593545520e+03
1.456005995020649598e-09	2.362621330265156303e+03	2.449219396046057227e+03
1.503755321299737753e-09	2.420694380275929689e+03	2.504057733509129775e+03
1.553070573933460069e-09	2.480671920393523123e+03	2.560694479548186337e+03
1.604003107056820079e-09	2.542616407860430627e+03	2.619188612490353989e+03
1.656605958949914401e-09	2.606592348187672542e+03	2.679601044841192561e+03
1.710933907269014249e-09	2.672666362327208390e+03	2.741994686715547687e+03
1.767043526088946692e-09	2.740907256047260489e+03	2.806434511348620617e+03
1.824993244816152494e-09	2.811386091582770405e+03	2.872987622755438679e+03
1.884843409033795523e-09	2.884176261635627270e+03	2.941723325609214953e+03
1.946656343342262358e-09	2.959353565801703553e+03	3.012713197411343117e+03
2.010496416260498236e-09	3.036996289504294509e+03	3.086031163028180799e+03
2.076430107255774870e-09	3.117185285516171007e+03	3.161753571672267299e+03
2.144526075971667793e-09	3.200004058155105213e+03	3.239959276408093046e+03
2.214855233726359314e-09	3.285538850240589454e+03	3.320729716265262596e+03
2.287490817355702788e-09	3.373878732902261618e+03	3.404149001044524539e+03
2.362508465477946229e-09	3.465115698333574073e+03	3.490303998904992568e+03
2.439986297259550245e-09	3.559344755587306736e+03	3.579284426823774083e+03
2.520004993764092080e-09	3.656664029512648995e+03	3.671182944022183619e+03
2.602647881969005809e-09	3.757174862936922182e+03	3.766095248455865658e+03
2.688001021537606561e-09	3.860981922198293432e+03	3.864120176469259150e+03
2.776153294436799262e-09	3.968193306139434299e+03	3.965359805718225743e+03
2.867196497493770032e-09	4.078920658675588584e+03	4.069919561467988387e+03
2.961225437988034610e-09	4.193279285054258253e+03	4.177908326377073536e+03
3.058338032378433485e-09	4.311388271927638016e+03	4.289438553881613188e+03
3.158635408267817403e-09	4.433370611362746786e+03	4.404626385298020978e+03
3.262222009711669644e-09	4.559353328918478837e+03	4.523591770766058289e+03
3.369205705980266915e-09	4.689467615922870209e+03	4.646458594158151755e+03
3.479697903887691433e-09	4.823848966088396992e+03	4.773354802085123083e+03
3.593813663804627762e-09	4.962637316607510911e+03	4.904412537132591751e+03
3.711671819475765297e-09	5.105977193875370176e+03	5.039768275466845807e+03
3.833395101766601886e-09	5.254017863991526610e+03	5.179562968953466225e+03
3.959110266468459240e-09	5.406913488197241350e+03	5.323942191936669587e+03
4.088948226294862618e-09	5.564823283410366457e+03	5.473056292832276085e+03
4.223044187206674123e-09	5.727911688024878458e+03	5.627060550692086508e+03
