# Frequency (Hz)	Real Part (Ohm/m)
1000.0	7688457.298781315
1018.6101701559753	7697358.534849359
1037.566678745186	7706425.424435225
1056.875971184804	7715661.050379074
1076.5446128423157	7725068.552893227
1096.5792912678098	7734651.130629918
1116.9868184678226	7744412.041768819
1137.7741332214914	7754354.605124894
1158.9483034398106	7764482.201276807
1180.5165285688054	7774798.273716385
1202.4861420374123	7785306.330019401
1224.8646137509306	7796009.943038225
1247.6595526308697	7806912.752116614
1270.8787092020582	7815675.477731714
1294.529978227916	7822351.943492929
1318.6214013947485	7829152.659417999
1343.1611700460153	7836079.937823622
1368.1576279674719	7843136.134059087
1393.619274224142	7850323.647307148
1419.5547660501015	7857644.921399756
1445.9729217920194	7865102.445648982
1472.882723907502	7872698.755693431
1500.2933220192183	7880436.434360363
1528.2140360258693	7888318.112543903
1556.654359271062	7896346.470099549
1585.6239617711371	7904425.933345219
1615.132693503091	7908786.37538023
1645.1905877536624	7913227.965983464
1675.807864530767	7917752.215343594
1706.9949340384078	7922360.6617541425
1738.7624002162504	7927054.872136542
1771.1210643450886	7931836.442572908
1804.0819287193826	7936706.99884871
1837.6562003881704	7941668.197005556
1871.8552949655793	7946721.723904279
1906.690840512252	7951869.297798474
1942.1746814890264	7957112.668918731
1978.3188827841643	7962453.62006773
2015.1357338155585	7966124.756878144
2052.6377527092523	7968327.77260952
2090.8376905557498	7970571.786838512
2129.748535745521	7972857.562554137
2169.3835183851843	7975185.876944771
2209.756114795903	7977557.521662391
2250.880052095462	7979973.303091755
2292.7693128656488	7982434.042624579
2335.438139906479	7984940.576938818
2378.9010410788933	7987493.758283144
2423.1727942376006	7990094.4547667345
2468.2684522556924	7992743.5506544
2514.2033481427966	7995311.949754997
2560.9931002584594	7995435.298724588
2608.6536176225477	7995560.94323949
2657.2011053245064	7995688.926020197
2706.652070033241	7995819.290582226
2757.0233256095826	7995952.081250939
2808.3319988231724	7996087.34317659
2860.5955351757416	7996225.122349699
2913.831704832789	7996365.465616655
2968.0586086656026	7996508.420695694
3023.2946844057765	7996654.036193076
3079.5587129142264	7996802.361619644
3136.8698245668766	7996953.44740764
