# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	45129004.12204254
1018.6101701559753	45120476.595732026
1037.566678745186	45111790.370705865
1056.875971184804	45102942.49355396
1076.5446128423157	45093929.955902725
1096.5792912678098	45084749.69339228
1116.9868184678226	45075398.58463442
1137.7741332214914	45065873.45015145
1158.9483034398106	45056171.05129498
1180.5165285688054	45046288.08914488
1202.4861420374123	45036221.20338751
1224.8646137509306	45025966.971173264
1247.6595526308697	45015521.905952685
1270.8787092020582	45005001.174905956
1294.529978227916	44994398.624607325
1318.6214013947485	44983598.759043545
1343.1611700460153	44972597.90614396
1368.1576279674719	44961392.32550006
1393.619274224142	44949978.207093686
1419.5547660501015	44938351.67000158
1445.9729217920194	44926508.76107587
1472.882723907502	44914445.45359991
1500.2933220192183	44902157.645919174
1528.2140360258693	44889641.16004666
1556.654359271062	44876891.740242295
1585.6239617711371	44863913.35288563
1615.132693503091	44851020.18891456
1645.1905877536624	44837887.080968134
1675.807864530767	44824509.56364815
1706.9949340384078	44810883.088454574
1738.7624002162504	44797003.02223902
1771.1210643450886	44782864.64562941
1804.0819287193826	44768463.151425384
1837.6562003881704	44753793.642963715
1871.8552949655793	44738851.132453464
1906.690840512252	44723630.539280064
1942.1746814890264	44708126.688277826
1978.3188827841643	44692334.307970375
2015.1357338155585	44676503.71240217
2052.6377527092523	44660600.550984785
2090.8376905557498	44644401.42902741
2129.748535745521	44627900.83865403
2169.3835183851843	44611093.16948611
2209.756114795903	44593972.70673507
2250.880052095462	44576533.62925908
2292.7693128656488	44558770.007583894
2335.438139906479	44540675.801886745
2378.9010410788933	44522244.85994274
2423.1727942376006	44503470.91503303
2468.2684522556924	44484347.58381403
2514.2033481427966	44464901.90305231
2560.9931002584594	44445737.48405153
2608.6536176225477	44426216.41195222
2657.2011053245064	44406332.049379505
2706.652070033241	44386077.635435864
2757.0233256095826	44365446.28340233
2808.3319988231724	44344430.9783969
2860.5955351757416	44323024.574989446
2913.831704832789	44301219.79477214
2968.0586086656026	44279009.22388478
3023.2946844057765	44256385.31049395
3079.5587129142264	44233340.362225324
3136.8698245668766	44209866.54354818
3195.2475057592133	44186487.96254636
3254.711605531848	44163091.98190107
3315.282342319423	44139260.59807501
3376.9803108250912	44114985.70814089
3439.8264890229243	44090259.058374576
3503.8422452906757	44065072.24144872
3569.0493456752292	44039416.6935742
3635.4699612933177	44013283.691588275
3703.126675869927	43986664.349988714
3772.0424934169973	43959549.617912546
3842.240846055061	43931930.276058696
