# Frequency (Hz)	Real Part (Ohm/m)
1000.0	36040170.11277107
1018.6101701559753	36170762.88504234
1037.566678745186	36303786.01102669
1056.875971184804	36439284.720020294
1076.5446128423157	36577305.08304419
1096.5792912678098	36717894.028508954
1116.9868184678226	36861099.35817086
1137.7741332214914	37006969.763385035
1158.9483034398106	37155554.84166095
1180.5165285688054	37306905.11352622
1202.4861420374123	37461072.03970404
1224.8646137509306	37618108.03861048
1247.6595526308697	37778066.504177175
1270.8787092020582	37919376.64568756
1294.529978227916	38042555.78921118
1318.6214013947485	38168027.31755543
1343.1611700460153	38295833.89239187
1368.1576279674719	38426018.9693331
1393.619274224142	38558626.81270797
1419.5547660501015	38693702.51061206
1445.9729217920194	38831291.99023807
1472.882723907502	38971442.03349161
1500.2933220192183	39114200.29289746
1528.2140360258693	39259615.30780202
1556.654359271062	39407736.520877205
1585.6239617711371	39557572.21340159
1615.132693503091	39669178.35731275
1645.1905877536624	39782861.51055253
1675.807864530767	39898660.32661795
1706.9949340384078	40016614.178354226
1738.7624002162504	40136763.17134187
1771.1210643450886	40259148.1575331
1804.0819287193826	40383810.74914185
1837.6562003881704	40510793.332792535
1871.8552949655793	40640139.0839318
1906.690840512252	40771891.98150874
1942.1746814890264	40906096.82292814
1978.3188827841643	41042799.23928208
2015.1357338155585	41159982.96558663
2052.6377527092523	41260187.47356657
2090.8376905557498	41362256.80449041
2129.748535745521	41466225.66303046
2169.3835183851843	41572129.39971886
2209.756114795903	41680004.02296716
2250.880052095462	41789886.21130964
2292.7693128656488	41901813.32587428
2335.438139906479	42015823.42308605
2378.9010410788933	42131955.26760641
2423.1727942376006	42250248.34551384
2468.2684522556924	42370742.8777294
2514.2033481427966	42491506.90388262
2560.9931002584594	42576685.0469125
2608.6536176225477	42663448.36967771
2657.2011053245064	42751826.37264291
2706.652070033241	42841849.105281346
2757.0233256095826	42933547.17629205
2808.3319988231724	43026951.76400726
2860.5955351757416	43122094.6269932
2913.831704832789	43219008.11484842
2968.0586086656026	43317725.17920307
3023.2946844057765	43418279.38492261
3079.5587129142264	43520704.921520524
3136.8698245668766	43625036.6147828
3195.2475057592133	43710164.516927056
3254.711605531848	43780277.92425756
3315.282342319423	43851696.15402868
3376.9803108250912	43924443.489208095
3439.8264890229243	43998544.664673574
3503.8422452906757	44074024.87562322
3569.0493456752292	44150909.78614205
3635.4699612933177	44229225.537928104
3703.126675869927	44308998.75918073
3772.0424934169973	44390256.5736548
3842.240846055061	44473026.6098827
3913.745601980384	44557337.01056863
3986.581073580439	44640614.822513476
4060.7720257003657	44693058.19547513
4136.343684063274	44746477.54853121
4213.321743847289	44800891.044837244
4291.732378422157	44856317.18556834
4371.602248248501	44912774.81620955
4452.958509942655	44970283.13296357
4535.828825510186	45028861.68927776
4620.241371751313	45088530.40249246
4706.224849841281	45149309.560613066
4793.808495089106	45211219.82920823
4883.02208687788	45274282.258436374
4973.895958790063	45338518.29020287
5066.461008921268	45385506.926784426
5160.7487103859075	45420300.89475008
5256.791122018419	45455742.38437997
5354.620899273607	45491843.446162485
5454.271305329836	45528616.35484755
5555.7762223988775	45566073.61362039
5659.170163246242	45604227.95835259
5764.488282925873	45643092.36193242
5871.766390733255	45682680.038675904
5981.040962380945	45723004.44881966
6092.349152400711	45764079.30309757
6205.7288067765	45805918.56740278
6321.218475812449	45845824.34325841
6438.8574272404185	45861837.30407513
6558.685659571435	45878148.26881734
6680.743915695614	45894762.78338882
6805.073696735206	45911686.49690354
6931.717276155407	45928925.16360646
7060.717714137772	45946484.6448299
7192.118872221193	45964370.91098685
7325.96542821523	45982590.04360039
7462.302891391108	46001148.23737198
7601.17761795533	46020051.80228743
7742.636826811269	46039307.16576252
7886.728615614156	46058920.874828294
8033.501977124735	46065125.09222283
8183.00681586739	46062649.599812865
8335.293965098195	46060128.03806792
8490.415204088747	46057559.54962988
8648.423275731726	46054943.261184946
8809.37190447399	46052278.283166856
8973.31581458352	46049563.7094544
9140.310748756232	46046798.617063254
9310.413487069076	46043982.06583223
9483.681866285926	46041113.09810349
9660.174799522645	46038190.738397166
9839.952296278227	46035213.9930795
10023.075482838643	46030035.914786965
10209.606623060476	46009600.63139317
10399.609139541202	45988785.04389823
10593.1476351837	45967582.07477812
10790.287915161836	45945984.51479487
10991.097009294961	45923985.02054538
11195.643194838794	45901576.111964576
11403.99601970033	45878750.16978206
11616.22632608502	45855499.43293154
11832.40627458378	45831815.99591199
12052.609368708414	45807691.80609965
12276.910479883603	45783118.661010005
12505.385872903913	45758088.20550897
12738.113231864783	45725139.32992398
12975.171686575868	45687300.28497885
13216.641839466038	45648757.048968785
13462.60579298911	45609496.51677817
13713.147177539455	45569505.33940309
13968.351179887397	45528769.919412345
14228.30457214352	45487276.40632421
14493.09574126215	45445010.691897094
14762.81471909391	45401958.405332714
15037.553212997384	45358104.9083898
15317.404637020798	45313435.29040684
15602.46414366368	45267934.363232434
15892.828656229764	45220688.629015915
16188.596901781993	45167427.642562844
16489.86944471065	45113175.460089184
16796.74872092653	45057913.635268375
17109.339072690134	45001623.3784845
17427.746784089173	44944285.550443776
17752.08011717636	44885880.65566681
18082.44934877952	44826388.83586014
18418.96680799711	44765789.86316397
18761.746914391195	44704063.133274615
19110.90621689136	44641187.6584389
19466.56343342263	44577142.0603178
19828.83949127071	44511904.562717944
20197.857568198782	44445175.71229079
20573.743134329114	44377062.46732412
20956.623994804308	44307681.62327876
21346.630333242454	44237009.589920126
21743.8947560008	44165022.337995425
22148.55233726359	44091695.39106334
22560.74066496859	44017003.81717189
22980.599887588487	43940922.220381044
23408.272761782944	43863424.732128166
23843.904700937208	43784485.00243226
24287.643824604504	43704076.19093465
24739.64100886812	43622170.95777303
25200.049937640895	43539597.98266903
25669.027154919517	43459563.66655863
26146.732118010917	43378039.89820709
26633.327251749808	43294998.95865478
27128.978003724646	43210412.61308752
27633.852900531667	43124252.10123636
28148.123605075813	43036488.127598904
28671.964974937695	42947090.85147852
29205.55512182745	42856029.87683804
29749.075472144435	42763274.241964914
30302.71082866393	42668792.40894391
30866.649433372742	42572552.2529337
31441.08303147265	42474521.05124433
32026.206936576502	42381436.42536426
32622.220097116733	42289725.674493514
33229.325163989684	42196308.17094399
33847.72855945983	42101152.15175779
34477.640547344636	42004225.26286318
35119.275304507275	41905494.54807359
35772.850993678774	41804926.43788208
36438.58983763541	41702486.73804772
37116.71819475767	41598140.61796866
37807.466635993485	41491852.59883985
38511.070023255685	41383586.541589506
39227.76758927723	41273305.63459159
39957.803018952654	41163815.55562489
40701.42453219439	41063765.98358713
41458.88496832911	40961854.471989684
42230.441872066716	40858046.36982057
43016.35758106799	40752306.38120653
43816.89931514194	40644598.5534121
44632.33926710397	40534886.26461529
45462.95469532399	40423132.21145575
46309.02801799736	40309298.39635129
47170.84690917023	40193346.11457822
48048.704396551344	40075235.94111141
48942.89896114532	39954927.717219196
49853.73463873894	39832380.536809236
50781.5211232767	39720501.581083275
51726.57387216024	39611813.87693139
52689.21421350677	39501103.47611139
53669.76945540476	39388332.73589408
54668.57299720181	39273463.313012704
55685.96444286408	39156456.1506258
56722.28971644549	39037271.46503738
57777.90117970507	38915868.73217022
58853.1577519145	38792206.67378695
59948.42503189408	38666243.24345538
61064.07542232036	38537935.61225187
62200.48825634718	38407240.15419938
63358.04992658254	38278934.35476419
64537.15401646702	38165003.57055148
65738.20143409586	38048952.51505855
66961.60054853215	37930741.7296761
68207.76732865692	37810331.02146343
69477.1254846024	37687679.44948232
70770.10661181889	37562745.310876764
72087.15033782135	37435486.126693435
73428.70447166759	37305858.627438545
74795.22515621828	37173818.73836563
76187.17702322999	37039321.5644897
77605.0333513357	36902321.375322476
79049.2762269642	36762771.5893234
80520.39670825469	36638612.24984166
82018.8949920221	36518603.868236266
83545.28058382872	36396362.110229045
85100.07247122246	36271845.41230514
86683.79930019773	36145011.43744562
88296.99955494082	36015817.06073243
89940.22174092053	35884218.35468536
91614.0245713852	35750170.574326485
93318.9771573324	35613628.14196608
95055.65920101192	35474544.631705955
96824.66119303115	35332872.75365399
98626.5846131283	35188564.33784516
100462.04213468132	35048242.58990269
102331.65783302448	34925511.789146475
104236.06739764012	34800496.94730483
106175.9183482999	34673155.557984464
108151.87025522892	34543444.323740944
110164.59496336569	34411319.141357034
112214.77682079801	34276735.08684707
114303.11291144785	34139646.40018236
116430.31329208757	34000006.46973241
118597.10123376705	33857767.81641617
120804.21346773289	33712882.07755899
123052.40043592616	33565299.990448505
125342.42654613995	33414971.375584897
127675.07043192645	33283851.456739195
130051.12521734099	33157209.23942825
132471.39878661174	33028210.188904207
134936.71405883064	32896810.44409996
137447.90926775365	32762965.32768648
140005.8382468096	32626629.330881983
142611.37071941295	32487756.097978543
145265.39259467812	32346298.41058069
147968.80626863963	32202208.171550475
150722.53093107554	32055436.388654113
153527.5028780421	31905933.15790394
156384.67583022476	31753647.64659062
159295.0212572123	31606900.857300527
162259.5287078087	31479701.364852343
165279.2061464897	31350134.668205924
168355.08029612005	31218156.713288378
171488.19698705408	31083722.62617298
174679.62151272455	30946786.697821595
177930.43899185772	30807302.36854313
181241.75473742394	30665222.21216269
184614.69463245454	30520497.919896252
188050.40551285836	30373080.283924993
191550.0555573528	30222919.180664346
195114.83468466165	30069963.553721193
198745.9549580986	29914161.39653431
202444.65099768018	29780681.70597162
206212.18039991445	29651586.840728275
210049.8241653915	29520089.498076517
213958.88713434213	29386144.967502955
217940.6984302958	29249707.70642393
221996.61191199525	29110731.32470064
226128.00663372793	28969168.568865795
230336.2873142131	28824971.30605711
234622.88481422624	28678090.507651556
238989.25662310526	28528476.23259499
