# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	490791.7959651535
1018.6101701559753	489428.3078122934
1037.566678745186	488039.4449129028
1056.875971184804	486624.73503863136
1076.5446128423157	485183.69717287825
1096.5792912678098	483715.8413472424
1116.9868184678226	482220.66847492696
1137.7741332214914	480697.6701810451
1158.9483034398106	479146.328629767
1180.5165285688054	477566.1163482494
1202.4861420374123	475956.4960472902
1224.8646137509306	474316.9204386438
1247.6595526308697	472646.83204893675
1270.8787092020582	471075.79801774275
1294.529978227916	469600.4601707303
1318.6214013947485	468097.6660353475
1343.1611700460153	466566.9046453959
1368.1576279674719	465007.6555255089
1393.619274224142	463419.38851418544
1419.5547660501015	461801.563583528
1445.9729217920194	460153.6306556285
1472.882723907502	458475.02941553516
1500.2933220192183	456765.18912073964
1528.2140360258693	455023.52840711846
1556.654359271062	453249.4550912627
1585.6239617711371	451449.56251187756
1615.132693503091	449899.4412004821
1645.1905877536624	448320.4718677191
1675.807864530767	446712.1176470024
1706.9949340384078	445073.831680567
1738.7624002162504	443405.0569335322
1771.1210643450886	441705.2260045029
1804.0819287193826	439973.76093264815
1837.6562003881704	438210.073001187
1871.8552949655793	436413.56253721926
1906.690840512252	434583.6187078302
1942.1746814890264	432719.61931240023
1978.3188827841643	430820.93057105073
2015.1357338155585	429061.66414415167
2052.6377527092523	427421.4225093864
2090.8376905557498	425750.6556987012
2129.748535745521	424048.7956333782
2169.3835183851843	422315.26366265793
2209.756114795903	420549.47036699165
2250.880052095462	418750.8153576328
2292.7693128656488	416918.6870724979
2335.438139906479	415052.46256822895
2378.9010410788933	413151.50730838644
2423.1727942376006	411215.17494769924
2468.2684522556924	409242.80711230123
2514.2033481427966	407251.6804207257
2560.9931002584594	405567.65871200984
2608.6536176225477	403852.29707274854
2657.2011053245064	402105.01226150146
2706.652070033241	400325.2101826062
2757.0233256095826	398512.2856841787
2808.3319988231724	396665.62235235545
2860.5955351757416	394784.5923017063
2913.831704832789	392868.5559617459
2968.0586086656026	390916.8618594739
3023.2946844057765	388928.8463978663
3079.5587129142264	386903.83363024535
3136.8698245668766	384841.13503045106
3195.2475057592133	382961.8534329988
3254.711605531848	381221.7099935712
3315.282342319423	379449.1821886402
3376.9803108250912	377643.66733965295
3439.8264890229243	375804.55155210703
3503.8422452906757	373931.20950681827
3569.0493456752292	372023.00424730644
3635.4699612933177	370079.28696322266
3703.126675869927	368099.3967697467
3772.0424934169973	366082.66048288025
3842.240846055061	364028.39239055535
3913.745601980384	361935.8940194863
3986.581073580439	359836.1737255667
4060.7720257003657	358092.2170639218
4136.343684063274	356315.80507205904
4213.321743847289	354506.33375076065
4291.732378422157	352663.18786028057
4371.602248248501	350785.74071115634
4452.958509942655	348873.35395112797
4535.828825510186	346925.37734809157
4620.241371751313	344941.14856901264
4706.224849841281	342919.99295472685
4793.808495089106	340861.2232905475
4883.02208687788	338764.1395726056
4973.895958790063	336628.02876984165
5066.461008921268	334717.097882874
5160.7487103859075	332958.3437365099
5256.791122018419	331166.8588762194
5354.620899273607	329342.034177847
5454.271305329836	327483.24918133306
5555.7762223988775	325589.8718797507
5659.170163246242	323661.2585044164
5764.488282925873	321696.75330600207
5871.766390733255	319695.68833157286
5981.040962380945	317657.38319747633
6092.349152400711	315581.14485800464
6205.7288067765	313466.26736975095
6321.218475812449	311358.9440991572
6438.8574272404185	309638.5304545443
6558.685659571435	307886.0996192665
6680.743915695614	306101.0557479577
6805.073696735206	304282.791906468
6931.717276155407	302430.6898654996
7060.717714137772	300544.1198904026
7192.118872221193	298622.44052705786
7325.96542821523	296664.9983837761
7462.302891391108	294671.1279091374
7601.17761795533	292640.1511656966
7742.636826811269	290571.3775994777
7886.728615614156	288464.1038051771
8033.501977124735	286614.6638141715
8183.00681586739	284920.47540892294
8335.293965098195	283194.75786917633
8490.415204088747	281436.924432374
8648.423275731726	279646.3774162068
8809.37190447399	277822.5080153966
8973.31581458352	275964.69609469495
9140.310748756232	274072.30997803126
9310.413487069076	272144.7062337357
9483.681866285926	270181.2294557654
9660.174799522645	268181.21204085986
9839.952296278227	266143.973961548
10023.075482838643	264129.97053816967
10209.606623060476	262510.4913324788
10399.609139541202	260860.8733432061
10593.1476351837	259180.55568246066
10790.287915161836	257468.96702413267
10991.097009294961	255725.52540963615
11195.643194838794	253949.63805003665
11403.99601970033	252140.70112449737
11616.22632608502	250298.09957497235
11832.40627458378	248421.20689708102
12052.609368708414	246509.3849270896
12276.910479883603	244561.98362492857
12505.385872903913	242578.34085317247
12738.113231864783	240870.5205533719
12975.171686575868	239310.3954186129
13216.641839466038	237721.23608963148
13462.60579298911	236102.50223513253
13713.147177539455	234453.64346816431
13968.351179887397	232774.09915897966
14228.30457214352	231063.29824441657
14493.09574126215	229320.6590337305
14762.81471909391	227545.58901081284
15037.553212997384	225737.4846327301
15317.404637020798	223895.73112451154
15602.46414366368	222019.7022701196
15892.828656229764	220180.82752906092
16188.596901781993	218719.89887302346
16489.86944471065	217231.7820861116
16796.74872092653	215715.97119258338
17109.339072690134	214171.95080040226
17427.746784089173	212599.19592599836
17752.08011717636	210997.17181576803
18082.44934877952	209365.3337642525
18418.96680799711	207703.12692893122
18761.746914391195	206009.98614157023
19110.90621689136	204285.3357160584
19466.56343342263	202528.58925266808
19828.83949127071	200739.14943867334
20197.857568198782	199226.7674377121
20573.743134329114	197845.81106007122
20956.623994804308	196439.1548492645
21346.630333242454	195006.32052702358
21743.8947560008	193546.82091424055
22148.55233726359	192060.15976532106
22560.74066496859	190545.83159945594
22980.599887588487	189003.321528752
