# Frequency (Hz)	Real Part (Ohm/m)
1000.0	116831.95476241343
1018.6101701559753	117341.23017077525
1037.566678745186	117859.98328114297
1056.875971184804	118388.39047516356
1076.5446128423157	118926.63141697654
1096.5792912678098	119474.88911430154
1116.9868184678226	120033.34998066306
1137.7741332214914	120602.20389877308
1158.9483034398106	121181.64428509297
1180.5165285688054	121771.86815559756
1202.4861420374123	122373.07619276234
1224.8646137509306	122985.47281379788
1247.6595526308697	123609.26624015387
1270.8787092020582	124152.26357694459
1294.529978227916	124616.65469182064
1318.6214013947485	125089.68820436347
1343.1611700460153	125571.52495106416
1368.1576279674719	126062.3287616084
1393.619274224142	126562.26651458004
1419.5547660501015	127071.50819420189
1445.9729217920194	127590.22694813201
1472.882723907502	128118.59914633587
1500.2933220192183	128656.804441054
1528.2140360258693	129205.02582788566
1556.654359271062	129763.44970800944
1585.6239617711371	130327.7686294186
1615.132693503091	130725.56774039438
1645.1905877536624	131130.7699605133
1675.807864530767	131543.51306289624
1706.9949340384078	131963.93738464522
1738.7624002162504	132392.18587455963
1771.1210643450886	132828.40414174044
1804.0819287193826	133272.7405050986
1837.6562003881704	133725.3460437853
1871.8552949655793	134186.37464856057
1906.690840512252	134655.98307411745
1942.1746814890264	135134.33099238062
1978.3188827841643	135621.58104679643
2015.1357338155585	136022.96860870474
2052.6377527092523	136349.38540835498
2090.8376905557498	136681.87688018847
2129.748535745521	137020.5560748882
2169.3835183851843	137365.53814702958
2209.756114795903	137716.94039423426
2250.880052095462	138074.88229705262
2292.7693128656488	138439.48555958841
2335.438139906479	138810.8741508794
2378.9010410788933	139189.17434704828
2423.1727942376006	139574.5147742379
2468.2684522556924	139967.0264523455
2514.2033481427966	140358.5060299486
2560.9931002584594	140597.40267232558
2608.6536176225477	140840.74522186685
2657.2011053245064	141088.61641766128
2706.652070033241	141341.10053858624
2757.0233256095826	141598.28343196324
2808.3319988231724	141860.25254274724
2860.5955351757416	142127.0969432585
2913.831704832789	142398.90736346852
2968.0586086656026	142675.77622184873
3023.2946844057765	142957.79765679434
3079.5587129142264	143245.0675586319
3136.8698245668766	143537.68360222335
3195.2475057592133	143749.57605944452
3254.711605531848	143897.7707301934
3315.282342319423	144048.72332898114
3376.9803108250912	144202.4851813178
3439.8264890229243	144359.10856788993
3503.8422452906757	144518.6467423366
3569.0493456752292	144681.15394935606
3635.4699612933177	144846.68544314973
3703.126675869927	145015.2975062091
3772.0424934169973	145187.04746845234
3842.240846055061	145361.99372671722
3913.745601980384	145540.19576461654
3986.581073580439	145711.72774991914
4060.7720257003657	145762.14370113204
4136.343684063274	145813.49790177555
4213.321743847289	145865.80781283128
4291.732378422157	145919.09122023257
4371.602248248501	145973.36624091215
4452.958509942655	146028.65132896174
4535.828825510186	146084.96528190706
4620.241371751313	146142.32724709882
4706.224849841281	146200.7567282233
4793.808495089106	146260.2735919336
4883.02208687788	146320.89807460472
4973.895958790063	146382.65078921395
5066.461008921268	146381.0982647009
5160.7487103859075	146333.8425256531
5256.791122018419	146285.7073492608
5354.620899273607	146236.67636904537
5454.271305329836	146186.7329139452
5555.7762223988775	146135.8600026474
5659.170163246242	146084.04033781405
5764.488282925873	146031.25630020074
5871.766390733255	145977.4899426659
5981.040962380945	145922.7229840687
6092.349152400711	145866.93680305305
6205.7288067765	145810.11243171635
6321.218475812449	145744.08417448503
6438.8574272404185	145602.82986387608
6558.685659571435	145458.94678651146
6680.743915695614	145312.38602059454
6805.073696735206	145163.09773388566
6931.717276155407	145011.03116675888
7060.717714137772	144856.13461494283
7192.118872221193	144698.3554119409
7325.96542821523	144537.63991112405
7462.302891391108	144373.93346749025
7601.17761795533	144207.18041908482
7742.636826811269	144037.32406807455
7886.728615614156	143864.3066614699
8033.501977124735	143656.64795060543
8183.00681586739	143425.06175826688
8335.293965098195	143189.1657074831
8490.415204088747	142948.87959105513
8648.423275731726	142704.12170911432
8809.37190447399	142454.80884134356
8973.31581458352	142200.85621868153
9140.310748756232	141942.1774945002
9310.413487069076	141678.68471524614
9483.681866285926	141410.28829053527
9660.174799522645	141136.89696269127
9839.952296278227	140858.41777571695
10023.075482838643	140572.33604062346
10209.606623060476	140263.83317093865
10399.609139541202	139949.5890103554
10593.1476351837	139629.49671247325
10790.287915161836	139303.44744246185
10991.097009294961	138971.3303400563
11195.643194838794	138633.03248186322
11403.99601970033	138288.43884296584
11616.22632608502	137937.4322578139
11832.40627458378	137579.8933803864
12052.609368708414	137215.70064361262
12276.910479883603	136844.73021803785
12505.385872903913	136466.85596972037
12738.113231864783	136089.76536906578
12975.171686575868	135710.14255845288
13216.641839466038	135323.4549027394
13462.60579298911	134929.57092395585
13713.147177539455	134528.35669730543
13968.351179887397	134119.67580562807
14228.30457214352	133703.3892930171
14493.09574126215	133279.3556175728
14762.81471909391	132847.43060327656
15037.553212997384	132407.4673909697
15317.404637020798	131959.31638841945
15602.46414366368	131502.82521945614
15892.828656229764	131044.17380907969
16188.596901781993	130613.2187668771
16489.86944471065	130174.24357800957
16796.74872092653	129727.09898618297
