# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	39177530.47387415
1018.6101701559753	39074709.73962577
1037.566678745186	38969975.49401745
1056.875971184804	38863292.12627721
1076.5446128423157	38754623.36291051
1096.5792912678098	38643932.25536689
1116.9868184678226	38531181.167477176
1137.7741332214914	38416331.76265653
1158.9483034398106	38299344.99086987
1180.5165285688054	38180181.07535426
1202.4861420374123	38058799.499094464
1224.8646137509306	37935158.99104665
1247.6595526308697	37809217.512105905
1270.8787092020582	37694054.96889257
1294.529978227916	37589347.43397728
1318.6214013947485	37482691.274020575
1343.1611700460153	37374050.22477893
1368.1576279674719	37263387.34712496
1393.619274224142	37150665.01448789
1419.5547660501015	37035844.90006007
1445.9729217920194	36918887.96376542
1472.882723907502	36799754.4389854
1500.2933220192183	36678403.81903795
1528.2140360258693	36554794.84340476
1556.654359271062	36428885.48370219
1585.6239617711371	36301287.40355014
1615.132693503091	36197075.864025205
1645.1905877536624	36090924.93001752
1675.807864530767	35982798.50906575
1706.9949340384078	35872659.83702169
1738.7624002162504	35760471.46555014
1771.1210643450886	35646195.24939598
1804.0819287193826	35529792.33341442
1837.6562003881704	35411223.13935978
1871.8552949655793	35290447.352428526
1906.690840512252	35167423.90755177
1942.1746814890264	35042110.97543269
1978.3188827841643	34914465.94832411
2015.1357338155585	34798874.70284603
2052.6377527092523	34693663.152615145
2090.8376905557498	34586493.59753208
2129.748535745521	34477329.59879337
2169.3835183851843	34366134.03946325
2209.756114795903	34252869.11185339
2250.880052095462	34137496.30466801
2292.7693128656488	34019976.389909536
2335.438139906479	33900269.4095407
2378.9010410788933	33778334.66189834
2423.1727942376006	33654130.68785441
2468.2684522556924	33527615.25671949
2514.2033481427966	33400101.34235218
2560.9931002584594	33296217.13434331
2608.6536176225477	33190399.62354689
2657.2011053245064	33082612.830869056
2706.652070033241	32972820.107638944
2757.0233256095826	32860984.123147614
2808.3319988231724	32747066.851955328
2860.5955351757416	32631029.560962472
2913.831704832789	32512832.79623978
2968.0586086656026	32392436.369613726
3023.2946844057765	32269799.345001988
3079.5587129142264	32144880.024494793
3136.8698245668766	32017635.9341772
3195.2475057592133	31903496.172671553
3254.711605531848	31799377.75099421
3315.282342319423	31693321.667773087
3376.9803108250912	31585291.86279714
3439.8264890229243	31475251.604768675
3503.8422452906757	31363163.478814285
3569.0493456752292	31248989.373763435
3635.4699612933177	31132690.46919018
3703.126675869927	31014227.222213842
3772.0424934169973	30893559.354054067
3842.240846055061	30770645.836335476
3913.745601980384	30645444.877137654
3986.581073580439	30519977.101678878
4060.7720257003657	30417856.438055295
4136.343684063274	30313835.291505236
4213.321743847289	30207878.293718055
4291.732378422157	30099949.418172855
4371.602248248501	29990011.967888992
4452.958509942655	29878028.562948845
4535.828825510186	29763961.12778812
4620.241371751313	29647770.87824979
4706.224849841281	29529418.30839709
4793.808495089106	29408863.177081037
4883.02208687788	29286064.49425801
4973.895958790063	29160980.507052727
5066.461008921268	29049809.488465596
5160.7487103859075	28948078.26646876
