# Frequency (Hz)	Real Part (Ohm/m)
1000.0	30408377.260141283
1018.6101701559753	30457816.60673818
1037.566678745186	30508176.02798764
1056.875971184804	30559472.64663551
1076.5446128423157	30611723.904084854
1096.5792912678098	30664947.56632617
1116.9868184678226	30719161.72997813
1137.7741332214914	30774384.828440532
1158.9483034398106	30830635.638161838
1180.5165285688054	30887933.28502348
1202.4861420374123	30946297.250842758
1224.8646137509306	31005747.379996903
1247.6595526308697	31066303.8861704
1270.8787092020582	31115026.71968149
1294.529978227916	31152213.70032573
1318.6214013947485	31190092.737007353
1343.1611700460153	31228676.709006965
1368.1576279674719	31267978.735290777
1393.619274224142	31308012.178971197
1419.5547660501015	31348790.651850466
1445.9729217920194	31390328.01904869
1472.882723907502	31432638.40371832
1500.2933220192183	31475736.19184602
1528.2140360258693	31519636.037144117
1556.654359271062	31564352.866033033
1585.6239617711371	31609349.761346277
1615.132693503091	31633451.66541745
1645.1905877536624	31658002.11002447
1675.807864530767	31683009.442583036
1706.9949340384078	31708482.165855672
1738.7624002162504	31734428.940842733
1771.1210643450886	31760858.5897273
1804.0819287193826	31787780.098874774
1837.6562003881704	31815202.621888343
1871.8552949655793	31843135.4827213
1906.690840512252	31871588.1788473
1942.1746814890264	31900570.38448961
1978.3188827841643	31930091.9539104
2015.1357338155585	31950095.29529927
2052.6377527092523	31961727.835443594
2090.8376905557498	31973576.859139353
2129.748535745521	31985646.39518229
2169.3835183851843	31997940.54734469
2209.756114795903	32010463.49577073
2250.880052095462	32023219.49839786
2292.7693128656488	32036212.89240437
2335.438139906479	32049448.09568426
2378.9010410788933	32062929.608349238
2423.1727942376006	32076662.014258873
2468.2684522556924	32090649.982579134
2514.2033481427966	32104151.34961429
2560.9931002584594	32103580.88708362
2608.6536176225477	32102999.80814819
2657.2011053245064	32102407.91523491
2706.652070033241	32101805.00709378
2757.0233256095826	32101190.878729578
2808.3319988231724	32100565.32133199
2860.5955351757416	32099928.12220481
2913.831704832789	32099279.064693455
2968.0586086656026	32098617.928111374
3023.2946844057765	32097944.487664975
3079.5587129142264	32097258.514377307
3136.8698245668766	32096559.77501003
3195.2475057592133	32089593.30898446
3254.711605531848	32077587.361473862
3315.282342319423	32065357.981237225
3376.9803108250912	32052901.010153458
3439.8264890229243	32040212.21271822
3503.8422452906757	32027287.274603616
3569.0493456752292	32014121.801191453
3635.4699612933177	32000711.3160789
3703.126675869927	31987051.259556536
3772.0424934169973	31973136.98705794
3842.240846055061	31958963.767580558
3913.745601980384	31944526.782077044
3986.581073580439	31929285.070697434
4060.7720257003657	31907087.090041056
4136.343684063274	31884476.001187533
4213.321743847289	31861444.116123047
4291.732378422157	31837983.603758503
4371.602248248501	31814086.48726689
4452.958509942655	31789744.641371142
4535.828825510186	31764949.789581373
4620.241371751313	31739693.501380794
4706.224849841281	31713967.18935929
4793.808495089106	31687762.106293578
4883.02208687788	31661069.34217307
4973.895958790063	31633879.82117035
5066.461008921268	31604238.369510476
5160.7487103859075	31572666.34313021
5256.791122018419	31540506.755966827
5354.620899273607	31507748.673414186
5454.271305329836	31474380.957371265
5555.7762223988775	31440392.262455072
5659.170163246242	31405771.03214312
5764.488282925873	31370505.49484403
5871.766390733255	31334583.65989517
5981.040962380945	31297993.31348559
6092.349152400711	31260722.01450328
6205.7288067765	31222757.090304963
6321.218475812449	31184121.65001775
6438.8574272404185	31145094.362081908
6558.685659571435	31105340.76967684
6680.743915695614	31064847.356152818
6805.073696735206	31023600.353312925
6931.717276155407	30981585.736731734
7060.717714137772	30938789.220986947
7192.118872221193	30895196.254802067
7325.96542821523	30850792.016098876
7462.302891391108	30805561.40695778
7601.17761795533	30759489.0484843
7742.636826811269	30712559.27558014
7886.728615614156	30664756.13161686
8033.501977124735	30618345.908699762
8183.00681586739	30572529.413780004
8335.293965098195	30525860.266093828
8490.415204088747	30478322.597628187
8648.423275731726	30429900.245063584
8809.37190447399	30380576.744278394
8973.31581458352	30330335.3247509
9140.310748756232	30279158.903857138
9310.413487069076	30227030.081062555
9483.681866285926	30173931.132005744
9660.174799522645	30119844.00247187
9839.952296278227	30064750.302254133
10023.075482838643	30009463.145490747
10209.606623060476	29959024.00695806
10399.609139541202	29907646.18747476
10593.1476351837	29855312.218028646
10790.287915161836	29802004.304506183
10991.097009294961	29747704.3216424
11195.643194838794	29692393.80685805
11403.99601970033	29636053.95398217
11616.22632608502	29578665.606857706
11832.40627458378	29520209.252828296
12052.609368708414	29460665.01610368
12276.910479883603	29400012.65100181
12505.385872903913	29338231.53506504
12738.113231864783	29281147.073817357
12975.171686575868	29226355.468568314
13216.641839466038	29170544.182222467
13462.60579298911	29113694.238341097
13713.147177539455	29055786.30733074
13968.351179887397	28996800.699870896
14228.30457214352	28936717.36021947
14493.09574126215	28875515.859393593
14762.81471909391	28813175.388223544
15037.553212997384	28749674.750277426
15317.404637020798	28684992.354654115
15602.46414366368	28619106.20864215
15892.828656229764	28553658.867604107
16188.596901781993	28496515.773471445
16489.86944471065	28438309.236633748
16796.74872092653	28379019.4662413
17109.339072690134	28318626.303133335
17427.746784089173	28257109.21298369
17752.08011717636	28194447.27931885
18082.44934877952	28130619.196406208
18418.96680799711	28065603.26200982
18761.746914391195	27999377.37001149
19110.90621689136	27931919.002894316
19466.56343342263	27863205.224086665
19828.83949127071	27793212.670163337
20197.857568198782	27730288.258744776
20573.743134329114	27670496.614857018
20956.623994804308	27609592.23830261
21346.630333242454	27547554.420937262
21743.8947560008	27484362.06923464
22148.55233726359	27419993.697114278
22560.74066496859	27354427.418636106
22980.599887588487	27287640.94055896
23408.272761782944	27219611.554760657
23843.904700937208	27150316.13051706
24287.643824604504	27079731.106637254
24739.64100886812	27007832.48345258
25200.049937640895	26936977.16197758
25669.027154919517	26876133.64495956
26146.732118010917	26814157.819736954
26633.327251749808	26751028.613861404
27128.978003724646	26686724.56272269
27633.852900531667	26621223.80225057
28148.123605075813	26554504.061480712
28671.964974937695	26486542.65498237
29205.55512182745	26417316.47514505
29749.075472144435	26346801.984321702
30302.71082866393	26274975.20682569
30866.649433372742	26201811.720778696
31441.08303147265	26127286.649807192
32026.206936576502	26061232.438953046
32622.220097116733	25998471.237114634
33229.325163989684	25934542.038630847
33847.72855945983	25869423.106885295
34477.640547344636	25803092.300739612
35119.275304507275	25735527.067004975
35772.850993678774	25666704.432773896
36438.58983763541	25596600.997609206
37116.71819475767	25525192.925587576
37807.466635993485	25452455.937195115
38511.070023255685	25378365.301072035
39227.76758927723	25302895.825603735
39957.803018952654	25228956.613816608
40701.42453219439	25165489.269131288
41458.88496832911	25100840.786362022
42230.441872066716	25034989.184328098
43016.35758106799	24967912.072775263
43816.89931514194	24899586.644762885
44632.33926710397	24829989.66890921
45462.95469532399	24759097.481492545
46309.02801799736	24686885.97840533
47170.84690917023	24613330.606958438
48048.704396551344	24538406.357533045
48942.89896114532	24462087.755077038
49853.73463873894	24384348.85044325
50781.5211232767	24315844.7663527
51726.57387216024	24250415.806299828
52689.21421350677	24183769.202167228
53669.76945540476	24115882.29339141
54668.57299720181	24046731.99769191
55685.96444286408	23976294.803223114
56722.28971644549	23904546.76057993
57777.90117970507	23831463.47465482
58853.1577519145	23757020.09634307
59948.42503189408	23681191.314093955
61064.07542232036	23603951.34530447
62200.48825634718	23525273.92755297
63358.04992658254	23448535.397986908
64537.15401646702	23382199.158429194
65738.20143409586	23314628.390165813
66961.60054853215	23245800.11840748
68207.76732865692	23175690.940800175
69477.1254846024	23104277.019468118
70770.10661181889	23031534.07290855
72087.15033782135	22957437.36773588
73428.70447166759	22881961.710271925
74795.22515621828	22805081.437979948
76187.17702322999	22726770.41073898
77605.0333513357	22647002.001955956
79049.2762269642	22565749.08951242
80520.39670825469	22494370.835877426
82018.8949920221	22425754.657652244
83545.28058382872	22355861.52067487
85100.07247122246	22284667.6605256
86683.79930019773	22212148.870524887
88296.99955494082	22138280.493502766
89940.22174092053	22063037.4134151
