# Frequency (Hz)	Real Part (Ohm/m)
1000.0	8647016.238316823
1018.6101701559753	8650053.457713129
1037.566678745186	8653147.200279202
1056.875971184804	8656298.517920846
1076.5446128423157	8659508.482120022
1096.5792912678098	8662778.184299132
1116.9868184678226	8666108.73619216
1137.7741332214914	8669501.270222628
1158.9483034398106	8672956.939888662
1180.5165285688054	8676476.920155186
1202.4861420374123	8680062.407853413
1224.8646137509306	8683714.6220878
1247.6595526308697	8687434.804650534
1270.8787092020582	8689089.809660686
1294.529978227916	8688726.517808171
1318.6214013947485	8688356.465032458
1343.1611700460153	8687979.525511628
1368.1576279674719	8687595.571082175
1393.619274224142	8687204.47119546
1419.5547660501015	8686806.092873305
1445.9729217920194	8686400.300662786
1472.882723907502	8685986.956590177
1500.2933220192183	8685565.920114052
1528.2140360258693	8685137.048077462
1556.654359271062	8684700.194659295
1585.6239617711371	8684174.87107309
1615.132693503091	8680477.448736332
1645.1905877536624	8676711.216740748
1675.807864530767	8672874.894526882
1706.9949340384078	8668967.17770384
1738.7624002162504	8664986.737605799
1771.1210643450886	8660932.220840242
1804.0819287193826	8656802.248827776
1837.6562003881704	8652595.417333419
1871.8552949655793	8648310.295989133
1906.690840512252	8643945.427807491
1942.1746814890264	8639499.32868628
1978.3188827841643	8634970.486903895
2015.1357338155585	8629137.937196745
2052.6377527092523	8622137.852854464
2090.8376905557498	8615007.495751478
2129.748535745521	8607744.441489521
2169.3835183851843	8600346.220551906
2209.756114795903	8592810.317463785
2250.880052095462	8585134.169936918
2292.7693128656488	8577315.167998433
2335.438139906479	8569350.653103422
2378.9010410788933	8561237.917231001
2423.1727942376006	8552974.201963568
2468.2684522556924	8544556.697548889
2514.2033481427966	8535917.92961982
2560.9931002584594	8525879.373046357
2608.6536176225477	8515653.997226942
2657.2011053245064	8505238.325423617
2706.652070033241	8494628.816195741
2757.0233256095826	8483821.862195868
2808.3319988231724	8472813.788943186
2860.5955351757416	8461600.853574183
2913.831704832789	8450179.243570017
2968.0586086656026	8438545.075460216
3023.2946844057765	8426694.39350227
3079.5587129142264	8414623.168336619
3136.8698245668766	8402327.295616647
3195.2475057592133	8389618.014872769
3254.711605531848	8376527.320790834
3315.282342319423	8363193.006664573
3376.9803108250912	8349610.538683508
3439.8264890229243	8335775.298662182
3503.8422452906757	8321682.582469905
3569.0493456752292	8307327.598431332
3635.4699612933177	8292705.465697219
3703.126675869927	8277811.21258487
3772.0424934169973	8262639.774887762
3842.240846055061	8247185.994153596
3913.745601980384	8231444.6159304185
3986.581073580439	8215457.452348885
4060.7720257003657	8199759.854159528
4136.343684063274	8183770.120996834
4213.321743847289	8167482.816179229
4291.732378422157	8150892.40184759
4371.602248248501	8133993.237082279
4452.958509942655	8116779.5759851895
4535.828825510186	8099245.56572608
4620.241371751313	8081385.244552525
4706.224849841281	8063192.5397629
4793.808495089106	8044661.265641536
4883.02208687788	8025785.121355565
4973.895958790063	8006557.688812548
5066.461008921268	7987896.178595456
5160.7487103859075	7969541.969443678
5256.791122018419	7950846.185336506
5354.620899273607	7931802.469505898
5454.271305329836	7912404.34688328
5555.7762223988775	7892645.221897954
5659.170163246242	7872518.376234515
5764.488282925873	7852016.966548578
5871.766390733255	7831134.022139942
5981.040962380945	7809862.442582509
6092.349152400711	7788194.995310024
6205.7288067765	7766124.313156951
6321.218475812449	7743890.156264626
6438.8574272404185	7723488.23394543
6558.685659571435	7702706.628380362
6680.743915695614	7681538.273599618
6805.073696735206	7659975.972134478
6931.717276155407	7638012.392570118
7060.717714137772	7615640.067052835
7192.118872221193	7592851.3887508875
7325.96542821523	7569638.609268109
7462.302891391108	7545993.836009366
7601.17761795533	7521909.029496975
7742.636826811269	7497376.000637217
7886.728615614156	7472386.407935937
8033.501977124735	7448987.515570896
8183.00681586739	7426465.79144165
8335.293965098195	7403524.934194149
8490.415204088747	7380157.1436897535
8648.423275731726	7356354.474627897
8809.37190447399	7332108.833844636
8973.31581458352	7307411.977560856
9140.310748756232	7282255.508579318
9310.413487069076	7256630.873429512
9483.681866285926	7230529.3594593825
9660.174799522645	7203942.091872938
9839.952296278227	7176860.030712727
10023.075482838643	7149793.665225993
10209.606623060476	7125895.205920268
10399.609139541202	7101551.9922204055
10593.1476351837	7076755.7471714355
10790.287915161836	7051498.039782881
10991.097009294961	7025770.282162074
11195.643194838794	6999563.726594212
11403.99601970033	6972869.462568028
11616.22632608502	6945678.413746132
11832.40627458378	6917981.334878942
12052.609368708414	6889768.8086612085
12276.910479883603	6861031.242530028
12505.385872903913	6831758.8654032815
12738.113231864783	6805085.71824768
12975.171686575868	6779720.491469856
13216.641839466038	6753883.213505653
13462.60579298911	6727565.099402163
13713.147177539455	6700757.200717031
13968.351179887397	6673450.40247584
14228.30457214352	6645635.420072966
14493.09574126215	6617302.7961146915
14762.81471909391	6588442.897203582
15037.553212997384	6559045.910663059
15317.404637020798	6529101.841200942
15602.46414366368	6498600.507510977
15892.828656229764	6468368.685381603
16188.596901781993	6442362.057046025
16489.86944471065	6415871.440931941
16796.74872092653	6388887.829944442
17109.339072690134	6361402.04936504
17427.746784089173	6333404.753732181
17752.08011717636	6304886.423663692
18082.44934877952	6275837.362620064
18418.96680799711	6246247.693607545
18761.746914391195	6216107.355819836
19110.90621689136	6185406.101217347
19466.56343342263	6154133.4910427
19828.83949127071	6122278.892271482
20197.857568198782	6093931.218540572
20573.743134329114	6067163.87244756
20956.623994804308	6039898.381489134
21346.630333242454	6012125.475104584
21743.8947560008	5983835.710206491
22148.55233726359	5955019.467969975
22560.74066496859	5925666.950562181
22980.599887588487	5895768.1778109195
23408.272761782944	5865312.9838113
23843.904700937208	5834291.01346922
24287.643824604504	5802691.718980497
24739.64100886812	5770504.356244531
25200.049937640895	5738878.974415946
25669.027154919517	5712189.036470416
26146.732118010917	5685002.394238272
26633.327251749808	5657309.803968214
27128.978003724646	5629101.849881172
27633.852900531667	5600368.940968822
28148.123605075813	5571101.307732534
28671.964974937695	5541288.998861657
29205.55512182745	5510921.877849947
29749.075472144435	5479989.619549063
30302.71082866393	5448481.706657898
30866.649433372742	5416387.42614656
31441.08303147265	5383695.865613878
32026.206936576502	5355228.39765372
32622.220097116733	5328448.064147421
33229.325163989684	5301169.344077734
33847.72855945983	5273382.962385912
34477.640547344636	5245079.471402788
35119.275304507275	5216249.247636462
35772.850993678774	5186882.488500203
36438.58983763541	5156969.208979499
37116.71819475767	5126499.238236981
37807.466635993485	5095462.216154304
38511.070023255685	5063847.589809531
39227.76758927723	5031644.609889059
39957.803018952654	5000291.149033
40701.42453219439	4974203.211940768
41458.88496832911	4947629.77390023
42230.441872066716	4920561.79965613
43016.35758106799	4892990.085805567
43816.89931514194	4864905.257668758
44632.33926710397	4836297.766101519
45462.95469532399	4807157.884248478
46309.02801799736	4777475.704235828
47170.84690917023	4747241.13380254
48048.704396551344	4716443.892868898
48942.89896114532	4685073.510041146
49853.73463873894	4653119.319051109
50781.5211232767	4625851.771280122
51726.57387216024	4600227.552933966
52689.21421350677	4574126.463524275
53669.76945540476	4547539.628399415
54668.57299720181	4520458.00774897
55685.96444286408	4492872.393530124
56722.28971644549	4464773.406336801
57777.90117970507	4436151.492210606
58853.1577519145	4406996.91939233
59948.42503189408	4377299.775013083
61064.07542232036	4347049.9617237905
62200.48825634718	4316237.194261997
63358.04992658254	4286517.192916636
64537.15401646702	4262036.420770708
65738.20143409586	4237100.057289592
66961.60054853215	4211699.623841022
68207.76732865692	4185826.4840039355
69477.1254846024	4159471.8406320135
70770.10661181889	4132626.7328625424
72087.15033782135	4105282.0330696255
73428.70447166759	4077428.4437606977
74795.22515621828	4049056.4944152734
76187.17702322999	4020156.538264876
77605.0333513357	3990718.7490130197
79049.2762269642	3960733.117494171
80520.39670825469	3935624.240322287
82018.8949920221	3912000.4041804583
83545.28058382872	3887936.9244282967
85100.07247122246	3863425.619223405
86683.79930019773	3838458.1544579035
88296.99955494082	3813026.0409247517
89940.22174092053	3787120.6314313207
91614.0245713852	3760733.1178592592
93318.9771573324	3733854.5281696278
95055.65920101192	3706475.7233523196
96824.66119303115	3678587.3943186956
98626.5846131283	3650180.0587363853
100462.04213468132	3623039.2037102343
102331.65783302448	3600828.6099219667
104236.06739764012	3578204.6732040322
106175.9183482999	3555159.70117418
108151.87025522892	3531685.85829361
110164.59496336569	3507775.1632028213
112214.77682079801	3483419.4860078446
114303.11291144785	3458610.5455160043
116430.31329208757	3433339.9064202234
118597.10123376705	3407598.976430915
120804.21346773289	3381379.0033545364
123052.40043592616	3354671.0721177217
125342.42654613995	3327466.1017360752
127675.07043192645	3305082.7470614966
130051.12521734099	3283957.7032290567
132471.39878661174	3262439.518736342
134936.71405883064	3240520.8771687723
137447.90926775365	3218194.325952043
140005.8382468096	3195452.273818171
142611.37071941295	3172286.988224391
145265.39259467812	3148690.5927240015
147968.80626863963	3124655.0642882814
150722.53093107554	3100172.230578584
153527.5028780421	3075233.7671676488
156384.67583022476	3049831.1947092055
159295.0212572123	3025791.112094469
162259.5287078087	3006186.831795875
165279.2061464897	2986217.7125051343
168355.08029612005	2965876.964506535
171488.19698705408	2945157.671726575
174679.62151272455	2924052.7893824726
177930.43899185772	2902555.1415868225
181241.75473742394	2880657.4189077397
184614.69463245454	2858352.175883578
188050.40551285836	2835631.828491361
191550.0555573528	2812488.651568174
195114.83468466165	2788914.7761844965
198745.9549580986	2764902.1869686893
202444.65099768018	2745466.1855101185
206212.18039991445	2727036.5582442586
210049.8241653915	2708263.952479071
213958.88713434213	2689141.9853263223
217940.6984302958	2669664.1551111415
221996.61191199525	2649823.839161391
226128.00663372793	2629614.2915558643
230336.2873142131	2609028.6408306253
234622.88481422624	2588059.887642617
238989.25662310526	2566700.90238982
243436.8873543108	2544944.4227871154
247967.289250216	2522783.051397002
252582.00269627848	2502008.1306515704
257282.59674479323	2485082.866307895
262070.66964838552	2467842.6199148474
266947.8494034318	2450281.5296028988
271915.7943036019	2432393.624412116
276976.1935036891	2414172.822261999
282130.76759394706	2395612.927883492
287381.2691851069	2376707.6307125213
292729.4835042813	2357450.5027443524
298177.22900196735	2337834.9963479782
303726.3579703311	2317854.4420398744
309378.75717301364	2297502.046216284
315136.34848664823	2276770.8888433343
321001.08955431683	2260245.3846187736
326974.97445117676	2244481.710889165
333060.03436245886	2228424.672509165
339258.33827409917	2212068.8099127123
345571.9936762143	2195408.5619302904
352003.1472796675	2178438.2638980793
358553.9857459817	2161152.145731887
365226.7364308175	2143544.3299652864
372023.6681413066	2125608.8297511954
378947.09190746717	2107339.546826285
385999.36176797637	2088730.269437519
393182.87557057705	2069774.6702300636
400500.07578736113	2052171.152237212
407953.45034524484	2037813.6828585628
415545.53347188793	2023189.0185317665
423278.90655735444	2008292.1867133765
431156.19903182285	1993118.1223200585
439180.0892596086	1977661.666006425
447353.3054498463	1961917.5624107865
455678.6265841068	1945880.4583682776
464158.8833612772	1929544.901090732
472796.9591600391	1912905.3363126556
481595.79101923504	1895956.1064027399
490558.37063650455	1878691.4484401871
499687.7453854889	1861105.4922552651
508987.0193519675	1847286.814220476
518459.3543892913	1834012.7853508403
528107.971193433	1820491.7245452881
537936.1503980698	1806719.0344974538
547947.2336900292	1792690.0323443245
558144.6249454955	1778399.9480740083
568531.7913873753	1763843.9229038751
579112.2647641759	1749017.0076285335
589889.6425508494	1733914.160937029
600867.5891719692	1718530.2476987543
612049.837247669	1702860.0372174543
623440.1888627863	1686898.201452714
635042.5168595961	1672212.1878820073
646860.7661546321	1660200.9854102156
658898.9550799957	1647966.252416645
