# Frequency (Hz)	Real Part (Ohm/m)
1000.0	29262805.75751924
1018.6101701559753	29297467.626403898
1037.566678745186	29332774.55856642
1056.875971184804	29368738.558744173
1076.5446128423157	29405371.855084732
1096.5792912678098	29442686.90330355
1116.9868184678226	29480696.390919093
1137.7741332214914	29519413.241566725
1158.9483034398106	29558850.6193928
1180.5165285688054	29599021.933530733
1202.4861420374123	29639940.84266016
1224.8646137509306	29681621.25965107
1247.6595526308697	29724077.35629435
1270.8787092020582	29755183.914613053
1294.529978227916	29775214.94879903
1318.6214013947485	29795618.76393962
1343.1611700460153	29816402.297551796
1368.1576279674719	29837572.61626094
1393.619274224142	29859136.918203503
1419.5547660501015	29881102.53547454
1445.9729217920194	29903476.93662055
1472.882723907502	29926267.729179032
1500.2933220192183	29949482.66226502
1528.2140360258693	29973129.629205894
1556.654359271062	29997216.670225214
1585.6239617711371	30021248.95334535
1615.132693503091	30025928.727580648
1645.1905877536624	30030695.593210768
1675.807864530767	30035551.171021372
1706.9949340384078	30040497.111961238
1738.7624002162504	30045535.097703572
1771.1210643450886	30050666.841217816
1804.0819287193826	30055894.087352056
1837.6562003881704	30061218.61342631
1871.8552949655793	30066642.22983679
1906.690840512252	30072166.780671537
1942.1746814890264	30077794.144337367
1978.3188827841643	30083526.234198533
2015.1357338155585	30080597.47598198
2052.6377527092523	30070000.202055573
2090.8376905557498	30059205.711058214
2129.748535745521	30048210.332746662
2169.3835183851843	30037010.328573804
2209.756114795903	30025601.890417524
2250.880052095462	30013981.13928595
2292.7693128656488	30002144.12399848
2335.438139906479	29990086.819842365
2378.9010410788933	29977805.127204295
2423.1727942376006	29965294.87017642
2468.2684522556924	29952551.795136563
2514.2033481427966	29938971.412987452
2560.9931002584594	29913629.572316587
2608.6536176225477	29887816.115678795
2657.2011053245064	29861522.266220648
2706.652070033241	29834739.083750024
2757.0233256095826	29807457.461696323
2808.3319988231724	29779668.124014042
2860.5955351757416	29751361.622028988
2913.831704832789	29722528.331225492
2968.0586086656026	29693158.447973974
3023.2946844057765	29663241.98619766
3079.5587129142264	29632768.77397725
3136.8698245668766	29601728.450092208
3195.2475057592133	29565864.808113787
3254.711605531848	29526000.98415304
3315.282342319423	29485395.28764533
3376.9803108250912	29444033.9122163
3439.8264890229243	29401902.794552654
3503.8422452906757	29358987.609620422
3569.0493456752292	29315273.76579433
3635.4699612933177	29270746.39989646
3703.126675869927	29225390.372142635
3772.0424934169973	29179190.260994706
3842.240846055061	29132130.357917096
3913.745601980384	29084194.662035685
3986.581073580439	29035151.340234857
4060.7720257003657	28982512.399543583
4136.343684063274	28928893.839209218
4213.321743847289	28874277.428343516
4291.732378422157	28818644.59677829
4371.602248248501	28761976.428751376
4452.958509942655	28704253.656475045
4535.828825510186	28645456.653584793
4620.241371751313	28585565.428466085
4706.224849841281	28524559.617457062
4793.808495089106	28462418.477924652
4883.02208687788	28399120.881211888
4973.895958790063	28334645.30545381
5066.461008921268	28270029.307647407
5160.7487103859075	28204961.57322257
5256.791122018419	28138682.917188413
5354.620899273607	28071170.80408775
5454.271305329836	28002402.279074695
5555.7762223988775	27932353.960109785
5659.170163246242	27861002.0300098
5764.488282925873	27788322.228349693
5871.766390733255	27714289.84321377
5981.040962380945	27638879.70279342
6092.349152400711	27562066.16682838
6205.7288067765	27483823.117888737
6321.218475812449	27404760.59989014
6438.8574272404185	27330009.67517234
6558.685659571435	27253867.623026215
6680.743915695614	27176308.55433364
6805.073696735206	27097306.098175563
6931.717276155407	27016833.39286562
7060.717714137772	26934863.07681697
7192.118872221193	26851367.27923891
7325.96542821523	26766317.610660613
7462.302891391108	26679685.153278366
7601.17761795533	26591440.451123193
7742.636826811269	26501553.500045564
7886.728615614156	26409993.737513565
8033.501977124735	26323322.12467522
8183.00681586739	26239246.66079896
8335.293965098195	26153606.538234018
8490.415204088747	26066372.638415974
8648.423275731726	25977515.300878927
8809.37190447399	25887004.313170724
8973.31581458352	25794808.900580276
9140.310748756232	25700897.715673923
9310.413487069076	25605238.827636912
9483.681866285926	25507799.711416602
9660.174799522645	25408547.236663584
9839.952296278227	25307447.656467013
10023.075482838643	25206306.044918474
10209.606623060476	25116277.713411674
10399.609139541202	25024573.93933669
10593.1476351837	24931163.54242223
10790.287915161836	24836014.762126833
10991.097009294961	24739095.246840015
11195.643194838794	24640372.042882264
11403.99601970033	24539811.58330052
11616.22632608502	24437379.676455006
11832.40627458378	24333041.494393703
12052.609368708414	24226761.56101046
12276.910479883603	24118503.739982784
12505.385872903913	24008231.222485077
12738.113231864783	23907608.467761233
12975.171686575868	23811828.76089528
13216.641839466038	23714266.577387057
13462.60579298911	23614888.745042957
13713.147177539455	23513661.474329203
13968.351179887397	23410550.34688304
14228.30457214352	23305520.30381013
14493.09574126215	23198535.633764148
14762.81471909391	23089559.960804522
15037.553212997384	22978556.23202826
15317.404637020798	22865486.704971526
15602.46414366368	22750312.934776813
15892.828656229764	22636191.04638412
16188.596901781993	22538219.822810363
16489.86944471065	22438425.338095516
16796.74872092653	22336773.661039498
17109.339072690134	22233230.22897682
17427.746784089173	22127759.836024933
17752.08011717636	22020326.621113773
18082.44934877952	21910894.05579274
18418.96680799711	21799424.931810465
18761.746914391195	21685881.348463748
19110.90621689136	21570224.69971082
19466.56343342263	21452415.661044937
19828.83949127071	21332414.176123567
20197.857568198782	21225990.960799407
20573.743134329114	21125716.679320745
20956.623994804308	21023576.27640151
21346.630333242454	20919535.023204125
21743.8947560008	20813557.54458151
22148.55233726359	20705607.80704903
22560.74066496859	20595649.10653277
