# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	66074430.163942195
1018.6101701559753	66065650.22456076
1037.566678745186	66056706.88901349
1056.875971184804	66047597.11646991
1076.5446128423157	66038317.80950922
1096.5792912678098	66028865.813067056
1116.9868184678226	66019237.91336279
1137.7741332214914	66009430.83680679
1158.9483034398106	65999441.248887345
1180.5165285688054	65989265.75303693
1202.4861420374123	65978900.88947732
1224.8646137509306	65968343.134043224
1247.6595526308697	65957588.89698403
1270.8787092020582	65946728.67497549
1294.529978227916	65935756.732244544
1318.6214013947485	65924580.599792436
1343.1611700460153	65913196.47761369
1368.1576279674719	65901600.49498414
1393.619274224142	65889788.70914472
1419.5547660501015	65877757.10396099
1445.9729217920194	65865501.588557534
1472.882723907502	65853017.99592707
1500.2933220192183	65840302.0815136
1528.2140360258693	65827349.5217692
1556.654359271062	65814155.912684016
1585.6239617711371	65800723.41039094
1615.132693503091	65787302.37084087
1645.1905877536624	65773631.5634611
1675.807864530767	65759706.340029836
1706.9949340384078	65745521.96582105
1738.7624002162504	65731073.61799468
1771.1210643450886	65716356.38395679
1804.0819287193826	65701365.25968923
1837.6562003881704	65686095.14804822
1871.8552949655793	65670540.85703127
1906.690840512252	65654697.098011844
1942.1746814890264	65638558.483941145
1978.3188827841643	65622119.52751652
2015.1357338155585	65605582.042161405
2052.6377527092523	65588916.90697203
2090.8376905557498	65571941.630781114
2129.748535745521	65554650.441811845
2169.3835183851843	65537037.46087366
2209.756114795903	65519096.699363254
2250.880052095462	65500822.05722841
2292.7693128656488	65482207.320893906
2335.438139906479	65463246.1611488
2378.9010410788933	65443932.13099449
2423.1727942376006	65424258.66345261
2468.2684522556924	65404219.06933221
2514.2033481427966	65383834.06297342
2560.9931002584594	65363597.57131417
2608.6536176225477	65342984.47510179
2657.2011053245064	65321987.765661456
2706.652070033241	65300600.30388571
2757.0233256095826	65278814.81780713
2808.3319988231724	65256623.90012569
2860.5955351757416	65234020.00569028
2913.831704832789	65210995.44893324
2968.0586086656026	65187542.40125719
3023.2946844057765	65163652.8883732
3079.5587129142264	65139318.7875895
3136.8698245668766	65114531.82504963
3195.2475057592133	65089726.54727972
3254.711605531848	65064807.36521825
3315.282342319423	65039424.43293848
3376.9803108250912	65013569.11996992
3439.8264890229243	64987232.63522759
3503.8422452906757	64960406.024022885
3569.0493456752292	64933080.16501895
3635.4699612933177	64905245.7671293
3703.126675869927	64876893.366358735
3772.0424934169973	64848013.3225855
3842.240846055061	64818595.816283524
3913.745601980384	64788630.84518371
3986.581073580439	64758191.2332457
4060.7720257003657	64728218.45037153
4136.343684063274	64697687.86890802
4213.321743847289	64666589.108128525
4291.732378422157	64634911.594119266
4371.602248248501	64602644.556184195
4452.958509942655	64569777.02318271
4535.828825510186	64536297.81979946
4620.241371751313	64502195.56274457
4706.224849841281	64467458.65688318
4793.808495089106	64432075.29129302
4883.02208687788	64396033.43524853
4973.895958790063	64359320.83413032
5066.461008921268	64322838.89593139
5160.7487103859075	64286325.63232733
5256.791122018419	64249132.85067465
5354.620899273607	64211247.905026846
5454.271305329836	64172657.91409418
5555.7762223988775	64133349.756863944
5659.170163246242	64093310.068139136
5764.488282925873	64052525.23399416
5871.766390733255	64010981.387145974
5981.040962380945	63968664.402238995
6092.349152400711	63925559.89104242
6205.7288067765	63881653.197557986
6321.218475812449	63837143.84275384
6438.8574272404185	63793754.106387995
6558.685659571435	63749556.87964536
6680.743915695614	63704537.13499262
6805.073696735206	63658679.56523153
6931.717276155407	63611968.57829422
7060.717714137772	63564388.29194187
7192.118872221193	63515922.52836443
7325.96542821523	63466554.80868007
7462.302891391108	63416268.34733219
7601.17761795533	63365046.046382055
7742.636826811269	63312870.489695475
7886.728615614156	63259723.937020965
8033.501977124735	63207395.99140436
8183.00681586739	63155248.432888694
8335.293965098195	63102130.399435826
8490.415204088747	63048023.83034205
8648.423275731726	62992910.32879087
8809.37190447399	62936771.15559795
8973.31581458352	62879587.22283949
9140.310748756232	62821339.08736221
9310.413487069076	62762006.94417242
9483.681866285926	62701570.61970215
9660.174799522645	62640009.564949885
9839.952296278227	62577302.84849371
10023.075482838643	62513926.21657826
10209.606623060476	62452881.87001791
10399.609139541202	62390701.47778102
10593.1476351837	62327363.89786424
10790.287915161836	62262847.59480794
10991.097009294961	62197130.632373914
11195.643194838794	62130190.66608687
11403.99601970033	62062004.93563698
11616.22632608502	61992550.25714122
11832.40627458378	61921803.01526052
12052.609368708414	61849739.15517035
12276.910479883603	61776334.1743818
12505.385872903913	61701563.1144105
12738.113231864783	61628803.64576532
12975.171686575868	61556643.118329585
13216.641839466038	61483139.671199724
13462.60579298911	61408268.31241172
13713.147177539455	61332003.58489687
13968.351179887397	61254319.55782606
14228.30457214352	61175189.81779307
14493.09574126215	61094587.459833674
14762.81471909391	61012485.078277655
15037.553212997384	60928854.75743069
15317.404637020798	60843668.06208256
15602.46414366368	60756896.027838975
15892.828656229764	60669559.47106299
16188.596901781993	60586604.56066814
16489.86944471065	60502105.84527557
16796.74872092653	60416034.594411604
17109.339072690134	60328361.54292351
17427.746784089173	60239056.88102913
17752.08011717636	60148090.24418116
18082.44934877952	60055430.70274295
18418.96680799711	59961046.75147199
18761.746914391195	59864906.2988079
19110.90621689136	59766976.65596085
19466.56343342263	59667224.525797084
19828.83949127071	59565615.99151757
20197.857568198782	59468167.12515791
20573.743134329114	59372015.643645756
20956.623994804308	59274074.76670192
21346.630333242454	59174311.19337293
21743.8947560008	59072691.00296892
22148.55233726359	58969179.64353022
22560.74066496859	58863741.920079276
22980.599887588487	58756341.98265406
23408.272761782944	58646943.314118594
23843.904700937208	58535508.717746876
24287.643824604504	58422000.30457541
24739.64100886812	58306379.48052068
25200.049937640895	58190640.04878545
25669.027154919517	58082420.236123666
26146.732118010917	57972186.434334025
26633.327251749808	57859901.16273614
27128.978003724646	57745526.2431278
27633.852900531667	57629022.78680398
28148.123605075813	57510351.18133419
28671.964974937695	57389471.07709395
29205.55512182745	57266341.373545334
29749.075472144435	57140920.205262385
30302.71082866393	57013164.92769658
30866.649433372742	56883032.10267691
31441.08303147265	56750477.48364076
32026.206936576502	56625541.07134315
32622.220097116733	56502906.1286064
33229.325163989684	56377988.92871827
33847.72855945983	56250746.99848478
34477.640547344636	56121137.0742787
35119.275304507275	55989115.087329224
35772.850993678774	55854636.14873829
36438.58983763541	55717654.5342178
37116.71819475767	55578123.66854282
37807.466635993485	55435996.109715626
38511.070023255685	55291223.53283481
39227.76758927723	55143756.71366431
39957.803018952654	54997152.467478715
40701.42453219439	54862381.47620876
41458.88496832911	54725102.37385919
42230.441872066716	54585268.48405605
43016.35758106799	54442832.26177007
43816.89931514194	54297745.277150996
44632.33926710397	54149958.199060746
45462.95469532399	53999420.778300375
46309.02801799736	53846081.83052482
47170.84690917023	53689889.21883959
48048.704396551344	53530789.83607383
48942.89896114532	53368729.586723074
49853.73463873894	53203653.368556395
50781.5211232767	53051163.864203975
51726.57387216024	52902213.45726382
52689.21421350677	52750491.05790572
53669.76945540476	52595945.07887909
54668.57299720181	52438522.972885855
55685.96444286408	52278171.214713775
56722.28971644549	52114835.28303728
57777.90117970507	51948459.64187973
58853.1577519145	51778987.721730426
59948.42503189408	51606361.90031048
61064.07542232036	51430523.48298059
62200.48825634718	51251412.682784215
63358.04992658254	51074829.08705037
64537.15401646702	50915332.48383702
65738.20143409586	50752867.621698596
66961.60054853215	50587379.2608314
68207.76732865692	50418811.13340961
69477.1254846024	50247105.924453646
70770.10661181889	50072205.25234235
72087.15033782135	49894049.64896266
73428.70447166759	49712578.539489836
74795.22515621828	49527730.22179132
76187.17702322999	49339441.84544739
77605.0333513357	49147649.39038132
79049.2762269642	48952287.64509184
80520.39670825469	48775835.90725698
82018.8949920221	48604199.394385
83545.28058382872	48429368.69680351
85100.07247122246	48251284.370191544
86683.79930019773	48069885.863959216
88296.99955494082	47885111.50065985
89940.22174092053	47696898.45501901
91614.0245713852	47505182.73257324
93318.9771573324	47309899.14791118
95055.65920101192	47110981.302509904
96824.66119303115	46908361.56215862
98626.5846131283	46701971.03396244
100462.04213468132	46500458.293868065
102331.65783302448	46321594.07144211
104236.06739764012	46139401.15540199
106175.9183482999	45953817.59819315
108151.87025522892	45764780.29940648
110164.59496336569	45572224.984323576
112214.77682079801	45376086.18206255
114303.11291144785	45176297.203317255
116430.31329208757	44972790.117682226
118597.10123376705	44765495.73055556
120804.21346773289	44554343.5596121
123052.40043592616	44339261.810838595
125342.42654613995	44120177.35412296
127675.07043192645	43927050.47479263
130051.12521734099	43739771.140083335
132471.39878661174	43549006.50508842
134936.71405883064	43354691.70777651
137447.90926775365	43156760.6790228
140005.8382468096	42955146.12014483
142611.37071941295	42749779.4800202
145265.39259467812	42540590.93177851
147968.80626863963	42327509.34905937
150722.53093107554	42110462.28182872
153527.5028780421	41889375.93174505
156384.67583022476	41664175.127067134
159295.0212572123	41446675.763205044
162259.5287078087	41256772.14895816
165279.2061464897	41063334.39613687
168355.08029612005	40866296.73382104
171488.19698705408	40665592.167082325
174679.62151272455	40461152.45420555
177930.43899185772	40252908.0834855
181241.75473742394	40040788.2495923
184614.69463245454	39824720.829496935
188050.40551285836	39604632.357948385
191550.0555573528	39380448.002494976
195114.83468466165	39152091.53804027
198745.9549580986	38919485.32092582
202444.65099768018	38719581.12356303
206212.18039991445	38526041.59136922
210049.8241653915	38328900.2555494
213958.88713434213	38128090.0859252
217940.6984302958	37923542.80487521
221996.61191199525	37715188.864119984
226128.00663372793	37502957.4210746
230336.2873142131	37286776.31476171
234622.88481422624	37066572.04127583
238989.25662310526	36842269.728791274
243436.8873543108	36613793.11210506
247967.289250216	36381064.506705604
252582.00269627848	36158925.364175886
257282.59674479323	35967789.51928456
262070.66964838552	35773096.60379688
266947.8494034318	35574780.42002386
271915.7943036019	35372773.538326085
276976.1935036891	35167007.27418727
282130.76759394706	34957411.66486046
287381.2691851069	34743915.44558012
292729.4835042813	34526446.025331356
298177.22900196735	34304929.46216799
303726.3579703311	34079290.438071825
309378.75717301364	33849452.23334339
315136.34848664823	33615336.70051659
321001.08955431683	33419236.600021597
326974.97445117676	33229355.761063144
333060.03436245886	33035941.20738233
339258.33827409917	32838927.175946876
345571.9936762143	32638246.67986327
352003.1472796675	32433831.485600617
358553.9857459817	32225612.08979021
365226.7364308175	32013517.69559403
372023.6681413066	31797476.188632727
378947.09190746717	31577414.112466097
385999.36176797637	31353256.64361718
393182.87557057705	31124927.566131197
400500.07578736113	30909657.2672969
407953.45034524484	30726661.323030274
415545.53347188793	30540259.793102965
423278.90655735444	30350389.29898642
431156.19903182285	30156985.282666724
439180.0892596086	29959981.984694492
447353.3054498463	29759312.421825707
455678.6265841068	29554908.36424679
464158.8833612772	29346700.3123758
472796.9591600391	29134617.4732316
481595.79101923504	28918587.736363787
490558.37063650455	28698537.649334114
499687.7453854889	28474392.39274196
508987.0193519675	28291299.871483456
518459.3543892913	28113655.98793998
528107.971193433	27932706.12149662
537936.1503980698	27748388.74724904
547947.2336900292	27560641.19530399
558144.6249454955	27369399.629470922
568531.7913873753	27174599.025556758
579112.2647641759	26976173.149257287
589889.6425508494	26774054.533636536
600867.5891719692	26568174.45618737
612049.837247669	26358462.915465195
623440.1888627863	26144848.60728646
635042.5168595961	25945954.998963643
646860.7661546321	25778403.010619134
658898.9550799957	25607732.85126154
671161.1767496272	25433886.491197802
683651.6004510238	25256804.82079224
696374.4730628222	25076427.630368933
709334.1204987989	24892693.589739606
722534.9491787221	24705540.227350697
735981.4475265755	24514903.909042507
749678.1874966878	24320719.81641265
763629.8261282243	24122921.924777392
777841.1071286482	23921442.98072231
792316.8624866261	23716214.479235485
807062.0141149492	23552509.578092903
822081.575524054	23393053.563907236
837380.6535266489	23230630.046165198
852964.4499741016	23065183.79912065
868838.2635251193	22896658.569266915
885007.4914473438	22724997.056210045
901477.6314524917	22550140.89318596
918254.2835656281	22372030.62721517
935343.1520292377	22190605.698888138
952750.0472427299	22005804.421774387
970480.8877380306	21817563.961448524
988541.7021919573	21625820.31412576
1006938.6314760271	21449479.313050926
1025677.9307444209	21301767.92468813
1044765.9715608053	21151307.60225391
1064209.2440647245	20998047.18761749
1084014.359178331	20841934.5705865
1104188.0508541602	20682916.671189073
1124737.1783647507	20520939.421626016
1145668.7286348727	20355947.74788717
1166989.8186171474	20187885.55102575
