# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	35651063.70736769
1018.6101701559753	35610315.54913485
1037.566678745186	35568809.06074379
1056.875971184804	35526530.129541166
1076.5446128423157	35483464.38023487
1096.5792912678098	35439597.17000606
1116.9868184678226	35394913.58353065
1137.7741332214914	35349398.42790775
1158.9483034398106	35303036.22749402
1180.5165285688054	35255811.21864179
1202.4861420374123	35207707.34433921
1224.8646137509306	35158708.24875069
1247.6595526308697	35108797.271655776
1270.8787092020582	35062107.26680199
1294.529978227916	35018532.30546071
1318.6214013947485	34974146.40667432
1343.1611700460153	34928934.47875899
1368.1576279674719	34882881.149172075
1393.619274224142	34835970.75928531
1419.5547660501015	34788187.35906065
1445.9729217920194	34739514.70162719
1472.882723907502	34689936.23775696
1500.2933220192183	34639435.11023801
1528.2140360258693	34587994.148142874
1556.654359271062	34535595.86099016
1585.6239617711371	34482439.88014071
1615.132693503091	34436853.736955024
1645.1905877536624	34390419.2278879
1675.807864530767	34343120.56470593
1706.9949340384078	34294941.66535398
1738.7624002162504	34245866.14848718
1771.1210643450886	34195877.32790099
1804.0819287193826	34144958.20685779
1837.6562003881704	34093091.472307794
1871.8552949655793	34040259.48900237
1906.690840512252	33986444.29349797
1942.1746814890264	33931627.588048264
1978.3188827841643	33875790.734382726
2015.1357338155585	33823962.976353526
2052.6377527092523	33775554.74616466
2090.8376905557498	33726245.63057502
2129.748535745521	33676018.863954015
2169.3835183851843	33624857.36865982
2209.756114795903	33572743.749232754
2250.880052095462	33519660.28648071
2292.7693128656488	33465588.93145439
2335.438139906479	33410511.29931046
2378.9010410788933	33354408.663060542
2423.1727942376006	33297261.94720382
2468.2684522556924	33239051.721241143
2514.2033481427966	33180258.67237731
2560.9931002584594	33129968.77268136
2608.6536176225477	33078742.969394952
2657.2011053245064	33026563.845193
2706.652070033241	32973413.658611063
2757.0233256095826	32919274.338013016
2808.3319988231724	32864127.4754465
2860.5955351757416	32807954.32038407
2913.831704832789	32750735.773347717
2968.0586086656026	32692452.379414946
3023.2946844057765	32633084.32160382
3079.5587129142264	32572611.414134998
3136.8698245668766	32511013.09556836
3195.2475057592133	32454300.540372066
3254.711605531848	32401267.649139658
3315.282342319423	32347247.80677755
3376.9803108250912	32292222.645957306
3439.8264890229243	32236173.457531314
3503.8422452906757	32179081.184171617
3569.0493456752292	32120926.413890112
