# Frequency (Hz)	Real Part (Ohm/m)
1000.0	10754241.602513127
1018.6101701559753	10803702.919624394
1037.566678745186	10854084.720263245
1056.875971184804	10905404.134784743
1076.5446128423157	10957678.612342797
1096.5792912678098	11010925.926823018
1116.9868184678226	11065164.182886062
1137.7741332214914	11120411.82212341
1158.9483034398106	11176687.629327677
1180.5165285688054	11234010.738879679
1202.4861420374123	11292400.641254315
1224.8646137509306	11351877.189647531
1247.6595526308697	11412460.606726643
1270.8787092020582	11466563.049165182
1294.529978227916	11514368.020053906
1318.6214013947485	11563062.64958517
1343.1611700460153	11612663.494457696
1368.1576279674719	11663187.41949318
1393.619274224142	11714651.603370521
1419.5547660501015	11767073.54446676
1445.9729217920194	11820471.0668067
1472.882723907502	11874862.3261233
1500.2933220192183	11930265.81603078
1528.2140360258693	11986700.374312667
1556.654359271062	12044185.189326864
1585.6239617711371	12102374.549327733
1615.132693503091	12147269.708321407
1645.1905877536624	12193000.373863136
1675.807864530767	12239582.094871936
1706.9949340384078	12287030.709634874
1738.7624002162504	12335362.351192214
1771.1210643450886	12384593.452822851
1804.0819287193826	12434740.7536318
1837.6562003881704	12485821.304241672
1871.8552949655793	12537852.472590052
1906.690840512252	12590851.949834805
1942.1746814890264	12644837.756369267
1978.3188827841643	12699828.247949338
2015.1357338155585	12748187.800590338
2052.6377527092523	12790800.063552301
2090.8376905557498	12834205.347978711
2129.748535745521	12878418.412133971
2169.3835183851843	12923454.288936274
2209.756114795903	12969328.291069
2250.880052095462	13016056.016187143
2292.7693128656488	13063653.352220736
2335.438139906479	13112136.482776891
2378.9010410788933	13161521.892642386
2423.1727942376006	13211826.373388706
2468.2684522556924	13263067.029081319
2514.2033481427966	13314586.31213632
2560.9931002584594	13354121.010136563
2608.6536176225477	13394391.455593647
2657.2011053245064	13435411.34089295
2706.652070033241	13477194.61323745
2757.0233256095826	13519755.479389956
2808.3319988231724	13563108.410503544
2860.5955351757416	13607268.147041913
2913.831704832789	13652249.70379131
2968.0586086656026	13698068.37496569
3023.2946844057765	13744739.739406945
3079.5587129142264	13792279.665881868
3136.8698245668766	13840704.31847769
3195.2475057592133	13882891.313472332
3254.711605531848	13920259.560051927
3315.282342319423	13958323.2360588
3376.9803108250912	13997095.283552922
3439.8264890229243	14036588.885448206
3503.8422452906757	14076817.469994834
3569.0493456752292	14117794.715345005
3635.4699612933177	14159534.554203669
3703.126675869927	14202051.178565774
3772.0424934169973	14245359.044541717
3842.240846055061	14289472.877272563
3913.745601980384	14334407.675936762
3986.581073580439	14379305.382157559
4060.7720257003657	14414167.584882088
4136.343684063274	14449678.579131335
4213.321743847289	14485850.439025968
4291.732378422157	14522695.463388095
4371.602248248501	14560226.179923004
4452.958509942655	14598455.349478701
4535.828825510186	14637395.970384756
4620.241371751313	14677061.282871852
4706.224849841281	14717464.773573617
4793.808495089106	14758620.180112239
4883.02208687788	14800541.495769385
4973.895958790063	14843242.974244071
5066.461008921268	14880472.289901126
5160.7487103859075	14913953.580000002
5256.791122018419	14948057.962604659
5354.620899273607	14982797.033572653
5454.271305329836	15018182.604562426
5555.7762223988775	15054226.707049377
5659.170163246242	15090941.596416732
5764.488282925873	15128339.756122474
5871.766390733255	15166433.90194386
5981.040962380945	15205236.98630093
6092.349152400711	15244762.20266046
6205.7288067765	15285022.99002189
6321.218475812449	15325068.66578397
6438.8574272404185	15357099.768046713
6558.685659571435	15389726.97457285
6680.743915695614	15422961.378964147
6805.073696735206	15456814.281276204
6931.717276155407	15491297.19186056
7060.717714137772	15526421.835278366
7192.118872221193	15562200.154286843
7325.96542821523	15598644.313899962
7462.302891391108	15635766.705524672
7601.17761795533	15673579.951174118
7742.636826811269	15712096.907759247
7886.728615614156	15751330.671460321
8033.501977124735	15785872.790712418
8183.00681586739	15817595.872110983
8335.293965098195	15849909.325452251
8490.415204088747	15882824.137658529
8648.423275731726	15916351.500120614
8809.37190447399	15950502.812503
8973.31581458352	15985289.686619878
9140.310748756232	16020723.950383259
9310.413487069076	16056817.651824629
9483.681866285926	16093583.063191384
9660.174799522645	16131032.685119526
9839.952296278227	16169179.250884028
10023.075482838643	16207011.004418947
10209.606623060476	16238307.213763218
10399.609139541202	16270185.850888629
10593.1476351837	16302657.754875278
10790.287915161836	16335733.966520408
10991.097009294961	16369425.732092367
11195.643194838794	16403744.507154481
11403.99601970033	16438701.960460044
11616.22632608502	16474309.977919843
11832.40627458378	16510580.666643485
12052.609368708414	16547526.359055946
12276.910479883603	16585159.617090741
12505.385872903913	16623493.236461079
12738.113231864783	16657506.108043492
12975.171686575868	16689262.911789611
13216.641839466038	16721610.715057056
13462.60579298911	16754560.516447484
13713.147177539455	16788123.51924839
13968.351179887397	16822311.13524237
14228.30457214352	16857134.988587216
14493.09574126215	16892606.919768307
14762.81471909391	16928738.989624437
15037.553212997384	16965543.483448673
15317.404637020798	17003032.915165484
15602.46414366368	17041220.031585593
15892.828656229764	17078943.92307058
16188.596901781993	17110656.123636447
16489.86944471065	17142958.49365086
16796.74872092653	17175862.016267683
17109.339072690134	17209377.879039135
17427.746784089173	17243517.477719694
17752.08011717636	17278292.42014076
18082.44934877952	17313714.530157432
18418.96680799711	17349795.851668805
18761.746914391195	17386548.652712956
19110.90621689136	17423985.42963824
19466.56343342263	17462118.911352213
19828.83949127071	17500962.06364951
20197.857568198782	17535145.978931967
20573.743134329114	17567198.849723827
20956.623994804308	17599848.22989511
21346.630333242454	17633105.220586874
21743.8947560008	17666981.129534274
22148.55233726359	17701487.474911384
22560.74066496859	17736635.98924743
22980.599887588487	17772438.623415984
23408.272761782944	17808907.550698463
23843.904700937208	17846055.170923065
24287.643824604504	17883894.114680935
24739.64100886812	17922437.247620665
25200.049937640895	17960193.40700468
25669.027154919517	17991494.91908871
26146.732118010917	18023378.957638763
26633.327251749808	18055856.363571495
27128.978003724646	18088938.179554854
27633.852900531667	18122635.65376273
28148.123605075813	18156960.24369945
28671.964974937695	18191923.62009542
29205.55512182745	18227537.67087535
29749.075472144435	18263814.505200237
30302.71082866393	18300766.457584627
30866.649433372742	18338406.09209049
31441.08303147265	18376746.206599116
32026.206936576502	18409396.69748359
32622.220097116733	18439717.359394103
33229.325163989684	18470602.29398201
33847.72855945983	18502062.002457857
34477.640547344636	18534107.181461494
35119.275304507275	18566748.72669907
35772.850993678774	18599997.736647677
36438.58983763541	18633865.51632893
37116.71819475767	18668363.58115287
37807.466635993485	18703503.660833236
38511.070023255685	18739297.70337574
39227.76758927723	18775757.879140534
39957.803018952654	18810897.121187236
40701.42453219439	18838618.305993088
41458.88496832911	18866855.38676508
42230.441872066716	18895617.96441496
43016.35758106799	18924915.818529036
43816.89931514194	18954758.91069337
44632.33926710397	18985157.38788086
45462.95469532399	19016121.58590129
46309.02801799736	19047662.032915633
47170.84690917023	19079789.45301571
48048.704396551344	19112514.769870516
48942.89896114532	19145849.110440396
49853.73463873894	19179803.808760323
50781.5211232767	19206773.91945812
51726.57387216024	19231144.18022512
52689.21421350677	19255967.975691736
53669.76945540476	19281253.74621589
54668.57299720181	19307010.08923204
55685.96444286408	19333245.762174305
56722.28971644549	19359969.6854542
57777.90117970507	19387190.945493553
58853.1577519145	19414918.797814094
59948.42503189408	19443162.67018439
61064.07542232036	19471932.16582536
62200.48825634718	19501237.06667551
63358.04992658254	19528599.245594934
64537.15401646702	19547821.104505204
65738.20143409586	19567400.685480516
66961.60054853215	19587344.645789355
68207.76732865692	19607659.766593132
69477.1254846024	19628352.9552518
70770.10661181889	19649431.24767248
72087.15033782135	19670901.810701706
73428.70447166759	19692771.944562245
74795.22515621828	19715049.08533527
76187.17702322999	19737740.807488672
77605.0333513357	19760854.82645247
79049.2762269642	19784399.001242172
80520.39670825469	19800145.162583966
82018.8949920221	19813225.710239455
83545.28058382872	19826549.689112544
85100.07247122246	19840121.629499618
86683.79930019773	19853946.146006644
88296.99955494082	19868027.939118188
89940.22174092053	19882371.79679564
91614.0245713852	19896982.596105162
93318.9771573324	19911865.30487595
95055.65920101192	19927024.98338934
96824.66119303115	19942466.786099378
98626.5846131283	19958195.963385366
100462.04213468132	19971541.612641346
102331.65783302448	19977032.453381106
104236.06739764012	19982625.479601342
106175.9183482999	19988322.592991218
108151.87025522892	19994125.730630673
110164.59496336569	20000036.86564904
112214.77682079801	20006058.007895917
114303.11291144785	20012191.204624537
116430.31329208757	20018438.541187875
118597.10123376705	20024802.141747683
120804.21346773289	20031284.169996716
123052.40043592616	20037886.829894416
125342.42654613995	20044612.36641629
127675.07043192645	20043992.37006841
130051.12521734099	20041012.363230504
132471.39878661174	20037976.89795828
134936.71405883064	20034884.942160837
137447.90926775365	20031735.444539893
140005.8382468096	20028527.33423232
142611.37071941295	20025259.520446043
145265.39259467812	20021930.892089162
147968.80626863963	20018540.317392178
150722.53093107554	20015086.643523153
153527.5028780421	20011568.696195763
156384.67583022476	20007985.27927001
159295.0212572123	20002070.777438845
162259.5287078087	19990021.10301036
165279.2061464897	19977747.182090424
168355.08029612005	19965244.841413688
171488.19698705408	19952509.830049615
174679.62151272455	19939537.817957122
177930.43899185772	19926324.39451232
181241.75473742394	19912865.06700886
184614.69463245454	19899155.259130385
188050.40551285836	19885190.309394483
191550.0555573528	19870965.469567772
195114.83468466165	19856475.90305145
198745.9549580986	19841716.683236774
202444.65099768018	19821796.051036444
206212.18039991445	19800173.846519407
210049.8241653915	19778149.249097176
213958.88713434213	19755714.7701693
217940.6984302958	19732862.781771205
221996.61191199525	19709585.51398062
226128.00663372793	19685875.052275687
230336.2873142131	19661723.334843952
234622.88481422624	19637122.149841253
238989.25662310526	19612063.132599607
243436.8873543108	19586537.762783166
247967.289250216	19560537.361491144
252582.00269627848	19532956.299288377
257282.59674479323	19502279.05665094
262070.66964838552	19471030.905308098
266947.8494034318	19439201.22055171
271915.7943036019	19406779.179945983
276976.1935036891	19373753.759647798
282130.76759394706	19340113.73065839
287381.2691851069	19305847.65500542
292729.4835042813	19270943.88185398
298177.22900196735	19235390.54354511
303726.3579703311	19199175.55156069
309378.75717301364	19162286.59241325
315136.34848664823	19124711.123459205
321001.08955431683	19085793.16188755
326974.97445117676	19046001.124623466
333060.03436245886	19005468.550775047
339258.33827409917	18964181.658830453
345571.9936762143	18922126.41080156
352003.1472796675	18879288.507450897
358553.9857459817	18835653.38342975
365226.7364308175	18791206.202325787
372023.6681413066	18745931.851618536
378947.09190746717	18699814.937540915
385999.36176797637	18652839.77984524
393182.87557057705	18604990.406471748
400500.07578736113	18556992.580944084
407953.45034524484	18509656.93534058
415545.53347188793	18461440.36531794
423278.90655735444	18412326.476722855
431156.19903182285	18362298.57030398
439180.0892596086	18311339.636034112
447353.3054498463	18259432.347326513
455678.6265841068	18206559.05514372
464158.8833612772	18152701.78199672
472796.9591600391	18097842.215832304
481595.79101923504	18041961.70380689
490558.37063650455	17985041.24594427
499687.7453854889	17927061.48867547
508987.0193519675	17872547.225504328
518459.3543892913	17817908.371558763
528107.971193433	17762252.679244135
537936.1503980698	17705561.22502539
547947.2336900292	17647814.733197235
558144.6249454955	17588993.569330268
568531.7913873753	17529077.733594943
579112.2647641759	17468046.85396156
589889.6425508494	17405880.179273423
600867.5891719692	17342556.57219131
612049.837247669	17278054.502006516
623440.1888627863	17212352.037320152
635042.5168595961	17148371.639484834
646860.7661546321	17088720.148114447
658898.9550799957	17027958.532339595
671161.1767496272	16966066.132556234
683651.6004510238	16903021.904681534
696374.4730628222	16838804.412998736
709334.1204987989	16773391.82286873
722534.9491787221	16706761.893306056
735981.4475265755	16638891.969416756
749678.1874966878	16569758.97469539
763629.8261282243	16499339.403178873
777841.1071286482	16427609.311454123
792316.8624866261	16354544.31051706
807062.0141149492	16289811.761683699
822081.575524054	16225433.958662407
837380.6535266489	16159858.073772628
852964.4499741016	16093061.81050692
868838.2635251193	16025022.457416048
885007.4914473438	15955716.88038686
901477.6314524917	15885121.514776396
918254.2835656281	15813212.357399704
935343.1520292377	15739964.958368454
952750.0472427299	15665354.412777746
970480.8877380306	15589355.352238169
988541.7021919573	15511941.936250262
1006938.6314760271	15438191.605794251
1025677.9307444209	15371653.856874375
1044765.9715608053	15303877.829125293
1064209.2440647245	15234840.477967313
1084014.359178331	15164518.329957167
1104188.0508541602	15092887.474806815
1124737.1783647507	15019923.5572537
1145668.7286348727	14945601.768779663
1166989.8186171474	14869896.839175839
1188707.6977119034	14792783.027950441
1210829.7502320393	14714234.115576763
1233363.4979137746	14634223.39457824
1256316.6024741214	14552723.660447627
1279696.8682159416	14483629.214991037
1303512.2446815087	14415029.996937873
1327770.829355429	14345154.135764161
1352480.8704178738	14273977.872924225
1377650.769549055	14201477.007721758
1403289.084785873	14127626.889081422
1429404.533431761	14052402.407167152
1456005.9950206485	13975777.984844565
1483102.514336103	13897727.568984449
1510703.3044866556	13818224.621604428
1538817.7500383465	13737242.110845761
1567455.410205595	13654752.501782227
1596626.022101425	13577592.401359158
1626339.5040481905	13509388.71819702
1656605.9589499151	13439915.752885966
1687435.6777273756	13369149.88386925
1718839.1428171454	13297067.049988888
1750827.0317357269	13223642.742304679
1783410.220710006	13148851.995760905
1816599.7883753285	13072669.380697839
1850407.019542302	12995068.994205529
1884843.4090337954	12916024.451316427
1919920.6655932867	12835508.876034254
1955650.715865947	12753494.892195888
1992045.7084538713	12669954.6141631
2029118.0180466783	12601586.9886051
2066880.2496290822	12533565.857316438
2105345.242766708	12464278.841200285
2144526.0759716653	12393702.381924618
2184436.0711494284	12321812.482732812
2225088.7981283693	12248584.700284563
2266498.079273693	12173994.136344803
2308677.994187172	12098015.429318089
2351642.884494346	12020622.74562539
2395407.358720879	11941789.770920325
2439986.29725955	11861489.701142108
2485394.857429798	11779695.233401781
2531648.478631358	11704407.833219899
2578762.8875937983	11638683.098834747
2626754.1037238385	11571735.215959221
2675638.4445520453	11503541.421591809
2725432.531281028	11434078.529107632
2776153.2944368036	11363322.920374792
2827817.979625338	11291250.53772396
2880444.1533962977	11217836.875768432
2934049.709215787	11143056.97307215
2988652.873550383	11066885.40366244
3044272.2120643063	10989296.268384963
3100926.6359319235	10910263.186097732
3158635.408267819	10829759.284701165
3217418.1506763715	10765784.13478949
3277294.849923382	10701831.308808936
3338285.8647317644	10636688.309854921
3400411.9327037027	10570332.98860592
3463694.1773717343	10502742.7835377
3528154.1153808828	10433894.713252299
3593813.6638046256	10363765.368663967
3660695.147596906	10292330.905039916
3728821.30718283	10219567.033892838
3798215.306190736	10145449.014722485
3868900.7393279755	10069951.646603758
3940901.6404034477	9993049.259618012
4014242.490499326	9923285.489161005
4088948.226294856	9862794.61375392
4165044.248545185	9801177.99286261
4242556.430717777	9738414.676172089
4321511.127789762	9674483.3234784
4401935.1852088785	9609362.197432773
4483855.948021181	9543029.156150704
4567301.270168747	9475461.645683393
4652299.523960189	9406636.692349283
4738879.609717651	9336530.894922646
4827070.965603188	9265120.416676974
4916903.577628021	9192380.977280242
5008407.989848212	9118287.844539272
5101615.314749833	9060862.490357058
5196557.243827657	9003078.061251674
5293266.058360566	8944218.254088266
5391774.640387494	8884263.055898216
5492116.483887789	8823192.081268098
5594325.706169377	8760984.56540853
5698437.0594691355	8697619.357093833
5804485.942768984	8633074.911470426
5912508.413831869	8567329.28273136
6022541.201461928	8500360.116654431
6134621.717992506	8432144.643001614
6248788.072006888	8362659.667776849
6365079.081295578	8300459.026633396
6483534.286054714	8246668.986954747
6604193.962330305	8191877.905484972
6727099.135712336	8136067.15266602
6852291.595284057	8079217.752240576
6979813.907830667	8021310.37479994
7109709.432312423	7962325.331211862
7242022.334607315	7902242.565925937
7376797.60252773	7841041.650154607
7514081.061116962	7778701.774927073
7653919.388230155	7715201.744014042
7796360.130405221	7650519.966720826
7941451.71902934	7584634.450546179
8089243.486805938	7534668.94236749
8239785.684528512	7483992.615009206
8393129.498166373	7432373.192575897
8549327.066268368	7379793.123907763
8708431.497690724	7326234.531214889
8870496.889654402	7271679.203998692
9035578.34613892	7216108.592860087
9203731.99661823	7159503.803192517
9375015.01514529	7101845.588757593
9549485.639791967	7043114.345141148
9727203.192450536	6983290.103087529
9908228.099003786	6922352.521709839
10092621.909870483	6868475.515047268
10280447.320933098	6821866.381856981
10471768.194855202	6774389.844767199
10666649.582795387	6726029.761243761
10865157.746525371	6676769.688337194
11067360.180959744	6626592.877091935
11273325.63710487	6575482.266851521
11483124.14543511	6523420.479457759
11696827.039703846	6470389.813341973
11914506.981197748	6416372.237506288
12136237.983442418	6361349.385392883
12362095.437367693	6305302.548639186
12592156.13694151	6248404.521769418
12826498.3052806	6205744.341527356
13065201.621247198	6162290.248072106
13308347.24654076	6118027.466543674
13556017.853293689	6072940.947119426
13808297.652180923	6027015.359896953
14065272.421052363	5980235.089681756
14327029.534098294	5932584.230677909
14593657.991557576	5884046.581079924
14865248.449978571	5834605.637563948
15141893.25304352	5784244.5896764705
15423686.462966273	5732946.3141185725
15710723.892474487	5680693.368923835
16003103.137387017	5635032.053834082
16300923.609797413	5595428.0331771495
16604286.571875297	5555086.974956933
16913295.17029647	5513995.162778966
17228054.471313924	5472138.624984349
17548671.49648152	5429503.12989923
17875255.259042352	5386074.180995899
18207916.800994623	5341837.011963779
18546769.230846975	5296776.581688754
18891927.762076646	5250877.569139008
19243509.75230332	5204124.368155717
19601634.743191857	5156501.082146795
19966424.501097932	5108491.116257635
20338003.0584698	5072529.571460912
20716496.75602067	5035898.776196452
21102034.285685964	4998586.275599169
21494746.734379806	4960579.3830168275
21894767.628566206	4921865.175696428
22302232.979659364	4882430.490390345
22717281.330269028	4842261.918880668
23140053.80130654	4801345.803420266
23570694.139967278	4759668.2320890315
24009348.76860652	4717215.0340636335
24456166.83452444	4673971.774799317
24911300.26067791	4629923.751121991
25374903.797335718	4591859.750438021
25847135.07469564	4558705.63968478
26328154.656480197	4524934.525289051
26818126.094530128	4490534.92470806
27317215.98441379	4455495.141706956
27825594.022071257	4419803.262381977
28343433.061513092	4383447.151109574
28870909.173592344	4346414.4464201825
29408201.705870606	4308692.556795182
29955493.34359816	4270268.656385655
