Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.598177663332369320e+02	4.321583903311504287e+02
1.032794731918951654e-10	2.663995295895148843e+02	4.435793836825626499e+02
1.066664958279539403e-10	2.731971400073365430e+02	4.553749254491826264e+02
1.101645949633656381e-10	2.802176762365000400e+02	4.675572988458775967e+02
1.137774133221491146e-10	2.874684490692262671e+02	4.801391899122538121e+02
1.175087130904807540e-10	2.949570090532070026e+02	4.931337007231853136e+02
1.213623798344240958e-10	3.026911543543213838e+02	5.065543630325792606e+02
1.253424265461399975e-10	3.106789388772079974e+02	5.204151523645845145e+02
1.294529978227915867e-10	3.189286806521490689e+02	5.347305025669179486e+02
1.336983741824946476e-10	3.274489704969998911e+02	5.495153208414627670e+02
1.380829765218092491e-10	3.362486809631843130e+02	5.647850032677916943e+02
1.426113707194128486e-10	3.453369755750716195e+02	5.805554508357796522e+02
1.472882723907502473e-10	3.547233183723562888e+02	5.968430860040017478e+02
1.521185517986104510e-10	3.644174837653773693e+02	6.136648698011593979e+02
1.571072389247450498e-10	3.744295667136404973e+02	6.310383194883431770e+02
1.622595287078087593e-10	3.847699932381422059e+02	6.489815268005256712e+02
1.675807864530767868e-10	3.954495312784425778e+02	6.675131767862774268e+02
1.730765534195724819e-10	4.064793019057927381e+02	6.866525672653275478e+02
1.787525525904235329e-10	4.178707909039945889e+02	7.064196289242305511e+02
1.846146946324547531e-10	4.296358607300498988e+02	7.268349460710624044e+02
1.906690840512252406e-10	4.417867628670586555e+02	7.479197780707651191e+02
1.969220255479172543e-10	4.543361505822239224e+02	7.696960814834543498e+02
2.033800305846981002e-10	4.672970921032549541e+02	7.921865329287480790e+02
2.100498241653915480e-10	4.806830842268856827e+02	8.154145526999268441e+02
2.169383518385184289e-10	4.945080663736798101e+02	8.394043291525091490e+02
2.240527869300018610e-10	5.087864351037623578e+02	8.641808438926495910e+02
2.314005380130653023e-10	5.235330591085880769e+02	8.897698977915791829e+02
2.389892566231049743e-10	5.387632946943615480e+02	9.161981378531836526e+02
2.468268452255692806e-10	5.544930017732330043e+02	9.434930849626979352e+02
2.549214654451423314e-10	5.707385603789194874e+02	9.716831625454105961e+02
2.632815465648021228e-10	5.875168877239532321e+02	1.000797726165223139e+03
2.719157943036017723e-10	6.048454558163156207e+02	1.030867094093884361e+03
2.808331998823172083e-10	6.227423096538066147e+02	1.061922578882738662e+03
2.900430493863991314e-10	6.412260860150905728e+02	1.093996519969856308e+03
2.995549334359813486e-10	6.603160328669927139e+02	1.127122317356510166e+03
3.093787571730138678e-10	6.800320294082500823e+02	1.161334466388061401e+03
3.195247505759212065e-10	7.003946067705928726e+02	1.196668593675472721e+03
3.300034791125284578e-10	7.214249693987126193e+02	1.233161494194865327e+03
3.408258547423451742e-10	7.431450171313799729e+02	1.270851169603736480e+03
3.520031472796679687e-10	7.655773680067071609e+02	1.309776867813753825e+03
3.635469961293320139e-10	7.887453818153022667e+02	1.349979123861326343e+03
3.754694224073336536e-10	8.126731844258450792e+02	1.391499802118516527e+03
3.877828414589456106e-10	8.373856929084097374e+02	1.434382139888243728e+03
4.005000757873611052e-10	8.629086414817051036e+02	1.478670792429187259e+03
4.136343684063274911e-10	8.892686083112432698e+02	1.524411879457263012e+03
4.271993966306778827e-10	9.164930431863484728e+02	1.571653033172106007e+03
4.412092863191189219e-10	9.446102961048276256e+02	1.620443447858568788e+03
4.556786265841064474e-10	9.736496467950656779e+02	1.670833931114889083e+03
4.706224849841281415e-10	1.003641335206290023e+03	1.722876956760865824e+03
4.860564232142136024e-10	1.034616592998757824e+03	1.776626719481154396e+03
5.019965133110081441e-10	1.066607676066649901e+03	1.832139191260561802e+03
5.184593543892912175e-10	1.099647898127550434e+03	1.889472179670133755e+03
5.354620899273606527e-10	1.133771665413480832e+03	1.948685388064709286e+03
5.530224256192902378e-10	1.169014512499617922e+03	2.009840477754646827e+03
5.711586478126431938e-10	1.205413139308005611e+03	2.073001132216444148e+03
5.898896425508497150e-10	1.243005449324792153e+03	2.138233123409142081e+03
6.092349152400710261e-10	1.281830589070793394e+03	2.205604380265544478e+03
6.292146109610343618e-10	1.321928988866480495e+03	2.275185059429594730e+03
6.498495354469890483e-10	1.363342404933846183e+03	2.347047618313568819e+03
6.711611767496282870e-10	1.406113962878989014e+03	2.421266890551153210e+03
6.931717276155404727e-10	1.450288202600699151e+03	2.497920163924988174e+03
7.159041085964887260e-10	1.495911124671805737e+03	2.577087260849828454e+03
7.393819919175865964e-10	1.543030238241593679e+03	2.658850621495120322e+03
7.636298261282244400e-10	1.591694610509161748e+03	2.743295389633567993e+03
7.886728615614152294e-10	1.641954917819248521e+03	2.830509501305073172e+03
8.145371766280743462e-10	1.693863498433733866e+03	2.920583776388395563e+03
8.412497049736117954e-10	1.747474407033764237e+03	3.013612013175868469e+03
8.688382635251186617e-10	1.802843471009264476e+03	3.109691086049680507e+03
8.973315814583522479e-10	1.860028348594443969e+03	3.208921046361409026e+03
9.267593301146878953e-10	1.919088588909847658e+03	3.311405226619889618e+03
9.571521538991863169e-10	1.980085693973464004e+03	3.417250348095881236e+03
9.885417021919573871e-10	2.043083182745474232e+03	3.526566631955607136e+03
1.020960662306046580e-09	2.097133352487360753e+03	3.623642263879998609e+03
1.054442793526168950e-09	2.146738139481505186e+03	3.714966544900299596e+03
1.089022962263730067e-09	2.197969702167018568e+03	3.809285781234350907e+03
1.124737178364752061e-09	2.250881390216593900e+03	3.906698191638779008e+03
1.161622632608501755e-09	2.305528302891132626e+03	4.007305215927997779e+03
1.199717735435884489e-09	2.361967346417031422e+03	4.111211620607945406e+03
1.239062156947916503e-09	2.420257293245125311e+03	4.218525607974035665e+03
1.279696868215940940e-09	2.480458843253014948e+03	4.329358928786948127e+03
1.321664183946605026e-09	2.542634686954519566e+03	4.443826998643609841e+03
1.365007806546013663e-09	2.606849570782049341e+03	4.562049018164497284e+03
1.409772871628966933e-09	2.673170364509910542e+03	4.684148097122493709e+03
1.456005995020649598e-09	2.741666130888727821e+03	4.810251382642464705e+03
1.503755321299737753e-09	2.812408197563521298e+03	4.940490191605163091e+03
1.553070573933460069e-09	2.885470231350308950e+03	5.075000147393237967e+03
1.604003107056820079e-09	2.960928314948585921e+03	5.213921321121811161e+03
1.656605958949914401e-09	3.038861026169587603e+03	5.357398377500680908e+03
1.710933907269014249e-09	3.119349519762798082e+03	5.505580725480014735e+03
1.767043526088946692e-09	3.202477611925959081e+03	5.658622673836452122e+03
1.824993244816152494e-09	3.288331867586543922e+03	5.816683591861592504e+03
1.884843409033795523e-09	3.377001690545618658e+03	5.979928075320229254e+03
1.946656343342262358e-09	3.468579416577938446e+03	6.148526117851143681e+03
2.010496416260498236e-09	3.563160409585233538e+03	6.322653287988914599e+03
2.076430107255774870e-09	3.660843160902833461e+03	6.502490911991164467e+03
2.144526075971667793e-09	3.761729391862997545e+03	6.688226262661505643e+03
2.214855233726359314e-09	3.865924159721813794e+03	6.880052754364953216e+03
2.287490817355702788e-09	3.973535967059918676e+03	7.078170144438769967e+03
