# Frequency (Hz)	Real Part (Ohm/m)
1000.0	7192587.835846755
1018.6101701559753	7221608.510674668
1037.566678745186	7251169.265199168
1056.875971184804	7281280.150395308
1076.5446128423157	7311951.404288496
1096.5792912678098	7343193.455435531
1116.9868184678226	7375016.926470435
1137.7741332214914	7407432.637716253
1158.9483034398106	7440451.610864082
1180.5165285688054	7474085.0727205705
1202.4861420374123	7508344.459025139
1224.8646137509306	7543241.4183382755
1247.6595526308697	7578787.816002155
1270.8787092020582	7609981.25228608
1294.529978227916	7636941.150589973
1318.6214013947485	7664402.777188685
1343.1611700460153	7692375.469331159
1368.1576279674719	7720868.738034125
1393.619274224142	7749892.271315954
1419.5547660501015	7779455.937490687
1445.9729217920194	7809569.788523363
1472.882723907502	7840244.063447812
1500.2933220192183	7871489.191848014
1528.2140360258693	7903315.797404288
1556.654359271062	7935734.701505456
1585.6239617711371	7968511.715883925
1615.132693503091	7992246.812329537
1645.1905877536624	8016423.62295867
1675.807864530767	8041050.368147438
1706.9949340384078	8066135.42125456
1738.7624002162504	8091687.311468375
1771.1210643450886	8117714.72670688
1804.0819287193826	8144226.516571689
1837.6562003881704	8171231.695357023
1871.8552949655793	8198739.445114648
1906.690840512252	8226759.118775866
1942.1746814890264	8255300.243331635
1978.3188827841643	8284372.52307183
2015.1357338155585	8308751.952478786
2052.6377527092523	8329039.801378114
2090.8376905557498	8349705.210597557
2129.748535745521	8370755.206598919
2169.3835183851843	8392196.946607647
2209.756114795903	8414037.721046379
2250.880052095462	8436284.956013754
2292.7693128656488	8458946.21580937
2335.438139906479	8482029.205505732
2378.9010410788933	8505541.773568053
2423.1727942376006	8529491.914522817
2468.2684522556924	8553887.77167601
2514.2033481427966	8578269.675620621
2560.9931002584594	8594131.548611011
2608.6536176225477	8610288.61375674
2657.2011053245064	8626746.364634054
2706.652070033241	8643510.39705558
2757.0233256095826	8660586.41097297
2808.3319988231724	8677980.21241495
2860.5955351757416	8695697.715461422
2913.831704832789	8713744.944254331
2968.0586086656026	8732128.035045916
3023.2946844057765	8750853.238285126
3079.5587129142264	8769926.920742828
3136.8698245668766	8789355.567676563
3195.2475057592133	8804183.060352132
3254.711605531848	8815390.8540546
3315.282342319423	8826807.226704942
3376.9803108250912	8838436.059992874
3439.8264890229243	8850281.307847008
3503.8422452906757	8862346.99777925
3569.0493456752292	8874637.232254177
3635.4699612933177	8887156.190083941
3703.126675869927	8899908.127849093
3772.0424934169973	8912897.38134587
3842.240846055061	8926128.367060423
3913.745601980384	8939605.583670454
3986.581073580439	8952737.686345406
4060.7720257003657	8958696.2397295
4136.343684063274	8964765.682805954
4213.321743847289	8970948.079250814
4291.732378422157	8977245.531145483
4371.602248248501	8983660.179691464
4452.958509942655	8990194.20593837
4535.828825510186	8996849.83152554
4620.241371751313	9003629.319437379
4706.224849841281	9010534.974772831
4793.808495089106	9017569.145529114
4883.02208687788	9024734.223400075
4973.895958790063	9032032.644589398
5066.461008921268	9035423.464815855
5160.7487103859075	9036012.098930087
5256.791122018419	9036611.687625343
5354.620899273607	9037222.43476824
5454.271305329836	9037844.548019389
5555.7762223988775	9038478.238904001
5659.170163246242	9039123.722883802
5764.488282925873	9039781.219430296
5871.766390733255	9040450.9520994
5981.040962380945	9041133.148607433
6092.349152400711	9041828.040908562
6205.7288067765	9042535.865273654
6321.218475812449	9042705.260190656
6438.8574272404185	9037867.352066413
6558.685659571435	9032939.409648772
6680.743915695614	9027919.757384226
6805.073696735206	9022806.68853691
6931.717276155407	9017598.46460833
7060.717714137772	9012293.314746225
7192.118872221193	9006889.435142485
7325.96542821523	9001384.988419816
7462.302891391108	8995778.103007024
7601.17761795533	8990066.872502651
7742.636826811269	8984249.355026798
7886.728615614156	8978323.572560832
8033.501977124735	8969838.54390106
8183.00681586739	8959631.91586195
8335.293965098195	8949235.34073831
8490.415204088747	8938645.283582583
8648.423275731726	8927858.143661227
8809.37190447399	8916870.253230438
8973.31581458352	8905677.876289075
9140.310748756232	8894277.207308386
9310.413487069076	8882664.369938076
9483.681866285926	8870835.415688302
9660.174799522645	8858786.322587183
9839.952296278227	8846512.993813222
10023.075482838643	8833723.942115255
10209.606623060476	8818667.034999887
10399.609139541202	8803329.916281076
10593.1476351837	8787707.371173209
10790.287915161836	8771794.087842613
10991.097009294961	8755584.655601498
11195.643194838794	8739073.563068237
11403.99601970033	8722255.196293477
11616.22632608502	8705123.836851291
11832.40627458378	8687673.659894885
12052.609368708414	8669898.732176067
12276.910479883603	8651793.010027891
12505.385872903913	8633350.337309739
12738.113231864783	8614217.746652791
12975.171686575868	8594530.128871245
13216.641839466038	8574476.121172821
13462.60579298911	8554048.904978815
13713.147177539455	8533241.534815632
13968.351179887397	8512046.935953211
14228.30457214352	8490457.901999574
14493.09574126215	8468467.092450555
14762.81471909391	8446067.03019396
15037.553212997384	8423250.098967267
15317.404637020798	8400008.540768009
15602.46414366368	8376334.4532159725
15892.828656229764	8352402.088164256
16188.596901781993	8329066.956285845
16489.86944471065	8305297.553632565
16796.74872092653	8281085.798351402
17109.339072690134	8256423.458184682
17427.746784089173	8231302.147671013
17752.08011717636	8205713.325294145
18082.44934877952	8179648.290578752
18418.96680799711	8153098.181132183
18761.746914391195	8126053.969631156
19110.90621689136	8098506.460752361
19466.56343342263	8070446.288045953
19828.83949127071	8041863.910750879
20197.857568198782	8014677.13516798
20573.743134329114	7987975.445383059
20956.623994804308	7960776.832607785
21346.630333242454	7933072.049020758
21743.8947560008	7904851.674697042
22148.55233726359	7876106.114405298
22560.74066496859	7846825.594345293
22980.599887588487	7817000.158824718
23408.272761782944	7786619.666874125
23843.904700937208	7755673.788798912
24287.643824604504	7724152.0026670955
24739.64100886812	7692043.590731745
25200.049937640895	7660113.532517634
25669.027154919517	7631280.961753595
26146.732118010917	7601911.811941607
26633.327251749808	7571996.097254278
27128.978003724646	7541523.646026282
27633.852900531667	7510484.097295864
28148.123605075813	7478866.897282003
28671.964974937695	7446661.295796033
29205.55512182745	7413856.342586433
29749.075472144435	7380440.88361564
30302.71082866393	7346403.557267569
30866.649433372742	7311732.7904845
31441.08303147265	7276416.794832159
32026.206936576502	7244432.431580605
32622.220097116733	7213682.739938968
33229.325163989684	7182360.791303643
33847.72855945983	7150455.93587459
34477.640547344636	7117957.325657205
35119.275304507275	7084853.910773842
35772.850993678774	7051134.435706751
36438.58983763541	7016787.435471098
37116.71819475767	6981801.231716706
37807.466635993485	6946163.928757337
38511.070023255685	6909863.409525993
39227.76758927723	6872887.331455003
39957.803018952654	6836600.245992053
40701.42453219439	6805197.416645763
41458.88496832911	6773210.175301963
42230.441872066716	6740627.645953934
43016.35758106799	6707438.75019062
43816.89931514194	6673632.203429868
44632.33926710397	6639196.511081513
45462.95469532399	6604119.964639113
46309.02801799736	6568390.637698939
47170.84690917023	6531996.381904845
48048.704396551344	6494924.822817726
48942.89896114532	6457163.355708051
49853.73463873894	6418699.141270123
50781.5211232767	6385065.231476748
51726.57387216024	6353064.015909184
52689.21421350677	6320467.252274715
53669.76945540476	6287263.857322477
54668.57299720181	6253442.541540416
55685.96444286408	6218991.8053167565
56722.28971644549	6183899.93502997
57777.90117970507	6148154.999066061
58853.1577519145	6111744.843761647
59948.42503189408	6074657.089271612
61064.07542232036	6036879.125359816
62200.48825634718	5998398.107111472
63358.04992658254	5961082.73985249
64537.15401646702	5929614.730252812
65738.20143409586	5897561.095640009
66961.60054853215	5864910.937432948
68207.76732865692	5831653.154226028
69477.1254846024	5797776.438014625
70770.10661181889	5763269.270350199
72087.15033782135	5728119.918423938
73428.70447166759	5692316.431077456
74795.22515621828	5655846.634739276
