# Frequency (Hz)	Real Part (Ohm/m)
1000.0	21016274.109809972
1018.6101701559753	21112781.77891806
1037.566678745186	21211085.472169623
1056.875971184804	21311218.613879535
1076.5446128423157	21413215.250394933
1096.5792912678098	21517110.061671212
1116.9868184678226	21622938.373063676
1137.7741332214914	21730736.16733847
1158.9483034398106	21840540.096907157
1180.5165285688054	21952387.496288914
1202.4861420374123	22066316.39480466
1224.8646137509306	22182365.529507466
1247.6595526308697	22300574.358353555
1270.8787092020582	22403470.168323737
1294.529978227916	22491467.985455655
1318.6214013947485	22581103.45693774
1343.1611700460153	22672407.059796125
1368.1576279674719	22765409.83823957
1393.619274224142	22860143.41421481
1419.5547660501015	22956639.998158436
1445.9729217920194	23054932.39994872
1472.882723907502	23155054.04006137
1500.2933220192183	23257038.960932814
1528.2140360258693	23360921.83853501
1556.654359271062	23466737.99416568
1585.6239617711371	23573671.172211327
1615.132693503091	23649049.075018
1645.1905877536624	23725829.773421895
1675.807864530767	23804039.37368779
1706.9949340384078	23883704.46792246
1738.7624002162504	23964852.143116336
1771.1210643450886	24047509.990353327
1804.0819287193826	24131706.11419212
1837.6562003881704	24217469.14222203
1871.8552949655793	24304828.234796677
1906.690840512252	24393813.0949488
1942.1746814890264	24484453.978489663
1978.3188827841643	24576781.704296302
2015.1357338155585	24652876.485749245
2052.6377527092523	24714797.998537917
2090.8376905557498	24777871.881215893
2129.748535745521	24842119.579582915
2169.3835183851843	24907562.938548673
2209.756114795903	24974224.209560357
2250.880052095462	25042126.058168385
2292.7693128656488	25111291.571732916
2335.438139906479	25181744.267273813
2378.9010410788933	25253508.099466667
2423.1727942376006	25326607.468787678
2468.2684522556924	25401067.229810044
2514.2033481427966	25475342.01509077
2560.9931002584594	25520879.28506077
2608.6536176225477	25567264.011373337
2657.2011053245064	25614511.96533523
2706.652070033241	25662639.211759873
2757.0233256095826	25711662.114429615
2808.3319988231724	25761597.341659583
2860.5955351757416	25812461.871965073
2913.831704832789	25864272.999834467
2968.0586086656026	25917048.34160947
3023.2946844057765	25970805.841474943
3079.5587129142264	26025563.777560078
3136.8698245668766	26081340.768153146
3195.2475057592133	26121997.224044908
3254.711605531848	26150726.156864617
3315.282342319423	26179989.7400125
3376.9803108250912	26209797.923422143
3439.8264890229243	26240160.842197075
3503.8422452906757	26271088.82005685
3569.0493456752292	26302592.372847166
3635.4699612933177	26334682.212115422
3703.126675869927	26367369.24875275
3772.0424934169973	26400664.59670379
3842.240846055061	26434579.5767456
3913.745601980384	26469125.72033683
3986.581073580439	26502451.346604597
4060.7720257003657	26513201.73714998
4136.343684063274	26524152.19429266
4213.321743847289	26535306.441306055
4291.732378422157	26546668.270754334
4371.602248248501	26558241.545781918
4452.958509942655	26570030.20142704
4535.828825510186	26582038.24595962
4620.241371751313	26594269.762244195
4706.224849841281	26606728.909128085
4793.808495089106	26619419.92285549
4883.02208687788	26632347.118507802
4973.895958790063	26645514.891470857
5066.461008921268	26646950.23524889
5160.7487103859075	26639924.695607666
5256.791122018419	26632768.40947828
5354.620899273607	26625478.943646353
5454.271305329836	26618053.819614932
5555.7762223988775	26610490.512761872
5659.170163246242	26602786.451481324
5764.488282925873	26594939.01630946
5871.766390733255	26586945.53903375
5981.040962380945	26578803.30178581
6092.349152400711	26570509.53611723
6205.7288067765	26562061.422058333
6321.218475812449	26551944.296029877
6438.8574272404185	26527906.596581876
6558.685659571435	26503421.551456984
6680.743915695614	26478480.835476056
6805.073696735206	26453075.968526892
6931.717276155407	26427198.312681023
7060.717714137772	26400839.06925663
7192.118872221193	26373989.275826924
7325.96542821523	26346639.80317283
7462.302891391108	26318781.352178976
7601.17761795533	26290404.450671837
7742.636826811269	26261499.450199164
7886.728615614156	26232056.52274932
8033.501977124735	26196194.61872612
8183.00681586739	26155916.596783556
8335.293965098195	26114888.993999097
8490.415204088747	26073097.86054572
8648.423275731726	26030528.98698777
8809.37190447399	25987167.899449557
8973.31581458352	25942999.854694117
9140.310748756232	25898009.83511031
9310.413487069076	25852182.543606736
9483.681866285926	25805502.398410488
9660.174799522645	25757953.527769238
9839.952296278227	25709519.764554616
10023.075482838643	25659708.7697708
10209.606623060476	25605608.797959767
10399.609139541202	25550502.016467895
10593.1476351837	25494369.68839572
