# Frequency (Hz)	Real Part (Ohm/m)
1000.0	7254330.021557121
1018.6101701559753	7263375.340589177
1037.566678745186	7272588.994547536
1056.875971184804	7281974.116173819
1076.5446128423157	7291533.896510498
1096.5792912678098	7301271.585985899
1116.9868184678226	7311190.495519363
1137.7741332214914	7321293.997647008
1158.9483034398106	7331585.527668415
1180.5165285688054	7342068.584814692
1202.4861420374123	7352746.733438212
1224.8646137509306	7363623.604224566
1247.6595526308697	7374702.895427019
1270.8787092020582	7383972.8992905
1294.529978227916	7391480.504706465
1318.6214013947485	7399127.827936681
1343.1611700460153	7406917.469153449
1368.1576279674719	7414852.076918719
1393.619274224142	7422934.34908462
1419.5547660501015	7431167.033710772
1445.9729217920194	7439552.92999866
1472.882723907502	7448094.889243376
1500.2933220192183	7456795.8158031
1528.2140360258693	7465658.668086619
1556.654359271062	7474686.4595591985
1585.6239617711371	7483797.722029679
1615.132693503091	7489751.004412638
1645.1905877536624	7495815.078393726
1675.807864530767	7501992.005823441
1706.9949340384078	7508283.886923664
1738.7624002162504	7514692.8610017635
1771.1210643450886	7521221.107177982
1804.0819287193826	7527870.845126361
1837.6562003881704	7534644.335829449
1871.8552949655793	7541543.882347074
1906.690840512252	7548571.830599387
1942.1746814890264	7555730.570164529
1978.3188827841643	7563022.535091076
2015.1357338155585	7568910.869686122
2052.6377527092523	7573571.977052285
2090.8376905557498	7578319.828419653
2129.748535745521	7583156.038108839
2169.3835183851843	7588082.250483247
2209.756114795903	7593100.140508175
2250.880052095462	7598211.414320285
2292.7693128656488	7603417.809807757
2335.438139906479	7608721.097201147
2378.9010410788933	7614123.079675314
2423.1727942376006	7619625.593962503
2468.2684522556924	7625230.510976868
2514.2033481427966	7630822.91536836
2560.9931002584594	7634279.209405585
2608.6536176225477	7637799.825662948
2657.2011053245064	7641385.961187921
2706.652070033241	7645038.835305211
2757.0233256095826	7648759.690031384
2808.3319988231724	7652549.790497139
2860.5955351757416	7656410.425377469
2913.831704832789	7660342.907329829
2968.0586086656026	7664348.57344046
3023.2946844057765	7668428.785678998
3079.5587129142264	7672584.93136157
3136.8698245668766	7676818.423622485
3195.2475057592133	7680084.497716463
3254.711605531848	7682590.104330323
3315.282342319423	7685142.340709607
3376.9803108250912	7687742.074642193
3439.8264890229243	7690390.190065622
3503.8422452906757	7693087.58736767
3569.0493456752292	7695835.1836924935
3635.4699612933177	7698633.913252438
3703.126675869927	7701484.727645714
3772.0424934169973	7704388.596179931
3842.240846055061	7707346.506201683
3913.745601980384	7710359.463432246
