Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	2.357923071462305263e+07	6.656707234936831892e+07
1.032794731918951654e-10	2.357922953217374533e+07	6.656707066048110276e+07
1.066664958279539403e-10	2.357922831094633415e+07	6.656706891620727628e+07
1.101645949633656381e-10	2.357922704966909066e+07	6.656706711473046243e+07
1.137774133221491146e-10	2.357922574702860042e+07	6.656706525417468697e+07
1.175087130904807540e-10	2.357922440166836604e+07	6.656706333260249346e+07
1.213623798344240958e-10	2.357922301218740270e+07	6.656706134801285714e+07
1.253424265461399975e-10	2.357922157713878527e+07	6.656705929833913594e+07
1.294529978227915867e-10	2.357922009502813220e+07	6.656705718144690990e+07
1.336983741824946476e-10	2.357921856431205571e+07	6.656705499513177574e+07
1.380829765218092491e-10	2.357921698339655995e+07	6.656705273711701483e+07
1.426113707194128486e-10	2.357921535063535720e+07	6.656705040505127609e+07
1.472882723907502473e-10	2.357921366432819515e+07	6.656704799650605768e+07
1.521185517986104510e-10	2.357921192271903530e+07	6.656704550897324830e+07
1.571072389247450498e-10	2.357921012399427593e+07	6.656704293986245990e+07
1.622595287078087593e-10	2.357920826628081873e+07	6.656704028649838269e+07
1.675807864530767868e-10	2.357920634764414653e+07	6.656703754611793905e+07
1.730765534195724819e-10	2.357920436608629674e+07	6.656703471586745977e+07
1.787525525904235329e-10	2.357920231954379007e+07	6.656703179279966652e+07
1.846146946324547531e-10	2.357920020588547364e+07	6.656702877387064695e+07
1.906690840512252406e-10	2.357919802291029692e+07	6.656702565593665838e+07
1.969220255479172543e-10	2.357919576834503189e+07	6.656702243575086445e+07
2.033800305846981002e-10	2.357919343984190747e+07	6.656701910995993763e+07
2.100498241653915480e-10	2.357919103497614339e+07	6.656701567510059476e+07
2.169383518385184289e-10	2.357918855124345422e+07	6.656701212759596109e+07
2.240527869300018610e-10	2.357918598605741560e+07	6.656700846375185996e+07
2.314005380130653023e-10	2.357918333674679324e+07	6.656700467975296825e+07
2.389892566231049743e-10	2.357918060055273399e+07	6.656700077165886015e+07
2.468268452255692806e-10	2.357917777462592348e+07	6.656699673539984226e+07
2.549214654451423314e-10	2.357917485602360591e+07	6.656699256677279621e+07
2.632815465648021228e-10	2.357917184170650318e+07	6.656698826143674552e+07
2.719157943036017723e-10	2.357916872853568196e+07	6.656698381490834802e+07
2.808331998823172083e-10	2.357916551326925308e+07	6.656697922255725414e+07
2.900430493863991314e-10	2.357916219255902991e+07	6.656697447960122675e+07
2.995549334359813486e-10	2.357915876294700056e+07	6.656696958110122383e+07
3.093787571730138678e-10	2.357915522086177021e+07	6.656696452195623517e+07
3.195247505759212065e-10	2.357915156261479855e+07	6.656695929689794034e+07
3.300034791125284578e-10	2.357914778439659998e+07	6.656695390048526973e+07
3.408258547423451742e-10	2.357914388227275014e+07	6.656694832709868252e+07
3.520031472796679687e-10	2.357913985217979178e+07	6.656694257093437761e+07
3.635469961293320139e-10	2.357913568992101774e+07	6.656693662599820644e+07
3.754694224073336536e-10	2.357913139116207883e+07	6.656693048609944433e+07
3.877828414589456106e-10	2.357912695142649859e+07	6.656692414484435320e+07
4.005000757873611052e-10	2.357912236609097943e+07	6.656691759562949836e+07
4.136343684063274911e-10	2.357911763038060814e+07	6.656691083163490146e+07
4.271993966306778827e-10	2.357911273936388642e+07	6.656690384581691027e+07
4.412092863191189219e-10	2.357910768794758245e+07	6.656689663090089709e+07
4.556786265841064474e-10	2.357910247087143362e+07	6.656688917937364429e+07
4.706224849841281415e-10	2.357909708270267397e+07	6.656688148347555101e+07
4.860564232142136024e-10	2.357909151783036068e+07	6.656687353519254178e+07
5.019965133110081441e-10	2.357908577045955136e+07	6.656686532624772191e+07
5.184593543892912175e-10	2.357907983460526168e+07	6.656685684809277207e+07
5.354620899273606527e-10	2.357907370408621803e+07	6.656684809189899266e+07
5.530224256192902378e-10	2.357906737251845002e+07	6.656683904854817688e+07
5.711586478126431938e-10	2.357906083330860734e+07	6.656682970862311125e+07
5.898896425508497150e-10	2.357905407964713871e+07	6.656682006239769608e+07
6.092349152400710261e-10	2.357904710450114682e+07	6.656681009982690215e+07
6.292146109610343618e-10	2.357903990060711280e+07	6.656679981053627282e+07
6.498495354469890483e-10	2.357903246046331152e+07	6.656678918381111324e+07
6.711611767496282870e-10	2.357902477632198110e+07	6.656677820858536661e+07
6.931717276155404727e-10	2.357901684018130228e+07	6.656676687343002111e+07
7.159041085964887260e-10	2.357900864377701283e+07	6.656675516654129326e+07
7.393819919175865964e-10	2.357900017857383937e+07	6.656674307572828978e+07
7.636298261282244400e-10	2.357899143575660139e+07	6.656673058840031922e+07
7.886728615614152294e-10	2.357898240622101724e+07	6.656671769155377150e+07
8.145371766280743462e-10	2.357897308056423441e+07	6.656670437175860256e+07
8.412497049736117954e-10	2.357896344907503203e+07	6.656669061514431238e+07
8.688382635251186617e-10	2.357895350172372535e+07	6.656667640738555044e+07
8.973315814583522479e-10	2.357894322815170139e+07	6.656666173368714750e+07
9.267593301146878953e-10	2.357893261766063422e+07	6.656664657876874506e+07
9.571521538991863169e-10	2.357892165920136124e+07	6.656663092684885859e+07
9.885417021919573871e-10	2.357891034136235341e+07	6.656661476162844151e+07
1.020960662306046580e-09	2.357889883649758250e+07	6.656659807427560538e+07
1.054442793526168950e-09	2.357888705829633400e+07	6.656658084418311715e+07
1.089022962263730067e-09	2.357887489383213595e+07	6.656656304903436452e+07
1.124737178364752061e-09	2.357886233043759316e+07	6.656654467029847205e+07
1.161622632608501755e-09	2.357884935502989590e+07	6.656652568883686513e+07
1.199717735435884489e-09	2.357883595409718156e+07	6.656650608488332480e+07
1.239062156947916503e-09	2.357882211368446797e+07	6.656648583802336454e+07
1.279696868215940940e-09	2.357880781937913597e+07	6.656646492717307061e+07
1.321664183946605026e-09	2.357879305629588664e+07	6.656644333055704832e+07
1.365007806546013663e-09	2.357877780906128511e+07	6.656642102568578720e+07
1.409772871628966933e-09	2.357876206179770827e+07	6.656639798933225870e+07
1.456005995020649598e-09	2.357874579810684547e+07	6.656637419750769436e+07
1.503755321299737753e-09	2.357872900105259940e+07	6.656634962543660402e+07
1.553070573933460069e-09	2.357871165314346552e+07	6.656632424753104895e+07
1.604003107056820079e-09	2.357869373631430045e+07	6.656629803736387193e+07
1.656605958949914401e-09	2.357867523190752417e+07	6.656627096764129400e+07
1.710933907269014249e-09	2.357865612065369263e+07	6.656624301017442346e+07
1.767043526088946692e-09	2.357863638265141100e+07	6.656621413584991544e+07
1.824993244816152494e-09	2.357861599734663963e+07	6.656618431459967792e+07
1.884843409033795523e-09	2.357859494351125881e+07	6.656615351536954194e+07
1.946656343342262358e-09	2.357857319922099635e+07	6.656612170608689636e+07
2.010496416260498236e-09	2.357855074183255807e+07	6.656608885362736136e+07
2.076430107255774870e-09	2.357852754796009138e+07	6.656605492378023267e+07
2.144526075971667793e-09	2.357850359345079213e+07	6.656601988121285290e+07
2.214855233726359314e-09	2.357847885335978121e+07	6.656598368943386525e+07
2.287490817355702788e-09	2.357845330192412063e+07	6.656594631075520068e+07
2.362508465477946229e-09	2.357842691253597662e+07	6.656590770625277609e+07
2.439986297259550245e-09	2.357839965771492198e+07	6.656586783572605252e+07
2.520004993764092080e-09	2.357837150907931849e+07	6.656582665765608847e+07
2.602647881969005809e-09	2.357834243731675670e+07	6.656578412916236371e+07
2.688001021537606561e-09	2.357831241215353459e+07	6.656574020595809072e+07
2.776153294436799262e-09	2.357828140232313424e+07	6.656569484230409563e+07
2.867196497493770032e-09	2.357824937553365529e+07	6.656564799096123874e+07
2.961225437988034610e-09	2.357821629843420908e+07	6.656559960314115137e+07
3.058338032378433485e-09	2.357818213658014685e+07	6.656554962845547497e+07
3.158635408267817403e-09	2.357814685439724103e+07	6.656549801486338675e+07
3.262222009711669644e-09	2.357811041514460742e+07	6.656544470861737430e+07
3.369205705980266915e-09	2.357807278087645024e+07	6.656538965420731157e+07
3.479697903887691433e-09	2.357803391240255535e+07	6.656533279430263489e+07
3.593813663804627762e-09	2.357799376924748346e+07	6.656527406969263405e+07
3.711671819475765297e-09	2.357795230960839987e+07	6.656521341922478378e+07
3.833395101766601886e-09	2.357790949031156674e+07	6.656515077974109352e+07
3.959110266468459240e-09	2.357786526676737517e+07	6.656508608601233363e+07
4.088948226294862618e-09	2.357781959292390943e+07	6.656501927067008615e+07
4.223044187206674123e-09	2.357777242121898383e+07	6.656495026413659751e+07
4.361537789208003199e-09	2.357772370253064856e+07	6.656487899455235153e+07
4.504573251759458750e-09	2.357767338612598553e+07	6.656480538770119101e+07
4.652299523960189308e-09	2.357762141960832104e+07	6.656472936693306267e+07
4.804870439655131104e-09	2.357756774886264652e+07	6.656465085308423638e+07
4.962444877628916452e-09	2.357751231799924746e+07	6.656456976439479738e+07
5.125186927053329472e-09	2.357745506929554790e+07	6.656448601642350852e+07
5.293266058360561204e-09	2.357739594313595816e+07	6.656439952195996791e+07
5.466857299720180771e-09	2.357733487794981152e+07	6.656431019093366712e+07
5.646141419303669251e-09	2.357727181014725938e+07	6.656421793032031506e+07
5.831305113526221869e-09	2.357720667405302823e+07	6.656412264404488355e+07
6.022541201461928965e-09	2.357713940183804557e+07	6.656402423288159072e+07
6.220048825634711276e-09	2.357706992344881222e+07	6.656392259435057640e+07
6.424033659394191079e-09	2.357699816653442755e+07	6.656381762261119485e+07
6.634708121092347870e-09	2.357692405637127161e+07	6.656370920835176110e+07
6.852291595284060743e-09	2.357684751578518376e+07	6.656359723867574334e+07
7.077010661181889919e-09	2.357676846507109702e+07	6.656348159698421508e+07
7.309099328602911004e-09	2.357668682191002741e+07	6.656336216285442561e+07
7.548799281653435948e-09	2.357660250128338113e+07	6.656323881191436201e+07
7.796360130405233414e-09	2.357651541538438946e+07	6.656311141571328044e+07
8.052039670825474778e-09	2.357642547352668643e+07	6.656297984158794582e+07
8.316104153230961616e-09	2.357633258204986900e+07	6.656284395252444595e+07
8.588828559546249041e-09	2.357623664422197267e+07	6.656270360701552778e+07
8.870496889654407999e-09	2.357613756013873219e+07	6.656255865891327709e+07
9.161402457138517586e-09	2.357603522661954165e+07	6.656240895727687329e+07
9.461848194721997291e-09	2.357592953710002080e+07	6.656225434621542692e+07
9.772146969725725887e-09	2.357582038152104616e+07	6.656209466472567618e+07
1.009262190987047331e-08	2.357570819311473146e+07	6.656192979204595089e+07
1.042360673976401127e-08	2.357559371503554657e+07	6.656175962806829810e+07
1.076544612842315905e-08	2.357547548267844319e+07	6.656158388360860199e+07
1.111849604819270880e-08	2.357535337292288244e+07	6.656140237565647066e+07
1.148312414543511117e-08	2.357522725861062482e+07	6.656121491519970447e+07
1.185971012337669343e-08	2.357509700841330364e+07	6.656102130702752620e+07
1.224864613750930795e-08	2.357496248669568449e+07	6.656082134952723235e+07
1.265033720395903769e-08	2.357482368476659060e+07	6.656061484476127476e+07
1.306520162124721228e-08	2.357468108755418658e+07	6.656040162696955353e+07
1.349367140588306343e-08	2.357453381390443072e+07	6.656018141675750911e+07
1.393619274224142065e-08	2.357438171045481414e+07	6.655995398481059074e+07
1.439322644719406651e-08	2.357422461881334707e+07	6.655971909429395199e+07
1.486524844997857277e-08	2.357406237539360672e+07	6.655947650060578436e+07
1.535275028780422776e-08	2.357389481124441326e+07	6.655922595112265646e+07
1.585623961771137302e-08	2.357372176891284436e+07	6.655896718709087372e+07
1.637624074521687477e-08	2.357354424656302109e+07	6.655870008804529905e+07
1.691329517029648562e-08	2.357336090241533145e+07	6.655842422955814004e+07
1.746796215127245689e-08	2.357317154554546624e+07	6.655813932436583936e+07
1.804081928719382751e-08	2.357297597876781970e+07	6.655784507578413934e+07
1.863246311931559514e-08	2.357277399843012169e+07	6.655754117739908397e+07
1.924350975230330612e-08	2.357256539420140162e+07	6.655722731274796277e+07
1.987459549580983990e-08	2.357234994885291904e+07	6.655690315498974919e+07
2.052637752709252173e-08	2.357212893789485842e+07	6.655656855738046765e+07
2.119953457536071000e-08	2.357190088960445300e+07	6.655622301353326440e+07
2.189476762856620985e-08	2.357166536253149435e+07	6.655586613766820729e+07
2.261280066337277307e-08	2.357142211141132191e+07	6.655549755815483630e+07
2.335438139906479724e-08	2.357117088293587044e+07	6.655511689117512852e+07
2.412028207618007283e-08	2.357091141548991948e+07	6.655472374032387882e+07
2.491130026067788373e-08	2.357064343887863681e+07	6.655431769619584829e+07
2.572825967447932303e-08	2.357036841541080177e+07	6.655389858068877459e+07
2.657201105324503850e-08	2.357008498519340903e+07	6.655346580649103224e+07
2.744343303228365032e-08	2.356979225995802134e+07	6.655301883957950026e+07
2.834343306151309448e-08	2.356948993487701565e+07	6.655255721450792998e+07
2.927294835042816131e-08	2.356917769512602687e+07	6.655208045056588203e+07
3.023294684405776334e-08	2.356885521555610374e+07	6.655158805127817392e+07
3.122442823092858392e-08	2.356852216035513952e+07	6.655107950388782471e+07
3.224842498408442807e-08	2.356818014366910234e+07	6.655055458076968789e+07
3.330600343624588813e-08	2.356782820012727752e+07	6.655001264149244130e+07
