# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	19349728.046941683
1018.6101701559753	19273501.252047084
1037.566678745186	19195855.86352904
1056.875971184804	19116765.481118858
1076.5446128423157	19036203.213234324
1096.5792912678098	18954141.6678363
1116.9868184678226	18870552.943115156
1137.7741332214914	18785408.618003838
1158.9483034398106	18698679.742514376
1180.5165285688054	18610336.827894613
1202.4861420374123	18520349.83660171
1224.8646137509306	18428688.17208902
1247.6595526308697	18335320.668402974
1270.8787092020582	18250240.363687146
1294.529978227916	18173200.786005314
1318.6214013947485	18094727.488674074
1343.1611700460153	18014793.789926812
1368.1576279674719	17933372.511444643
1393.619274224142	17850435.969115626
1419.5547660501015	17765955.96362171
1445.9729217920194	17679903.770850774
1472.882723907502	17592250.132130068
1500.2933220192183	17502965.244277988
1528.2140360258693	17412018.74947063
1556.654359271062	17319379.7249198
1585.6239617711371	17225515.377339575
1615.132693503091	17149534.033814587
1645.1905877536624	17072138.66455794
1675.807864530767	16993302.954310134
1706.9949340384078	16913000.098080248
1738.7624002162504	16831202.792031914
1771.1210643450886	16747883.224199709
1804.0819287193826	16663013.065032847
1837.6562003881704	16576563.45776271
1871.8552949655793	16488505.008591363
1906.690840512252	16398807.776697263
1942.1746814890264	16307441.264055092
1978.3188827841643	16214374.405066099
2015.1357338155585	16130535.725749806
2052.6377527092523	16054654.973079594
2090.8376905557498	15977362.06669063
2129.748535745521	15898630.726161916
2169.3835183851843	15818434.181989351
2209.756114795903	15736745.16648382
2250.880052095462	15653535.904499853
2292.7693128656488	15568778.103991816
2335.438139906479	15482442.94639427
2378.9010410788933	15394501.07682339
2423.1727942376006	15304922.59409597
2468.2684522556924	15213677.040562678
2514.2033481427966	15121759.1767715
2560.9931002584594	15047801.377883617
2608.6536176225477	14972467.211774072
2657.2011053245064	14895731.064014666
2706.652070033241	14817566.843488341
2757.0233256095826	14737947.973517912
2808.3319988231724	14656847.382829715
2860.5955351757416	14574237.496349057
2913.831704832789	14490090.225824416
2968.0586086656026	14404376.960277168
3023.2946844057765	14317068.556273455
