# Frequency (Hz)	Real Part (Ohm/m)
1000.0	6680321.048032431
1018.6101701559753	6682382.266737655
1037.566678745186	6684481.845073713
1056.875971184804	6686620.496919862
1076.5446128423157	6688798.949440767
1096.5792912678098	6691017.943333767
1116.9868184678226	6693278.233080688
1137.7741332214914	6695580.587204406
1158.9483034398106	6697925.78853012
1180.5165285688054	6700314.634451559
1202.4861420374123	6702747.937202073
1224.8646137509306	6705226.524130813
1247.6595526308697	6707751.237984041
1270.8787092020582	6708726.659189858
1294.529978227916	6708187.759574236
1318.6214013947485	6707638.830945072
1343.1611700460153	6707079.686660715
1368.1576279674719	6706510.136606085
1393.619274224142	6705929.987128028
1419.5547660501015	6705339.040969465
1445.9729217920194	6704737.09720234
1472.882723907502	6704123.951159282
1500.2933220192183	6703499.394364037
1528.2140360258693	6702863.214460559
1556.654359271062	6702215.195140825
1585.6239617711371	6701495.050897602
1615.132693503091	6698397.242154009
1645.1905877536624	6695241.782662588
1675.807864530767	6692027.599533113
1706.9949340384078	6688753.599908684
1738.7624002162504	6685418.670594156
1771.1210643450886	6682021.67767762
1804.0819287193826	6678561.466144896
1837.6562003881704	6675036.859486768
1871.8552949655793	6671446.659299003
1906.690840512252	6667789.644874846
1942.1746814890264	6664064.572789995
1978.3188827841643	6660270.176479799
2015.1357338155585	6655498.435327332
2052.6377527092523	6649850.456121945
2090.8376905557498	6644097.367062512
2129.748535745521	6638237.212036756
2169.3835183851843	6632267.998528831
2209.756114795903	6626187.69694183
2250.880052095462	6619994.239907693
2292.7693128656488	6613685.521584294
2335.438139906479	6607259.396939434
2378.9010410788933	6600713.681021487
2423.1727942376006	6594046.148216519
2468.2684522556924	6587254.531491527
2514.2033481427966	6580289.45101211
2560.9931002584594	6572292.113128457
2608.6536176225477	6564145.943426002
2657.2011053245064	6555848.172119262
2706.652070033241	6547395.977876585
2757.0233256095826	6538786.486860861
2808.3319988231724	6530016.771752382
2860.5955351757416	6521083.850753513
2913.831704832789	6511984.686574863
2968.0586086656026	6502716.185402572
3023.2946844057765	6493275.195846378
3079.5587129142264	6483658.507868098
3136.8698245668766	6473862.851690209
3195.2475057592133	6463772.281715879
3254.711605531848	6453405.523985314
3315.282342319423	6442845.839129416
3376.9803108250912	6432089.636741559
3439.8264890229243	6421133.259597031
3503.8422452906757	6409972.982409549
3569.0493456752292	6398605.0105646225
3635.4699612933177	6387025.478829334
3703.126675869927	6375230.450038121
3772.0424934169973	6363215.913754111
3842.240846055061	6350977.784905508
3913.745601980384	6338511.902396645
3986.581073580439	6325854.422317984
4060.7720257003657	6313464.205676909
4136.343684063274	6300843.404995873
4213.321743847289	6287987.729066661
4291.732378422157	6274892.806820931
4371.602248248501	6261554.185844034
4452.958509942655	6247967.3308611065
4535.828825510186	6234127.622195066
4620.241371751313	6220030.354195841
4706.224849841281	6205670.733640414
4793.808495089106	6191043.878103076
4883.02208687788	6176144.81429534
4973.895958790063	6160968.476374982
5066.461008921268	6146256.013554121
5160.7487103859075	6131798.605926267
5256.791122018419	6117072.143482441
5354.620899273607	6102071.619066748
5454.271305329836	6086791.932339239
5555.7762223988775	6071227.8880418055
5659.170163246242	6055374.194231685
5764.488282925873	6039225.460482155
5871.766390733255	6022776.196049742
5981.040962380945	6006020.808007301
6092.349152400711	5988953.599342363
6205.7288067765	5971568.767020082
6321.218475812449	5954057.455422003
6438.8574272404185	5938010.199990919
6558.685659571435	5921664.302405724
6680.743915695614	5905014.204885117
6805.073696735206	5888054.246216537
6931.717276155407	5870778.6598313
7060.717714137772	5853181.571843888
7192.118872221193	5835256.999054778
7325.96542821523	5816998.846916094
7462.302891391108	5798400.907459373
7601.17761795533	5779456.85718481
7742.636826811269	5760160.254911196
7886.728615614156	5740504.539585837
8033.501977124735	5722112.542750561
8183.00681586739	5704418.730506386
8335.293965098195	5686395.633405638
8490.415204088747	5668037.123401106
8648.423275731726	5649336.95840158
8809.37190447399	5630288.780149469
8973.31581458352	5610886.1120589245
9140.310748756232	5591122.357013737
9310.413487069076	5570990.795124233
9483.681866285926	5550484.581442463
9660.174799522645	5529596.743634819
9839.952296278227	5508320.179611386
10023.075482838643	5487058.557312313
10209.606623060476	5468304.239839431
10399.609139541202	5449200.901327218
10593.1476351837	5429742.04643475
10790.287915161836	5409921.058941687
10991.097009294961	5389731.199498724
11195.643194838794	5369165.6033361005
11403.99601970033	5348217.277929528
11616.22632608502	5326879.100622661
11832.40627458378	5305143.816205296
12052.609368708414	5283004.03444653
12276.910479883603	5260452.227582019
12505.385872903913	5237480.727754436
12738.113231864783	5216564.169746338
12975.171686575868	5196683.005958172
13216.641839466038	5176431.850329009
13462.60579298911	5155803.817247727
13713.147177539455	5134791.892960823
13968.351179887397	5113388.933187635
14228.30457214352	5091587.660691225
14493.09574126215	5069380.662804044
14762.81471909391	5046760.388907524
15037.553212997384	5023719.1478648195
15317.404637020798	5000249.105405701
15602.46414366368	4976342.281462856
15892.828656229764	4952650.931579349
16188.596901781993	4932295.554042207
16489.86944471065	4911561.359465508
16796.74872092653	4890441.297999693
17109.339072690134	4868928.188596292
17427.746784089173	4847014.716566311
17752.08011717636	4824693.431093142
18082.44934877952	4801956.742699223
18418.96680799711	4778796.920665504
18761.746914391195	4755206.090402959
19110.90621689136	4731176.230775106
19466.56343342263	4706699.17137075
19828.83949127071	4681766.589725966
20197.857568198782	4659601.212036301
20573.743134329114	4638684.655418999
20956.623994804308	4617378.838123971
21346.630333242454	4595676.5159437675
21743.8947560008	4573570.309855014
22148.55233726359	4551052.703509445
22560.74066496859	4528116.040678278
22980.599887588487	4504752.522649017
23408.272761782944	4480954.205573784
23843.904700937208	4456712.997768358
24287.643824604504	4432020.656960886
24739.64100886812	4406868.7874894375
25200.049937640895	4382162.877971624
25669.027154919517	4361346.185751908
26146.732118010917	4340142.091347901
26633.327251749808	4318543.385139032
27128.978003724646	4296542.7233324675
27633.852900531667	4274132.625466138
28148.123605075813	4251305.471865304
28671.964974937695	4228053.50105178
29205.55512182745	4204368.807104956
29749.075472144435	4180243.336973688
30302.71082866393	4155668.8877381897
30866.649433372742	4130637.1038209237
31441.08303147265	4105139.474145652
32026.206936576502	4082966.571249346
32622.220097116733	4062123.9408977013
33229.325163989684	4040893.4256487237
33847.72855945983	4019267.8068984556
34477.640547344636	3997239.7317035203
35119.275304507275	3974801.710280998
35772.850993678774	3951946.1134618376
36438.58983763541	3928665.170096861
37116.71819475767	3904950.964414466
37807.466635993485	3880795.4333292097
38511.070023255685	3856190.3637002497
39227.76758927723	3831127.389538791
39957.803018952654	3806735.0154910795
40701.42453219439	3786478.966704063
41458.88496832911	3765845.949402432
42230.441872066716	3744828.9481379874
43016.35758106799	3723420.8169038408
43816.89931514194	3701614.2767047067
44632.33926710397	3679401.9130819542
45462.95469532399	3656776.1735926173
46309.02801799736	3633729.365241478
47170.84690917023	3610253.6518653682
48048.704396551344	3586341.0514687994
48942.89896114532	3561983.4335099785
49853.73463873894	3537172.516136351
50781.5211232767	3516035.7264059163
51726.57387216024	3496189.8819001415
52689.21421350677	3475974.7028512275
53669.76945540476	3455383.31588048
54668.57299720181	3434408.7196944593
55685.96444286408	3413043.782704465
56722.28971644549	3391281.240601712
57777.90117970507	3369113.693887403
58853.1577519145	3346533.6053567985
59948.42503189408	3323533.2975365035
61064.07542232036	3300104.9500740324
62200.48825634718	3276240.5970788104
63358.04992658254	3253233.711990135
64537.15401646702	3234323.4698181297
65738.20143409586	3215061.3048216132
66961.60054853215	3195440.667656938
68207.76732865692	3175454.8870960576
69477.1254846024	3155097.1677582413
70770.10661181889	3134360.5877995607
72087.15033782135	3113238.0965593955
73428.70447166759	3091722.512163134
74795.22515621828	3069806.51908025
76187.17702322999	3047482.665636959
77605.0333513357	3024743.3614825513
79049.2762269642	3001580.875008601
80520.39670825469	2982221.1716390476
82018.8949920221	2964022.0888904417
83545.28058382872	2945484.3181152046
85100.07247122246	2926601.5562715274
86683.79930019773	2907367.383016925
88296.99955494082	2887775.2585252454
89940.22174092053	2867818.5212630546
91614.0245713852	2847490.3857246605
93318.9771573324	2826783.9401249425
95055.65920101192	2805692.144049287
96824.66119303115	2784207.8260597703
98626.5846131283	2762323.6812567776
100462.04213468132	2741426.6125248303
102331.65783302448	2724362.450914797
104236.06739764012	2706980.722353633
106175.9183482999	2689275.5168663426
108151.87025522892	2671240.8144922853
110164.59496336569	2652870.4832383334
112214.77682079801	2634158.2769939257
114303.11291144785	2615097.8334073164
116430.31329208757	2595682.6717223125
118597.10123376705	2575906.1905747405
120804.21346773289	2555761.6657479294
123052.40043592616	2535242.247886379
125342.42654613995	2514340.960166925
127675.07043192645	2497176.3661637492
130051.12521734099	2480989.27310457
132471.39878661174	2464500.935489231
134936.71405883064	2447705.7471052823
137447.90926775365	2430597.997407708
140005.8382468096	2413171.8695772723
142611.37071941295	2395421.438542753
145265.39259467812	2377340.6689663418
147968.80626863963	2358923.41319156
150722.53093107554	2340163.409153005
153527.5028780421	2321054.278247166
156384.67583022476	2301589.523163635
159295.0212572123	2283179.237228681
162259.5287078087	2268195.9159755027
165279.2061464897	2252933.752564298
168355.08029612005	2237387.5576950675
171488.19698705408	2221552.0454940377
174679.62151272455	2205421.8317164434
177930.43899185772	2188991.4319157936
181241.75473742394	2172255.2595791216
184614.69463245454	2155207.6242275084
188050.40551285836	2137842.7294812417
191550.0555573528	2120154.671089007
195114.83468466165	2102137.4349203645
198745.9549580986	2083784.8949208814
202444.65099768018	2068956.7864542105
206212.18039991445	2054905.5769726154
210049.8241653915	2040592.8720916735
213958.88713434213	2026013.8053375045
217940.6984302958	2011163.419670324
221996.61191199525	1996036.6657989984
226128.00663372793	1980628.4004642158
230336.2873142131	1964933.3846897467
234622.88481422624	1948946.282001114
238989.25662310526	1932661.6566111431
243436.8873543108	1916073.971571742
247967.289250216	1899177.5868912612
252582.00269627848	1883347.0265838192
257282.59674479323	1870472.332427666
262070.66964838552	1857358.0380225591
266947.8494034318	1843999.6843671
271915.7943036019	1830392.7294771064
276976.1935036891	1816532.5468413066
282130.76759394706	1802414.4238482618
287381.2691851069	1788033.560184032
292729.4835042813	1773385.0662000242
298177.22900196735	1758463.9612504423
303726.3579703311	1743265.1719988347
309378.75717301364	1727783.5306930898
315136.34848664823	1712013.7734083498
321001.08955431683	1699463.557824645
326974.97445117676	1687497.9789854751
333060.03436245886	1675309.7186880955
339258.33827409917	1662894.6327926754
345571.9936762143	1650248.5000362396
352003.1472796675	1637367.0205973936
358553.9857459817	1624245.814634327
365226.7364308175	1610880.420795639
372023.6681413066	1597266.2947034098
378947.09190746717	1583398.807408079
385999.36176797637	1569273.243814548
393182.87557057705	1554884.8010789903
400500.07578736113	1541529.5268679599
407953.45034524484	1530652.7010886676
415545.53347188793	1519573.4557308662
423278.90655735444	1508288.0237317577
431156.19903182285	1496792.5679228606
439180.0892596086	1485083.1797253403
447353.3054498463	1473155.8778210417
455678.6265841068	1461006.6067988016
464158.8833612772	1448631.2357755683
472796.9591600391	1436025.5569918463
481595.79101923504	1423185.28438103
490558.37063650455	1410106.0521120771
499687.7453854889	1396783.4131050876
508987.0193519675	1386329.5937125299
518459.3543892913	1376291.566297772
528107.971193433	1366066.7294847954
537936.1503980698	1355651.6067189127
547947.2336900292	1345042.6567461602
558144.6249454955	1334236.2724092407
568531.7913873753	1323228.779421038
579112.2647641759	1312016.4351153353
589889.6425508494	1300595.4271742562
600867.5891719692	1288961.87233204
612049.837247669	1277111.8150546935
623440.1888627863	1265041.226195055
635042.5168595961	1253940.546788246
646860.7661546321	1244872.279604229
658898.9550799957	1235635.2504248978
671161.1767496272	1226226.3185608045
683651.6004510238	1216642.2848737326
696374.4730628222	1206879.8906889646
709334.1204987989	1196935.8166872892
722534.9491787221	1186806.6817763972
735981.4475265755	1176489.0419412828
749678.1874966878	1165979.3890732273
763629.8261282243	1155274.1497770175
777841.1071286482	1144369.6841559447
792316.8624866261	1133262.2845742034
807062.0141149492	1124662.3576694508
822081.575524054	1116339.0838417464
837380.6535266489	1107860.9124718555
852964.4499741016	1099224.9608901585
868838.2635251193	1090428.2927800668
885007.4914473438	1081467.9171796413
901477.6314524917	1072340.787464631
918254.2835656281	1063043.8003125885
935343.1520292377	1053573.7946477083
952750.0472427299	1043927.550566026
970480.8877380306	1034101.7882406181
988541.7021919573	1024093.1668064224
1006938.6314760271	1014972.6891191021
1025677.9307444209	1007489.7462698403
1044765.9715608053	999867.5445808854
1064209.2440647245	992103.4924215366
1084014.359178331	984194.9499304027
1104188.0508541602	976139.2281178234
1124737.1783647507	967933.5879515822
1145668.7286348727	959575.2394256077
1166989.8186171474	951061.3406113429
1188707.6977119034	942388.9966914536
1210829.7502320393	933555.2589755652
1233363.4979137746	924557.1238976698
1256316.6024741214	915391.5319948873
1279696.8682159416	908384.940213577
