# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	63929545.94018455
1018.6101701559753	63657984.15784715
1037.566678745186	63381368.564532526
1056.875971184804	63099605.10795858
1076.5446128423157	62812597.98551404
1096.5792912678098	62520249.61168484
1116.9868184678226	62222460.58487383
1137.7741332214914	61919129.653603286
1158.9483034398106	61610153.682088226
1180.5165285688054	61295427.615169175
1202.4861420374123	60974844.44259225
1224.8646137509306	60648295.16262454
1247.6595526308697	60315668.744992256
1270.8787092020582	60012126.42923548
1294.529978227916	59736799.53383899
1318.6214013947485	59456348.75807071
1343.1611700460153	59170678.74564501
1368.1576279674719	58879692.36567956
1393.619274224142	58583290.67966994
1419.5547660501015	58281372.90784909
1445.9729217920194	57973836.3949216
1472.882723907502	57660576.57515934
1500.2933220192183	57341486.93684826
1528.2140360258693	57016458.98607321
1556.654359271062	56685382.20982878
1585.6239617711371	56349926.97138785
1615.132693503091	56078407.98147463
1645.1905877536624	55801835.97695854
1675.807864530767	55520116.920378044
1706.9949340384078	55233155.02421838
1738.7624002162504	54940852.7183429
1771.1210643450886	54643110.6168181
1804.0819287193826	54339827.484121345
1837.6562003881704	54030900.200719625
1871.8552949655793	53716223.72800799
1906.690840512252	53395691.072595134
1942.1746814890264	53069193.24992448
1978.3188827841643	52736619.24721837
2015.1357338155585	52437473.28137311
2052.6377527092523	52167165.14547036
2090.8376905557498	51891826.52916395
2129.748535745521	51611363.81435753
2169.3835183851843	51325681.64070616
2209.756114795903	51034682.873192616
2250.880052095462	50738268.569100454
2292.7693128656488	50436337.94437252
2335.438139906479	50128788.33934304
2378.9010410788933	49815515.183832586
2423.1727942376006	49496411.96159276
2468.2684522556924	49171370.17408979
2514.2033481427966	48844010.39734401
2560.9931002584594	48582106.64742405
2608.6536176225477	48315328.82415358
2657.2011053245064	48043586.220198214
2706.652070033241	47766786.44014464
2757.0233256095826	47484835.3690851
2808.3319988231724	47197637.14061748
2860.5955351757416	46905094.10424962
2913.831704832789	46607106.79219694
2968.0586086656026	46303573.885562696
3023.2946844057765	45994392.17988803
3079.5587129142264	45679456.55006165
3136.8698245668766	45358659.91457603
3195.2475057592133	45074316.45833043
3254.711605531848	44817982.74492885
3315.282342319423	44556878.61750416
3376.9803108250912	44290915.297839664
3439.8264890229243	44020002.355540976
3503.8422452906757	43744047.677288614
3569.0493456752292	43462957.4355187
3635.4699612933177	43176636.056520216
3703.126675869927	42884986.18793929
3772.0424934169973	42587908.6656781
3842.240846055061	42285302.480178125
3913.745601980384	41977064.74207573
3986.581073580439	41668695.93034159
4060.7720257003657	41424361.36125268
4136.343684063274	41175479.68425808
4213.321743847289	40921966.2769059
4291.732378422157	40663734.94190608
4371.602248248501	40400697.8778223
4452.958509942655	40132765.64921859
4535.828825510186	39859847.15625028
4620.241371751313	39581849.603689134
4706.224849841281	39298678.46937189
4793.808495089106	39010237.472061746
4883.02208687788	38716428.53871167
4973.895958790063	38417151.77111862
5066.461008921268	38155782.05707074
5160.7487103859075	37920357.03107618
5256.791122018419	37680550.70528887
5354.620899273607	37436281.542974174
5454.271305329836	37187466.48998494
5555.7762223988775	36934020.94652222
5659.170163246242	36675858.738370374
5764.488282925873	36412892.08759701
5871.766390733255	36145031.58270737
5981.040962380945	35872186.14824367
6092.349152400711	35594263.013818346
6205.7288067765	35311167.68257107
6321.218475812449	35029995.10076395
6438.8574272404185	34808910.83179074
6558.685659571435	34583712.146953136
6680.743915695614	34354322.4762718
6805.073696735206	34120663.82478707
6931.717276155407	33882656.74603981
7060.717714137772	33640220.31505872
7192.118872221193	33393272.100845058
7325.96542821523	33141728.138345182
7462.302891391108	32885502.899901472
7601.17761795533	32624509.266172044
7742.636826811269	32358658.496509314
7886.728615614156	32087860.198787045
8033.501977124735	31854829.699754268
8183.00681586739	31644795.452685628
8335.293965098195	31430852.432540473
8490.415204088747	31212927.89638672
8648.423275731726	30990947.747533977
8809.37190447399	30764836.51033986
8973.31581458352	30534517.30454737
9140.310748756232	30299911.81914487
9310.413487069076	30060940.28573953
9483.681866285926	29817521.451435074
9660.174799522645	29569572.551205054
9839.952296278227	29317009.279751763
10023.075482838643	29068086.004464988
10209.606623060476	28873453.284463644
10399.609139541202	28675198.416425176
10593.1476351837	28473253.99155827
10790.287915161836	28267551.346582532
10991.097009294961	28058020.54038226
11195.643194838794	27844590.330225665
11403.99601970033	27627188.147541653
11616.22632608502	27405740.0732456
11832.40627458378	27180170.812606193
12052.609368708414	26950403.669644337
12276.910479883603	26716360.521055676
12505.385872903913	26477961.789647963
12738.113231864783	26275777.445132088
12975.171686575868	26093159.7054509
13216.641839466038	25907143.418560736
13462.60579298911	25717665.33691977
13713.147177539455	25524661.035938647
13968.351179887397	25328064.892075434
14228.30457214352	25127810.06052291
14493.09574126215	24923828.45248063
14762.81471909391	24716050.712004002
15037.553212997384	24504406.19242247
15317.404637020798	24288822.932318952
15602.46414366368	24069227.63106213
15892.828656229764	23854533.742411986
16188.596901781993	23687249.259566452
16489.86944471065	23516851.58403073
16796.74872092653	23343282.778759114
17109.339072690134	23166483.82848762
17427.746784089173	22986394.61966818
17752.08011717636	22802953.920029327
18082.44934877952	22616099.357756685
18418.96680799711	22425767.400285725
18761.746914391195	22231893.33270012
19110.90621689136	22034411.235727917
19466.56343342263	21833253.963328272
19828.83949127071	21628353.119861186
20197.857568198782	21457020.14677374
20573.743134329114	21301718.12657564
20956.623994804308	21143525.9093561
21346.630333242454	20982389.70805672
21743.8947560008	20818254.734632894
22148.55233726359	20651065.181425106
22560.74066496859	20480764.20218382
22980.599887588487	20307293.89274113
23408.272761782944	20130595.27132266
23843.904700937208	19950608.25849331
24287.643824604504	19767271.656729344
24739.64100886812	19580523.129610714
25200.049937640895	19399451.082312796
25669.027154919517	19258553.938187737
26146.732118010917	19115034.67423603
26633.327251749808	18968844.492361516
27128.978003724646	18819933.68632718
27633.852900531667	18668251.624854494
28148.123605075813	18513746.734408174
28671.964974937695	18356366.48166073
29205.55512182745	18196057.35563047
29749.075472144435	18032764.84948721
30302.71082866393	17866433.442019463
30866.649433372742	17697006.57875642
31441.08303147265	17524426.65273908
32026.206936576502	17382064.570550792
32622.220097116733	17252389.03175803
33229.325163989684	17120300.209123295
33847.72855945983	16985753.191023603
34477.640547344636	16848702.23002311
35119.275304507275	16709100.727318352
35772.850993678774	16566901.21689422
36438.58983763541	16422055.349385029
37116.71819475767	16274513.875635065
37807.466635993485	16124226.629953576
38511.070023255685	15971142.513057668
39227.76758927723	15815209.474698141
39957.803018952654	15665284.564272352
40701.42453219439	15548540.22543714
41458.88496832911	15429623.254591465
42230.441872066716	15308493.21868392
43016.35758106799	15185108.93219712
43816.89931514194	15059428.443144249
44632.33926710397	14931409.01880481
45462.95469532399	14801007.131195143
46309.02801799736	14668178.442268405
47170.84690917023	14532877.788839126
48048.704396551344	14395059.167227324
48942.89896114532	14254675.717616681
49853.73463873894	14111679.708121693
50781.5211232767	13995230.784303263
51726.57387216024	13888509.610614853
52689.21421350677	13779802.337724863
53669.76945540476	13669072.003989205
54668.57299720181	13556280.959901296
55685.96444286408	13441390.855290834
56722.28971644549	13324362.62628433
57777.90117970507	13205156.482022975
58853.1577519145	13083731.891133271
59948.42503189408	12960047.567946
61064.07542232036	12834061.45845858
62200.48825634718	12705730.726036297
63358.04992658254	12583384.674072139
64537.15401646702	12487869.200948624
65738.20143409586	12390576.168617763
66961.60054853215	12291472.496400231
68207.76732865692	12190524.487979628
69477.1254846024	12087697.819945434
70770.10661181889	11982957.53012255
72087.15033782135	11876268.005683873
73428.70447166759	11767592.971041529
74795.22515621828	11656895.475512777
76187.17702322999	11544137.880756399
77605.0333513357	11429281.847975235
79049.2762269642	11312288.324880572
80520.39670825469	11218166.7381089
82018.8949920221	11131291.871909728
83545.28058382872	11042800.249668324
85100.07247122246	10952661.783279631
86683.79930019773	10860845.824693847
88296.99955494082	10767321.155495748
89940.22174092053	10672055.976290077
91614.0245713852	10575017.895889461
93318.9771573324	10476173.920300975
95055.65920101192	10375490.441507904
96824.66119303115	10272933.226042591
98626.5846131283	10168467.403346738
100462.04213468132	10069711.239766154
102331.65783302448	9992291.401359914
104236.06739764012	9913430.766587486
106175.9183482999	9833102.521983333
108151.87025522892	9751279.355078762
110164.59496336569	9667933.445115404
112214.77682079801	9583036.453585818
114303.11291144785	9496559.514598144
116430.31329208757	9408473.225061335
118597.10123376705	9318747.63468783
120804.21346773289	9227352.235810136
123052.40043592616	9134255.953007858
125342.42654613995	9039427.132541742
127675.07043192645	8964011.116639521
130051.12521734099	8893848.936638042
132471.39878661174	8822381.026528234
134936.71405883064	8749583.086450588
137447.90926775365	8675430.36432109
140005.8382468096	8599897.647415234
142611.37071941295	8522959.253795411
145265.39259467812	8444589.023578802
147968.80626863963	8364760.310042702
150722.53093107554	8283445.970564359
153527.5028780421	8200618.357392204
156384.67583022476	8116249.308245293
159295.0212572123	8037159.23579858
162259.5287078087	7974821.352581434
165279.2061464897	7911323.3507504435
