# Frequency (Hz)	Real Part (Ohm/m)
1000.0	23117644.20996714
1018.6101701559753	23132257.395482965
1037.566678745186	23147142.534867752
1056.875971184804	23162304.68922929
1076.5446128423157	23177749.013863433
1096.5792912678098	23193480.760006964
1116.9868184678226	23209505.276623067
1137.7741332214914	23225828.012220062
1158.9483034398106	23242454.516703933
1180.5165285688054	23259390.443265345
1202.4861420374123	23276641.550301813
1224.8646137509306	23294213.70337561
1247.6595526308697	23312112.87720813
1270.8787092020582	23321945.56290208
1294.529978227916	23323897.379828207
1318.6214013947485	23325885.520399436
1343.1611700460153	23327910.660605002
1368.1576279674719	23329973.489014372
1393.619274224142	23332074.707011443
1419.5547660501015	23334215.02903298
1445.9729217920194	23336395.18281153
1472.882723907502	23338615.909622855
1500.2933220192183	23340877.96453801
1528.2140360258693	23343182.11668005
1556.654359271062	23345529.14948551
1585.6239617711371	23347598.632158417
1615.132693503091	23337062.54206657
1645.1905877536624	23326330.373545334
1675.807864530767	23315398.477541782
1706.9949340384078	23304263.137093477
1738.7624002162504	23292920.566064678
1771.1210643450886	23281366.90785903
1804.0819287193826	23269598.23410826
1837.6562003881704	23257610.543336473
1871.8552949655793	23245399.75959964
1906.690840512252	23232961.73109973
1942.1746814890264	23220292.228773028
1978.3188827841643	23207386.944852244
2015.1357338155585	23189315.680692684
2052.6377527092523	23166630.368128806
2090.8376905557498	23143522.878038056
2129.748535745521	23119985.35362485
2169.3835183851843	23096009.791877255
2209.756114795903	23071588.040845968
2250.880052095462	23046711.796872456
2292.7693128656488	23021372.60176578
2335.438139906479	22995561.83992654
2378.9010410788933	22969270.735417627
2423.1727942376006	22942490.348980214
2468.2684522556924	22915211.57499434
2514.2033481427966	22887162.5188066
2560.9931002584594	22853555.415985078
2608.6536176225477	22819322.879261587
2657.2011053245064	22784453.269204803
2706.652070033241	22748934.729771595
2757.0233256095826	22712755.18427585
2808.3319988231724	22675902.331282247
2860.5955351757416	22638363.640423708
2913.831704832789	22600126.34814086
2968.0586086656026	22561177.453342315
3023.2946844057765	22521503.712984197
3079.5587129142264	22481091.637567278
3136.8698245668766	22439927.4865505
3195.2475057592133	22397228.984988425
3254.711605531848	22353132.77340617
3315.282342319423	22308215.923823133
3376.9803108250912	22262463.164026488
3439.8264890229243	22215858.937584925
3503.8422452906757	22168387.398559287
3569.0493456752292	22120032.406114835
3635.4699612933177	22070777.51903309
3703.126675869927	22020605.99012173
3772.0424934169973	21969500.760520358
3842.240846055061	21917444.453900237
3913.745601980384	21864419.37055622
3986.581073580439	21810590.707849003
4060.7720257003657	21758041.037678532
4136.343684063274	21704513.409204558
4213.321743847289	21649989.622456633
4291.732378422157	21594451.13875978
4371.602248248501	21537879.074431125
4452.958509942655	21480254.194359235
4535.828825510186	21421556.905463997
4620.241371751313	21361767.250034716
4706.224849841281	21300864.898944333
4793.808495089106	21238829.14473726
4883.02208687788	21175638.894588638
4973.895958790063	21111272.663132552
5066.461008921268	21049281.2397867
5160.7487103859075	20988667.847287595
5256.791122018419	20926926.429240353
5354.620899273607	20864035.99289758
5454.271305329836	20799975.154833287
5555.7762223988775	20734722.133672275
5659.170163246242	20668254.74268428
5764.488282925873	20600550.382240165
5871.766390733255	20531586.032127883
5981.040962380945	20461338.2437253
6092.349152400711	20389783.13202748
6205.7288067765	20316896.367525447
6321.218475812449	20243591.539915454
6438.8574272404185	20177446.159941155
6558.685659571435	20110069.803190503
6680.743915695614	20041439.560976233
6805.073696735206	19971532.098276503
6931.717276155407	19900323.64580077
7060.717714137772	19827789.99190791
7192.118872221193	19753906.474374063
7325.96542821523	19678647.97200721
7462.302891391108	19601988.896105614
7601.17761795533	19523903.181757484
7742.636826811269	19444364.278978605
7886.728615614156	19363345.14368496
8033.501977124735	19288426.7587765
8183.00681586739	19216972.258961197
8335.293965098195	19144187.978745908
8490.415204088747	19070049.17069114
8648.423275731726	18994530.626803312
8809.37190447399	18917606.669963792
8973.31581458352	18839251.145198442
9140.310748756232	18759437.410784524
9310.413487069076	18678138.329192393
9483.681866285926	18595326.257858295
9660.174799522645	18510973.039785706
9839.952296278227	18425049.993971586
10023.075482838643	18339396.088481344
10209.606623060476	18265346.693519898
10399.609139541202	18189919.2267183
10593.1476351837	18113088.04192508
10790.287915161836	18034827.01570957
10991.097009294961	17955109.53847961
11195.643194838794	17873908.50543399
11403.99601970033	17791196.30734656
11616.22632608502	17706944.821178745
11832.40627458378	17621125.400517453
12052.609368708414	17533708.865834966
12276.910479883603	17444665.494567588
12505.385872903913	17353965.01100966
12738.113231864783	17272523.743340462
12975.171686575868	17195849.32893536
