Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.402875025692943893e+02	2.746662405828989790e+02
1.032794731918951654e-10	2.462229895029082911e+02	2.809848023868992186e+02
1.066664958279539403e-10	2.523531291393185541e+02	2.875105797313749463e+02
1.101645949633656381e-10	2.586843050617305835e+02	2.942503681944254481e+02
1.137774133221491146e-10	2.652231102012498809e+02	3.012111862133122600e+02
1.175087130904807540e-10	2.719763537023899858e+02	3.084002823930650266e+02
1.213623798344240958e-10	2.789510680137333907e+02	3.158251430547724112e+02
1.253424265461399975e-10	2.861545162111285094e+02	3.234935000314159197e+02
1.294529978227915867e-10	2.935941995610493223e+02	3.314133387193674025e+02
1.336983741824946476e-10	3.012778653319925866e+02	3.395929063939315142e+02
1.380829765218092491e-10	3.092135148620488394e+02	3.480407207975958954e+02
1.426113707194128486e-10	3.174094118910459770e+02	3.567655790099295245e+02
1.472882723907502473e-10	3.258740911659444919e+02	3.657765666083674319e+02
1.521185517986104510e-10	3.346163673284432321e+02	3.750830671294212948e+02
1.571072389247450498e-10	3.436453440940525184e+02	3.846947718401665952e+02
1.622595287078087593e-10	3.529704237321923870e+02	3.946216898301848346e+02
1.675807864530767868e-10	3.626013168571879532e+02	4.048741584344672901e+02
1.730765534195724819e-10	3.725480525403577303e+02	4.154628539981344488e+02
1.787525525904235329e-10	3.828209887537258282e+02	4.263988029941837112e+02
1.846146946324547531e-10	3.934308231562318383e+02	4.376933935058376051e+02
1.906690840512252406e-10	4.043886042336724813e+02	4.493583870854555471e+02
1.969220255479172543e-10	4.157057428039743172e+02	4.614059310023533271e+02
2.033800305846981002e-10	4.273940238997787446e+02	4.738485708922874551e+02
2.100498241653915480e-10	4.394656190407136478e+02	4.866992638217762988e+02
2.169383518385184289e-10	4.519330989081294092e+02	4.999713917808602446e+02
2.240527869300018610e-10	4.648094464355021387e+02	5.136787756183564397e+02
2.314005380130653023e-10	4.781080703281302817e+02	5.278356894341136467e+02
2.389892566231049743e-10	4.918428190262081898e+02	5.424568754432582409e+02
2.468268452255692806e-10	5.060279951258136748e+02	5.575575593279097575e+02
2.549214654451423314e-10	5.206783702728288290e+02	5.731534660923512092e+02
2.632815465648021228e-10	5.358092005453023603e+02	5.892608364381657111e+02
2.719157943036017723e-10	5.514362423402728837e+02	6.058964436763902768e+02
2.808331998823172083e-10	5.675757687815957979e+02	6.230776111943014257e+02
2.900430493863991314e-10	5.842445866658606519e+02	6.408222304950171520e+02
2.995549334359813486e-10	6.014600539640456418e+02	6.591487798287035957e+02
3.093787571730138678e-10	6.192400978971344330e+02	6.780763434347879866e+02
3.195247505759212065e-10	6.376032336045155944e+02	6.976246314152124341e+02
3.300034791125284578e-10	6.565685834246120294e+02	7.178140002594295765e+02
3.408258547423451742e-10	6.761558968078076077e+02	7.386654740425055934e+02
3.520031472796679687e-10	6.963855708824175963e+02	7.602007663184127750e+02
3.635469961293320139e-10	7.172786716951120525e+02	7.824423027313046077e+02
3.754694224073336536e-10	7.388569561479146159e+02	8.054132443683228075e+02
3.877828414589456106e-10	7.611428946546174075e+02	8.291375118782524396e+02
4.005000757873611052e-10	7.841596945402098982e+02	8.536398103811441160e+02
