# Frequency (Hz)	Real Part (Ohm/m)
1000.0	11571231.41837911
1018.6101701559753	11635990.255212178
1037.566678745186	11701954.26501782
1056.875971184804	11769145.87627011
1076.5446128423157	11837587.934840862
1096.5792912678098	11907303.711767437
1116.9868184678226	11978316.911165172
1137.7741332214914	12050651.678287026
1158.9483034398106	12124332.607733205
1180.5165285688054	12199384.75181363
1202.4861420374123	12275833.629065959
1224.8646137509306	12353705.232932186
1247.6595526308697	12433026.04059669
1270.8787092020582	12503067.601036971
1294.529978227916	12564087.128103925
1318.6214013947485	12626242.238952424
1343.1611700460153	12689554.06698988
1368.1576279674719	12754044.138920002
1393.619274224142	12819734.38206211
1419.5547660501015	12886647.131806685
1445.9729217920194	12954805.139209606
1472.882723907502	13024231.57872779
1500.2933220192183	13094950.056098733
1528.2140360258693	13166984.616366716
1556.654359271062	13240359.752058402
1585.6239617711371	13314562.137153227
1615.132693503091	13368958.090986421
1645.1905877536624	13424366.362776242
1675.807864530767	13480805.791932117
1706.9949340384078	13538295.568468096
1738.7624002162504	13596855.239527637
1771.1210643450886	13656504.716029875
1804.0819287193826	13717264.27943953
1837.6562003881704	13779154.588662842
1871.8552949655793	13842196.687071811
1906.690840512252	13906412.009659156
1942.1746814890264	13971822.390326476
1978.3188827841643	14038450.069307977
2015.1357338155585	14094649.630177625
2052.6377527092523	14141762.130924238
2090.8376905557498	14189751.403326219
2129.748535745521	14238633.764253264
2169.3835183851843	14288425.834234787
2209.756114795903	14339144.543111086
2250.880052095462	14390807.135789663
2292.7693128656488	14443431.178108685
2335.438139906479	14497034.562809562
2378.9010410788933	14551635.515620658
2423.1727942376006	14607252.601454247
2468.2684522556924	14663904.730718778
2514.2033481427966	14720558.912875758
2560.9931002584594	14758089.213818228
2608.6536176225477	14796317.960047241
2657.2011053245064	14835258.149748428
2706.652070033241	14874923.02300586
2757.0233256095826	14915326.066303825
2808.3319988231724	14956481.017112385
2860.5955351757416	14998401.868558254
2913.831704832789	15041102.87418262
2968.0586086656026	15084598.552787477
3023.2946844057765	15128903.693372224
3079.5587129142264	15174033.360162038
3136.8698245668766	15220002.897729892
3195.2475057592133	15255636.790096968
3254.711605531848	15283149.005974218
3315.282342319423	15311173.228870308
3376.9803108250912	15339718.987322984
3439.8264890229243	15368795.987197697
3503.8422452906757	15398414.114987707
3569.0493456752292	15428583.441175586
3635.4699612933177	15459314.223657314
3703.126675869927	15490616.911230054
3772.0424934169973	15522502.14714486
3842.240846055061	15554980.772725506
3913.745601980384	15588063.83105464
3986.581073580439	15620420.648534935
4060.7720257003657	15636675.749663897
4136.343684063274	15653233.36099077
4213.321743847289	15670099.112281814
4291.732378422157	15687278.738074193
4371.602248248501	15704778.079625783
4452.958509942655	15722603.086901266
4535.828825510186	15740759.820595179
4620.241371751313	15759254.45419261
4706.224849841281	15778093.276068265
4793.808495089106	15797282.69162456
4883.02208687788	15816829.225469552
4973.895958790063	15836739.523635361
5066.461008921268	15847950.696729306
5160.7487103859075	15852943.485828957
5256.791122018419	15858029.191583304
5354.620899273607	15863209.543187104
5454.271305329836	15868486.302015716
5555.7762223988775	15873861.262224004
5659.170163246242	15879336.251356348
5764.488282925873	15884913.130968047
5871.766390733255	15890593.797258258
5981.040962380945	15896380.181714732
6092.349152400711	15902274.251770528
6205.7288067765	15908278.011472972
6321.218475812449	15913160.686201012
6438.8574272404185	15906935.99569072
6558.685659571435	15900595.462630862
6680.743915695614	15894136.931171885
6805.073696735206	15887558.205343494
6931.717276155407	15880857.048308026
7060.717714137772	15874031.181599889
7192.118872221193	15867078.284350852
7325.96542821523	15859995.992500933
7462.302891391108	15852781.89799459
7601.17761795533	15845433.547961967
7742.636826811269	15837948.443884868
7886.728615614156	15830324.040747259
8033.501977124735	15817072.331332834
8183.00681586739	15800071.508570332
8335.293965098195	15782754.297603428
8490.415204088747	15765114.810393805
8648.423275731726	15747147.049325744
8809.37190447399	15728844.905166887
8973.31581458352	15710202.154991014
9140.310748756232	15691212.460062189
9310.413487069076	15671869.363679534
9483.681866285926	15652166.288981851
9660.174799522645	15632096.536711449
9839.952296278227	15611653.282936309
10023.075482838643	15590168.673502784
10209.606623060476	15563615.009748708
10399.609139541202	15536567.177793905
10593.1476351837	15509015.981084075
10790.287915161836	15480952.051915474
10991.097009294961	15452365.848249797
11195.643194838794	15423247.65046979
11403.99601970033	15393587.55807446
11616.22632608502	15363375.486312814
11832.40627458378	15332601.16275492
12052.609368708414	15301254.123799175
12276.910479883603	15269323.711114576
12505.385872903913	15236799.068016771
12738.113231864783	15202634.22319487
12975.171686575868	15167239.636995202
13216.641839466038	15131186.35152376
13462.60579298911	15094462.10827501
13713.147177539455	15057054.420610555
13968.351179887397	15018950.56951352
14228.30457214352	14980137.599263974
14493.09574126215	14940602.313033825
14762.81471909391	14900331.268399762
15037.553212997384	14859310.772772703
15317.404637020798	14817526.878742145
15602.46414366368	14774965.379333898
15892.828656229764	14731902.310187189
16188.596901781993	14689699.299229331
16489.86944471065	14646710.883056464
16796.74872092653	14602922.44514388
17109.339072690134	14558319.096950877
17427.746784089173	14512885.67285848
17752.08011717636	14466606.725012949
18082.44934877952	14419466.518073376
18418.96680799711	14371449.02386147
18761.746914391195	14322537.91591182
19110.90621689136	14272716.563920707
19466.56343342263	14221968.028091632
19828.83949127071	14170275.053375619
20197.857568198782	14121100.055209182
20573.743134329114	14072799.138804825
20956.623994804308	14023599.334127493
21346.630333242454	13973483.91271347
21743.8947560008	13922435.834779497
22148.55233726359	13870437.743429039
22560.74066496859	13817471.958750764
22980.599887588487	13763520.471807182
23408.272761782944	13708564.938511403
23843.904700937208	13652586.673389982
24287.643824604504	13595566.64322962
24739.64100886812	13537485.460605672
25200.049937640895	13479749.324485675
25669.027154919517	13427723.355919415
26146.732118010917	13374729.175225612
26633.327251749808	13320748.763811823
27128.978003724646	13265763.767756533
27633.852900531667	13209755.491568629
28148.123605075813	13152704.891830714
28671.964974937695	13094592.57072419
29205.55512182745	13035398.769433709
29749.075472144435	12975103.361429028
30302.71082866393	12913685.845621768
30866.649433372742	12851125.339394769
31441.08303147265	12787400.571501844
32026.206936576502	12729825.002529692
32622.220097116733	12674542.954976575
33229.325163989684	12618232.099111937
33847.72855945983	12560873.288638018
34477.640547344636	12502447.020941239
35119.275304507275	12442933.430461047
35772.850993678774	12382312.281935416
36438.58983763541	12320562.963520687
37116.71819475767	12257664.479783231
37807.466635993485	12193595.444560876
38511.070023255685	12128334.073691301
39227.76758927723	12061858.177605227
39957.803018952654	11996666.261828465
40701.42453219439	11940439.039911477
41458.88496832911	11883165.419827221
42230.441872066716	11824825.92792775
43016.35758106799	11765400.72815721
43816.89931514194	11704869.61530739
44632.33926710397	11643212.008147707
45462.95469532399	11580406.942427373
46309.02801799736	11516433.063747324
47170.84690917023	11451268.620299494
48048.704396551344	11384891.45547099
48942.89896114532	11317279.000310555
49853.73463873894	11248408.265854923
50781.5211232767	11188348.12475104
51726.57387216024	11131280.276255745
52689.21421350677	11073150.385389524
53669.76945540476	11013938.687363133
54668.57299720181	10953625.049561247
55685.96444286408	10892188.964697143
56722.28971644549	10829609.543839991
57777.90117970507	10765865.509312434
58853.1577519145	10700935.187455893
59948.42503189408	10634796.501261316
61064.07542232036	10567426.962862767
62200.48825634718	10498803.665891284
63358.04992658254	10432306.20851473
64537.15401646702	10376401.081751889
65738.20143409586	10319455.551067397
66961.60054853215	10261450.254367247
68207.76732865692	10202365.469225554
69477.1254846024	10142181.106178747
70770.10661181889	10080876.701894915
72087.15033782135	10018431.412216045
73428.70447166759	9954824.005070815
74795.22515621828	9890032.853255427
76187.17702322999	9824035.927080156
77605.0333513357	9756810.786878994
79049.2762269642	9688334.575379929
80520.39670825469	9630232.955595335
82018.8949920221	9575234.665144205
83545.28058382872	9519212.847149499
85100.07247122246	9462148.453589462
86683.79930019773	9404022.081955427
88296.99955494082	9344813.968654733
89940.22174092053	9284503.982290892
91614.0245713852	9223071.616818722
93318.9771573324	9160495.98457203
95055.65920101192	9096755.80916161
96824.66119303115	9031829.418241031
98626.5846131283	8965694.736137798
100462.04213468132	8902316.596122194
102331.65783302448	8849831.816928664
104236.06739764012	8796370.28706374
106175.9183482999	8741913.829031233
108151.87025522892	8686443.927048644
110164.59496336569	8629941.720751628
112214.77682079801	8572387.998781238
114303.11291144785	8513763.192251869
116430.31329208757	8454047.368097628
118597.10123376705	8393220.222294865
120804.21346773289	8331261.072958617
123052.40043592616	8268148.8533105
125342.42654613995	8203862.104515813
127675.07043192645	8150532.283305512
130051.12521734099	8100030.475389352
132471.39878661174	8048588.820234696
134936.71405883064	7996189.827124505
137447.90926775365	7942815.679836533
140005.8382468096	7888448.2305856
142611.37071941295	7833068.993853156
145265.39259467812	7776659.1401020195
147968.80626863963	7719199.489374099
150722.53093107554	7660670.504769031
153527.5028780421	7601052.285801406
156384.67583022476	7540324.56163439
159295.0212572123	7482737.854741127
162259.5287078087	7435444.171409022
165279.2061464897	7387270.344582796
168355.08029612005	7338199.994642281
171488.19698705408	7288216.4371397495
174679.62151272455	7237302.6771271005
177930.43899185772	7185441.403377335
181241.75473742394	7132614.982498576
184614.69463245454	7078805.452938543
188050.40551285836	7023994.518877372
191550.0555573528	6968163.544006921
195114.83468466165	6911293.545194158
198745.9549580986	6853365.186026712
202444.65099768018	6806229.990514081
206212.18039991445	6761450.587196221
210049.8241653915	6715837.831563139
213958.88713434213	6669376.214786442
217940.6984302958	6622049.939415804
221996.61191199525	6573842.91400768
226128.00663372793	6524738.747653987
230336.2873142131	6474720.74440909
234622.88481422624	6423771.897612942
238989.25662310526	6371874.884108664
243436.8873543108	6319012.058352493
247967.289250216	6265165.446414064
252582.00269627848	6214617.9743036
257282.59674479323	6173259.031980736
262070.66964838552	6131130.392703767
266947.8494034318	6088217.732281422
271915.7943036019	6044506.459946764
276976.1935036891	5999981.713396228
282130.76759394706	5954628.353736235
287381.2691851069	5908430.960335818
292729.4835042813	5861373.825583468
298177.22900196735	5813440.949546314
303726.3579703311	5764616.034530048
309378.75717301364	5714882.479537479
315136.34848664823	5664223.374624031
321001.08955431683	5623700.496018611
326974.97445117676	5585003.829934094
333060.03436245886	5545587.01230928
339258.33827409917	5505436.641001462
345571.9936762143	5464539.064451775
352003.1472796675	5422880.377043541
358553.9857459817	5380446.414374154
365226.7364308175	5337222.748439103
372023.6681413066	5293194.682726236
378947.09190746717	5248347.247218809
385999.36176797637	5202665.19330554
393182.87557057705	5156132.98859586
400500.07578736113	5112878.027267942
407953.45034524484	5077502.971824576
415545.53347188793	5041469.580580127
423278.90655735444	5004765.60179333
431156.19903182285	4967378.555715902
439180.0892596086	4929295.730349347
447353.3054498463	4890504.177122701
455678.6265841068	4850990.706489888
464158.8833612772	4810741.883445154
472796.9591600391	4769744.02295497
481595.79101923504	4727983.1853050385
490558.37063650455	4685445.171360585
499687.7453854889	4642115.517738523
508987.0193519675	4607986.744454885
518459.3543892913	4575182.50090533
528107.971193433	4541767.764801484
537936.1503980698	4507731.174773027
547947.2336900292	4473061.158012609
558144.6249454955	4437745.926340976
568531.7913873753	4401773.472198828
579112.2647641759	4365131.564564171
589889.6425508494	4327807.744793594
600867.5891719692	4289789.322386211
612049.837247669	4251063.370668774
623440.1888627863	4211616.722400414
635042.5168595961	4175297.5751624396
646860.7661546321	4145540.537413269
658898.9550799957	4115229.7161282455
671161.1767496272	4084354.805301548
683651.6004510238	4052905.307130807
696374.4730628222	4020870.528447792
709334.1204987989	3988239.577082577
722534.9491787221	3955001.3581601013
735981.4475265755	3921144.5703278035
749678.1874966878	3886657.7019130043
763629.8261282243	3851529.0270088627
777841.1071286482	3815746.6014874014
792316.8624866261	3779298.258938388
807062.0141149492	3750996.2038063705
822081.575524054	3723587.2783443797
837380.6535266489	3695668.268115752
852964.4499741016	3667229.680356183
868838.2635251193	3638261.845639409
885007.4914473438	3608754.91458951
901477.6314524917	3578698.8545319904
918254.2835656281	3548083.4460825827
935343.1520292377	3516898.2796725375
952750.0472427299	3485132.752009255
970480.8877380306	3452776.062471067
988541.7021919573	3419817.2094348907
1006938.6314760271	3389755.231399472
1025677.9307444209	3365038.411453523
1044765.9715608053	3339861.6072826628
1064209.2440647245	3314216.2585022026
1084014.359178331	3288093.6454172274
1104188.0508541602	3261484.886057823
1124737.1783647507	3234380.9331591004
1145668.7286348727	3206772.5710850293
1166989.8186171474	3178650.4126950367
1188707.6977119034	3150004.8961522514
1210829.7502320393	3120826.2816724004
1233363.4979137746	3091104.648212163
1256316.6024741214	3060829.8900959133
1279696.8682159416	3037634.467505933
1303512.2446815087	3014985.1356649133
1327770.829355429	2991914.2959044133
1352480.8704178738	2968414.1038903296
1377650.769549055	2944476.569304162
1403289.084785873	2920093.553126235
1429404.533431761	2895256.76486832
1456005.9950206485	2869957.759754798
1483102.514336103	2844187.9358513355
1510703.3044866556	2817938.531140138
1538817.7500383465	2791200.620540775
1567455.410205595	2763965.1128755426
1596626.022101425	2739352.4842289374
1626339.5040481905	2719019.9091382185
1656605.9589499151	2698308.9413653505
1687435.6777273756	2677212.5389581365
1718839.1428171454	2655723.5289124455
1750827.0317357269	2633834.604733318
1783410.220710006	2611538.3239506907
1816599.7883753285	2588827.1055888482
1850407.019542302	2565693.227588845
1884843.4090337954	2542128.824182894
1919920.6655932867	2518125.8832199317
1955650.715865947	2493676.2434414104
1992045.7084538713	2468771.5917063523
2029118.0180466783	2449932.372671221
2066880.2496290822	2431374.402902232
2105345.242766708	2412471.066158091
2144526.0759716653	2393215.9351006304
2184436.0711494284	2373602.46277781
2225088.7981283693	2353623.9803977152
2266498.079273693	2333273.6950610685
2308677.994187172	2312544.6874515815
2351642.884494346	2291429.909483323
2395407.358720879	2269922.181904264
2439986.29725955	2248014.1918552923
2485394.857429798	2225698.4903837345
2531648.478631358	2205715.8902012035
2578762.8875937983	2189114.282578526
2626754.1037238385	2172203.7162131243
2675638.4445520453	2154978.4413302303
2725432.531281028	2137432.6011507823
2776153.2944368036	2119560.229900063
2827817.979625338	2101355.2507792814
2880444.1533962977	2082811.473899372
2934049.709215787	2063922.5941763946
2988652.873550383	2044682.1891877172
3044272.2120643063	2025083.7169883281
3100926.6359319235	2005120.513886516
3158635.408267819	1984785.7921781167
3217418.1506763715	1969591.1886760327
3277294.849923382	1954485.1173769527
3338285.8647317644	1939097.9195206065
3400411.9327037027	1923424.3632939337
3463694.1773717343	1907459.11951893
3528154.1153808828	1891196.7598406936
3593813.6638046256	1874631.754881707
3660695.147596906	1857758.4723617975
3728821.30718283	1840571.1751831067
3798215.306190736	1823064.0194793951
3868900.7393279755	1805231.052629092
3940901.6404034477	1787066.2112313195
4014242.490499326	1770947.821503971
4088948.226294856	1757470.8562405375
4165044.248545185	1743743.0823603624
4242556.430717777	1729759.8322724155
4321511.127789762	1715516.351520999
4401935.1852088785	1701007.7971691834
4483855.948021181	1686229.2361521667
4567301.270168747	1671175.6435999593
4652299.523960189	1655841.9011288984
4738879.609717651	1640222.7951013232
4827070.965603188	1624313.0148528889
4916903.577628021	1608107.1508868902
5008407.989848212	1591599.6930349562
5101615.314749833	1579411.0800295589
