# Frequency (Hz)	Real Part (Ohm/m)
1000.0	10699859.321777884
1018.6101701559753	10722431.346608538
1037.566678745186	10745423.440662052
1056.875971184804	10768843.421498146
1076.5446128423157	10792699.252162648
1096.5792912678098	10816999.043895034
1116.9868184678226	10841751.058886306
1137.7741332214914	10866963.71308827
1158.9483034398106	10892645.579075027
1180.5165285688054	10918805.388957707
1202.4861420374123	10945452.03735356
1224.8646137509306	10972594.584410137
1247.6595526308697	11000242.25888592
1270.8787092020582	11023467.157366984
1294.529978227916	11042384.318970427
1318.6214013947485	11061653.532170175
1343.1611700460153	11081281.34870634
1368.1576279674719	11101274.442248037
1393.619274224142	11121639.610662486
1419.5547660501015	11142383.778326387
1445.9729217920194	11163513.998480255
1472.882723907502	11185037.455626622
1500.2933220192183	11206961.46797282
1528.2140360258693	11229293.489919292
1556.654359271062	11252041.114594111
1585.6239617711371	11274985.185293753
1615.132693503091	11289425.446361693
1645.1905877536624	11304134.443145204
1675.807864530767	11319117.176861677
1706.9949340384078	11334378.74180202
1738.7624002162504	11349924.327062747
1771.1210643450886	11365759.218310362
1804.0819287193826	11381888.79957848
1837.6562003881704	11398318.55509855
1871.8552949655793	11415054.071164465
1906.690840512252	11432101.03803202
1942.1746814890264	11449465.251853619
1978.3188827841643	11467152.616649063
2015.1357338155585	11480635.13336133
2052.6377527092523	11490431.073203638
2090.8376905557498	11500409.317153249
2129.748535745521	11510573.257920625
2169.3835183851843	11520926.351355135
2209.756114795903	11531472.117620096
2250.880052095462	11542214.142389683
2292.7693128656488	11553156.07806805
2335.438139906479	11564301.64503122
2378.9010410788933	11575654.632892063
2423.1727942376006	11587218.901788779
2468.2684522556924	11598998.383697387
2514.2033481427966	11610620.137105497
2560.9931002584594	11615229.76383214
2608.6536176225477	11619925.176496519
2657.2011053245064	11624707.97158954
2706.652070033241	11629579.77531306
2757.0233256095826	11634542.244132845
2808.3319988231724	11639597.065341756
2860.5955351757416	11644745.957633471
2913.831704832789	11649990.671686856
2968.0586086656026	11655332.99076119
3023.2946844057765	11660774.731302526
3079.5587129142264	11666317.743561273
3136.8698245668766	11671963.912221346
3195.2475057592133	11674045.373315528
3254.711605531848	11673284.862807496
3315.282342319423	11672510.199069504
3376.9803108250912	11671721.118707528
3439.8264890229243	11670917.353425758
3503.8422452906757	11670098.62993532
3569.0493456752292	11669264.669861414
3635.4699612933177	11668415.189648641
3703.126675869927	11667549.900464553
3772.0424934169973	11666668.508101517
3842.240846055061	11665770.712876637
3913.745601980384	11664856.20952985
3986.581073580439	11663530.14199374
4060.7720257003657	11657268.205766136
4136.343684063274	11650889.73383983
4213.321743847289	11644392.55746564
4291.732378422157	11637774.467533594
4371.602248248501	11631033.213821804
4452.958509942655	11624166.504231375
4535.828825510186	11617172.004007049
4620.241371751313	11610047.334943393
4706.224849841281	11602790.07457617
4793.808495089106	11595397.755358636
4883.02208687788	11587867.863822618
4973.895958790063	11580197.83972386
5066.461008921268	11570113.895819927
5160.7487103859075	11558232.863858186
5256.791122018419	11546130.723870007
5354.620899273607	11533803.36099739
5454.271305329836	11521246.583804144
5555.7762223988775	11508456.122850724
5659.170163246242	11495427.629242588
5764.488282925873	11482156.67315152
5871.766390733255	11468638.742309472
5981.040962380945	11454869.240474287
6092.349152400711	11440843.485866997
6205.7288067765	11426556.709579898
6321.218475812449	11411776.165048102
6438.8574272404185	11394650.532638445
6558.685659571435	11377206.189295614
6680.743915695614	11359437.203754915
6805.073696735206	11341337.534369813
6931.717276155407	11322901.027057685
7060.717714137772	11304121.413207388
7192.118872221193	11284992.307547875
7325.96542821523	11265507.205977106
7462.302891391108	11245659.483350605
7601.17761795533	11225442.39122881
7742.636826811269	11204849.05558258
7886.728615614156	11183872.474455882
8033.501977124735	11162142.401026754
8183.00681586739	11139776.074655522
8335.293965098195	11116993.507144751
8490.415204088747	11093786.952176023
8648.423275731726	11070148.519270588
8809.37190447399	11046070.171106562
8973.31581458352	11021543.720786132
9140.310748756232	10996560.829051912
9310.413487069076	10971113.001451539
9483.681866285926	10945191.585449412
9660.174799522645	10918787.76748481
9839.952296278227	10891892.569975115
10023.075482838643	10864642.821684418
10209.606623060476	10837917.2400819
10399.609139541202	10810694.290858243
10593.1476351837	10782964.71791738
10790.287915161836	10754719.092905737
10991.097009294961	10725947.81200647
11195.643194838794	10696641.092674054
11403.99601970033	10666788.970308157
11616.22632608502	10636381.29486551
11832.40627458378	10605407.727408828
12052.609368708414	10573857.73659144
12276.910479883603	10541720.595076518
12505.385872903913	10508985.375889674
12738.113231864783	10477519.993840624
12975.171686575868	10446547.404197052
13216.641839466038	10414998.409390047
13462.60579298911	10382862.282421427
13713.147177539455	10350128.096661769
13968.351179887397	10316784.722135207
14228.30457214352	10282820.821735129
14493.09574126215	10248224.847369442
14762.81471909391	10212985.036034103
15037.553212997384	10177089.405813554
15317.404637020798	10140525.751806738
15602.46414366368	10103281.641977329
15892.828656229764	10066040.780250056
16188.596901781993	10032089.527472861
16489.86944471065	9997506.436104497
16796.74872092653	9962279.747521237
17109.339072690134	9926397.484269418
17427.746784089173	9889847.445992893
17752.08011717636	9852617.205284838
18082.44934877952	9814694.103462255
18418.96680799711	9776065.24626191
18761.746914391195	9736717.499456143
19110.90621689136	9696637.484387068
19466.56343342263	9655811.573417686
19828.83949127071	9614225.885298409
20197.857568198782	9576011.958189877
20573.743134329114	9539218.362608302
20956.623994804308	9501740.0319523
21346.630333242454	9463564.223185627
21743.8947560008	9424677.956121963
22148.55233726359	9385068.009011509
22560.74066496859	9344720.91404547
22980.599887588487	9303622.952776806
23408.272761782944	9261760.151455868
23843.904700937208	9219118.276279144
24287.643824604504	9175682.828549616
24739.64100886812	9131439.039747039
25200.049937640895	9087708.263201335
25669.027154919517	9049522.215673037
26146.732118010917	9010625.519302662
26633.327251749808	8971004.948794328
27128.978003724646	8930647.032727154
27633.852900531667	8889538.048974829
28148.123605075813	8847664.020039931
28671.964974937695	8805010.708301442
29205.55512182745	8761563.611173786
29749.075472144435	8717307.956175797
30302.71082866393	8672228.695907937
30866.649433372742	8626310.502935981
31441.08303147265	8579537.76457956
32026.206936576502	8537988.123963257
32622.220097116733	8498460.670735762
33229.325163989684	8458197.604877884
33847.72855945983	8417185.236513374
34477.640547344636	8375409.620995107
35119.275304507275	8332856.554163674
35772.850993678774	8289511.567517847
36438.58983763541	8245359.923295139
37116.71819475767	8200386.609460771
37807.466635993485	8154576.334603474
38511.070023255685	8107913.522736188
39227.76758927723	8060382.308000098
39957.803018952654	8013918.546704422
40701.42453219439	7974470.5464550955
41458.88496832911	7934288.412208824
42230.441872066716	7893358.4816069985
43016.35758106799	7851666.838032194
43816.89931514194	7809199.3058763845
44632.33926710397	7765941.445721053
45462.95469532399	7721878.549427643
46309.02801799736	7676995.635136652
47170.84690917023	7631277.442173603
48048.704396551344	7584708.425860292
48942.89896114532	7537272.752229396
49853.73463873894	7488954.292640765
50781.5211232767	7447209.459031708
51726.57387216024	7407731.0148400925
52689.21421350677	7367517.870084586
53669.76945540476	7326556.3518626755
54668.57299720181	7284832.5328168
55685.96444286408	7242332.226398933
56722.28971644549	7199040.982046937
57777.90117970507	7154944.080271295
58853.1577519145	7110026.527650257
59948.42503189408	7064273.051731948
61064.07542232036	7017668.095841573
62200.48825634718	6970195.813791962
63358.04992658254	6924285.4289757265
64537.15401646702	6886021.645121727
65738.20143409586	6847045.7657393925
66961.60054853215	6807344.538609778
68207.76732865692	6766904.46488787
69477.1254846024	6725711.794512888
70770.10661181889	6683752.521533044
72087.15033782135	6641012.379343429
73428.70447166759	6597476.835835168
74795.22515621828	6553131.088454386
76187.17702322999	6507960.059169155
77605.0333513357	6461948.389342806
79049.2762269642	6415080.434511829
80520.39670825469	6375537.866708542
82018.8949920221	6338204.203162634
83545.28058382872	6300175.753785589
85100.07247122246	6261439.588494872
86683.79930019773	6221982.536576903
88296.99955494082	6181791.182208885
89940.22174092053	6140851.859897283
91614.0245713852	6099150.649831394
93318.9771573324	6056673.373150463
95055.65920101192	6013405.587122743
96824.66119303115	5969332.580234773
98626.5846131283	5924439.367189325
100462.04213468132	5881474.499880028
102331.65783302448	5846078.353540947
104236.06739764012	5810023.478895629
106175.9183482999	5773297.616898208
108151.87025522892	5735888.280359887
110164.59496336569	5697782.749703168
112214.77682079801	5658968.068637046
114303.11291144785	5619431.039751726
116430.31329208757	5579158.220031399
118597.10123376705	5538135.916283407
120804.21346773289	5496350.180482479
123052.40043592616	5453786.805028202
125342.42654613995	5410431.317914309
127675.07043192645	5374598.657259678
130051.12521734099	5340717.645086211
132471.39878661174	5306206.101511148
134936.71405883064	5271052.2922378015
137447.90926775365	5235244.264592251
140005.8382468096	5198769.843459266
142611.37071941295	5161616.627142652
145265.39259467812	5123771.983148548
147968.80626863963	5085223.043890221
150722.53093107554	5045956.702312966
153527.5028780421	5005959.607437553
156384.67583022476	4965218.159820761
159295.0212572123	4926620.777831796
162259.5287078087	4895027.448541267
165279.2061464897	4862846.162016852
168355.08029612005	4830065.976274381
171488.19698705408	4796675.7456974955
174679.62151272455	4762664.117248027
177930.43899185772	4728019.526605829
181241.75473742394	4692730.194236799
184614.69463245454	4656784.121387695
188050.40551285836	4620169.086006421
191550.0555573528	4582872.638586439
195114.83468466165	4544882.09793376
198745.9549580986	4506184.54685521
202444.65099768018	4474779.09073444
206212.18039991445	4444971.218629371
210049.8241653915	4414608.6169524435
213958.88713434213	4383680.962091928
217940.6984302958	4352177.738311931
221996.61191199525	4320088.234176936
226128.00663372793	4287401.538909758
230336.2873142131	4254106.538681826
234622.88481422624	4220191.912834309
238989.25662310526	4185646.130028989
243436.8873543108	4150457.4443274974
247967.289250216	4114613.891197529
252582.00269627848	4080990.7004159675
257282.59674479323	4053541.522292669
262070.66964838552	4025581.510293851
266947.8494034318	3997101.1577141816
271915.7943036019	3968090.7809268925
276976.1935036891	3938540.516091308
282130.76759394706	3908440.3157989783
287381.2691851069	3877779.9456574772
292729.4835042813	3846548.9808106027
298177.22900196735	3814736.8023937857
303726.3579703311	3782332.5939236046
309378.75717301364	3749325.337620023
315136.34848664823	3715703.810660247
321001.08955431683	3688861.2779659815
326974.97445117676	3663243.7890184256
333060.03436245886	3637149.55424259
339258.33827409917	3610569.701317486
345571.9936762143	3583495.1928067203
352003.1472796675	3555916.823085688
358553.9857459817	3527825.2152115167
365226.7364308175	3499210.8177348543
372023.6681413066	3470063.9014522415
378947.09190746717	3440374.5560980826
385999.36176797637	3410132.686975072
393182.87557057705	3379328.011521838
400500.07578736113	3350709.1333221397
407953.45034524484	3327341.150934085
415545.53347188793	3303538.2864175835
423278.90655735444	3279292.446542236
431156.19903182285	3254595.3874612264
439180.0892596086	3229438.7119083707
447353.3054498463	3203813.8663429194
455678.6265841068	3177712.13804127
464158.8833612772	3151124.6521345666
472796.9591600391	3124042.3685911177
481595.79101923504	3096456.0791427116
490558.37063650455	3068356.404153701
499687.7453854889	3039733.7894318136
508987.0193519675	3017222.296624634
518459.3543892913	2995592.88317715
528107.971193433	2973560.9426650344
537936.1503980698	2951118.983991123
547947.2336900292	2928259.3766476554
558144.6249454955	2904974.3481218293
568531.7913873753	2881255.981253049
579112.2647641759	2857096.2115410175
589889.6425508494	2832486.8244037195
600867.5891719692	2807419.452384359
612049.837247669	2781885.5723063573
623440.1888627863	2755876.5023753596
635042.5168595961	2731940.4933229038
646860.7661546321	2712351.9247211902
658898.9550799957	2692398.8095246837
671161.1767496272	2672074.3634592323
683651.6004510238	2651371.6759941736
696374.4730628222	2630283.7079927046
709334.1204987989	2608803.2893184866
722534.9491787221	2586923.116397716
735981.4475265755	2564635.749735853
749678.1874966878	2541933.6113880784
763629.8261282243	2518808.982382751
777841.1071286482	2495254.00009684
792316.8624866261	2471260.6555825644
807062.0141149492	2452651.387091886
822081.575524054	2434633.9121542014
837380.6535266489	2416281.128942147
852964.4499741016	2397586.797311678
868838.2635251193	2378544.5609886134
885007.4914473438	2359147.9454074283
901477.6314524917	2339390.3555098292
918254.2835656281	2319265.0735023622
935343.1520292377	2298765.2565722987
952750.0472427299	2277883.9345609993
970480.8877380306	2256614.0075939894
988541.7021919573	2234948.243666919
1006938.6314760271	2215194.158519158
1025677.9307444209	2198966.3323010853
1044765.9715608053	2182436.503475832
1064209.2440647245	2165599.051723493
1084014.359178331	2148448.2521290495
1104188.0508541602	2130978.2732358426
1124737.1783647507	2113183.175062812
1145668.7286348727	2095056.9070848366
1166989.8186171474	2076593.3061754997
1188707.6977119034	2057786.0945115492
1210829.7502320393	2038628.877438373
1233363.4979137746	2019115.14129575
1256316.6024741214	1999238.251203131
1279696.8682159416	1984023.2742109161
1303512.2446815087	1969168.881133659
1327770.829355429	1954038.0452736705
1352480.8704178738	1938625.6219837256
1377650.769549055	1922926.3708738375
1403289.084785873	1906934.9540294746
1429404.533431761	1890645.9341966026
1456005.9950206485	1874053.7729329667
1483102.514336103	1857152.8287249599
1510703.3044866556	1839937.3550694427
1538817.7500383465	1822401.4985198837
1567455.410205595	1804539.2966961055
1596626.022101425	1788402.2770694504
1626339.5040481905	1775079.9405506954
1656605.9589499151	1761509.673082451
1687435.6777273756	1747686.860627561
1718839.1428171454	1733606.8032808523
1750827.0317357269	1719264.7136711134
1783410.220710006	1704655.7153333481
1816599.7883753285	1689774.8410507045
1850407.019542302	1674617.0311655935
1884843.4090337954	1659177.131859329
1919920.6655932867	1643449.8933997818
1955650.715865947	1627429.9683564221
1992045.7084538713	1611111.909782116
2029118.0180466783	1598777.1425054346
2066880.2496290822	1586627.7046746414
2105345.242766708	1574252.1637385192
2144526.0759716653	1561646.311879803
2184436.0711494284	1548805.862973035
2225088.7981283693	1535726.451127233
2266498.079273693	1522403.6292014406
2308677.994187172	1508832.8672926503
2351642.884494346	1495009.5511955936
2395407.358720879	1480928.9808338478
2439986.29725955	1466586.3686617783
2485394.857429798	1451976.8380367064
2531648.478631358	1438898.0829747522
2578762.8875937983	1428037.4193221517
2626754.1037238385	1416974.6368709675
2675638.4445520453	1405705.9741559695
2725432.531281028	1394227.5997104151
2776153.2944368036	1382535.6107633137
2827817.979625338	1370626.031912448
2880444.1533962977	1358494.813772678
2934049.709215787	1346137.8315991298
2988652.873550383	1333550.8838847168
3044272.2120643063	1320729.6909315938
3100926.6359319235	1307669.893396013
3158635.408267819	1294367.050806089
3217418.1506763715	1284432.7502917931
3277294.849923382	1274556.8746161428
3338285.8647317644	1264497.2072137287
3400411.9327037027	1254250.3276892446
3463694.1773717343	1243812.7519932394
3528154.1153808828	1233180.931237519
3593813.6638046256	1222351.2504884652
3660695.147596906	1211320.027537936
3728821.30718283	1200083.5116512706
3798215.306190736	1188637.882291992
3868900.7393279755	1176979.2478227962
3940901.6404034477	1165103.6441823419
4014242.490499326	1154568.1927142793
4088948.226294856	1145762.4343747566
4165044.248545185	1136792.799374182
4242556.430717777	1127656.23794001
4321511.127789762	1118349.643542908
4401935.1852088785	1108869.8518405012
4483855.948021181	1099213.6396014723
4567301.270168747	1089377.7236096112
4652299.523960189	1079358.759547502
4738879.609717651	1069153.3408594106
4827070.965603188	1058757.9975930194
4916903.577628021	1048169.1952196135
5008407.989848212	1037383.333432288
5101615.314749833	1029423.2145319898
5196557.243827657	1021433.9615840951
5293266.058360566	1013296.0272794194
5391774.640387494	1005006.644632618
5492116.483887789	996562.9951642695
5594325.706169377	987962.2079425788
5698437.0594691355	979201.358607217
5804485.942768984	970277.4683750125
5912508.413831869	961187.5030271349
6022541.201461928	951928.3718774194
6134621.717992506	942496.9267215125
6248788.072006888	932889.9607664372
6365079.081295578	924443.6424050961
6483534.286054714	917334.2774483819
6604193.962330305	910092.6060001206
6727099.135712336	902716.1658139945
6852291.595284057	895202.4488208591
6979813.907830667	887548.9002759769
7109709.432312423	879752.9178903791
7242022.334607315	871811.8509460507
7376797.60252773	863722.9993946692
7514081.061116962	855483.6129395496
7653919.388230155	847090.8901005192
7796360.130405221	838541.9772613834
7941451.71902934	829833.9676996617
8089243.486805938	823481.2570904449
8239785.684528512	817042.4814749594
8393129.498166373	810483.8791496729
8549327.066268368	803803.2201191292
8708431.497690724	796998.2328872709
8870496.889654402	790066.6036851193
9035578.34613892	783005.975684058
9203731.99661823	775813.9481944882
9375015.01514529	768488.0758495709
