# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	118916777.42046839
1018.6101701559753	118510673.16239868
1037.566678745186	118097011.23498526
1056.875971184804	117675650.98871556
1076.5446128423157	117246449.15656579
1096.5792912678098	116809259.80528855
1116.9868184678226	116363934.28579363
1137.7741332214914	115910321.1826061
1158.9483034398106	115448266.26238325
1180.5165285688054	114977612.42147371
1202.4861420374123	114498199.63250022
1224.8646137509306	114009864.889949
1247.6595526308697	113512442.15474582
1270.8787092020582	113052321.72871482
1294.529978227916	112628336.79889613
1318.6214013947485	112196461.43738995
1343.1611700460153	111756548.80192003
1368.1576279674719	111308449.31745012
1393.619274224142	110852010.62532753
1419.5547660501015	110387077.53147866
1445.9729217920194	109913491.95364225
1472.882723907502	109431092.86761884
1500.2933220192183	108939716.25252141
1528.2140360258693	108439195.0350064
1556.654359271062	107929359.03246671
1585.6239617711371	107412470.00046626
1615.132693503091	106981811.26307164
1645.1905877536624	106543137.89329505
1675.807864530767	106096300.73746395
1706.9949340384078	105641147.86613077
1738.7624002162504	105177524.5224152
1771.1210643450886	104705273.06938471
1804.0819287193826	104224232.9364571
1837.6562003881704	103734240.5648037
1871.8552949655793	103235129.35173869
1906.690840512252	102726729.59407184
1942.1746814890264	102208868.43040751
1978.3188827841643	101681369.78237022
2015.1357338155585	101200122.17944682
2052.6377527092523	100758609.70688784
2090.8376905557498	100308880.61208858
2129.748535745521	99850781.98231095
2169.3835183851843	99384158.05908503
2209.756114795903	98908850.18524894
2250.880052095462	98424696.75100431
2292.7693128656488	97931533.13896681
2335.438139906479	97429191.66819459
2378.9010410788933	96917501.53717484
2423.1727942376006	96396288.76574963
2468.2684522556924	95865376.13596085
2514.2033481427966	95330059.2886292
2560.9931002584594	94889792.05339669
2608.6536176225477	94441331.37000246
2657.2011053245064	93984524.75698207
2706.652070033241	93519216.8951649
2757.0233256095826	93045249.57486448
2808.3319988231724	92562461.64208479
2860.5955351757416	92070688.9437269
2913.831704832789	91569764.2717745
2968.0586086656026	91059517.30644177
3023.2946844057765	90539774.55826256
3079.5587129142264	90010359.30910243
3136.8698245668766	89471091.55207224
3195.2475057592133	88986375.88501087
3254.711605531848	88543339.84926566
3315.282342319423	88092058.8375101
3376.9803108250912	87632379.40933749
3439.8264890229243	87164145.2687894
3503.8422452906757	86687197.21121292
3569.0493456752292	86201373.0691294
3635.4699612933177	85706507.6570958
3703.126675869927	85202432.7155399
3772.0424934169973	84688976.85355039
3842.240846055061	84165965.49060157
3913.745601980384	83633220.79719484
3986.581073580439	83099410.2061937
4060.7720257003657	82665809.9226773
4136.343684063274	82224140.26410499
4213.321743847289	81774251.05803382
4291.732378422157	81315989.33728643
4371.602248248501	80849199.2879399
4452.958509942655	80373722.19634794
4535.828825510186	79889396.39517619
4620.241371751313	79396057.20843367
4706.224849841281	78893536.89548127
4793.808495089106	78381664.59399804
4883.02208687788	77860266.26188603
4973.895958790063	77329164.61809441
5066.461008921268	76859270.29509327
5160.7487103859075	76431008.4723539
5256.791122018419	75994776.62422207
5354.620899273607	75550426.42716902
5454.271305329836	75097806.7973399
5555.7762223988775	74636763.8391838
5659.170163246242	74167140.79312724
5764.488282925873	73688777.98227435
5871.766390733255	73201512.75811523
5981.040962380945	72705179.44522335
6092.349152400711	72199609.2849245
6205.7288067765	71684630.37791675
6321.218475812449	71172228.41493455
6438.8574272404185	70760752.58744015
6558.685659571435	70341619.12478103
6680.743915695614	69914685.51706375
6805.073696735206	69479806.60226154
6931.717276155407	69036834.51685761
7060.717714137772	68585618.64557
7192.118872221193	68126005.57014059
7325.96542821523	67657839.01717158
7462.302891391108	67180959.80499046
7601.17761795533	66695205.78952679
7742.636826811269	66200411.809181415
7886.728615614156	65696409.62866965
8033.501977124735	65257740.38929608
8183.00681586739	64858612.18590249
8335.293965098195	64452056.138729654
8490.415204088747	64037934.014341004
8648.423275731726	63616105.00675212
8809.37190447399	63186425.689555295
8973.31581458352	62748749.96715292
9140.310748756232	62302929.02508353
9310.413487069076	61848811.27942307
9483.681866285926	61386242.32524506
9660.174799522645	60915064.884120926
9839.952296278227	60435118.750643805
10023.075482838643	59961228.00697451
10209.606623060476	59584401.788698845
10399.609139541202	59200562.77038179
10593.1476351837	58809580.44262142
10790.287915161836	58411321.86721341
10991.097009294961	58005651.631951
11195.643194838794	57592431.8045831
11403.99601970033	57171521.88591609
11616.22632608502	56742778.76204239
11832.40627458378	56306056.655680165
12052.609368708414	55861207.07660767
12276.910479883603	55408078.77117477
12505.385872903913	54946517.67087535
12738.113231864783	54551378.950723365
12975.171686575868	54191935.46396748
13216.641839466038	53825802.67276165
13462.60579298911	53452856.08801173
13713.147177539455	53072968.903860554
13968.351179887397	52686011.954572275
14228.30457214352	52291853.67061468
14493.09574126215	51890360.033924274
14762.81471909391	51481394.532338426
15037.553212997384	51064818.11318022
15317.404637020798	50640489.135978505
15602.46414366368	50208263.324308984
15892.828656229764	49784977.34591696
16188.596901781993	49450946.80635774
16489.86944471065	49110699.90162007
16796.74872092653	48764120.94409021
17109.339072690134	48411092.09318822
17427.746784089173	48051493.31530099
17752.08011717636	47685202.34296933
18082.44934877952	47312094.63331601
18418.96680799711	46932043.32569959
18761.746914391195	46544919.198580384
19110.90621689136	46150590.62558402
19466.56343342263	45748923.530746795
19828.83949127071	45339781.34292862
20197.857568198782	44995150.33678843
20573.743134329114	44681188.939546324
20956.623994804308	44361384.66727911
21346.630333242454	44035628.783088334
21743.8947560008	43703810.526463516
22148.55233726359	43365817.075622045
22560.74066496859	43021533.509148814
22980.599887588487	42670842.7669216
23408.272761782944	42313625.61030939
23843.904700937208	41949760.58163
24287.643824604504	41579123.96285312
24739.64100886812	41201589.73353475
25200.049937640895	40835010.85514572
25669.027154919517	40547164.91151212
26146.732118010917	40253962.10588886
26633.327251749808	39955302.74616272
27128.978003724646	39651085.28493342
27633.852900531667	39341206.28498621
28148.123605075813	39025560.384122215
28671.964974937695	38704040.25933407
29205.55512182745	38376536.59031512
29749.075472144435	38042938.02228898
30302.71082866393	37703131.1281481
30866.649433372742	37357000.36988704
31441.08303147265	37004428.05931858
32026.206936576502	36712002.37486069
32622.220097116733	36444737.12638045
33229.325163989684	36172498.02614928
33847.72855945983	35895192.509939626
34477.640547344636	35612726.29088815
35119.275304507275	35325003.327436835
35772.850993678774	35031925.790677845
36438.58983763541	34733394.031090945
37116.71819475767	34429306.54466113
37807.466635993485	34119559.93836657
38511.070023255685	33804048.89502362
39227.76758927723	33482666.137477953
39957.803018952654	33173316.6523448
40701.42453219439	32930935.213400837
41458.88496832911	32684043.01463549
42230.441872066716	32432556.11004093
43016.35758106799	32176388.99135986
43816.89931514194	31915454.559011787
44632.33926710397	31649664.092478156
45462.95469532399	31378927.220136505
46309.02801799736	31103151.888533074
47170.84690917023	30822244.33108365
48048.704396551344	30536109.036192045
48942.89896114532	30244648.714774843
49853.73463873894	29947764.267182376
50781.5211232767	29705056.488876186
51726.57387216024	29482145.039261505
52689.21421350677	29255085.16963982
53669.76945540476	29023799.67720887
54668.57299720181	28788209.922409188
55685.96444286408	28548235.802185677
56722.28971644549	28303795.72275173
57777.90117970507	28054806.57184661
58853.1577519145	27801183.690476168
59948.42503189408	27542840.844127964
61064.07542232036	27279690.193450652
62200.48825634718	27011642.264387526
63358.04992658254	26755875.3460642
64537.15401646702	26555383.5501695
65738.20143409586	26351160.567838322
66961.60054853215	26143136.961056195
68207.76732865692	25931241.999555368
69477.1254846024	25715403.636765845
70770.10661181889	25495548.48531862
72087.15033782135	25271601.792093284
73428.70447166759	25043487.412801184
74795.22515621828	24811127.786095403
76187.17702322999	24574443.90719926
77605.0333513357	24333355.301043693
79049.2762269642	24087779.994904898
80520.39670825469	23889682.29198846
82018.8949920221	23706594.9083835
83545.28058382872	23520100.237416267
85100.07247122246	23330134.868889168
86683.79930019773	23136634.21253002
88296.99955494082	22939532.476030745
89940.22174092053	22738762.642677136
91614.0245713852	22534256.448562678
93318.9771573324	22325944.359377794
95055.65920101192	22113755.546767622
96824.66119303115	21897617.86424959
98626.5846131283	21677457.822682753
100462.04213468132	21469199.617691666
102331.65783302448	21305507.75126946
104236.06739764012	21138769.551360004
106175.9183482999	20968928.325178724
108151.87025522892	20795926.32487869
110164.59496336569	20619704.727915775
112214.77682079801	20440203.617048215
114303.11291144785	20257361.959964227
116430.31329208757	20071117.5885303
118597.10123376705	19881407.177653383
120804.21346773289	19688166.223749705
123052.40043592616	19491329.022812765
125342.42654613995	19290828.648073375
127675.07043192645	19131081.17322834
130051.12521734099	18982344.744060174
132471.39878661174	18830840.304636825
134936.71405883064	18676516.341816433
137447.90926775365	18519320.383788794
140005.8382468096	18359198.982234433
142611.37071941295	18196097.694151524
145265.39259467812	18029961.06334474
147968.80626863963	17860732.601569515
150722.53093107554	17688354.7693254
153527.5028780421	17512768.956292115
156384.67583022476	17333915.461401287
159295.0212572123	17166176.78317306
162259.5287078087	17033747.19134339
165279.2061464897	16898853.06227606
168355.08029612005	16761448.530513773
171488.19698705408	16621486.877035163
174679.62151272455	16478920.51337002
177930.43899185772	16333700.965418553
181241.75473742394	16185778.85696971
184614.69463245454	16035103.892912846
188050.40551285836	15881624.842136595
191550.0555573528	15725289.520110045
195114.83468466165	15566044.771139191
198745.9549580986	15403836.450293526
202444.65099768018	15276087.046131922
206212.18039991445	15156166.795386732
210049.8241653915	15034014.80837004
213958.88713434213	14909589.552090092
217940.6984302958	14782848.72061904
221996.61191199525	14653749.22070864
226128.00663372793	14522247.157137826
230336.2873142131	14388297.817788115
234622.88481422624	14251855.658440812
238989.25662310526	14112874.287291607
243436.8873543108	13971306.44917683
247967.289250216	13827104.009506088
252582.00269627848	13693007.018611837
257282.59674479323	13586532.209014548
262070.66964838552	13478075.88509331
266947.8494034318	13367601.170529427
271915.7943036019	13255070.50272956
276976.1935036891	13140445.620054176
282130.76759394706	13023687.5488081
287381.2691851069	12904756.589989042
292729.4835042813	12783612.30578957
298177.22900196735	12660213.505847687
303726.3579703311	12534518.233241867
309378.75717301364	12406483.750225049
315136.34848664823	12276066.52369344
321001.08955431683	12174479.121168934
326974.97445117676	12078281.037877817
333060.03436245886	11980292.691887986
339258.33827409917	11880480.766105978
345571.9936762143	11778811.323401563
352003.1472796675	11675249.795068784
358553.9857459817	11569760.969072085
365226.7364308175	11462308.978074053
372023.6681413066	11352857.287239948
378947.09190746717	11241368.681815548
385999.36176797637	11127805.254473768
393182.87557057705	11012128.392425641
400500.07578736113	10905460.868209157
407953.45034524484	10820205.920741156
415545.53347188793	10733364.36419413
423278.90655735444	10644906.671503175
431156.19903182285	10554802.766099611
439180.0892596086	10463022.011684788
447353.3054498463	10369533.20181325
455678.6265841068	10274304.549282322
464158.8833612772	10177303.675324088
472796.9591600391	10078497.598596191
481595.79101923504	9977852.723967953
490558.37063650455	9875334.831097558
499687.7453854889	9770909.0627968
508987.0193519675	9690426.13829938
518459.3543892913	9613514.587517189
528107.971193433	9535171.699687986
537936.1503980698	9455370.83738577
547947.2336900292	9374084.867457509
558144.6249454955	9291286.151797611
568531.7913873753	9206946.537950564
579112.2647641759	9121037.349538943
589889.6425508494	9033529.376513021
600867.5891719692	8944392.865219077
612049.837247669	8853597.508282859
623440.1888627863	8761112.434304664
635042.5168595961	8676543.012473583
646860.7661546321	8608462.520048618
658898.9550799957	8539115.038075319
671161.1767496272	8468476.98766262
683651.6004510238	8396524.351112239
696374.4730628222	8323232.663752489
709334.1204987989	8248577.00561996
722534.9491787221	8172531.992986469
735981.4475265755	8095071.769728372
749678.1874966878	8016169.998535103
763629.8261282243	7935799.85195433
777841.1071286482	7853934.003270227
792316.8624866261	7770544.617212142
807062.0141149492	7706937.325439969
822081.575524054	7645578.827859296
837380.6535266489	7583078.43819814
852964.4499741016	7519414.905650572
868838.2635251193	7454566.583929556
885007.4914473438	7388511.42390699
901477.6314524917	7321226.966116726
918254.2835656281	7252690.333118134
935343.1520292377	7182878.221717518
952750.0472427299	7111766.895044778
970480.8877380306	7039332.174482652
988541.7021919573	6965549.431445662
1006938.6314760271	6898644.496099315
1025677.9307444209	6844373.39544828
1044765.9715608053	6789092.30037957
1064209.2440647245	6732782.414725232
1084014.359178331	6675424.592517401
1104188.0508541602	6616999.331478512
1124737.1783647507	6557486.766390276
1145668.7286348727	6496866.662339321
1166989.8186171474	6435118.407837119
1188707.6977119034	6372221.007811789
1210829.7502320393	6308153.076469625
1233363.4979137746	6242892.830023639
1256316.6024741214	6176418.079286863
1279696.8682159416	6126228.315137293
1303512.2446815087	6077346.167319858
1327770.829355429	6027554.314413952
1352480.8704178738	5976835.826653082
1377650.769549055	5925173.459204929
1403289.084785873	5872549.646307904
1429404.533431761	5818946.495298612
1456005.9950206485	5764345.780528144
1483102.514336103	5708728.937165156
1510703.3044866556	5652077.054883638
1538817.7500383465	5594370.871433212
1567455.410205595	5535590.76608972
1596626.022101425	5482735.078013691
1626339.5040481905	5439520.758109566
1656605.9589499151	5395502.212358846
1687435.6777273756	5350664.473981694
1718839.1428171454	5304992.297663935
1750827.0317357269	5258470.154373503
1783410.220710006	5211082.226080423
1816599.7883753285	5162812.400378461
1850407.019542302	5113644.265006795
1884843.4090337954	5063561.102269605
1919920.6655932867	5012545.883351925
1955650.715865947	4960581.26252965
1992045.7084538713	4907649.571271769
2029118.0180466783	4868088.725745772
2066880.2496290822	4829180.97229216
2105345.242766708	4789549.138926383
2144526.0759716653	4749179.750398086
2184436.0711494284	4708059.080680177
2225088.7981283693	4666173.148301892
2266498.079273693	4623507.711594907
2308677.994187172	4580048.26385102
2351642.884494346	4535780.028389744
2395407.358720879	4490687.953534021
2439986.29725955	4444756.70749255
2485394.857429798	4397970.673146772
2531648.478631358	4356252.548748578
2578762.8875937983	4321867.061562614
2626754.1037238385	4286841.654609214
2675638.4445520453	4251164.418872635
2725432.531281028	4214823.223708301
2776153.2944368036	4177805.7127182847
2827817.979625338	4140099.299550002
2880444.1533962977	4101691.163616676
2934049.709215787	4062568.2457382623
2988652.873550383	4022717.243701132
3044272.2120643063	3982124.607735202
3100926.6359319235	3940776.5359068746
3158635.408267819	3898658.9694261923
3217418.1506763715	3867498.046978992
3277294.849923382	3836547.151397691
3338285.8647317644	3805020.2543831384
3400411.9327037027	3772906.636450663
3463694.1773717343	3740195.3786241333
3528154.1153808828	3706875.358723441
3593813.6638046256	3672935.2475827946
3660695.147596906	3638363.5051987036
3728821.30718283	3603148.376806264
3798215.306190736	3567277.8888823693
3868900.7393279755	3530739.8450746364
3940901.6404034477	3493521.8220544746
4014242.490499326	3460614.4928105935
