Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	2.357783902690681815e+07	6.656506423117711395e+07
1.032794731918951654e-10	2.357779443286108598e+07	6.656499688730400056e+07
1.066664958279539403e-10	2.357774837636557966e+07	6.656492733490661532e+07
1.101645949633656381e-10	2.357770080945964903e+07	6.656485550155701488e+07
1.137774133221491146e-10	2.357765168260979280e+07	6.656478131245195866e+07
1.175087130904807540e-10	2.357760094465806335e+07	6.656470469033510238e+07
1.213623798344240958e-10	2.357754854276880622e+07	6.656462555541645736e+07
1.253424265461399975e-10	2.357749442237364128e+07	6.656454382528936863e+07
1.294529978227915867e-10	2.357743852711462602e+07	6.656445941484467685e+07
1.336983741824946476e-10	2.357738079878557473e+07	6.656437223618207872e+07
1.380829765218092491e-10	2.357732117727145180e+07	6.656428219851861894e+07
1.426113707194128486e-10	2.357725960048575327e+07	6.656418920809411258e+07
1.472882723907502473e-10	2.357719600430587679e+07	6.656409316807357222e+07
1.521185517986104510e-10	2.357713032250632718e+07	6.656399397844629735e+07
1.571072389247450498e-10	2.357706248668976873e+07	6.656389153592178971e+07
1.622595287078087593e-10	2.357699242621579766e+07	6.656378573382215202e+07
1.675807864530767868e-10	2.357692006812736019e+07	6.656367646197102219e+07
1.730765534195724819e-10	2.357684533707481250e+07	6.656356360657882690e+07
1.787525525904235329e-10	2.357676815523742884e+07	6.656344705012430251e+07
1.846146946324547531e-10	2.357668844224238023e+07	6.656332667123208940e+07
1.906690840512252406e-10	2.357660611508102715e+07	6.656320234454638511e+07
1.969220255479172543e-10	2.357652108802248910e+07	6.656307394060035795e+07
2.033800305846981002e-10	2.357643327252435684e+07	6.656294132568133622e+07
2.100498241653915480e-10	2.357634257714051381e+07	6.656280436169160157e+07
2.169383518385184289e-10	2.357624890742586181e+07	6.656266290600453317e+07
2.240527869300018610e-10	2.357615216583803669e+07	6.656251681131613255e+07
2.314005380130653023e-10	2.357605225163576752e+07	6.656236592549159378e+07
2.389892566231049743e-10	2.357594906077402085e+07	6.656221009140688926e+07
2.468268452255692806e-10	2.357584248579562828e+07	6.656204914678514004e+07
2.549214654451423314e-10	2.357573241571938992e+07	6.656188292402768135e+07
2.632815465648021228e-10	2.357561873592450842e+07	6.656171125003945082e+07
2.719157943036017723e-10	2.357550132803123072e+07	6.656153394604879618e+07
2.808331998823172083e-10	2.357538006977756321e+07	6.656135082742130011e+07
2.900430493863991314e-10	2.357525483489197865e+07	6.656116170346751064e+07
2.995549334359813486e-10	2.357512549296189472e+07	6.656096637724434584e+07
3.093787571730138678e-10	2.357499190929788724e+07	6.656076464535006881e+07
